strassenschluessel;bezeichnung;geometry
05334000000201001;Abteiplatz;POINT (6.093116143137347 50.76227464642943)
05334000000201002;Abteistraße;POINT (6.097079473733578 50.76031772131746)
05334000000201004;Achterstraße;POINT (6.087152966974671 50.78155851767145)
05334000000201005;Adalbert-Stifter-Straße;POINT (6.14557071295157 50.75207505019815)
05334000000201006;Adalbertsberg;POINT (6.092084652616516 50.77432024332304)
05334000000201008;Adalbertstift;POINT (6.095077200389365 50.774792395294696)
05334000000201009;Adalbertstraße;POINT (6.093603346721574 50.775195809939184)
05334000000201011;Adlerberg;POINT (6.091881692718726 50.763516808859514)
05334000000201012;Nelly-Sachs-Straße;POINT (6.144309451701534 50.75006317342918)
05334000000201013;Ahornstraße;POINT (6.0642249009997675 50.78148552681236)
05334000000201014;Albert-Maas-Straße;POINT (6.132428692550175 50.765647284098144)
05334000000201015;Alexanderstraße;POINT (6.089611821491945 50.77854870769345)
05334000000201016;Alexianergraben;POINT (6.082052561070455 50.77240586682127)
05334000000201017;Alfonsstraße;POINT (6.097561914993464 50.77176299835117)
05334000000201018;Alkuinstraße;POINT (6.09800086745754 50.78737431550503)
05334000000201019;Alsenstraße;POINT (6.114924941443081 50.77193411520076)
05334000000201020;Altdorfstraße;POINT (6.090852615323286 50.76138634163428)
05334000000201023;Altstraße;POINT (6.124046013420787 50.76538681977699)
05334000000201024;Altenberger Straße;POINT (6.042835319011771 50.73992384100937)
05334000000201025;Am Backes;POINT (6.053082986981456 50.762516754588106)
05334000000201026;Am Beverbach;POINT (6.114635704871441 50.76184754349064)
05334000000201028;Am Blockhaus;POINT (6.050071041448832 50.76176963751492)
05334000000201029;Am Branderhof;POINT (6.1082401552290495 50.76062607749243)
05334000000201030;Ambrosiusstraße;POINT (6.131424878018569 50.75801608438325)
05334000000201031;Am Chorusberg;POINT (6.085337908365427 50.7491181758772)
05334000000201032;Am Dorbach;POINT (6.086648027025682 50.74397105936683)
05334000000201033;Am Friedrich;POINT (6.049205161342307 50.762912374586335)
05334000000201034;Am Hangeweiher;POINT (6.072622953342642 50.75686489855378)
05334000000201035;Am Hasselholz;POINT (6.056072934005763 50.759780290252735)
05334000000201036;Am Höfling;POINT (6.098758512742912 50.76160466457888)
05334000000201037;Am Hügel;POINT (6.063674450552079 50.77575052955549)
05334000000201038;Karolingerstraße;POINT (6.093086622602801 50.787293864630584)
05334000000201039;Elleterweg;
05334000000201040;Am Kupferofen;POINT (6.120152176230319 50.76459441234768)
05334000000201041;Am Lavenstein;POINT (6.075262901718294 50.76896343484758)
05334000000201042;Am Neuenhof;POINT (6.058363600503204 50.76420167102039)
05334000000201043;Am Pappelweiher;POINT (6.117553603764408 50.764141578536524)
05334000000201044;Am Roskapellchen;POINT (6.077666814510151 50.77090271904151)
05334000000201045;Am Römerhof;POINT (6.110659859508486 50.75885799386817)
05334000000201046;Friedrichweg;
05334000000201047;Alter Landgraben;
05334000000201048;Am Viadukt;POINT (6.095762742569979 50.76737295490153)
05334000000201049;Am Wassersprung;
05334000000201050;Am Weberhof;POINT (6.090349027249091 50.79117455326621)
05334000000201051;Am Weißenberg;POINT (6.063940561737983 50.77473222989433)
05334000000201052;Am Wolf;POINT (6.092149181006415 50.788654483508196)
05334000000201054;Am Ziegelweiher;POINT (6.108233257020927 50.75884498240289)
05334000000201055;An den Birkenweiden;POINT (6.107778570908141 50.7611707299728)
05334000000201056;An den Finkenweiden;POINT (6.054513028710095 50.782998439366565)
05334000000201057;An den Frauenbrüdern;POINT (6.082659154829403 50.770371212628774)
05334000000201058;An den Wurmquellen;POINT (6.084113384960755 50.74315339966391)
