strassenschluessel;bezeichnung;geometry
05554000000401351;Am Stadtgraben;POINT (7.008774389636623 52.072266237982426)
05554000000401352;Ackerstraße;POINT (7.015675612327535 52.08573561499411)
05554000000401353;Einsteinstraße;POINT (7.020552081810161 52.07698508719225)
05554000000401354;Adenauerring;POINT (7.014997285341355 52.06674793281311)
05554000000401355;Alheidisstraße;POINT (6.999178056786613 52.08397553891899)
05554000000401356;Am Aabach;POINT (7.014365885000988 52.0728230753107)
05554000000401357;Am Fasanengarten;POINT (7.01313274905069 52.07100473604481)
05554000000401358;Ammeln;POINT (7.031536014213824 52.082254780986986)
05554000000401359;Am Rabenhorst;POINT (7.0013926524840135 52.086580356195654)
05554000000401360;Am Schäfingskamp;POINT (7.014605814123803 52.07208968905043)
05554000000401361;Am Schloßgraben;POINT (7.008768496281027 52.07384760033095)
05554000000401362;Am Schulzenbusch;POINT (6.992917485609782 52.081885100672565)
05554000000401363;Am Seekenkamp;POINT (7.014262668205619 52.06777433852578)
05554000000401364;Amselweg;POINT (7.0041661767543575 52.08551108536253)
05554000000401365;Holthues Hoff;POINT (7.006338691078624 52.08316960573325)
05554000000401366;Annenstraße;POINT (7.004948902702359 52.080560261706495)
05554000000401367;Auf der Haar;POINT (7.020236609973603 52.07628267076401)
05554000000401368;Wibbeltstraße;POINT (7.004846977866673 52.080936746443044)
05554000000401369;Bahnhofstraße;POINT (7.01022019963234 52.07874943800498)
05554000000401370;Baumschulweg;POINT (7.001075578943575 52.08177741514924)
05554000000401371;Beckers Brink;POINT (7.004718561129236 52.07245447863028)
05554000000401372;Oldenkottplatz;POINT (7.007294073441055 52.074769055144415)
05554000000401373;Bernsmannskamp;POINT (7.002372953792926 52.07664848517231)
05554000000401374;Bispinckplatz;POINT (6.995818944914917 52.08193480877013)
05554000000401375;Florastraße;POINT (7.015276170126636 52.08489410234499)
05554000000401376;Bockhorn;POINT (6.993363892149359 52.083265943843514)
05554000000401377;Buchenweg;POINT (7.010029237275629 52.06982889724422)
05554000000401378;Ridderstraße;POINT (7.023575680116267 52.08521167453543)
05554000000401379;Coesfelder Straße;POINT (7.007553425189957 52.07178600783548)
05554000000401380;Legdener Straße;POINT (7.020379024606397 52.065828722116855)
05554000000401381;Depenbrockskamp;POINT (7.000533624940519 52.073073794142665)
05554000000401382;Diepenheimstraße;POINT (7.010307711742407 52.07266645758085)
05554000000401383;Domhof;POINT (7.00905948843562 52.07669598456085)
05554000000401384;Dr.-Helming-Straße;POINT (7.005393966471449 52.08469377762084)
05554000000401385;Eichendorffstraße;POINT (7.008458058680072 52.08273412861744)
05554000000401386;Eichengrund;POINT (7.020787568635766 52.07399673383263)
05554000000401387;Sümmermannplatz;POINT (7.009561904458404 52.07511824565319)
05554000000401388;Finkenstraße;POINT (7.014441438974357 52.06855752991596)
05554000000401389;Forckenbeckstraße;POINT (7.0126642224987314 52.08204679657335)
05554000000401390;Lehmkösterstraße;POINT (7.003652582497165 52.08452130490546)
05554000000401391;Frauenstraße;POINT (7.003806645289394 52.07406437755059)
05554000000401392;Fuchsweg;POINT (7.007836709129818 52.08881419156665)
05554000000401393;Fuistingstraße;POINT (7.002443648689021 52.085294924675)
05554000000401394;Fürstenkämpe;POINT (7.015501058340979 52.08936461950731)
05554000000401395;Fürstenstraße;POINT (7.0111107537773165 52.077771342754424)
05554000000401396;Galenstraße;POINT (7.010716313953188 52.08053088836179)
05554000000401397;Gartenstiege;POINT (7.007491876586016 52.07871093328292)
05554000000401398;Dieselstraße;POINT (7.031287338868463 52.08634823012643)
05554000000401399;Gerhart-Hauptmann-Straße;POINT (7.006264202864661 52.08301159413702)
05554000000401400;Graeser Str.;POINT (7.001517734639188 52.08560399541674)
05554000000401401;Böcklerstraße;POINT (7.00122538629583 52.08082433154511)
05554000000401402;Hasenkamp;POINT (7.005456292225374 52.08891244144474)
05554000000401403;Heeker Straße;POINT (7.02452282255149 52.08874412656899)
05554000000401404;Heisenbergstraße;POINT (7.024644172877985 52.08383306712437)
05554000000401405;Lönsweg;POINT (7.013657965623048 52.08509887896664)
05554000000401406;Schmalenstrothstraße;POINT (7.008025212196809 52.08073301686993)
05554000000401407;Hessenweg;POINT (7.009296605349117 52.080776668216146)
