strassenschluessel;bezeichnung;geometry
05358000000404301;A 44;
05358000000404302;B 56;
05358000000404303;K 12;
05358000000404304;L 228;
05358000000404305;L 136;
05358000000404306;L 238;
05358000000404307;Place d'Albert;
05358000000404308;Uhlweg;
05358000000404309;Judengasse;
05358000000404310;L 11;
05358000000404311;Auf dem Heerweg;
05358000000404350;Alte Turmstraße;POINT (6.287207327515212 50.89466301894547)
05358000000404351;Am Köttenicher Weiher;POINT (6.288416340273605 50.899631949975486)
05358000000404352;Am Stippchen;POINT (6.28069333086958 50.897269567782864)
05358000000404353;Am Wasserturm;POINT (6.2820705626669175 50.892544225348736)
05358000000404354;Am Wehrgang;POINT (6.285825451158465 50.895305552886896)
05358000000404355;An der Bleiche;POINT (6.288769230825702 50.898080450619915)
05358000000404356;Auf der Komm;POINT (6.284245324121337 50.89304413267822)
05358000000404357;Auf dem Wall;POINT (6.286636802493278 50.8961898983447)
05358000000404358;Barbarastraße;POINT (6.285290959470293 50.897155041368315)
05358000000404359;Blumenstraße;POINT (6.280748650729316 50.893470611851946)
05358000000404360;Bourheimer Weg;POINT (6.293613560710444 50.89559722069692)
05358000000404361;Breslauer Straße;POINT (6.294264519716515 50.89424270510975)
05358000000404362;Dietrich-Mülfahrt-Straße;POINT (6.283006738483339 50.89411147975)
05358000000404363;Eichendorffstraße;POINT (6.284813518047359 50.89958641003961)
05358000000404364;Engelsdorfer Weg;POINT (6.291079093094801 50.89900547970861)
05358000000404365;Frauenrather Straße;POINT (6.281783588113149 50.89844991615843)
05358000000404366;Gartenstraße;POINT (6.278363360200503 50.89722841189897)
05358000000404367;Gerberstraße;POINT (6.288306883013675 50.896679751754235)
05358000000404368;Glückaufstraße;POINT (6.284696677251763 50.89643555727217)
05358000000404369;Hans-Böckler-Weg;POINT (6.286283512374008 50.8993055098057)
05358000000404370;Im Dümpel;POINT (6.288498398892232 50.89497086286243)
05358000000404371;Im Graben;POINT (6.284022236136277 50.89445508650163)
05358000000404372;Industriestraße;POINT (6.309727300565037 50.903238638699094)
05358000000404373;Jahnstraße;POINT (6.279125388216241 50.89440040746857)
05358000000404374;Jülicher Straße;POINT (6.293959276925868 50.89890379657956)
05358000000404375;Kapellenplatz;POINT (6.281904308346105 50.89490431015729)
05358000000404376;Kapuzinerstraße;POINT (6.27874628844881 50.89327675790014)
05358000000404377;Knappenstraße;POINT (6.286349954538849 50.8980864185025)
05358000000404378;Königsberger Straße;POINT (6.290745408612061 50.89766124335797)
05358000000404379;Köttenicher Mühle;POINT (6.289036847063598 50.90342382379672)
