strassenschluessel;bezeichnung;geometry
05334000000401001;Albrecht-Dürer-Straße;POINT (6.164263381692908 50.87190858561041)
05334000000401002;Alte Luisenstraße;POINT (6.162354506492126 50.87338142179969)
05334000000401004;Bahnhofstraße;POINT (6.159194873141296 50.871494912690714)
05334000000401005;Otto-Wels-Straße;POINT (6.168277301275812 50.8779185185622)
05334000000401006;Broicher Straße;POINT (6.16004710387086 50.86621588981093)
05334000000401007;Denkmalplatz;POINT (6.160707110366399 50.87378998836714)
05334000000401008;Grenzweg;POINT (6.163464778381025 50.87011425781871)
05334000000401009;Hubertusstraße;POINT (6.167232961823897 50.87427123536054)
05334000000401010;Körnerstraße;POINT (6.163241461413663 50.87719742057567)
05334000000401011;Luisenstraße;POINT (6.176922156147631 50.874683429940184)
05334000000401012;Martin-Luther-Straße;POINT (6.162738804100763 50.87252123933273)
05334000000401013;Rathausstraße;POINT (6.161905732931901 50.8745398803588)
05334000000401014;Rebenstraße;POINT (6.161129274868123 50.870552362322044)
05334000000401015;Weinstraße;POINT (6.163537375176952 50.871572519853004)
05334000000401016;Zollernstraße;POINT (6.162832831905226 50.87035877761042)
05334000000401017;Bodelschwinghweg;POINT (6.164802336587553 50.872635607193516)
05334000000401018;Saint-Brieuc-Platz;
05334000000401019;Luisenhof;POINT (6.166783722342531 50.87336387087171)
05334000000401020;An der Ziegelei;POINT (6.16417070343627 50.87014298268705)
05334000000401021;Ahrweg;POINT (6.157509897259796 50.87787171595497)
05334000000401022;An der Mariensäule;POINT (6.161354301490854 50.877586610187095)
05334000000401023;Annastraße;POINT (6.1616447576506355 50.87605023791365)
05334000000401024;Burgstraße;POINT (6.162325712973911 50.88006563011126)
05334000000401025;Cäcilienstraße;POINT (6.165230509054195 50.87818297921607)
05334000000401026;Eckstraße;POINT (6.161837205306877 50.87738366172446)
05334000000401027;Grünstraße;POINT (6.158630147164007 50.878124721413045)
05334000000401028;In der Burgweid;POINT (6.163552227038403 50.880548105748424)
05334000000401029;Castorstraße;POINT (6.162720793993496 50.87826870840201)
05334000000401030;Lindenplatz;POINT (6.153455019327825 50.87696136541613)
05334000000401031;Martinstraße;POINT (6.159698156687524 50.876730217494604)
05334000000401032;Ohligsweg;POINT (6.1601889780794785 50.87518979542639)
05334000000401033;Am Falter;POINT (6.205418366042651 50.87105631451183)
05334000000401034;Röntgenweg;POINT (6.160000479114625 50.8763610061167)
05334000000401035;Robert-Koch-Straße;POINT (6.1590915871279766 50.87682689217633)
05334000000401036;Saarstraße;POINT (6.156706065098619 50.87815007195107)
05334000000401037;Tischelkauler Weg;POINT (6.162608365261224 50.88069939888226)
05334000000401038;Übacher Weg;POINT (6.15677300924173 50.87928124346407)
05334000000401039;Von-Harff-Straße;POINT (6.163506896862685 50.87983491094513)
05334000000401040;Kurt-Koblitz-Ring;
05334000000401041;Burggasse;POINT (6.160273046824682 50.87878562533143)
05334000000401042;An Feldgemeinschaft;
05334000000401043;Änni-Keller-Straße;POINT (6.201641265640492 50.86886202189005)
05334000000401044;An den Hainbuchen;POINT (6.201275347521619 50.86956849682841)
05334000000401045;Leo-Meurer-Weg;POINT (6.211009757965488 50.8547288845196)
05334000000401046;Am Wardener Bach;POINT (6.209638326621865 50.85411347092226)
05334000000401047;Gut Schleibacher Haus;POINT (6.146546967732061 50.84898354049933)
05334000000401048;Alleestraße;POINT (6.148408120176168 50.875491737679994)
05334000000401049;Im Franchsfeld;POINT (6.207898719319411 50.8686907816406)
05334000000401050;Im Blumenfeld;POINT (6.188385029216998 50.85917711000618)
05334000000401051;Auf dem Kamp;POINT (6.160230432747697 50.88090212108326)
05334000000401052;Auf dem Pütz;POINT (6.161143598442279 50.88022097319446)
05334000000401053;Böckerweg;POINT (6.155211283755587 50.883794738013655)
05334000000401054;Buschhof;POINT (6.128695583322297 50.888676064103464)
05334000000401055;Elisabethstraße;POINT (6.153410252443437 50.87900184686067)
05334000000401056;Geilenkirchener Straße;POINT (6.152787277252227 50.883214129937194)
05334000000401057;Im Haag;POINT (6.155499840667108 50.8828937633821)
05334000000401058;Im Kleefeld;POINT (6.154131180823137 50.8837582350754)
05334000000401059;Jägerweg;POINT (6.154650643619046 50.88300775937733)
05334000000401060;Kantgasse;POINT (6.156685449084157 50.88009488705471)
05334000000401061;Henningsdorfer Platz;
05334000000401062;Moselstraße;POINT (6.152532853197098 50.87869654080917)
05334000000401063;Naheweg;POINT (6.154516963507502 50.8788715117053)
05334000000401064;Oidtweilerweg;POINT (6.162831322078859 50.88106810048695)
05334000000401065;Römerstraße;POINT (6.15597951214345 50.87721991137361)
05334000000401066;Schlosserstraße;POINT (6.15802435848504 50.87895513583246)
05334000000401067;Tröter Weg;POINT (6.159044500361466 50.88143956285422)
05334000000401069;Urftstraße;POINT (6.153771180304655 50.88051261259474)
05334000000401070;Waldstraße;POINT (6.153862946940147 50.88195237849086)
05334000000401071;Lahnweg;POINT (6.155986172085246 50.87900452638219)
05334000000401072;Olefstraße;POINT (6.1527891113043935 50.8810778938331)
05334000000401073;An der Tröt;POINT (6.157376748317149 50.88276510804222)
05334000000401074;Kleine Tröt;POINT (6.15669724781359 50.88170283990838)
05334000000401075;Am Viktoriasportplatz;POINT (6.170421197807615 50.87984220166254)
05334000000401076;Am Heggeströfer;POINT (6.169840640215903 50.881107103721625)
05334000000401081;Brahmsstraße;POINT (6.173860231166941 50.88671306417128)
05334000000401082;Hedwigstraße;POINT (6.174313340871853 50.887093560990564)
05334000000401083;Linnicher Straße;POINT (6.167113541484252 50.879236790276366)
05334000000401084;Schubertstraße;POINT (6.172477942065556 50.88542785215494)
05334000000401085;Wagnerstraße;POINT (6.173633246352179 50.88603942297471)
05334000000401086;Am Rosenkränzchen;
05334000000401091;Fridtjof-Nansen-Ring;POINT (6.165827157566449 50.87997840189844)
05334000000401092;Im Brühl;POINT (6.1662723249899605 50.88085021200909)
05334000000401093;Carl-von-Ossietzky-Straße;POINT (6.147834470718854 50.874764276002935)
05334000000401094;Marie-Juchacz-Straße;POINT (6.166419243359801 50.88459863637695)
05334000000401095;Johann-Lütter-Straße;POINT (6.164477776040164 50.883041290397436)
05334000000401096;Sophie-Scholl-Straße;POINT (6.167075572767922 50.88403424441089)
05334000000401097;Von-Ketteler-Straße;POINT (6.166048277283788 50.88257926846234)
05334000000401098;Werthmannstraße;POINT (6.168446865048989 50.88493438997311)
05334000000401099;Wichernstraße;POINT (6.165062506028873 50.8814703102048)
05334000000401101;Resi-Quint-Straße;POINT (6.177628275591695 50.87623774015718)
05334000000401110;Am Nießen Bend;POINT (6.177697371468993 50.878000687248395)
05334000000401111;Am Feuerwehrhaus;POINT (6.173193296898396 50.87510374868977)
05334000000401112;Brucknerstraße;POINT (6.175764399083312 50.87541694703673)
05334000000401113;Engelstraße;POINT (6.174885942242963 50.877317661074265)
05334000000401114;Florianstraße;POINT (6.172016352823535 50.87524287446624)
