strassenschluessel;bezeichnung;geometry
05962000000401001;Am Knerling;POINT (7.652647089960431 51.306864074282004)
05962000000401003;Eichendorffstraße;POINT (7.652360254996389 51.30571012948136)
05962000000401004;Elsa-Brandström-Straße;POINT (7.652712461900489 51.30505270712767)
05962000000401005;Friedrich-Ebert-Straße;POINT (7.654951258754234 51.30505823012113)
05962000000401006;Gustav-Selve-Straße;POINT (7.655807583195601 51.30380342074538)
05962000000401007;Neu-Sassenscheid;POINT (7.644641107951568 51.306689281166896)
05962000000401008;Am Papenberg;POINT (7.653005308192659 51.30600494509174)
05962000000401015;Brachtenbecker Weg;POINT (7.651468052287826 51.301152088951035)
05962000000401016;Grennigloher Weg;POINT (7.647036410475747 51.29852026567008)
05962000000401017;Im Kammersiepen;POINT (7.652462898598762 51.301316218338016)
05962000000401025;Am Halse;POINT (7.660668141583704 51.30592587841919)
05962000000401026;Am Tiergarten;POINT (7.661779866752941 51.306165777098464)
05962000000401027;Graf-Adolf-Straße;POINT (7.6606229417555936 51.30399590810115)
05962000000401028;Graf-Dietrich-Straße;POINT (7.661711449703651 51.30353256643953)
05962000000401029;Graf-Eberhard-Straße;POINT (7.657578609040899 51.30188856445122)
05962000000401030;Graf-Engelbert-Straße;POINT (7.660090343571259 51.30453887374148)
05962000000401031;Holtzbrinckstraße;POINT (7.66035433037068 51.30547388350696)
05962000000401040;Am Hünengraben;POINT (7.6636126724455025 51.31142866708349)
05962000000401041;Hagener Straße;POINT (7.658286374557106 51.305468542171376)
05962000000401042;Harkortstraße;POINT (7.654610336897305 51.31050826740414)
05962000000401043;Hermann-Voß-Straße;POINT (7.663041534372946 51.30806856345725)
05962000000401044;Humboldtstraße;POINT (7.6552298492534705 51.31015954797035)
05962000000401045;Liebigstraße;POINT (7.655918857522412 51.31073330633178)
05962000000401046;Pragpaul;POINT (7.656751057976241 51.307989297737585)
05962000000401051;Am Grünen Wege;POINT (7.672015726954202 51.30472994334622)
05962000000401053;An der Lohmühle;POINT (7.667796288937366 51.30485202725168)
05962000000401054;Blumenstraße;POINT (7.669539116545511 51.30583018838723)
05962000000401056;Friedhofstraße;POINT (7.667528169660319 51.305443051807934)
05962000000401057;Gartenstraße;POINT (7.668496874695924 51.30496053264324)
05962000000401058;Gehegde;POINT (7.67550925605892 51.306885629742595)
