strassenschluessel;bezeichnung;geometry
05774000000400100;Adenauerstraße;POINT (8.930832605783994 51.763916433104384)
05774000000400200;Ahornstraße;POINT (8.947885576445643 51.76293554577026)
05774000000400300;Alte Bahnhofstraße;POINT (8.947067089765701 51.76663875911337)
05774000000400400;Alter Kirchweg;POINT (8.933823843576361 51.76267212836601)
05774000000400500;Am Brande;POINT (8.947934473099092 51.76107763596782)
05774000000400600;Am Hammer;POINT (8.904547432309094 51.75734066162944)
05774000000400650;Am Kalkofen;POINT (8.934207413947668 51.765729204432795)
05774000000400680;Am Lindenhof;POINT (8.934660291401633 51.76403975397826)
05774000000400710;Am Mühlenbach;POINT (8.934941566236656 51.76464435160251)
05774000000400800;Am Siep;POINT (8.955961508169247 51.77023463763198)
05774000000400850;Am Stapelsberg;POINT (8.919666570556826 51.76310905127667)
05774000000400900;Badestraße;POINT (8.932476194304378 51.76291775127621)
05774000000401000;Bahnhofstraße;POINT (8.941801344420481 51.765116620354)
05774000000401100;Bergstraße;POINT (8.955770776719522 51.763513673127385)
05774000000401210;Bokelweg;POINT (8.939716361853511 51.76371408336167)
05774000000401300;Bollaes;POINT (8.93634757453008 51.76417459643051)
05774000000401400;Bollerbornstraße;POINT (8.951874372435423 51.76133963181633)
05774000000401500;Branthagenstraße;POINT (8.94886426511715 51.75980806403891)
05774000000401600;Burgstraße;POINT (8.9449752848122 51.76488713479222)
05774000000401700;Caspar-Kropff-Weg;POINT (8.947811535923094 51.75857105980709)
05774000000401800;Christian-Schütze-Straße;POINT (8.940292706529881 51.7611837241865)
05774000000401850;Dr.-Pentrup-Straße;POINT (8.945315998872138 51.76214602822657)
05774000000401900;Eggering;POINT (8.956529790803888 51.75957785959256)
05774000000402000;Eichendorffstraße;POINT (8.939426536866454 51.76566548269902)
05774000000402100;Federathweg;POINT (8.946492166243655 51.75704957391299)
05774000000402200;Feldmark;POINT (8.9495167750713 51.76987003861447)
05774000000402300;Friedrich-Wilhelm-Weber-Straße;POINT (8.951747255344435 51.761828806730314)
05774000000402400;Gänseberg;POINT (8.944656240134023 51.76398821252516)
05774000000402500;Haidhügelweg;POINT (8.944896074370007 51.76573553664643)
05774000000402510;Heinrich-Neuheuser-Weg;POINT (8.937477413247255 51.76554935536227)
05774000000402700;Hüttenstraße;POINT (8.94676633319219 51.76258887829215)
05774000000402810;Kirchplatz;POINT (8.941870785907742 51.763050655671705)
05774000000402900;Kuhlbornstraße;POINT (8.944872638321307 51.7612892535146)
05774000000403000;Ludwigweg;POINT (8.948707929595301 51.75237627154621)
05774000000403100;Melmeke;POINT (8.940721745238614 51.76206653886916)
05774000000403200;Natorpweg;POINT (8.948348225988097 51.75659081212258)
05774000000403310;Obere Sage;POINT (8.949873491637861 51.76611298108296)
05774000000403400;Obermühlenweg;POINT (8.950573890942092 51.761986512623956)
05774000000403500;Ortwaldstraße;POINT (8.938920969461753 51.764402758746535)
05774000000403600;Ossensteg;POINT (8.941554042070274 51.76119062501738)
05774000000403700;Peter-Hille-Weg;POINT (8.954752712729565 51.763779311945214)
05774000000403800;Rehbergstraße;POINT (8.948478318946407 51.76416159408097)
05774000000403900;Schmiedestraße;POINT (8.949666585567117 51.76180143683575)
05774000000404000;Scholandweg;POINT (8.938712259677834 51.765784652089295)
05774000000404100;Schöne Aussicht;POINT (8.947939418925467 51.7634040984972)
05774000000404200;Schützenweg;POINT (8.953956872706515 51.75803774414138)
05774000000404300;Schwarzer Weg;POINT (8.946089873031736 51.7655527211829)
05774000000404400;Tegelweg;POINT (8.955041902343364 51.779119686436246)
05774000000404500;Ulrichstraße;POINT (8.950159626042602 51.76064537133328)
05774000000404600;Untere Sage;POINT (8.946872476054043 51.76391910267702)
05774000000404700;Wilhelm-Henz-Weg;POINT (8.941250927930911 51.761665045118164)
05774000000404800;Wienackerstraße;POINT (8.933774557144261 51.76231958672467)
05774000000404910;Winterbergstraße;POINT (8.94063909440708 51.759713655665415)
05774000000404920;Am Sportplatz;POINT (8.943521754171492 51.75591664290815)
05774000000404930;Von-Bodelschwingh-Straße;POINT (8.944790346627787 51.75472365476765)
05774000000404940;Kurt-Schumacher-Straße;POINT (8.943628865760191 51.75473913506448)
05774000000405000;Gardeweg;POINT (8.943413392403606 51.760419755182696)
05774000000405200;Alter Postweg;POINT (8.949648733267637 51.73646168824021)
05774000000405300;Am alten Teich;POINT (8.946470569240551 51.740831928466505)
05774000000405350;Am Andreas Kloster;POINT (8.949814231594347 51.750525872473006)
05774000000405410;Am Brandholz;POINT (8.951544504121829 51.75760178287845)
05774000000405500;Am Eichenkamp;POINT (8.958510520793439 51.741609728203166)
05774000000405550;Am Keimberg;POINT (8.924800931862142 51.74519106531401)
05774000000405600;Am Springe;POINT (8.957335499383682 51.739463924596265)
05774000000405610;An der Apuhlquelle;POINT (8.951178315721275 51.75208755963698)
05774000000405650;An der B 64;POINT (8.938616237360568 51.738890325029175)
05774000000405680;Buchenweg;POINT (8.948231864361697 51.75151655362239)
05774000000405700;Dionysiusstraße;POINT (8.941651921659526 51.73901774132891)
05774000000405800;Dorfstraße;POINT (8.946026617776127 51.74164871611677)
05774000000405900;Driburger Straße;POINT (8.951780778479177 51.74156439708545)
05774000000406000;Hachmannstraße;POINT (8.951029939725132 51.74113274429164)
05774000000406100;Heistermannweg;POINT (8.94940383447638 51.75235820384092)
05774000000406200;Höltenbrügge;POINT (8.951812100485629 51.73606875538354)
05774000000406250;Hossenbergstraße;POINT (8.944579714454251 51.75284059864995)
05774000000406300;Hühnerfeld;POINT (8.94872293600559 51.74108099525324)
05774000000406500;Industriestraße;POINT (8.94633103281814 51.72439371549518)
05774000000406550;Johannes-Tofall-Straße;POINT (8.94758814481723 51.735331022342685)
05774000000406600;Mühlenweg;POINT (8.94521126830845 51.74665186482794)
05774000000406700;Orthagen;POINT (8.952247031477762 51.7435219964299)
05774000000406710;Schaffmeisterweg;POINT (8.950397085451755 51.753881274429816)
05774000000406720;Pater-Freitag-Straße;POINT (8.951499009968295 51.75611465158975)
05774000000406730;Pfarrer-Dalkmann-Straße;POINT (8.948772924050614 51.75198594984281)
05774000000406740;Pfarrer-Weyrather-Straße;POINT (8.9502934951271 51.75590648415742)
05774000000406800;Reelsberg;POINT (8.956065270015353 51.74240957377902)
