strassenschluessel;bezeichnung;geometry
05958000000408001;Am Knapp;POINT (7.945423848879103 51.45681593290471)
05958000000408002;Auf dem Bruch;POINT (7.947902312332921 51.4560866012067)
05958000000408003;An der Josefskirche;POINT (7.940791192552034 51.45529118892893)
05958000000408004;Bachumer Weg;POINT (7.939094235926024 51.45896162393061)
05958000000408005;Bergheimer Weg;POINT (7.94975679592063 51.45657223943022)
05958000000408006;Bergmerfeld;POINT (7.946871763366227 51.45647828123707)
05958000000408007;Bodelschwinghweg;POINT (7.936454642735379 51.453491916973675)
05958000000408008;Damaschkestraße;POINT (7.942427600778017 51.454319379822344)
05958000000408009;Dreihausener Weg;POINT (7.943402992681541 51.4535259764629)
05958000000408010;Droste-Hülshoff-Straße;POINT (7.951759948110292 51.455117497707846)
05958000000408011;Gabelsbergerstraße;POINT (7.945279197958357 51.451761707007165)
05958000000408012;Kardinal-Jaeger-Straße;POINT (7.946321701098526 51.452795276694715)
05958000000408013;Haddoweg;POINT (7.94364500029073 51.456595051490304)
05958000000408014;Bergheimer Bruch;POINT (7.946837284937588 51.454667989770655)
05958000000408015;Hugo-Bremer-Weg;POINT (7.935028096619719 51.45170657049125)
05958000000408016;In der Heide;POINT (7.9440452321983885 51.454761509493466)
05958000000408017;In der Kuhle;POINT (7.949885268834042 51.45699197386091)
05958000000408018;Im Ohl;POINT (7.9506024406454285 51.458249856620974)
05958000000408019;Im Stadtwald;POINT (7.950399817891402 51.44525102276396)
05958000000408020;Iringweg;POINT (7.9413114126294335 51.45676015822351)
05958000000408021;Jahnallee;POINT (7.950937536455591 51.448096921939765)
05958000000408022;Landwehr;POINT (7.947307917940461 51.457394665709124)
05958000000408023;Liebigstraße;POINT (7.946175015803645 51.45150578030928)
05958000000408024;Marienstraße;POINT (7.939912211109479 51.45478969310309)
05958000000408025;Max-Planck-Straße;POINT (7.936972504792622 51.45244944235941)
05958000000408026;Pestalozzistraße;POINT (7.942216733609754 51.452437553637004)
05958000000408027;Röntgenstraße;POINT (7.9471199465185185 51.45312963596546)
05958000000408028;Schwarzer Weg;POINT (7.939189916386145 51.451998743085234)
05958000000408029;Sleperhof;POINT (7.941104524469953 51.45751696537937)
05958000000408030;Sleperstraße;POINT (7.938203067658544 51.45919771126165)
05958000000408031;Felsenweg;POINT (7.9467392234968734 51.45867843635999)
05958000000408032;Trift;POINT (7.953052238637489 51.455677312772536)
05958000000408033;Westfalenstraße;POINT (7.950528814562635 51.45315936327059)
05958000000408034;Vom-Stein-Straße;POINT (7.951877042865899 51.45556396080074)
05958000000408036;Widukindstraße;POINT (7.938745716824351 51.45522511427161)
05958000000408037;Zu den Drei Bänken;POINT (7.949014991861207 51.442554558215555)
05958000000408038;Goekenhof;POINT (7.942348502329118 51.458902614291766)
05958000000408039;Sleperfeld;POINT (7.939635044389863 51.45793782496118)
05958000000408040;Am Rott;POINT (7.9346426423610135 51.45349998715577)
05958000000408041;Zamenhof;POINT (7.943045134165132 51.45793502141521)
05958000000408042;Donnerfeld;POINT (7.945676332708594 51.45895834895378)
05958000000408043;Raiffeisenstraße;POINT (7.936474642122867 51.46064016535868)
05958000000408044;Von-Siemens-Straße;POINT (7.941050404190837 51.46506545927752)
05958000000408045;Zu den Ohlwiesen;POINT (7.949727207456498 51.46373279072405)
05958000000408046;Schmidt-Scholl-Weg;POINT (7.935322774409646 51.45526869752571)
05958000000408047;Karolingerweg;POINT (7.9379488309859365 51.4548908991622)
05958000000408048;Werdener Hof;POINT (7.939808562007411 51.45578210851996)
05958000000408049;Wesehof;POINT (7.939669810018139 51.45811342306845)
05958000000408050;Konrad-von-Bergheim-Weg;POINT (7.936398066999354 51.45803792005566)
05958000000408051;Anton-Schade-Weg;POINT (7.936428008976575 51.45848677342219)
05958000000408052;Albertweg;POINT (7.93634137338851 51.45974057029136)
05958000000408071;Ackerstraße;POINT (7.960890461746994 51.456677521324416)
05958000000408072;Am Weinberg;POINT (7.960752196983081 51.46220957872327)
05958000000408073;Am Wiedenberg;POINT (7.967208199127893 51.46175108788285)
05958000000408074;Auf'm Möhnert;POINT (7.959153129288059 51.4583796605381)
05958000000408075;Noa-Wolff-Weg;POINT (7.959464910587168 51.45916169417657)
05958000000408076;Ruhr-Möhne-Eck;POINT (7.961595993922594 51.45862759011335)
