strassenschluessel;bezeichnung;geometry
05558000000430630;Aaland;POINT (7.622208841581973 51.7950683019694)
05558000000430635;Adamsgasse;POINT (7.615922533338191 51.78843654084473)
05558000000430640;Albert-Koch-Straße;POINT (7.627052765439541 51.790289027601496)
05558000000430645;Altefeldstraße;POINT (7.626232785572887 51.791260544162775)
05558000000430650;Altenhammstraße;POINT (7.6593867353832055 51.74100168779274)
05558000000430652;Alter Münsterweg;
05558000000430655;Am Bahnhof;POINT (7.598129815662729 51.81882288026354)
05558000000430656;Am Friedhofstor;
05558000000430657;Am Haselbüschken;POINT (7.6537007189296435 51.736650182122474)
05558000000430660;Am Kahlenberg;POINT (7.675239262517411 51.738010619456105)
05558000000430664;Amelsbürener Straße;POINT (7.613881750323114 51.83614588149002)
05558000000430665;An der Umflut;POINT (7.590420081083171 51.81611720670348)
05558000000430666;An der Hansalinie;POINT (7.621938522726416 51.798470169832775)
05558000000430667;An der Bleiche;POINT (7.664923805942546 51.742709392609086)
05558000000430668;An der Haselburg;POINT (7.616854389813019 51.81060324996315)
05558000000430670;An der Vogelrute;POINT (7.672625776775407 51.741344869322205)
05558000000430671;An Greives Kapelle;POINT (7.613688530794505 51.7816200262125)
05558000000430672;An Menses Mühle;POINT (7.6596708009145384 51.73464741583309)
05558000000430673;Anna-Walboem-Weg;POINT (7.59632276283568 51.81292539351606)
05558000000430675;Appelhofstraße;POINT (7.619714731948844 51.78999570319534)
05558000000430677;Arup-Ascheberger Straße;POINT (7.652887873394641 51.74682310656784)
05558000000430681;Arup-Aruper Feld;POINT (7.660942576299347 51.75733704623732)
05558000000430682;Arup-Aruper Riege;POINT (7.658480922505545 51.76008810160135)
05558000000430683;Bakenfeld-Aruper Straße;POINT (7.633670577769407 51.74194333946855)
05558000000430684;Arup-Aruper Straße;POINT (7.641203607860033 51.75236769590388)
05558000000430685;Ascheberger Straße;POINT (7.658547333762773 51.74699913712872)
05558000000430687;Forsthövel-Athernweg;
05558000000430688;Auf den Äckern;POINT (7.67182137489267 51.73613189498017)
05558000000430689;Auf dem Berg;POINT (7.616993011619729 51.768393032519526)
05558000000430690;Auf der Rulle;POINT (7.659813906486637 51.73591742362502)
05558000000430691;Aulkeweg;POINT (7.611723822317753 51.78812100728574)
05558000000430692;Auf dem Esch;POINT (7.661864551441657 51.73564640642926)
05558000000430693;Aschoffweg;POINT (7.672068600580169 51.73657271266817)
05558000000430694;Auf dem Knapp;POINT (7.660780795575031 51.73470149742912)
05558000000430695;Bahnhofsweg;POINT (7.603231737695336 51.78453283100934)
05558000000430696;Bachstraße;POINT (7.663600240070906 51.739960884240794)
05558000000430703;Bakenfeld-Bakenfelder Weg;POINT (7.629577527449259 51.7588827847505)
05558000000430705;Bakenfelder Weg;POINT (7.656321097082564 51.74015152892439)
05558000000430706;Bakenfeld-Bakenwinkel;POINT (7.635082582912025 51.76173882806944)
05558000000430708;Horn-Balsweg;POINT (7.661936057553492 51.73106222283993)
05558000000430710;Banngarten;POINT (7.667553394382743 51.73909502754169)
05558000000430712;Nordick-Hammer Straße;POINT (7.722443792772754 51.729677904815816)
05558000000430715;Benediktstraße;POINT (7.665473634157927 51.73431930926688)
05558000000430720;Benediktus-Kirchplatz;POINT (7.660152743775966 51.74019359726892)
05558000000430725;Berentrup;POINT (7.61090545810534 51.791120164889364)
05558000000430730;Bergstraße;POINT (7.66074794125128 51.73999367557821)
05558000000430735;Berkentrup;POINT (7.61237997901178 51.79306266216151)
05558000000430740;Bernhardstraße;POINT (7.664469572908949 51.741316795581476)
05558000000430742;Bernhard-Spetsmann-Straße;POINT (7.669430483513957 51.735415957400846)
05558000000430745;Bernwardring;POINT (7.622878451317673 51.78511427657033)
05558000000430750;Beverfoerderweg;POINT (7.594263933188459 51.815472214574676)
05558000000430755;Biete;POINT (7.619955615648302 51.793728348656515)
05558000000430757;Bischof-Höhne-Straße;POINT (7.66998533767935 51.73467565700799)
05558000000430760;Bispingheide;POINT (7.616892983766974 51.79465725040997)
05558000000430765;Bockumer Straße;POINT (7.663184854824419 51.73389796290561)
05558000000430770;Bodelschwinghstraße;POINT (7.665405369588137 51.73608888346724)
05558000000430773;Bonhoefferweg;POINT (7.622145345951686 51.78344954055035)
05558000000430775;Böckentrup;POINT (7.611684540660329 51.79238214578448)
05558000000430778;Brabenderweg;POINT (7.5917970810000295 51.815078121810075)
05558000000430779;Breilbusch;POINT (7.603445911497646 51.77985583783994)
05558000000430780;Brede;POINT (7.604448971988893 51.8221729892911)
05558000000430785;Breil;POINT (7.602703287913239 51.77983127692737)
05558000000430786;Forsthövel-Brinkholt;
05558000000430787;Brok;POINT (7.616098327528622 51.76423299638239)
05558000000430788;Horn-Brokweg;
05558000000430790;Bügelkamp;POINT (7.615612371927124 51.79171124387231)
05558000000430795;Bultenstraße;POINT (7.622084389459769 51.79135809549979)
05558000000430800;Burgstraße;POINT (7.594535874957449 51.81683634983582)
05558000000430805;Burgwall;POINT (7.621946331001839 51.789149462988426)
05558000000430810;Byinkstraße;POINT (7.598070531362456 51.813696086485486)
05558000000430815;Cäcilienweg;POINT (7.62215282427762 51.78661804891798)
05558000000430816;Horn-Capeller Straße;POINT (7.639291379468024 51.723615904352854)
05558000000430817;Christoph-Wessel-Straße;POINT (7.667695048412945 51.73555341888777)
05558000000430818;Nordick-Dahlweg;POINT (7.704286442684255 51.7331068799283)
05558000000430819;Clara-Samson-Weg;POINT (7.669722618234509 51.73422199863237)
05558000000430820;Davensberger Straße;POINT (7.602272522878158 51.809774623901966)
05558000000430821;Daverthauptweg;POINT (7.651539911292509 51.80794210580759)
05558000000430822;Arup-Dentruper Weg;POINT (7.653833280306308 51.76294264621311)
