strassenschluessel;bezeichnung;geometry
05966000000411011;Alter Weg;POINT (7.830992824070154 51.108445711975314)
05966000000411012;Ebbeweg;POINT (7.8327543223402945 51.10964963104768)
05966000000411013;Eiche;POINT (7.833791016487174 51.107814354164645)
05966000000411014;Ihnestraße;POINT (7.831333720844192 51.10697329637123)
05966000000411015;Im Grund;POINT (7.831597308559016 51.10972788495907)
05966000000411021;Alter Markt;POINT (7.9031476926325315 51.125834278572945)
05966000000411022;Am Dünneckenberg;POINT (7.9032231510670705 51.11621367557161)
05966000000411023;Am Friedhof;POINT (7.8990375387261285 51.128849001587476)
05966000000411024;Am Gerbergraben;POINT (7.906479853855026 51.125915125602646)
05966000000411025;Am Glockenberg;POINT (7.907673432438718 51.12794888071735)
05966000000411026;Am Hahnbeul;POINT (7.8967110173585295 51.13226521698161)
05966000000411027;Am Hellepädchen;POINT (7.898764045270956 51.13524862468887)
05966000000411028;Am Hettmecker Teich;POINT (7.890781677590031 51.13132092245594)
05966000000411029;Am Himmelsberg;POINT (7.905144326001545 51.12888206487505)
05966000000411030;Am Hollenloch;POINT (7.902552512633644 51.12988728463196)
05966000000411031;Am Kirchplatz;POINT (7.90318573245627 51.12698124357207)
05966000000411032;Am Kleinen Graben;POINT (7.905916813768869 51.126818584466065)
05966000000411033;Am Mooskamp;POINT (7.912447247949486 51.12258474674194)
05966000000411034;Am Musebieter;POINT (7.891657047130907 51.13021684895643)
05966000000411035;Am Noacken;POINT (7.883757590731339 51.13174306234192)
05966000000411036;Am Rappelsberg;POINT (7.90891695216173 51.120197852136684)
05966000000411037;Am Remmenstein;POINT (7.893881961266787 51.12810765409049)
05966000000411038;Am Riedesel;POINT (7.897177653777631 51.1196871283799)
05966000000411040;Am Seewerngraben;POINT (7.90000083751276 51.12660080306212)
05966000000411041;Amselstraße;POINT (7.911787753018527 51.134100239174316)
05966000000411042;Am Spindelsburggraben;POINT (7.900496518991886 51.124558313623716)
05966000000411043;Am Stappenweg;POINT (7.890318280287628 51.126629373322444)
05966000000411044;Am Stege;POINT (7.889059197195039 51.133394473250554)
05966000000411045;Am Stürzenberg;POINT (7.913107605579911 51.12773974428888)
05966000000411046;Am Sündersweg;POINT (7.908545045968843 51.11847645954262)
05966000000411047;Am Wassertor;POINT (7.905523229212386 51.12378174249327)
05966000000411048;Am Zollstock;POINT (7.911896649378616 51.12550878276983)
05966000000411049;Auf dem Arnsbeul;POINT (7.911216894223798 51.121473342855424)
05966000000411050;Auf dem Schilde;POINT (7.915502361950646 51.12965873275517)
05966000000411051;Auf den Kämpen;POINT (7.911206521092705 51.127394322228675)
05966000000411052;Auf der Feldkirmes;POINT (7.900259266677755 51.12357967775693)
05966000000411053;Auf der Tränke;POINT (7.90172381038947 51.12242747201034)
05966000000411054;Bahnhofstraße;POINT (7.908298656645097 51.125382299995536)
05966000000411055;Bergstraße;POINT (7.893213983164953 51.12874600836371)
05966000000411056;Bieketurmstraße;POINT (7.901747707354523 51.12721024276598)
05966000000411057;Biekhofer Straße;POINT (7.885913917083648 51.131182627581545)
05966000000411058;Bleichergasse;
05966000000411059;Breite Straße;POINT (7.902488391134269 51.124704891991136)
05966000000411060;Breite Techt;POINT (7.902402814067681 51.12557340875194)
05966000000411061;Bremger Weg;POINT (7.897582842185942 51.132889956793456)
05966000000411062;Breslauer Straße;POINT (7.90563840097209 51.13028812164109)
