strassenschluessel;bezeichnung;geometry
05766000000405401;Ahornstraße;POINT (8.725844366945669 51.90439064644197)
05766000000405402;Akazienstraße;POINT (8.729939776670086 51.906002684229456)
05766000000405403;Am Dören;POINT (8.77094841612632 51.91922223663463)
05766000000405404;Am Alten Forsthaus;POINT (8.763320547904392 51.91827458098274)
05766000000405405;Amselweg;POINT (8.73556521385549 51.91558009193777)
05766000000405406;Annastraße;POINT (8.737592390843696 51.90743098918409)
05766000000405407;Asternweg;POINT (8.73600161580247 51.91072955594892)
05766000000405408;Auf dem Bende;POINT (8.711168840799024 51.90351331253086)
05766000000405409;Auf dem Brande;POINT (8.753228926288376 51.90515802155683)
05766000000405411;Banater Straße;POINT (8.745912388755631 51.91140485954554)
05766000000405412;Bandelstraße;POINT (8.771767281720466 51.92059979789787)
05766000000405413;Bauernkamp;POINT (8.753237704147777 51.90707091027762)
05766000000405414;Beethovenstraße;POINT (8.741823405773646 51.90889004725257)
05766000000405415;Berliner Straße;POINT (8.744470844253156 51.913128248707544)
05766000000405417;Birkenweg;POINT (8.73342645666054 51.90306615500632)
05766000000405418;Ulmenweg;POINT (8.73131955463198 51.90578457935541)
05766000000405419;Breslauer Straße;POINT (8.744446584671305 51.91261000219675)
05766000000405421;Buchenstraße;POINT (8.727818554216304 51.90462584181531)
05766000000405422;Cäcilienstraße;POINT (8.739815028314501 51.90599089692641)
05766000000405423;Dachsweg;POINT (8.700038202613442 51.919214535016096)
05766000000405425;Danziger Straße;POINT (8.742402473144791 51.9115202919292)
05766000000405426;Dorotheenstraße;POINT (8.742484107731292 51.90567344597501)
05766000000405427;Dresdener Straße;POINT (8.742993611970247 51.910792269718584)
05766000000405428;Drosselweg;POINT (8.736783901839788 51.914775286715866)
05766000000405429;Eichenbruch;POINT (8.732338651310812 51.8936215527473)
05766000000405430;Eichenweg;POINT (8.75202568968272 51.9120846153722)
05766000000405431;Elisabethstraße;POINT (8.736408129556175 51.90614854637849)
05766000000405432;Emilienstraße;POINT (8.745074861069618 51.907317331346015)
05766000000405434;Erlenweg;POINT (8.72282088014765 51.90358378594323)
05766000000405435;Ernst-Wiechert-Weg;POINT (8.736457429988436 51.9163273030938)
05766000000405436;Eschenweg;POINT (8.723042277024222 51.90440722038511)
05766000000405437;Feldstraße;POINT (8.733500389456417 51.894990717190666)
05766000000405439;Finkenweg;POINT (8.736503223005029 51.91422206496976)
05766000000405441;Forellenstraße;POINT (8.71320264494501 51.9036084400034)
05766000000405442;Fuchsweg;POINT (8.69851191357947 51.91798748475974)
05766000000405443;Gartenstraße;POINT (8.734589520608067 51.90875804432165)
05766000000405445;Gfm.-Rommel-Straße;POINT (8.763055086219914 51.92079141120187)
05766000000405446;Gingweg;POINT (8.744845129958017 51.91317297323387)
05766000000405447;Ginsterweg;POINT (8.735273784385615 51.9112023555998)
05766000000405448;Gretchenstraße;POINT (8.73998676581953 51.90746479575436)
05766000000405449;Grützemühle;POINT (8.741388592460048 51.90614805015716)
05766000000405450;Gudrunstraße;POINT (8.742488428708112 51.906442987785525)
05766000000405451;Händelstraße;POINT (8.744839524774735 51.90910858093732)
05766000000405452;Haustenbecker Straße;POINT (8.729628195732257 51.89075089424108)
05766000000405453;Kurt-Wistinghausen-Weg;POINT (8.729726469422394 51.90231469862338)
05766000000405455;Haydnweg;POINT (8.750342781445562 51.909317368715634)
05766000000405456;Hechtstraße;POINT (8.71248479063796 51.902321432906334)
05766000000405457;Heidehaus;POINT (8.69622602309267 51.91971041018046)
05766000000405458;Heidestraße;POINT (8.737470775756464 51.89491141977637)
05766000000405459;Helenenweg;POINT (8.733897422072516 51.90720925327353)
05766000000405460;Hermann-Löns-Weg;POINT (8.738490810532875 51.91688179719531)
05766000000405461;Hermannstraße;POINT (8.768234028898473 51.91896814887563)
05766000000405462;Hirtenkamp;POINT (8.751529730611939 51.906822461908774)
05766000000405463;Holunderpfad;POINT (8.721612248492837 51.9034547608612)
05766000000405464;Hyazinthenstraße;POINT (8.738766670315657 51.91148277907386)
05766000000405465;Im Bruche;POINT (8.715629256404302 51.90315434157142)
05766000000405466;Imkerweg;POINT (8.713335445219185 51.908242971639986)
