strassenschluessel;bezeichnung;geometry
05970000002823000;Sebastian-Kneipp-Straße;POINT (8.410717811257104 50.92920591710453)
05970000002823001;Am Birkenstrauch;POINT (8.432501213920716 50.93355766345174)
05970000002823002;Am Dillstein;POINT (8.39934044682665 50.92503009476736)
05970000002823003;Am Eichelkamp;POINT (8.403665852658044 50.92876891666267)
05970000002823004;Am Feldberg;POINT (8.433224188544502 50.93247259102299)
05970000002823005;Hahlerweg;POINT (8.417081303934003 50.93161021221455)
05970000002823006;An der Hahler;POINT (8.415197062163598 50.930876420120796)
05970000002823007;Auf der Pfingstweide;POINT (8.42492808432575 50.93128281830341)
05970000002823008;Bäderborn;POINT (8.431880606927002 50.93229436469257)
05970000002823009;Bahnhofstraße;POINT (8.425708364827363 50.930640056179996)
05970000002823010;Industriestraße;POINT (8.433648858688807 50.92768257732058)
05970000002823011;Bergstraße;POINT (8.407244178956002 50.92857274934504)
05970000002823012;Mozartweg;POINT (8.41872373427115 50.933069452332774)
05970000002823013;Brandenburger Weg;POINT (8.427460968821357 50.93353479644587)
05970000002823014;Brückenstraße;POINT (8.413596943907475 50.9271182394151)
05970000002823015;Brunnenstraße;POINT (8.410099290651061 50.927021010108376)
05970000002823016;Buchwiesenstraße;POINT (8.411176932537778 50.92327057949201)
05970000002823017;Dammstraße;POINT (8.412893527721728 50.926141792553146)
05970000002823018;Ditzroder Weg;POINT (8.403682536627802 50.9164486253466)
05970000002823019;Feldstraße;POINT (8.41343257204706 50.93013211100774)
05970000002823020;Friedrichshütte;POINT (8.397776861666411 50.92049131943342)
05970000002823021;Friedrichstraße;POINT (8.417819694684368 50.93042112175017)
05970000002823022;Kurstraße;POINT (8.412235491245308 50.928831259054505)
05970000002823023;Gartenstraße;POINT (8.409429114830003 50.92623234309159)
05970000002823025;Gennernbach;POINT (8.408521923459467 50.92061005526385)
05970000002823026;Hinterfang;POINT (8.416122832472107 50.93343854079239)
05970000002823027;Hirtsgrund;POINT (8.422301733922868 50.93567555708988)
05970000002823028;Hirtsgrunder Weg;POINT (8.423749299919386 50.93313123876187)
05970000002823029;Höhenweg;POINT (8.414436578425049 50.931768911862356)
05970000002823030;Hubertusweg;POINT (8.418750140544494 50.93068951273763)
05970000002823031;Wehrstraße;POINT (8.416119722652327 50.92977714676153)
05970000002823032;Oberer Buhlschlag;POINT (8.410855415421418 50.918350452528124)
05970000002823033;Im Laasphetal;POINT (8.40048478189632 50.935461915472075)
05970000002823034;Im Wabach;POINT (8.405889175712637 50.918080660180756)
05970000002823035;In der Grube;POINT (8.427939658566977 50.93257303549377)
05970000002823036;In der Hohl;POINT (8.406021492632894 50.926165104760464)
05970000002823037;In der Stockwiese;POINT (8.422950414576047 50.9286155750285)
05970000002823038;Kalteborn;POINT (8.41772183692669 50.93230825584347)
05970000002823039;Kirchplatz;POINT (8.410995024670436 50.92668280150101)
05970000002823040;Königstraße;POINT (8.407592080912796 50.927381541910535)
05970000002823041;Lahnuferstraße;POINT (8.428619893518812 50.927745505446055)
05970000002823042;Lahnstraße;POINT (8.40737941293806 50.923072116327226)
05970000002823043;Mauerstraße;POINT (8.410499484393778 50.9276253808038)
05970000002823044;Mecklenburger Weg;POINT (8.430186336046656 50.931806448323286)
05970000002823045;Mühlenstraße;POINT (8.412459458803959 50.924569922365684)
05970000002823046;Mühlfeld;POINT (8.408996542557809 50.92517474276927)
05970000002823047;Kastanienweg;POINT (8.403066529413053 50.924416465603244)
05970000002823048;Obere Bienhecke;POINT (8.40419916176207 50.9192347813512)
05970000002823049;Oberer Schuleborn;POINT (8.400008604147727 50.92460276967311)
05970000002823050;Ostplatz;POINT (8.422912547562293 50.930842097900886)
05970000002823051;Ostpreußenstraße;POINT (8.421662294230833 50.932319114592005)
05970000002823052;Pommernweg;POINT (8.425802236685678 50.93398272574311)
05970000002823053;Puderbacher Weg;POINT (8.41773022119272 50.93129714937443)
05970000002823054;Sachsenweg;POINT (8.43362315252332 50.932861023723724)
05970000002823055;Schlesische Straße;POINT (8.424783495041067 50.93229302937431)
05970000002823056;Schloßberg;POINT (8.403011838823467 50.92706764305833)
05970000002823057;Schloßstraße;POINT (8.407039529618546 50.92652238843419)
05970000002823058;Schloß Wittgenstein;POINT (8.397916694822449 50.928775485251094)
05970000002823059;Turnerstraße;POINT (8.415231418254686 50.929953437169516)
05970000002823060;Steinackerstraße;POINT (8.412295941469253 50.928095905858605)
05970000002823061;Steinweg;POINT (8.40953248235192 50.92682953224338)
05970000002823062;Thüringer Weg;POINT (8.429749206207653 50.931333807598236)
05970000002823063;Untere Bienhecke;POINT (8.404382698802406 50.919724067600434)
