strassenschluessel;bezeichnung;geometry
05774000000800100;Adolf-Kolping-Straße;POINT (8.829897232997112 51.79257166858171)
05774000000800150;Altenbekener Fußweg;POINT (8.843247391130134 51.76981687217926)
05774000000800170;Alter Bahndamm;POINT (8.808435444057801 51.78184122198372)
05774000000800200;Am Beispring;POINT (8.826371401791059 51.78845626379392)
05774000000800300;Am Bleichgraben;POINT (8.808336192079713 51.778576595007564)
05774000000800400;Am Flöthgraben;POINT (8.831716245789444 51.79188039235689)
05774000000800500;Am Jordanpark;POINT (8.823599075735036 51.78485195933652)
05774000000800600;Am Steintor;POINT (8.823941217084888 51.77990009848091)
05774000000800650;Am Turnplatz;POINT (8.81202757282676 51.777117132783495)
05774000000800660;Am Ulmenhof;POINT (8.824016291642891 51.77659449310019)
05774000000800710;Am Vorderflöß;POINT (8.790363071951264 51.77541433660803)
05774000000800720;Am Wasserturm;POINT (8.829798877336366 51.78230672283325)
05774000000800750;Amselweg;POINT (8.82827522553052 51.78604871829207)
05774000000800800;An der Aue;POINT (8.82470604711749 51.78643460873023)
05774000000800850;An der Bleiche;POINT (8.806788291821174 51.78056720993574)
05774000000800900;An der Böhke;POINT (8.826230257264491 51.78666118607153)
05774000000801000;An der Burg;POINT (8.823318520176116 51.78093097968375)
05774000000801050;An der Eiche;POINT (8.796254154414921 51.78185716789778)
05774000000801100;An der Jordanquelle;POINT (8.82792144197679 51.78494000564213)
05774000000801150;An der Martinusquelle;POINT (8.811383330467576 51.78647156310474)
05774000000801180;An der Stadtmauer;POINT (8.821248896378371 51.778814840305465)
05774000000801210;An der Thune;POINT (8.83157697817673 51.79128115739521)
05774000000801250;An der Weberei;POINT (8.804231539157911 51.7766721435947)
05774000000801270;Anemonenweg;POINT (8.804766792193586 51.7718758150273)
05774000000801300;Antoniusstraße;POINT (8.825093632463751 51.78053642488213)
05774000000801400;Arminiuspark;POINT (8.82256294754658 51.78109073225811)
05774000000801500;Arminiusstraße;POINT (8.813668898412418 51.784023396761334)
05774000000801600;Asternweg;POINT (8.804215462146551 51.77265004893267)
05774000000801700;Auf dem Dümmer;POINT (8.810117514603121 51.776870506782046)
05774000000801750;Auf der Hude;POINT (8.831117579779098 51.797055096664224)
05774000000801800;Auf der Mersch;POINT (8.817341198951867 51.774450682210976)
05774000000801900;Auguste-Viktoria-Allee;POINT (8.80424088575391 51.78608834112934)
05774000000802000;Bahnhofstraße;POINT (8.810115679962552 51.78219401503974)
05774000000802020;Beethovenallee;POINT (8.809857936462786 51.785283630423066)
05774000000802050;Berliner Allee;
05774000000802100;Bielefelder Straße;POINT (8.816696556559794 51.78263225618058)
05774000000802300;Bleichstraße;POINT (8.80220422335806 51.77798051106755)
05774000000802350;Bonhoefferstraße;POINT (8.840207440621551 51.79508491710591)
05774000000802400;Breslauer Straße;POINT (8.827532977972846 51.79265275172202)
05774000000802500;Brunnenstraße;POINT (8.820680981610062 51.781010605765175)
05774000000802600;Burgstraße;POINT (8.823292176127733 51.78049810763691)
05774000000802700;Cecilienallee;POINT (8.803094660472913 51.78965583719929)
05774000000802750;Clara-Lorch-Weg;POINT (8.813002982075545 51.78286675938357)
05774000000802810;Dammstraße;POINT (8.81916684647422 51.78062452880914)
05774000000802900;Dedinghauser Weg;POINT (8.842290655430775 51.79784599328383)
05774000000802950;Delpstraße;POINT (8.841626255562815 51.7953273353768)
05774000000803000;Detmolder Straße;POINT (8.827514654587786 51.79081958102606)
05774000000803050;Dr.-Lincke-Weg;POINT (8.82989323721758 51.78789872746594)
05774000000803100;Dr.-Pieper-Straße;POINT (8.805154118805111 51.78118110101285)
05774000000803150;Drosselweg;POINT (8.828943941256686 51.78471409871028)
05774000000803170;Droste-Hülshoff-Allee;POINT (8.809448027531344 51.78481865607024)
05774000000803200;Dumberg;POINT (8.895149698069268 51.76522181778536)
05774000000803250;Dümmergraben;POINT (8.806896287907804 51.775924579934255)
05774000000803310;Feldmark;POINT (8.824561026291638 51.757809064155595)
05774000000803400;Fliederstraße;POINT (8.801663985614669 51.772580468279656)
05774000000803500;Forellenweg;POINT (8.81183545952329 51.775570013836806)
05774000000803600;Friedrichstraße;POINT (8.818300673827395 51.78419491679538)
05774000000803700;Friedrich-Wilhelm-Straße;POINT (8.810349236461697 51.78108259008724)
05774000000803800;Friedrich-Wilhelm-Weber-Platz;POINT (8.815395436998646 51.78382724161627)
05774000000803900;Gartenstraße;POINT (8.827194679010898 51.78017173332939)
05774000000804000;Ginsterweg;POINT (8.80473358992063 51.772772248499074)
05774000000804020;Goetheallee;
05774000000804050;Gladiolenweg;POINT (8.806985244854747 51.773045589413705)
05774000000804100;Grabenstraße;POINT (8.819592770415799 51.78118938755158)
05774000000804120;Grasweg;
05774000000804200;Grenzweg;POINT (8.830923803524511 51.79803568580206)
05774000000804300;Grüne Straße;POINT (8.81361915585973 51.78177275874427)
05774000000804400;Haustenbecker Weg;POINT (8.816601099582028 51.7901608444526)
05774000000804500;Hedwigstraße;POINT (8.803587573117207 51.783243015130765)
05774000000804600;Heideweg;POINT (8.825547103459312 51.79800476951274)
05774000000804700;Heiligenbergstraße;POINT (8.810416950238201 51.77768528820361)
05774000000804910;Heimatstraße;POINT (8.839597298567902 51.78820812557386)
05774000000805000;Hermannstraße;POINT (8.822212799095011 51.78980512714862)
05774000000805100;Heroldstraße;POINT (8.820186331800025 51.78705058380485)
05774000000805200;Hölscher Siedlung;POINT (8.830284209035401 51.795547254887595)
05774000000805250;Hohe Kamp;POINT (8.804923580457634 51.767168514288414)
