strassenschluessel;bezeichnung;geometry
05366000000402201;Orchheimer Straße;POINT (6.763054982302395 50.55290789943666)
05366000000402202;Teichstraße;POINT (6.764400533340048 50.55296299974371)
05366000000402203;Turmstraße;POINT (6.762180747319511 50.55250559992779)
05366000000402204;Stumpfgasse;POINT (6.762881819907472 50.55275176386086)
05366000000402205;Auf dem Teich;POINT (6.763568422811082 50.55297896391598)
05366000000402207;Unnaustraße;POINT (6.7619704632860715 50.553287614286596)
05366000000402208;Fibergasse;POINT (6.762795514709086 50.55369246884208)
05366000000402209;Heisterbacher Straße;POINT (6.761456853687321 50.55388486759305)
05366000000402210;Werkbrücke;POINT (6.761244188026263 50.553369160887875)
05366000000402211;Langenhecke;POINT (6.762801471746015 50.55591395670513)
05366000000402212;Markt;POINT (6.763952203906306 50.55422624764583)
05366000000402213;Marktstraße;POINT (6.763256579576138 50.55421273907039)
05366000000402214;Delle;POINT (6.765016980610829 50.554027014782456)
05366000000402215;Wertherstraße;POINT (6.765192666055796 50.55655922849334)
05366000000402216;Kirchplatz;POINT (6.763259426754597 50.5545760549308)
05366000000402217;Entenmarkt;POINT (6.765172612045159 50.55514882925845)
05366000000402218;Johannisstraße;POINT (6.764548462616196 50.55436389284916)
05366000000402219;Kettengasse;POINT (6.765177294707986 50.554741531093946)
05366000000402220;Braugasse;POINT (6.764519059795073 50.554567557421876)
05366000000402221;An der Schoßpforte;POINT (6.76529631755137 50.55623323388978)
05366000000402222;Auf der Komm;POINT (6.764544079569055 50.55827177625663)
05366000000402223;Klosterplatz;POINT (6.763584405629511 50.555338701030976)
05366000000402224;Pistorei;POINT (6.76368321944392 50.5555460609272)
05366000000402225;Alte Gasse;POINT (6.764294166178616 50.55607029442962)
05366000000402226;Kapuzinergasse;POINT (6.76437084440851 50.55594980164183)
05366000000402227;Wallgasse;POINT (6.7647295862773635 50.55700743772687)
05366000000402228;Hennesweg;POINT (6.76073836300486 50.5485851070965)
05366000000402229;Im Goldenen Tal;POINT (6.763360300082274 50.546130338434736)
05366000000402230;Bergstraße;POINT (6.756927776499451 50.5494953779251)
05366000000402231;Blankenheimer Weg;
05366000000402232;Nöthener Straße;POINT (6.758187669572388 50.553290133363575)
05366000000402233;Ochhermen;POINT (6.758659080790002 50.55222577905806)
05366000000402234;Gut Vogelsang;POINT (6.75109866098121 50.55361789285926)
05366000000402235;Willy-Brandt-Straße;POINT (6.754291351432999 50.554022681974814)
05366000000402236;Ludger-Steinmann-Straße;POINT (6.755637304594578 50.56126272512668)
05366000000402237;Trierer Straße;POINT (6.763535932506343 50.55089814341268)
05366000000402238;Am Herrenbusch;POINT (6.75417886244974 50.55544012536068)
05366000000402239;Große Bleiche;POINT (6.76120796764867 50.5524617905395)
05366000000402240;Sittardweg;POINT (6.760102367966506 50.54756734590554)
05366000000402241;Hermann-Löher-Straße;POINT (6.762557209044583 50.565460862684816)
05366000000402242;Sebastian-Kneipp-Promenade;POINT (6.762293475139484 50.557396200834354)
05366000000402243;Von-Ayx-Straße;POINT (6.763164385287778 50.558215015124155)
05366000000402244;Marquardstraße;POINT (6.763606289661191 50.558489032467776)
05366000000402245;Windheckenweg;POINT (6.758767965249525 50.55737659493003)
05366000000402246;Dr.-Friedrich-Haass-Straße;POINT (6.760226739106155 50.555232408868136)
05366000000402247;Am Fichtenhain;POINT (6.759382695345456 50.55745188534718)
05366000000402248;Hubertusweg;POINT (6.762521012102229 50.557696907544)
05366000000402249;Finkenweg;POINT (6.760740474464631 50.56140280887686)
05366000000402250;Kölner Straße;POINT (6.7655786513359395 50.558514783936246)
05366000000402251;Burg;POINT (6.765654913379582 50.555360635106666)
05366000000402252;Giersberg;POINT (6.771579925537494 50.56444260962725)
05366000000402253;In der Kleinen Otterbach;POINT (6.757473076317442 50.56786804720516)
05366000000402254;Schleidtalstraße;POINT (6.7739671443584575 50.560764926137324)
05366000000402255;Am Quecken;POINT (6.766659215929692 50.559678918673654)
05366000000402256;Hermann-Pünder-Straße;POINT (6.762713325428104 50.56456510635202)
05366000000402257;Stephinskystraße;POINT (6.755446173943643 50.56576263316011)
05366000000402259;Uhlenbergweg;POINT (6.761701706470332 50.56559981467727)
05366000000402260;Flaches Feld;POINT (6.762628540770554 50.563982639385735)
05366000000402261;Otterbach;POINT (6.757160240637715 50.561503124481334)
05366000000402262;Linnerijstraße;POINT (6.752192925351141 50.56295360468145)
05366000000402263;Ginsterweg;POINT (6.75551954585733 50.562919167489795)
05366000000402264;Nachtigallenweg;POINT (6.7613816682987 50.56222076051889)
05366000000402265;Fougeresstraße;POINT (6.756587997767146 50.553246146019745)
05366000000402267;Wallgrabenpromenade;
05366000000402268;Sperlingsweg;POINT (6.758693925083294 50.56088857633809)
05366000000402269;Roderter Kirchweg;POINT (6.768763969491526 50.55500322293728)
05366000000402270;Seniorenzentrum;POINT (6.7503292224471725 50.560306351748)
05366000000402271;Europaplatz;
05366000000402272;Ashfordstraße;POINT (6.759639618606208 50.55995931770923)
05366000000402273;Zwentiboldstraße;POINT (6.755988618462426 50.54899082531575)
05366000000402274;Graf-Gottfried-Straße;POINT (6.758081437193668 50.54989309803826)
05366000000402275;John-Wiles-Straße;POINT (6.755880120457244 50.55837037412827)
05366000000402276;Kreuzgäßchen;POINT (6.767268610364639 50.55374844671884)
05366000000402278;In der Dreimühle;POINT (6.7636850040794725 50.55180687163204)
05366000000402279;Bendenweg;POINT (6.762648733739171 50.57149514462315)
05366000000402280;Kentstraße;POINT (6.757192790582758 50.55844368550667)
