strassenschluessel;bezeichnung;geometry
05770000000405001;Ahornweg;POINT (8.810537998238553 52.19538986603152)
05770000000405002;Albert-Rusch-Straße;POINT (8.805173707113347 52.19380206361303)
05770000000405003;Am Birkenweg;POINT (8.805569546110945 52.19656842699522)
05770000000405004;Zur Hüffe;POINT (8.822239583681629 52.199358023764965)
05770000000405005;Am Hambkebach;POINT (8.799818408337037 52.19117984320774)
05770000000405006;Kappenberger Hang;POINT (8.812097006953476 52.18929657296266)
05770000000405007;Am Kurpark;POINT (8.796662181426658 52.202841441711975)
05770000000405008;Am Osterbach;POINT (8.786204199835415 52.199595426976224)
05770000000405009;Kurweg;POINT (8.803125894555864 52.194985469697365)
05770000000405010;Amtshausberger Weg;POINT (8.819293348318318 52.18580160008327)
05770000000405011;Am Wiesental;POINT (8.798556565808957 52.19439877649572)
05770000000405012;Am Ziegenbach;POINT (8.815488833358744 52.19572783042099)
05770000000405013;An Schnatsmeiers Busch;POINT (8.784700833173762 52.204740244575774)
05770000000405014;Arndtstraße;POINT (8.815538711023512 52.19457498973998)
05770000000405015;Auf der Bülte;POINT (8.819403214839866 52.192993052832065)
05770000000405016;Augustaplatz;POINT (8.793382943825018 52.20404723751196)
05770000000405018;Bahnhofstraße;POINT (8.798922349836412 52.20370616113886)
05770000000405019;Am Nordbahnhof;POINT (8.793647441569622 52.20466575419431)
05770000000405020;Beethovenstraße;POINT (8.795785644008165 52.194526176630276)
05770000000405021;Benninger Straße;POINT (8.820867009808044 52.196350665302745)
05770000000405022;Bergstraße;POINT (8.813835755523602 52.193034460801435)
05770000000405023;Bessinger Straße;POINT (8.808776672069346 52.200461933029224)
05770000000405024;Bismarckstraße;POINT (8.806288273294856 52.202365351482094)
05770000000405025;Blücherstraße;POINT (8.811061821483422 52.20398187006073)
05770000000405026;Bozener Straße;POINT (8.811580160271602 52.202417236259734)
05770000000405027;Brahmsstraße;POINT (8.794527897951536 52.193241239687126)
05770000000405028;Brandenburger Straße;POINT (8.79750624403386 52.19089334798435)
05770000000405029;Breedestraße;POINT (8.814085118692232 52.200969648956466)
05770000000405030;Breitenbachstraße;POINT (8.807070688425993 52.207137660241656)
05770000000405031;Breslauer Straße;POINT (8.813455540649866 52.20028469976598)
05770000000405032;Brucher Straße;POINT (8.806756295406375 52.19163059468736)
05770000000405033;Brüderstraße;POINT (8.807138271452489 52.19010349657752)
05770000000405034;Brunhildestraße;POINT (8.809280553503188 52.196462612141836)
05770000000405035;Buddestraße;POINT (8.809821258038426 52.208470790244704)
05770000000405036;Am Hohen Feld;POINT (8.823004885991354 52.18456177325919)
05770000000405037;Charlottenplatz;POINT (8.804787579916024 52.20519074651406)
05770000000405038;Danziger Straße;POINT (8.80786190395807 52.19943162748743)
05770000000405039;Nibelungenweg;POINT (8.804567906555276 52.19434466496909)
05770000000405041;Dr.-Braun-Straße;POINT (8.790705405668476 52.20191126490486)
05770000000405042;Dr.-Neuhäußer-Straße;POINT (8.802013555747248 52.20444022437576)
05770000000405043;Dr.-Wüstenfeld-Straße;POINT (8.790756050412057 52.20171461201673)
05770000000405044;Eduard-Sabirowsky-Straße;POINT (8.789739413939001 52.20273901734544)
05770000000405046;Elisabethstraße;POINT (8.792592181055793 52.20375820321385)
05770000000405047;Fichtestraße;POINT (8.816222175015282 52.192253315698245)
05770000000405048;Rudolf-Virchow-Straße;POINT (8.803721509740704 52.196033929096686)
05770000000405049;Freiligrathstraße;POINT (8.817085271190853 52.1972335106163)
05770000000405050;Röntgenstraße;POINT (8.799377189927906 52.19609887222575)
05770000000405051;Niederbecksener Straße;POINT (8.811599704158146 52.195359289370586)
05770000000405052;Fröbelweg;POINT (8.807913350557229 52.19325057176421)
05770000000405053;Wichernstraße;POINT (8.806510858344028 52.195894253390975)
05770000000405054;Georgstraße;POINT (8.794747403985536 52.19109002657823)
05770000000405055;Gerhart-Hauptmann-Straße;POINT (8.793290680537703 52.19427675571151)
05770000000405056;Gneisenaustraße;POINT (8.807584157541857 52.203373868000035)
05770000000405057;Goethestraße;POINT (8.79388514653171 52.19541091717991)
05770000000405058;Am Schäferfeld;POINT (8.82346267701881 52.18911532270282)
05770000000405059;Grüner Weg;POINT (8.814270332445291 52.20059410394509)
05770000000405060;Gudrunweg;POINT (8.804503990806047 52.19214292258978)
05770000000405061;Hagenstraße;POINT (8.806960339157905 52.19456630312026)
05770000000405062;Hardenbergstraße;POINT (8.814044374703721 52.20628966273442)
05770000000405063;Heinrichstraße;POINT (8.803015613514807 52.20693577439691)
05770000000405065;Herforder Straße;POINT (8.798862558867745 52.20531052318608)
05770000000405067;Hermannstraße;POINT (8.785822397547864 52.20343110534532)
05770000000405068;Hindenburgstraße;POINT (8.792104337055287 52.197901868467035)
05770000000405069;Hinterm Gradierwerk;POINT (8.803357205711738 52.208211461443604)
05770000000405070;Hubertusstraße;POINT (8.810852732396796 52.188487320737956)
05770000000405071;Hüffer Straße;POINT (8.821280948261583 52.203556625763404)
05770000000405072;Im Flachssiek;POINT (8.81014669393923 52.189679133305155)
05770000000405074;Innsbrucker Weg;POINT (8.809100840782932 52.2026584899277)
05770000000405075;Jagdweg;POINT (8.8165886064862 52.18915064562881)
05770000000405076;Mendelstraße;POINT (8.801300016064777 52.19548761319502)
05770000000405077;Johanniterstraße;POINT (8.789072195028128 52.1995019604361)
05770000000405078;Kaiserstraße;POINT (8.801356978171636 52.205039858818104)
05770000000405079;Kaiser-Wilhelm-Platz;POINT (8.789118185847116 52.20361585600829)
05770000000405080;Kampstraße;POINT (8.813205672271739 52.193003750896786)
05770000000405081;Kanalstraße;POINT (8.789793416240993 52.20621696151993)
05770000000405082;Karl-Späth-Straße;POINT (8.80190352328099 52.19562477360286)
05770000000405083;Dr.-Hopmann-Straße;POINT (8.791189002733184 52.204363335596035)
05770000000405084;Pirschweg;POINT (8.817825267393424 52.18820197673807)
05770000000405085;Klosterstraße;POINT (8.798444014320525 52.20229818983908)
05770000000405086;Königsberger Straße;POINT (8.812149785476414 52.20020517389528)
05770000000405087;Königstraße;POINT (8.807882474902247 52.20596053452153)
05770000000405088;Körnerstraße;POINT (8.796711397076484 52.19625637579039)
