strassenschluessel;bezeichnung;geometry
05962000000803001;Zu den Dinkeln;POINT (7.862937611082862 51.32633732848046)
05962000000803002;Am alten Dreisch;POINT (7.865283667193184 51.326996571381095)
05962000000803003;Dechant-Amecke-Weg;POINT (7.865858975525638 51.32844290261143)
05962000000803004;Zur Amtsschlade;POINT (7.864360766439351 51.32281681507127)
05962000000803005;Sauerlandstraße;POINT (7.866695156303758 51.32822354354454)
05962000000803006;In der Waldemey;POINT (7.866489242470215 51.32546490117115)
05962000000803007;Zum Thing;POINT (7.864820671151842 51.32519110865041)
05962000000803008;Obere Waldemey;POINT (7.865278229958024 51.32363936577424)
05962000000803009;Am Kreuzkamp;POINT (7.863383411914316 51.32822151280902)
05962000000803010;St.Johannesstraße;POINT (7.863992614594517 51.3286795690468)
05962000000803011;In der Schieferkuhle;POINT (7.864407092336488 51.327085435949954)
05962000000803012;St.Johannesplatz;POINT (7.864516294711251 51.32766575682134)
05962000000803014;Drosselweg;POINT (7.865740025665219 51.322074568939406)
05962000000803015;Mellener Straße;POINT (7.865728789130794 51.33004965853186)
05962000000803016;Oberer Husenberg;POINT (7.8687058149148585 51.330485733942965)
05962000000803017;Finkenweg;POINT (7.864295328691448 51.3219246932652)
05962000000803018;Gehringer Schlade;POINT (7.8630353426727115 51.32176318540754)
05962000000803019;Starengasse;POINT (7.862172354188309 51.32264772150906)
05962000000803020;Meisenweg;POINT (7.863472383151307 51.322990580947355)
05962000000803021;Brucknerweg;POINT (7.870849180443695 51.32878772295904)
05962000000803022;In der Murmke;POINT (7.8691456244807325 51.326879713778084)
05962000000803023;Pater-Kilian-Straße;POINT (7.870903974877611 51.33022091590199)
05962000000803024;Am Husenberg;POINT (7.870382526845281 51.32994341902418)
05962000000803025;Am Schaar;POINT (7.870507752869775 51.32961323084391)
05962000000803026;Von-Hatzfeld-Straße;POINT (7.872153633170918 51.330383299619164)
05962000000803028;Kirchplatz;POINT (7.866200237969395 51.329052931318344)
05962000000803029;Schwalbenweg;POINT (7.866427138133189 51.32384959198458)
05962000000803030;Zum Schieberg;POINT (7.870534731851796 51.32822601281773)
05962000000803031;Hohlweg;POINT (7.871336162409805 51.328174568856284)
05962000000803032;An der Wolfseiche;POINT (7.867356551007115 51.331539620659015)
05962000000803033;Am Hohlen Stein;POINT (7.8696412522766686 51.33329507025891)
05962000000803034;Am Stadtgraben;POINT (7.8660094781965615 51.33082995606194)
05962000000803035;Auf dem Eisenstollen;POINT (7.875342472391433 51.33480945782142)
05962000000803036;Unterm Beggenbeil;POINT (7.872967126194541 51.33242252418525)
05962000000803037;Prozessionsweg;POINT (7.869264442525468 51.33151045856024)
05962000000803038;Op`m Plasse;POINT (7.90157900291119 51.3301659648602)
05962000000803040;Am Hittenufer;POINT (7.8619428245125 51.32790162086261)
05962000000803041;Am Darloh;POINT (7.856974954761869 51.32683115970714)
05962000000803042;Im Dörntken;POINT (7.857216736751721 51.3274313418391)
05962000000803043;Garbecker Kirchweg;POINT (7.860419922688972 51.326714548119206)
05962000000803044;In der Hauschlade;POINT (7.85857614341398 51.32895402340709)
05962000000803045;Am Krumpaul;POINT (7.8533715395526364 51.329385456414236)
05962000000803046;Gransau;POINT (7.844726309928685 51.326665360915804)
05962000000803047;Am Pickhammer;POINT (7.8428695753080975 51.325603895352785)
05962000000803048;Gerberweg;POINT (7.86086504256668 51.329684502488995)
05962000000803049;Unterm Wachtloh;POINT (7.862180216747659 51.326434239517575)
05962000000803050;Josef-Pütter-Straße;POINT (7.857667639557204 51.32887129356944)
05962000000803051;Zum Ossenkamp;POINT (7.861896198238038 51.321307312428694)
05962000000803052;In der Ewigkeit;POINT (7.859357354181172 51.3209513961001)
05962000000803053;Schwerterbruch;POINT (7.860796693860199 51.32100574560779)
05962000000803054;Unterm Leisenberg;POINT (7.862632299797471 51.32032144273241)
05962000000803055;Am Handweiser;POINT (7.8630159582947075 51.32071946638622)
05962000000803056;Am Urloh;POINT (7.863425733396153 51.32030500098837)
05962000000803057;Wachtloh;POINT (7.8616290206109145 51.32694579247)
05962000000803058;Heerder Weg;POINT (7.863663139136415 51.325357195314375)
05962000000803059;Dechant-Boeddicker-Weg;POINT (7.863658529679319 51.324897963529274)
05962000000803060;Theodor-Pröpper-Weg;POINT (7.8624887030092045 51.32465789514585)
05962000000803061;Hauptstraße;POINT (7.8649595462908275 51.329759764824985)
05962000000803062;Alte Gerichtsstraße;POINT (7.863730424747318 51.33002659263352)
05962000000803063;Mittelstraße;POINT (7.863198057420031 51.33056102318667)
05962000000803064;Hoffmeisterstraße;POINT (7.862236002068214 51.33047713474222)
05962000000803065;Im Winkel;POINT (7.864169877996681 51.32989898196333)
05962000000803066;Alte Hospitalgasse;POINT (7.863257950753691 51.329991272042136)
05962000000803067;Widukindplatz;POINT (7.862619897171934 51.32951715032645)
05962000000803068;Hofstraße;POINT (7.861497603311906 51.3286074940429)
05962000000803069;Im Mühlenkamp;POINT (7.861567241136509 51.33001493864648)
05962000000803070;Bogenstraße;POINT (7.865752972668093 51.3302458095949)
05962000000803071;Mühlenweg;POINT (7.86532558864079 51.33132547580044)
05962000000803072;Am Drostenplatz;POINT (7.864256866007428 51.33140871901848)
05962000000803073;Garbecker Straße;POINT (7.8612490673333735 51.330449747381955)
05962000000803074;In Deär Queyte;POINT (7.860724935627563 51.330595506389024)
05962000000803075;Am Hammergraben;POINT (7.858753806332005 51.33006313934058)
05962000000803076;An der Kormke;POINT (7.861857280481627 51.33144955057691)
05962000000803077;Dreikönigsgasse;POINT (7.861982845125576 51.33104571811013)
05962000000803078;Am Bahnhof;POINT (7.862766558763628 51.331932083121984)
05962000000803090;Auf dem Stoppelkamp;POINT (7.855644414856687 51.330012225647046)
05962000000803091;Sonnenborn;POINT (7.851346340225604 51.332291275116425)
05962000000803092;In der Amecke;POINT (7.84189621270744 51.333661331003924)
05962000000803093;Drögenkamp;POINT (7.846528038404343 51.33178036513921)
05962000000803094;Am Brunnen;POINT (7.8597202804651385 51.33275442108928)
05962000000803095;Zum Hassenborn;POINT (7.859811835025314 51.331738265735865)
05962000000803096;Am Baumberg;POINT (7.864543131512806 51.33289348246655)
05962000000803097;Zur Trift;POINT (7.86448063711351 51.334941392387485)
05962000000803098;Am Hüttenpfad;POINT (7.863543487508122 51.34151410221099)
05962000000803099;Am Obersten Berge;POINT (7.85989953903523 51.332417738099956)
05962000000803100;An der Schmalmke;POINT (7.868544144786481 51.34105990298422)
05962000000803101;Zur Fahlen Schlade;POINT (7.863050399466167 51.33619577458247)
05962000000803102;Zur Wolfskuhle;POINT (7.8639284529801365 51.33557222989056)
05962000000803103;Zum Krummen Nacken;POINT (7.857232952525535 51.33310021553291)
05962000000803104;Im Tenterode;POINT (7.86106385416591 51.33528128434599)
05962000000803105;David-Bondy-Weg;POINT (7.86241133075573 51.32417062862433)
05962000000803110;Am Nierenhof;POINT (7.869621610843192 51.33485716041834)
05962000000803111;Hönnetalstraße;POINT (7.870483722715534 51.336084958678946)
05962000000803112;Klingelborn;POINT (7.861113771822593 51.34195157773784)
05962000000803113;Glärbach;POINT (7.868806796775757 51.342359290274985)
05962000000803114;Am Willsdörn;POINT (7.869593369950746 51.339775646506176)
05962000000803115;Steinweg;POINT (7.864911834688225 51.33335728573847)
05962000000803116;Helle;POINT (7.877543780447648 51.344241682391676)
05962000000803117;Wocklumer Allee;POINT (7.878334126326913 51.3435679391016)
05962000000803118;Im Schnitthölzchen;POINT (7.875525121460952 51.35326386767824)
05962000000803119;Auf dem Steinocken;POINT (7.870197583578845 51.34281072160853)
05962000000803120;Auf dem Werenfelde;POINT (7.873147266969015 51.344786859777194)
05962000000803121;Dechant-Löcker-Weg;POINT (7.8668451577647485 51.32941161981044)
05962000000803123;Feldlage Balve;POINT (7.86936508568562 51.34427935010776)
05962000000803124;Hönnewiesen;
05962000000803124;In den Hönnewiesen;
05962000000803131;Am Beule;POINT (7.882352675212474 51.35630224016856)
05962000000803132;Am Kampe;POINT (7.892850974001876 51.35728650218805)
05962000000803133;Am Südfeld;POINT (7.893644676210861 51.35362437940728)
05962000000803134;Am Sürkenstein;POINT (7.890108797871002 51.35397758428912)
05962000000803135;Beulerweg;POINT (7.883447526447073 51.35743157716104)
05962000000803136;Dompeweg;POINT (7.8825789494563745 51.355773950466286)
05962000000803137;Konnersweg;POINT (7.883158388240585 51.358006541731285)
05962000000803138;Dorfstraße;POINT (7.889581101248035 51.35550136814438)
05962000000803139;Arnsberger Straße;POINT (7.897285326998392 51.35576102869883)
05962000000803140;In der Ballschlade;POINT (7.8980596647801065 51.35557355041796)
05962000000803141;In der Schmalmke;POINT (7.9035900317773 51.36530140261641)
05962000000803142;Kerkeiken;POINT (7.889491368138954 51.353030533333445)
05962000000803143;Nikolausstraße;POINT (7.893925852431502 51.354996034299084)
05962000000803144;Volkringhauser Weg;POINT (7.8829445763509085 51.35821775607575)
05962000000803145;Zum Ziegenroth;POINT (7.905557119888429 51.35785453042753)
05962000000803146;Zur Hinsel;POINT (7.898974531981077 51.35271095072154)
05962000000803147;Zum Langenloh;POINT (7.897792218735596 51.35326303037768)
05962000000803148;Grainstrote;POINT (7.897863243948766 51.354734868743066)
05962000000803149;Kruspad;POINT (7.883463282460494 51.356671885065964)
05962000000803150;Roussayer Weg;POINT (7.894251436388589 51.35300641882261)
05962000000803161;Wocklum;POINT (7.882952859231091 51.33611349124948)
05962000000803177;Am Elsternbeul;POINT (7.885779945898721 51.38900069541735)
05962000000803178;Am Spring;POINT (7.88455945975541 51.38885611507578)
05962000000803179;Asbecker Straße;POINT (7.882380254177275 51.38741260159607)
05962000000803180;Hüstener Straße;POINT (7.858637843220559 51.392521262449726)
05962000000803181;Burgstraße;POINT (7.887849951406494 51.38930507347527)
05962000000803182;Eisborner Dorfstraße;POINT (7.8838662374702615 51.38593894782009)
05962000000803183;Friedhofsweg;POINT (7.882474199990613 51.38610300780054)
05962000000803184;Grübecker Straße;POINT (7.886055326012153 51.385275898238014)
05962000000803185;Haustadt;POINT (7.858076013507732 51.37666337289046)
05962000000803186;Horster Straße;POINT (7.880576625514732 51.38524391882292)
05962000000803187;Kiefernweg;POINT (7.885624057920198 51.389549953791594)
05962000000803188;Am Baumhof;POINT (7.883771013879557 51.38627676192548)
05962000000803189;Klusenstein;POINT (7.853161801357733 51.38075628052154)
05962000000803190;Schützenstraße;POINT (7.881333239525444 51.386737811452925)
05962000000803191;Am Ebberg;POINT (7.887118198644087 51.38950222372786)
05962000000803192;Zum Blechen;POINT (7.879542366637041 51.38656307492735)
05962000000803193;Zum Plauderbaum;POINT (7.884690566096193 51.38507102077826)
05962000000803194;Zur Klinkschlade;POINT (7.887461221690622 51.38640255297811)
05962000000803195;Zur Mailinde;POINT (7.886466612578592 51.38623509311319)
05962000000803196;Horst;POINT (7.864598809163275 51.37824157105655)
05962000000803197;Am Ehen;POINT (7.887722927842003 51.38609840983273)
05962000000803201;Grübeck;POINT (7.8937840470847656 51.38217226307759)
05962000000803202;Johannes-Waltermann-Straße;POINT (7.827782890411962 51.32114754546376)
05962000000803203;An der Vogelwiese;POINT (7.8275503449816135 51.321602302034904)
05962000000803206;Kirchstraße;POINT (7.830754866301351 51.31783343453526)
05962000000803207;Märkische Straße;POINT (7.834208784820141 51.318251412183514)
05962000000803208;Schulstraße;POINT (7.830973838330236 51.31856826867091)
05962000000803209;Im Natfeld;POINT (7.8278584552346615 51.319317023390006)
05962000000803210;Kolpingstraße;POINT (7.829060322217686 51.32010911137325)
05962000000803211;Unterm Eberg;POINT (7.823636315507367 51.31877803781379)
05962000000803212;In der Lanfert;POINT (7.826329778566655 51.31774368686734)
05962000000803213;An der Haardt;POINT (7.824191464404571 51.3177580992076)
05962000000803214;Im Tiefental;POINT (7.817001588085542 51.31823716063235)
05962000000803215;Friedlandweg;POINT (7.82687206941207 51.317856130172686)
05962000000803216;An der Höh;POINT (7.829004597319122 51.31478007858088)
05962000000803217;Altes Feld;POINT (7.831635950108805 51.30714537987634)
05962000000803226;Leveringhausen;POINT (7.783276173678956 51.318599034224576)
05962000000803227;Vogelsberg;POINT (7.804466208271461 51.33843694076679)
05962000000803235;Frühlinghausen;POINT (7.8353099643328035 51.32451609416133)
05962000000803236;Auf der Breite;POINT (7.828634034398918 51.3228992856718)
05962000000803237;Haarlohweg;POINT (7.834344222058543 51.32535271638364)
05962000000803240;Am Pickhammer;POINT (7.839635624918794 51.323434981171225)
05962000000803241;Am Pehrich;POINT (7.842635520031353 51.31649059604537)
05962000000803242;Rötloh;POINT (7.84343364177901 51.32063445754453)
05962000000803243;Brinkackerweg;POINT (7.824991515496454 51.307659502841815)
05962000000803244;Severinstraße;POINT (7.825128117874943 51.307557613303594)
05962000000803245;Alte Höfe Straße;POINT (7.823569786401456 51.30739492394439)
05962000000803246;Steinrücken;POINT (7.824113612994854 51.308406010242486)
05962000000803247;Zum Hahn;POINT (7.819850180149806 51.306699160117724)
05962000000803248;Zum Krähennocken;POINT (7.820945683951561 51.305971619456585)
05962000000803249;Zum Riepelhof;POINT (7.823762849238204 51.303633662129265)
05962000000803250;Zum Gosacker;POINT (7.822992032185428 51.30638299927085)
05962000000803251;Auf der Weiste;POINT (7.822868730004372 51.30672254632155)
05962000000803252;Zum Wiebusch;POINT (7.822843041584402 51.304712162957316)
05962000000803253;Am Flugplatz;POINT (7.819372826995299 51.29693961000978)
05962000000803254;Im Braukhaussiepen;POINT (7.8368915021577825 51.311563350078515)
05962000000803255;Langenholthauser Straße;POINT (7.840455445566658 51.31860270492937)
05962000000803256;Königstraße;POINT (7.8351293162383575 51.317570143499665)
05962000000803257;Auf dem Kampe;POINT (7.836450338874773 51.31756204480753)
05962000000803258;Elsa-Brandström-Straße;POINT (7.833273766090594 51.31732384030505)
05962000000803259;Im Brauke;POINT (7.832885875044948 51.31668368085991)
05962000000803260;Auf der Gabel;POINT (7.83016518633062 51.31583665112541)
05962000000803261;Karrenstraße;POINT (7.829930854999204 51.317049464723475)
05962000000803262;Höveringhauser Weg;POINT (7.828934329448309 51.316847722699876)
05962000000803263;In der Winterlyt;POINT (7.822445521371681 51.3168198494289)
05962000000803264;Im Kump;POINT (7.818500037286013 51.31653143404117)
05962000000803265;Leveringhauser Weg;POINT (7.819023926623483 51.31678584449768)
05962000000803266;In den Gärten;POINT (7.834169563065372 51.316938821602726)
05962000000803267;Liboriweg;POINT (7.822144896934691 51.31281578958441)
05962000000803268;Kietelken;POINT (7.826968484939162 51.316126279777876)
05962000000803269;Nunnenbrauk;POINT (7.825476414425606 51.3170562845882)
05962000000803270;Sonnenhang;POINT (7.823617289148105 51.31973103419098)
05962000000803271;Fuchswinkel;POINT (7.825406501995131 51.32033679129428)
05962000000803272;Amselfeld;POINT (7.825716734383155 51.32011388697122)
05962000000803273;Brobbecke;POINT (7.839830204443201 51.31081453955808)
05962000000803274;Blintroper Weg;POINT (7.836552665340925 51.308167259326716)
05962000000803276;Im Kirchfeld;POINT (7.837745321715289 51.31001289189418)
05962000000803277;Frühlinghauser Straße;POINT (7.83539584997374 51.322459216151984)
05962000000803278;Lindenstraße;POINT (7.8336334780168615 51.322790322389565)
05962000000803279;Akazienstraße;POINT (7.833803153834081 51.31921199878502)
05962000000803280;Ahornstraße;POINT (7.83207280804458 51.31943925008395)
05962000000803281;Erlenstraße;POINT (7.83220673593079 51.320074092126426)
05962000000803282;Buchenstraße;POINT (7.833093260260343 51.32075707183045)
05962000000803283;Eichenstraße;POINT (7.832288592703842 51.32148633923406)
05962000000803284;Tannenstraße;POINT (7.8325852299730405 51.32225463151641)
05962000000803285;Kiefernstraße;POINT (7.83067955789229 51.320771439711294)
05962000000803295;Stephanopel;POINT (7.800259864809425 51.344307389914036)
05962000000803296;Benkamp;POINT (7.854419060264029 51.30223801012538)
05962000000803297;Diekentalstraße;POINT (7.891329381939254 51.295454913529724)
05962000000803299;Bergstraße;POINT (7.895514359686571 51.30901021470622)
05962000000803300;Bornstraße;POINT (7.8783148874727535 51.310251533661955)
05962000000803301;Borkeweg;POINT (7.880566894526012 51.30957603722576)
05962000000803302;Brunnenstraße;POINT (7.875263391596902 51.3128012754552)
05962000000803303;Iserlohner Straße;POINT (7.875637109099326 51.311352124818484)
05962000000803304;Gartenstraße;POINT (7.894856944811993 51.30950088666898)
05962000000803305;Hangweg;POINT (7.879031664965055 51.315350923124704)
05962000000803306;Sunderner Straße;POINT (7.8947351764989575 51.30867210519126)
