strassenschluessel;bezeichnung;geometry
05766000001201901;Am Krähenholz;POINT (9.120694154993814 51.99827771287696)
05766000001201902;Hintere Lohbreite;POINT (9.117656802118411 51.99775639667055)
05766000001201903;Pivitsweg;POINT (9.118575608227834 51.99729140660789)
05766000001201904;Dieselstraße;POINT (9.133319961136824 51.98177645026373)
05766000001201905;Ladestraße;POINT (9.125970893495333 51.990750664496055)
05766000001201906;Badeanstaltsweg;POINT (9.10993687752046 51.986842005475154)
05766000001201907;Klus;POINT (9.183244161366593 51.98961549643578)
05766000001202001;Alverdisser Straße;POINT (9.121965743014037 51.99617929589648)
05766000001202002;Amselweg;POINT (9.136423604807833 51.99091723210251)
05766000001202003;Am Bahnhof;POINT (9.123228469651016 51.99142138830714)
05766000001202004;Am Hopfenberg;POINT (9.10297076755548 51.991259788137754)
05766000001202005;Am Steinweg;POINT (9.117083530189147 51.98951243459432)
05766000001202006;Am Stromberg;POINT (9.12626165523213 52.00318276765344)
05766000001202007;Am Wasserturm;POINT (9.136030658889473 51.99343382036457)
05766000001202008;Bahnhofstraße;POINT (9.117251580486979 51.99198508288091)
05766000001202009;Bellenbruchstraße;POINT (9.126860574022485 51.99479421881376)
05766000001202010;Bergstraße;POINT (9.129201873723341 51.99478433738407)
05766000001202011;Braustraße;POINT (9.109780650131693 51.99016989276473)
05766000001202012;Breslauer Ring;POINT (9.132832798822056 51.99438959610911)
05766000001202013;Bolterstraße;POINT (9.109548272679067 51.990406679712486)
05766000001202014;Burgstraße;POINT (9.114454947919233 51.99177063853437)
05766000001202015;Finkenweg;POINT (9.13373164265306 51.992305954656146)
05766000001202016;Fischteiche;POINT (9.106849677055818 51.983139517601806)
05766000001202017;Försterweg;POINT (9.131429243930686 51.98823210812008)
05766000001202018;Freiligrathstraße;POINT (9.110439435145103 51.99569810519273)
05766000001202019;Frettholz;POINT (9.135173023973229 51.98687173416748)
05766000001202020;Gartenstraße;POINT (9.120402163509926 51.989062282309106)
05766000001202021;Grabbestraße;POINT (9.116756905724303 51.994394354952874)
05766000001202022;Große Twete;POINT (9.115961696060257 51.98816780145121)
05766000001202023;Hagenstraße;POINT (9.109636872660863 51.99299318397229)
05766000001202024;Hamelner Straße;POINT (9.119427811406506 51.99020609964079)
05766000001202025;Heinrich-Sölter-Straße;POINT (9.129837557524898 51.99518758479699)
05766000001202026;Hennak-Hanke-Straße;POINT (9.113859820066153 51.99523122035815)
05766000001202027;Im Busewinkel;POINT (9.134822008012561 51.98956583487084)
05766000001202028;Im Kälbertal;POINT (9.122434957818149 51.99348045677167)
05766000001202029;Im Flüth;POINT (9.122217532992874 51.98927845290529)
05766000001202030;Im Wied;POINT (9.126217779296118 51.98744743763295)
05766000001202031;Kellerstraße;POINT (9.110416406882692 51.99123920677398)
05766000001202032;Kleinbahnstraße;POINT (9.11972190077791 51.99264603301178)
