strassenschluessel;bezeichnung;geometry
05362000000401001;Adolf-Silverberg-Straße;POINT (6.5692721859279475 50.98706436613454)
05362000000401002;Am Berghof;POINT (6.5688934982020974 50.98288428020806)
05362000000401003;Am Majershof;POINT (6.566072196310765 50.98321532658275)
05362000000401004;Am Priorshof;POINT (6.56726052235241 50.9833848367194)
05362000000401005;Am Sandberg;POINT (6.5826190797101 50.998534554823536)
05362000000401006;Am Schwarzen Kreuz;POINT (6.562812451358579 50.9813298845714)
05362000000401007;Amselweg;POINT (6.575964795165848 51.00031346163509)
05362000000401008;Am Tripskreuz;POINT (6.583019429260262 50.994496637782674)
05362000000401009;An den Benden;POINT (6.580075956807639 50.99892222400627)
05362000000401010;Arnold-Freund-Straße;POINT (6.574596829858506 50.99751469794424)
05362000000401011;Augustinerallee;POINT (6.577163466872973 50.998781124471364)
05362000000401012;Bahnstraße;POINT (6.572744621473737 50.988776308928394)
05362000000401013;Bedburger Schweiz;POINT (6.563956642736297 50.982561281203886)
05362000000401014;Bergheimer Straße;POINT (6.580617852878803 50.99697175359307)
05362000000401016;Buchholzer Straße;POINT (6.5612773642644155 50.98050397354712)
05362000000401017;Drosselweg;POINT (6.576335337327373 50.99940462935684)
05362000000401018;Eichendorffstraße;POINT (6.570502963438959 50.98313800497925)
05362000000401019;Erftstraße;POINT (6.573428971592579 50.995146299812696)
05362000000401020;Fasanenweg;POINT (6.572803332436256 51.000341545085845)
05362000000401021;Finkenweg;POINT (6.574089988357712 51.00206672371568)
05362000000401022;Frauweilerweg;
05362000000401023;Friedhofstraße;POINT (6.581127469283567 50.99916598677054)
05362000000401024;Friedrich-Wilhelm-Straße;POINT (6.578285479750863 50.997445209999725)
05362000000401025;Gartenstraße;POINT (6.571975339116453 50.99414466537576)
05362000000401026;Geddenberger Straße;
05362000000401028;Goethestraße;POINT (6.564176193750193 50.98557163548471)
05362000000401029;Gorch-Fock-Straße;POINT (6.567241024007002 50.98470452738481)
05362000000401030;Graf-Salm-Straße;POINT (6.576647456354153 50.996652523172884)
05362000000401031;Hermann-Löns-Straße;POINT (6.5661874671566745 50.98589800180822)
05362000000401032;Hundsgasse;POINT (6.57734919697127 50.99764491308753)
05362000000401033;Im Erftbusch;POINT (6.572982117253773 50.99409961488128)
05362000000401034;Johannesstraße;POINT (6.5840670929672305 50.99694983726948)
05362000000401035;Karlstraße;POINT (6.569950729605586 50.99071124440345)
05362000000401036;Klosterstraße;POINT (6.577593137532224 50.99824353523467)
05362000000401037;Kölner Straße;POINT (6.580839847896513 50.997326675813255)
05362000000401038;Ladestraße;POINT (6.570855085614551 50.99105199142008)
05362000000401039;Langemarckstraße;POINT (6.57269510368392 50.98990865503972)
05362000000401040;Leitweg;POINT (6.566611097373513 50.98186254351545)
05362000000401041;Lerchenweg;POINT (6.574663704203235 51.0006237173646)
05362000000401042;Lindenstraße;POINT (6.574986441211715 50.994463016424326)
05362000000401044;Ludwig-Uhland-Straße;POINT (6.562063669685453 50.98239137128039)
05362000000401045;Marktplatz;POINT (6.576370231606334 50.997273123556624)
05362000000401046;Meisenweg;POINT (6.573625863737164 51.00068007314968)
05362000000401047;Muchhauser Straße;POINT (6.5649117912615855 50.98240748316306)
05362000000401048;Nachtigallenweg;POINT (6.574129947904605 50.99914579744071)
05362000000401049;Neusser Straße;POINT (6.570835894200142 50.99296944050831)
05362000000401050;Neustraße;POINT (6.578882548512201 50.999066594007125)
