strassenschluessel;bezeichnung;geometry
05570000001220226;Ahornweg;POINT (8.124741650212968 51.92391741570744)
05570000001220227;Am Grewinghof;POINT (8.10809838825054 51.925621412499915)
05570000001220228;Am Axtbach;
05570000001220229;Amselweg;POINT (8.112484308871698 51.9262533313085)
05570000001220230;Axtbachtal;POINT (8.110235349809003 51.93021087084114)
05570000001220231;Augustin-Wibbelt-Straße;POINT (8.124839065021394 51.92654060337107)
05570000001220232;Albert-Schweitzer-Straße;POINT (8.1176365543871 51.93563373044464)
05570000001220233;Baarbach;POINT (8.08871587336149 51.92027877995045)
05570000001220235;Bahnhofstraße;POINT (8.116414498565764 51.92983162071245)
05570000001220240;Bauenrott;POINT (8.119870533464573 51.92666987167788)
05570000001220245;Beilbach;POINT (8.118913210372531 51.924082531927326)
05570000001220246;Bleiche;POINT (8.116396352124214 51.93178855319354)
05570000001220247;Birkenweg;POINT (8.123440454824644 51.924377754834644)
05570000001220250;Borgkamp;POINT (8.120306146077548 51.925881360842126)
05570000001220255;Breede;POINT (8.113377543675634 51.927702811003435)
05570000001220257;Buchenweg;POINT (8.122415505266344 51.92087522435683)
05570000001220260;Buschkamp;POINT (8.122518951994047 51.92228250937096)
05570000001220265;Butzhagen;POINT (8.11281918383732 51.933360637702656)
05570000001220267;Clarholzer Straße;POINT (8.143467554705877 51.92232393236223)
05570000001220268;Dieselstraße;POINT (8.095468730699576 51.92974385665905)
05570000001220269;Dahlienweg;POINT (8.125373526455276 51.93015405959225)
05570000001220270;Dreingaustraße;POINT (8.115330539600697 51.92919815999016)
05570000001220272;Drosselweg;POINT (8.112478817758781 51.92475409349089)
05570000001220273;Droste-Hülshoff-Straße;POINT (8.124728370424576 51.92512870913833)
05570000001220275;Erlenkamp;POINT (8.120513998643972 51.92505522649691)
05570000001220280;Esch;POINT (8.12188141615526 51.92351786606591)
05570000001220285;Feldstraße;POINT (8.102371740691412 51.93256491985307)
05570000001220287;Finkenweg;POINT (8.111016502705723 51.926467748968705)
05570000001220290;Gartenstraße;POINT (8.115855572675262 51.929633607139266)
05570000001220292;Gaffelstadt;POINT (8.118203704646863 51.93375880456925)
05570000001220293;Geranienweg;POINT (8.126823067691499 51.9300829996222)
05570000001220295;Greffener Straße;POINT (8.119281805962967 51.93117466987519)
05570000001220300;Grüner Grund;POINT (8.1203533041089 51.92308227252374)
05570000001220303;Harsewinkeler Damm;POINT (8.137644802604111 51.931192709460646)
05570000001220305;Hasenkamp;POINT (8.118651717849655 51.928107717196646)
05570000001220310;Hemfeld;POINT (8.1363718799371 51.91597803154468)
05570000001220313;Heustraße;POINT (8.118549779024367 51.93525408022152)
05570000001220314;Hermann-Löns-Weg;POINT (8.125654380566436 51.9273392380479)
05570000001220315;Hörster;POINT (8.078981482520815 51.92986908427163)
05570000001220317;Holtbaum;POINT (8.13291437593611 51.90835002150854)
05570000001220318;Hornbusch;POINT (8.134308679547997 51.933200483532254)
05570000001220320;Im Hagen;POINT (8.110464607501784 51.93355644906905)
05570000001220325;Kampstiege;POINT (8.117697952293678 51.92773282723317)
05570000001220327;Kiebitzheide;POINT (8.109816191364146 51.911459933372406)
05570000001220330;Kirchplatz;POINT (8.11585685409249 51.93119580481999)
05570000001220333;Kleestraße;POINT (8.119990499994366 51.93489637691267)
05570000001220334;Kolpingstraße;POINT (8.11392307021997 51.9342964241058)
05570000001220335;Kirchstraße;POINT (8.115046751925243 51.930714166676474)
05570000001220336;Lerchenweg;POINT (8.112926040984114 51.92566165977117)
05570000001220337;Landhagen;POINT (8.117150141338563 51.95473251882158)
05570000001220338;Letter Straße;POINT (8.1327176685881 51.9190855494317)
05570000001220339;Marke;POINT (8.161458038083067 51.910276878684655)
05570000001220340;Mühlenweg;POINT (8.111354511056225 51.929776268211)
05570000001220341;Meisenweg;POINT (8.112157028646447 51.92523418661346)
05570000001220343;Nachtigallenweg;POINT (8.113779095659451 51.92559081376169)
05570000001220345;Napoleonsdamm;POINT (8.15150719663598 51.91961528007899)
05570000001220347;Nelkenweg;POINT (8.12183868115009 51.93081628011829)
05570000001220350;Neumühlenstraße;POINT (8.109622307839944 51.94354988623)
05570000001220355;Nienkamp;POINT (8.10989823093053 51.9335185764078)
05570000001220360;Oester;POINT (8.1439723349013 51.92987910110348)
05570000001220363;Ostenfelder Landweg;POINT (8.11257928644887 51.91887422071033)
05570000001220365;Ostenfelder Straße;POINT (8.116707868651389 51.91514638220026)
05570000001220370;Ostheide;POINT (8.160087512338814 51.918850480969446)
05570000001220375;Osthoff;POINT (8.117202323346568 51.930721360310976)
05570000001220376;Osthues Kamp;POINT (8.119652218323163 51.93031452576944)
05570000001220377;Plaskoart;POINT (8.120343894490942 51.91788588596583)
