strassenschluessel;bezeichnung;geometry
05978000000401001;Ahornweg;POINT (7.652295782507728 51.61887910267161)
05978000000401002;Albert-Schweitzer-Straße;POINT (7.650349892289083 51.62359943792681)
05978000000401003;Am Bammerbach;POINT (7.635467063446507 51.60822622449332)
05978000000401004;Am Dreischen;POINT (7.650602565657798 51.62174214510254)
05978000000401005;Am Friedrichsberg;POINT (7.646960171946289 51.62277574975479)
05978000000401006;Am Holl;POINT (7.6560836016546965 51.62281129796853)
05978000000401007;Am Kiwitt;POINT (7.638466234997907 51.60503168491808)
05978000000401008;Am Kulver;POINT (7.634830253338626 51.60436665692581)
05978000000401009;Am Schlehdorn;POINT (7.6533636947254875 51.61910989303623)
05978000000401010;Am Sportplatz;POINT (7.647108042025083 51.617393245359985)
05978000000401011;Am Stadion;POINT (7.64499311687045 51.61729768889117)
05978000000401012;Am Wiehagen;POINT (7.634161551553882 51.61667069951227)
05978000000401013;An der Lanver;POINT (7.641153391734372 51.615788901822945)
05978000000401014;An der Schützenheide;POINT (7.65071334688498 51.60553287209002)
05978000000401015;Auf dem Braam;POINT (7.639930871685266 51.607807831246376)
05978000000401016;Auf dem Pfahl;POINT (7.636824075834271 51.608309333695956)
05978000000401017;Auf der Alm;POINT (7.653696353398896 51.62025149818715)
05978000000401018;Auf der Klause;POINT (7.65598294311257 51.620573467421735)
05978000000401019;Auf der Worth;POINT (7.643236185268494 51.60375883165621)
05978000000401020;Augustastraße;POINT (7.641393042671734 51.61812868377787)
05978000000401021;August-Bebel-Straße;POINT (7.6440870723939405 51.622285190140815)
05978000000401022;August-Schmidt-Straße;POINT (7.649913899277507 51.62509630431692)
05978000000401023;Anton-Schmaus-Straße;POINT (7.659505767278054 51.61377421370976)
05978000000401024;Augustweg;POINT (7.645767221182143 51.611827693484955)
05978000000401025;Adolf-Reichwein-Straße;POINT (7.645867157270675 51.61352899673379)
05978000000401026;Alfred-Döblin-Straße;POINT (7.63873463662781 51.61000385457821)
05978000000401027;Albert-Einstein-Straße;POINT (7.641772754287957 51.621180525096165)
05978000000401028;Bambergstraße;POINT (7.640971084099811 51.60504746770628)
05978000000401029;Bergstraße;POINT (7.647970268747455 51.61996050988867)
05978000000401030;Bogenstraße;POINT (7.635453364540785 51.60611159868224)
05978000000401031;Buchenweg;POINT (7.644824419305455 51.62573549754838)
05978000000401032;Büscherstraße;POINT (7.653585134574485 51.61270850020637)
05978000000401033;Bernhard-Letterhaus-Straße;POINT (7.6475143866857405 51.61339287279778)
05978000000401034;Bertolt-Brecht-Straße;POINT (7.643993677792306 51.61263567322973)
05978000000401035;Dietrich-Bonhoeffer-Straße;POINT (7.64854878541352 51.614407911355684)
05978000000401036;Carl-Zuckmayer-Straße;POINT (7.643127963864364 51.61128849492993)
05978000000401037;Carl-Von-Ossietzky-Straße;POINT (7.657156888819258 51.612852031536384)
05978000000401038;Ebertstraße;POINT (7.637832616007292 51.61703538114022)
05978000000401039;Eichendorffstraße;POINT (7.641188570959513 51.61324040945598)
05978000000401040;Eichenplatz;POINT (7.649539239274543 51.6186990364821)
05978000000401041;Erlenweg;POINT (7.649266414511335 51.617940631875676)
05978000000401042;Ernst-Heilmann-Straße;POINT (7.647174621132267 51.61495802024804)
05978000000401043;Erzbergerstraße;POINT (7.65245823741496 51.62457583135663)
05978000000401044;Elsa-Brandström-Straße;POINT (7.648001567178018 51.6220729197877)
05978000000401045;Emil-Nolde-Straße;POINT (7.631210119030521 51.60470749965752)
05978000000401046;Erich-Kästner-Straße;POINT (7.641665266341996 51.612446696971766)
05978000000401047;Erich-Ollenhauer-Straße;
05978000000401048;Anne-Frank-Straße;POINT (7.654855625804995 51.612644474612715)
05978000000401049;Fichtestraße;POINT (7.642771828219057 51.62046642499708)
05978000000401050;Ernst-Schering-Straße;POINT (7.629818873803819 51.626301510930716)
05978000000401051;Fritz-Husemann-Straße;POINT (7.647379178198025 51.624713854722124)
05978000000401052;Friedrich-Goerdeler-Straße;POINT (7.654066368627807 51.61347301672019)
05978000000401053;Am Roggenkamp;POINT (7.658140638654146 51.61648699474193)
05978000000401054;Am Stadtmarkt;POINT (7.636303026974738 51.61753362651577)
05978000000401055;Föhrenweg;POINT (7.652644135935629 51.61012285389225)
05978000000401057;Gartensiedlung;POINT (7.651042884411647 51.62719549498065)
05978000000401058;Geschwister-Scholl-Straße;POINT (7.65751756159504 51.61468583650996)
05978000000401059;Görlitzer Straße;POINT (7.641754506348921 51.61401203635731)
05978000000401060;Güldenhauptsheide;POINT (7.6348159609456525 51.60825066581983)
05978000000401064;Herbert-Wehner-Platz;
05978000000401065;Heinrich-Kämpchen-Straße;POINT (7.634498927359359 51.607569420212265)
05978000000401066;Hansemannstraße;POINT (7.633695313292907 51.607569438792495)
05978000000401067;Heckenweg;POINT (7.6523623469719 51.60381865420087)
05978000000401068;Hegelstraße;POINT (7.642766481779775 51.62321881389242)
05978000000401069;Heinrich-Jasper-Straße;POINT (7.647312554804823 51.61585014450157)
05978000000401070;Heinrichstraße;POINT (7.652556263875769 51.61193836207221)
