strassenschluessel;bezeichnung;geometry
05958000000803501;Am Knochen;POINT (8.405462603723135 51.361982481455016)
05958000000803502;Am Breberg;POINT (8.403296394176841 51.36090860911186)
05958000000803503;Bergkloster;POINT (8.40469603936831 51.360392859354455)
05958000000803504;Bundesstraße;POINT (8.398985056678352 51.362021620976535)
05958000000803505;Am Bähnchen;POINT (8.404650463907274 51.35718008229456)
05958000000803506;Marienstraße;POINT (8.402049468807503 51.3594069818233)
05958000000803507;Ludwigstraße;POINT (8.400162304270454 51.3606531921733)
05958000000803508;Heringhauser Straße;POINT (8.406211825047972 51.35253051582775)
05958000000803509;Heinrich-Heine-Straße;POINT (8.396966164289195 51.358532402023755)
05958000000803510;Ruhrstraße;POINT (8.391701351516732 51.360353907168964)
05958000000803511;Antoniusstraße;POINT (8.397793436380319 51.36101305952497)
05958000000803512;Im Wiebusch;POINT (8.39502508393516 51.36053171462149)
05958000000803513;Hermann-Löns-Straße;POINT (8.395941837766001 51.359088580218085)
05958000000803514;A.v.Droste-Hülshoff-Weg;POINT (8.395179405501935 51.35918989881399)
05958000000803515;Friedr.-Wilhelm-Weber-Weg;POINT (8.396589843902083 51.35937944932494)
05958000000803516;Christine-Koch-Weg;POINT (8.396979387971848 51.36000059376606)
05958000000803517;Wilhelm-Busch-Weg;POINT (8.398638641414841 51.35964143695686)
05958000000803518;Grimmestraße;POINT (8.395110966096723 51.35758273699935)
05958000000803519;Vereinsstraße;POINT (8.393238598779634 51.359828856343746)
05958000000803520;Friedensstraße;POINT (8.39258673570578 51.35876545017196)
05958000000803521;Am Stode;POINT (8.394686083793538 51.358017205881325)
05958000000803522;Zum Bergkloster;POINT (8.406673023576072 51.361848979848396)
05958000000803523;Kapellenstraße;POINT (8.39441961803303 51.3570764645793)
05958000000803524;Westfeld;POINT (8.406918109705233 51.362965198425094)
05958000000803525;Borghausen;POINT (8.412625445288816 51.36670193407675)
05958000000803526;Rathausplatz;POINT (8.40143844667764 51.3608081864074)
05958000000803527;Am Alten Güterbahnhof;POINT (8.402990933166022 51.36314590205754)
05958000000803528;Hegeners Feld;POINT (8.39936051910399 51.359195959911716)
05958000000803529;Thomas-Mann-Straße;POINT (8.39579085074286 51.3580619609893)
05958000000803530;Kellhöhle;POINT (8.398668957427285 51.3563301782206)
05958000000803540;Bundesstraße;POINT (8.371771759556733 51.35673108850911)
05958000000803543;Manhennenweg;POINT (8.391845510016783 51.3579213601822)
05958000000803544;Zum Schützenplatz;POINT (8.388922619618066 51.3584011734477)
05958000000803545;Gartenstraße;POINT (8.389751118650793 51.35841446580668)
05958000000803546;Kapellenstraße;POINT (8.391102606335007 51.35761102524244)
05958000000803547;Zum Ostenberg;POINT (8.386492521456164 51.357105477396345)
05958000000803548;Andreasstraße;POINT (8.388733903921937 51.357542949040415)
05958000000803550;Schlesier Straße;POINT (8.389181617072873 51.356537157206105)
05958000000803551;Südstraße;POINT (8.384402141212036 51.356676327593576)
05958000000803552;Feldstraße;POINT (8.383161550040036 51.356717568334)
05958000000803553;Lindenweg;POINT (8.386302013428777 51.35636044946914)
05958000000803554;Oberm Kirchhof;POINT (8.380463074703401 51.355972203094225)
05958000000803555;Baumhofstraße;POINT (8.379135531946732 51.35523313137621)
05958000000803556;Alter Kirchplatz;POINT (8.377895745047116 51.35710694853302)
05958000000803557;An der Kleinen Ruhr;POINT (8.374190252799112 51.356983148976774)
05958000000803558;Heimes Hof;POINT (8.373860536953254 51.35652040903841)
05958000000803559;Halbeswiger Straße;POINT (8.371911567820648 51.35227948627192)
05958000000803560;Elisabethstraße;POINT (8.370742767990766 51.35579700040463)
