strassenschluessel;bezeichnung;geometry
05711000000000005;Achenkamp;POINT (8.553802095109063 52.04653918705278)
05711000000000020;Adalbert-Stifter-Straße;POINT (8.51203482525736 52.04057361940491)
05711000000000025;Adenauerplatz;POINT (8.523929672818298 52.017853926986255)
05711000000000030;Adolf-Damaschke-Straße;POINT (8.573814754320283 52.03277221275746)
05711000000000040;Adolf-Reichwein-Straße;POINT (8.505763604635531 52.03327687125832)
05711000000000060;Äbtissinnenweg;POINT (8.550007838682905 52.05010855303474)
05711000000000070;Albert-Florath-Straße;POINT (8.523084574276986 52.048808233985994)
05711000000000080;Albert-Schweitzer-Straße;POINT (8.52123439942138 52.03735813314632)
05711000000000090;Albrecht-Delius-Weg;POINT (8.52395003816911 52.01837626982592)
05711000000000100;Albrechtstraße;POINT (8.541928940968132 52.03101599549036)
05711000000000110;Alemannstraße;POINT (8.55409518855199 52.01303759014119)
05711000000000120;Alfred-Bozi-Straße;POINT (8.529591572567789 52.0232795775791)
05711000000000140;Allensteiner Straße;POINT (8.588569171415509 52.002189572504946)
05711000000000150;Alsenstraße;POINT (8.539111629276956 52.014951877867276)
05711000000000160;Altdorferstraße;POINT (8.503651203281626 52.04690428572388)
05711000000000165;Altenberndstraße;POINT (8.504661210901157 52.04598178234365)
05711000000000170;Altenbrede;POINT (8.513629395776954 52.054515693623806)
05711000000000190;Alter Berg;POINT (8.553857799259735 51.99568845108085)
05711000000000200;Alter Markt;POINT (8.531752128301777 52.020261886096385)
05711000000000210;Althoffstraße;POINT (8.574446208536994 52.0335633984575)
05711000000000220;Altstädter Kirchplatz;POINT (8.533032223865327 52.02148104822571)
05711000000000230;Altstädter Kirchstraße;POINT (8.533138853933329 52.020906208757665)
05711000000000240;Am Alten Dreisch;POINT (8.59009139224878 51.990662557166516)
05711000000000250;Am Alten Kirchweg;POINT (8.56426365193113 52.05459984687516)
05711000000000260;Am Asbrock;POINT (8.546752329240064 52.04908405583753)
05711000000000270;Am Bach;POINT (8.531924320709521 52.019279404400336)
05711000000000295;Am Bahnhof;POINT (8.533527002530754 52.029425218563055)
05711000000000300;Am Balgenstück;POINT (8.56609075950131 52.053845019626344)
05711000000000310;Am Bökenkampshof;POINT (8.484792260832172 52.03050048613425)
05711000000000320;Am Botanischen Garten;POINT (8.511826242813155 52.01559318369259)
05711000000000330;Am Brodhagen;POINT (8.517295574188882 52.03950359351748)
05711000000000340;Am Bruche;POINT (8.526917775479461 52.0427929781411)
05711000000000360;Am Bültmannskrug;POINT (8.513161729217314 52.05796029989511)
05711000000000380;Am Ellernkamp;POINT (8.556943374154281 52.00649140032293)
05711000000000390;Am Feuerholz;POINT (8.5316282142418 52.04730518969768)
05711000000000400;Am Finkenbach;POINT (8.56457580830985 52.03361419039477)
05711000000000410;Am Großen Holz;POINT (8.566287815691737 52.0272571513997)
05711000000000420;Am Großen Wiel;POINT (8.589879175417853 52.04494736506609)
05711000000000430;Am Grünen Winkel;POINT (8.576163078558993 52.0309053377344)
05711000000000440;Am Güterbahnhof;POINT (8.530789589954166 52.028209566115066)
05711000000000450;Am Hallenbad;POINT (8.541680419917009 52.024103999936756)
05711000000000460;Am Hartlagerholz;POINT (8.575282642728808 52.01752252665949)
05711000000000470;Am Haßkamp;POINT (8.487685418913946 52.02862050460741)
05711000000000480;Am Herrengarten;POINT (8.547666856228892 52.05778273005865)
05711000000000490;Am Herrenkamp;POINT (8.515179705367158 52.0553088257537)
05711000000000500;Am Johannisberg;POINT (8.519094916905429 52.01862553586508)
05711000000000510;Am Kämpchen;POINT (8.554179382854034 52.0015746189878)
05711000000000520;Am Kahlenberg;POINT (8.512499386020655 52.01358994979138)
05711000000000530;Am Kamphof;POINT (8.53120045383338 52.033561879972964)
05711000000000540;Am Kattenkamp;POINT (8.54080978362759 52.0488941605633)
05711000000000550;Am Knick;POINT (8.510886649388757 52.04807490755603)
05711000000000560;Am Kordskamp;POINT (8.551779263464713 52.010254042062606)
05711000000000570;Am Kruge;POINT (8.552249613647476 52.0564358997505)
05711000000000580;Am Lauksberg;POINT (8.506482258287043 52.01052180526888)
05711000000000590;Am Lehmstich;POINT (8.545692408034052 52.03631386114788)
05711000000000610;Am Lothberg;POINT (8.513041707306966 52.01351471709595)
05711000000000620;Am Meierteich;POINT (8.526318834647657 52.0443902268248)
05711000000000630;Am Neuen Berge;POINT (8.563119699961742 51.99912405816445)
05711000000000640;Am Niederfeld;POINT (8.59326979984689 51.99453567893801)
05711000000000650;Am Niedermühlenhof;POINT (8.552513407587886 52.017468606764176)
05711000000000655;Am Obersee;POINT (8.55608358176972 52.057835322120134)
05711000000000660;Am Ostbahnhof;POINT (8.559588733344446 52.02418276693363)
05711000000000670;Am Ostpark;POINT (8.54260092501236 52.00991852675555)
05711000000000680;Am Petriplatz;
05711000000000690;Am Pfarracker;POINT (8.550395162801967 52.048698982690816)
05711000000000700;Am Pferdekamp;POINT (8.48845030815061 52.02786547288349)
05711000000000710;Am Poggenbrink;POINT (8.543832969538732 52.052142715574305)
05711000000000720;Am Rehwinkel;POINT (8.50172241329415 52.03994309297796)
05711000000000730;Am Rottland;POINT (8.528576482140368 52.04327724360988)
05711000000000740;Am Rottmannshof;POINT (8.49832575312915 52.04201748343679)
05711000000000750;Am Rußkamp;POINT (8.559665079357739 52.01401547954068)
05711000000000760;Am Scherkamp;POINT (8.567399354614677 52.02439173920472)
05711000000000770;Am Schiffberge;POINT (8.570890166342334 51.994936747903694)
05711000000000780;Am Schildhof;POINT (8.504584153819343 52.01280710640026)
05711000000000790;Amselstraße;POINT (8.577714984953023 52.022016361065695)
05711000000000800;Am Siebrassenhof;POINT (8.575340373933548 51.99584720407535)
05711000000000810;Am Sparrenberg;POINT (8.53018356113247 52.01310252314981)
05711000000000830;Am Stadtholz;POINT (8.552875151834172 52.02738394958414)
05711000000000840;Am Steinbrink;POINT (8.51020422124701 52.02013394267517)
05711000000000850;Am Steinsiek;POINT (8.556696897106125 52.04836194160255)
05711000000000860;Am Stiel;POINT (8.548563331368383 52.00821018944916)
