strassenschluessel;bezeichnung
05558000000831403;Abt-Molitor-Straße
05558000000831405;Alstätte
05558000000831407;Alter Sportplatz
05558000000831410;Am Bahnhof
05558000000831415;Ahornweg
05558000000831420;Am Brunnenbach
05558000000831421;Am Freibad
05558000000831422;Am Haulingbach
05558000000831423;Am Lohkamp
05558000000831425;Am Rondell
05558000000831430;Am Schildstuhl
05558000000831432;Am Südberg
05558000000831435;Am Voßkamp
05558000000831437;Am Wüllen
05558000000831440;An der Berkel
05558000000831445;An der Kolvenburg
05558000000831450;An der Welle
05558000000831455;Altenberger Weg
05558000000831460;Anhalter Straße
05558000000831465;Annettestraße
05558000000831467;Anton-Aulke-Straße
05558000000831470;Auf dem Berge
05558000000831472;Augustin-Wibbelt-Straße
05558000000831475;Austenkamp
05558000000831480;Aulendorf
05558000000831483;Aulendorfer Weg
05558000000831485;Bahnhofstraße
05558000000831490;Beerlager Straße
05558000000831495;Bergstraße
05558000000831496;Berkelaue
05558000000831500;Baumgarten
05558000000831505;Bernhardstraße
05558000000831510;Birkenweg
05558000000831515;Bockelsdorf
05558000000831520;Bockelsdorfer Weg
05558000000831525;Bombeck
05558000000831530;Bonackerweg
05558000000831535;Brandenburger Straße
05558000000831538;Brockmannweg
05558000000831540;Brunnenweg
05558000000831545;Buchenstraße
05558000000831546;Buschenkamp
05558000000831550;Coesfelder Straße
05558000000831555;Danziger Straße
05558000000831560;Darfelder Straße
05558000000831565;Daruper Straße
05558000000831570;Dörholt
05558000000831575;Drostenweg
05558000000831580;Domgasse
05558000000831585;Eichenweg
05558000000831590;Erlenweg
05558000000831595;Esch
05558000000831600;Esking
05558000000831605;Feldweg
05558000000831610;Fichtenweg
05558000000831615;Friedhofstraße
05558000000831617;Friethöfer Kamp
05558000000831620;Gantweg
05558000000831625;Gantweger Kley
05558000000831630;Gantweger Straße
05558000000831635;Gartenstraße
05558000000831637;Gerberweg
05558000000831640;Gerburgisstraße
05558000000831642;Gerleve
05558000000831645;Graute Laun
05558000000831647;Grotenkamp
05558000000831650;Grüner Weg
05558000000831655;Hagen
05558000000831660;Hahnenkamp
05558000000831665;Hamern
05558000000831666;Hannelore-Stein-Weg 
05558000000831667;Haugen Kamp
05558000000831670;Heckenweg
05558000000831672;Helker Berg
05558000000831675;Heriburgstraße
05558000000831677;Hermann-Löns-Straße
05558000000831680;Hilgenesch
05558000000831685;Hoher Weg
05558000000831690;Holthauser Straße
05558000000831695;Hospitalstraße
05558000000831700;Hörster Straße
05558000000831705;Im Draum
05558000000831707;Im Konskamp
05558000000831710;Industriestraße
05558000000831715;Johannikirchplatz
05558000000831720;Johannisstraße
05558000000831725;Josefstraße
05558000000831726;Josef-Suwelack-Straße
05558000000831730;Kampstraße
05558000000831735;Kapellenweg
05558000000831736;Karl-Wagenfeld-Straße
05558000000831737;Kastanienweg
05558000000831740;Kerkeler
05558000000831742;Kettelerstraße
05558000000831745;Kirchstraße
05558000000831750;Kleikamp
05558000000831755;Kohkamp
05558000000831760;Kolpingstraße
05558000000831765;Kurze Straße
05558000000831770;Lange Straße
05558000000831775;Lärchenweg
05558000000831777;Leinenweberweg
05558000000831780;Lilienbeck
05558000000831785;Lindenstraße
05558000000831787;Ludger-Hölker-Straße
05558000000831790;Ludgeristraße
05558000000831795;Lutum
05558000000831800;Lusekammerweg
05558000000831805;Langenhorst
05558000000831807;Laubreide
05558000000831810;Markt
05558000000831815;Massonneaustraße
05558000000831817;Marienstraße
05558000000831820;Mecklenburger Straße
05558000000831823;Mergelkamp
05558000000831825;Molkereiweg
05558000000831830;Moorkamp
05558000000831835;Mühlenstraße
05558000000831840;Münsterstraße
05558000000831842;Natz-Thier-Straße
05558000000831845;Kiefernweg
05558000000831847;Nielande
05558000000831850;Nikolausstraße
05558000000831855;Nordhang
05558000000831860;Nordstraße
05558000000831865;Nottulner Straße
05558000000831867;Oberlau
05558000000831870;Osterwicker Straße
05558000000831875;Osthellen
05558000000831880;Osthellermark
05558000000831881;Ostwall
05558000000831882;Platanenweg
05558000000831885;Propst-Laumann-Straße
05558000000831887;Rathausstraße
05558000000831890;Richtengraben
05558000000831892;Raiffeisenstraße
05558000000831895;Rüschenkamp
05558000000831900;Sachsenstraße
05558000000831905;Sandbreide
05558000000831910;Sandweg
05558000000831915;Schmiedestraße
05558000000831920;Schulstraße
05558000000831921;Schulweg
05558000000831925;Steenpättken
05558000000831926;Steinkamp
05558000000831927;Stellmacherweg
05558000000831930;Tannenweg
05558000000831935;Temming
05558000000831940;Thüringer Straße
05558000000831945;Tiefer Weg
05558000000831947;Ulmenweg
05558000000831950;von-Galen-Straße
05558000000831955;von-Raesfeld-Straße
05558000000831957;von-Twickel-Straße
05558000000831960;Wasserstiege
05558000000831965;Wegesende
05558000000831970;Weihgarten
05558000000831975;Wendelskamp
05558000000831980;Westhellen
05558000000831985;Wiesenstraße
05558000000831990;Windmühlenweg
05558000000831995;Zu den Alstätten
05558000000832000;Zur Dornaue
05558000000832003;Zur Hämmermark
05558000000832005;Zum Alten Hof
05558000000832007;Zur Berkelquelle
05558000000832010;Zur Sandkuhle
05558000000873506;L506
05558000000873550;L550
05558000000873577;L577
05558000000873580;L580
05558000000873581;L581
05558000000874013;K13
05558000000874018;K18
05558000000874030;K30
05558000000874036;K36
05558000000874038;K38
05558000000874042;K42
05558000000874052;K52
05558000000874053;K53
05558000000874072;K72
05558000000895017;Baugebiet Buschenkamp-Süd
055580000008=2265;Empel-Rees - Münster (Westf)
055580000008=2273;Bottrop Nord - Quakenbrück
