strassenschluessel;bezeichnung;geometry
05766000001605701;Allensteiner Straße;POINT (9.099273414806 51.946016163371475)
05766000001605702;Am Spiekersberg;POINT (9.103503297307459 51.931349340110174)
05766000001605703;Auf der Steinkuhle;POINT (9.10541613286479 51.95428737183313)
05766000001605704;Bahnhof;POINT (9.09559580713726 51.93864349762896)
05766000001605705;Bahnhofstraße;POINT (9.095472779613752 51.941991515009136)
05766000001605706;Barntruper Straße;POINT (9.101455528843879 51.949752149194246)
05766000001605707;Berliner Straße;POINT (9.101218273277464 51.94707026288244)
05766000001605708;Bextenstraße;POINT (9.09585125734986 51.9536847854389)
05766000001605709;Blumenstraße;POINT (9.104668273806002 51.930864968297634)
05766000001605710;Braunenkamp;POINT (9.107225750264517 51.954260949601675)
05766000001605711;Braugasse;POINT (9.092019571210741 51.94381262327175)
05766000001605712;Breslauer Straße;POINT (9.100500220940127 51.947091206713814)
05766000001605713;Brinkstraße;POINT (9.090459105629446 51.9427360845339)
05766000001605714;Bruchstraße;POINT (9.090115371728901 51.94663020836958)
05766000001605715;Buntengasse;POINT (9.093054413578354 51.942774746454326)
05766000001605716;Burg;POINT (9.08965191313596 51.942277304260266)
05766000001605717;Burgstraße;POINT (9.090083259436701 51.942830877613105)
05766000001605718;Bürgermeisterweg;POINT (9.103651478399 51.95115202935021)
05766000001605719;Danziger Straße;POINT (9.100066447230272 51.94686967721508)
05766000001605720;Diekmannstraße;POINT (9.094204693266434 51.941531277563534)
05766000001605721;Dömsenstraße;POINT (9.103943593617347 51.93380937527579)
05766000001605722;Drosteweg;POINT (9.09773315962041 51.95460748962178)
05766000001605723;Eichenweg;POINT (9.102990369918807 51.95471639470871)
05766000001605724;Feldbrand;POINT (9.110058691990444 51.928449771171884)
05766000001605725;Feldbrandstraße;POINT (9.103567713429651 51.93238525214442)
05766000001605726;Feldohlentrup;POINT (9.093751225196451 51.92666274163674)
05766000001605727;Feldstraße;POINT (9.104909429610139 51.931475984419016)
05766000001605728;Flachsmarktstraße;POINT (9.103800084454006 51.936321343813724)
05766000001605729;Fontaneweg;POINT (9.095204441343101 51.956013537619775)
05766000001605730;Forsthaus;POINT (9.132226908106674 51.956105699927136)
05766000001605731;Föhrenweg;POINT (9.105548790876954 51.95479131722414)
05766000001605732;Freiligrathstraße;POINT (9.104685699883573 51.954020792014596)
05766000001605733;Friedrichstraße;POINT (9.090548629368081 51.94529879683785)
05766000001605734;Gaffel;POINT (9.124319563812255 51.96453989271782)
05766000001605735;Gartenstraße;POINT (9.09422939965208 51.94426904124469)
05766000001605736;Gergerloh;POINT (9.105998169568986 51.95787158184911)
