strassenschluessel;bezeichnung;geometry
05554000000801900;Ackerstraße;POINT (6.6099804569698595 51.82617337937764)
05554000000801901;Adenauerallee;POINT (6.615100368807398 51.84420411600317)
05554000000801902;Adlerstraße;POINT (6.597672279553528 51.84956946819072)
05554000000801903;Ahornweg;POINT (6.637158348473119 51.852615159277114)
05554000000801904;Akazienweg;POINT (6.638190163352364 51.85157995049897)
05554000000801905;Alffstraße;
05554000000801906;Alter Ostwall;POINT (6.620843107516765 51.83934981054126)
05554000000801907;Am Friedhof;POINT (6.637637865414887 51.84070017592861)
05554000000801908;Am Butenwall;POINT (6.609198066712299 51.84044280209658)
05554000000801909;Am Efing;POINT (6.605508747597952 51.852243373823214)
05554000000801910;Am Hasenkamp;POINT (6.618413943344068 51.85083228295766)
05554000000801911;Am Hilteken;POINT (6.624319863452491 51.8456197201201)
05554000000801912;Am Hünting;POINT (6.6102972638175945 51.85465125773238)
05554000000801913;Am Kreuzberg;POINT (6.632244852445642 51.83664929224405)
05554000000801914;Millinger Weg;POINT (6.585909679564808 51.839310805651486)
05554000000801915;Am Rosenberg;POINT (6.620165174272338 51.823380861131405)
05554000000801916;Am Sandbach;POINT (6.646583121471517 51.841253712165184)
05554000000801917;Am Schievegraben;POINT (6.605556548065769 51.84591445696392)
05554000000801918;Am Schützenhof;POINT (6.617690338316637 51.83256178648512)
05554000000801919;Am Vredepool;POINT (6.608412501227256 51.8421427885665)
05554000000801920;Am Ziegelofen;POINT (6.659529129058254 51.850949333996596)
05554000000801921;An den Tonwerken;POINT (6.664205853855576 51.84911454891418)
05554000000801922;An der Alten Aa;POINT (6.606746277146865 51.836991851185005)
05554000000801923;An der Bleiche;POINT (6.607351092107753 51.836590292416616)
05554000000801924;An der Heggenaa;POINT (6.591656551282106 51.83037061203569)
05554000000801925;An der Königsmühle;POINT (6.629104234442261 51.83311715314413)
05554000000801926;Anholter Straße;POINT (6.58690036476919 51.839458441603746)
05554000000801927;Annastraße;POINT (6.627658602312841 51.84128803830811)
05554000000801928;Am Annenhof;POINT (6.6318074757200804 51.8514030062344)
05554000000801929;Anne-Frank-Weg;POINT (6.589934179317836 51.842197734116134)
05554000000801930;Arndtstraße;POINT (6.636280285957237 51.836209261917936)
05554000000801931;Askanenstraße;POINT (6.608556285414256 51.83579384724401)
05554000000801932;Auf dem Geuting;POINT (6.646798278672472 51.848363171755935)
05554000000801933;Auf dem Löverick;POINT (6.589917503532169 51.84378372627604)
05554000000801934;Auf dem Schendorn;POINT (6.611365180113965 51.847277562090554)
05554000000801935;Auf der Recke;POINT (6.612474113516154 51.843898279922)
05554000000801936;Augustastraße;POINT (6.621786445016361 51.84176633117983)
05554000000801937;Am Alten Wehr;POINT (6.606015029586598 51.835085847737844)
05554000000801938;Bahnhofstraße;POINT (6.6166100979667215 51.83333931880382)
05554000000801939;Barloer Weg;POINT (6.643366528219342 51.87052557450999)
05554000000801940;Baustraße;POINT (6.598620333166461 51.849357102182786)
05554000000801941;Bayernstraße;POINT (6.60761869598334 51.833016644063626)
05554000000801942;Bärendorfstraße;POINT (6.606911216998384 51.83504045018049)
05554000000801943;Beckmannplatz;POINT (6.634295335832797 51.841285372243064)
05554000000801944;Benölkenplatz;POINT (6.613997607882588 51.841852975671955)
05554000000801945;Benzstraße;POINT (6.608495057817563 51.82051637385481)
05554000000801946;Biemenhorster Weg;POINT (6.616286307267402 51.82404828759707)
05554000000801947;Bischof-Ketteler-Straße;POINT (6.595140093347821 51.84047814101704)
05554000000801948;Bismarckstraße;POINT (6.622493935239304 51.837269591663784)
05554000000801949;Blumenstraße;POINT (6.599115390312329 51.84108332621002)
05554000000801950;Blücherstraße;POINT (6.631001154295482 51.83941942114932)
05554000000801951;Böggeringstraße;POINT (6.587857954217447 51.83069231041814)
05554000000801952;Bönninghausenweg;POINT (6.596928634076565 51.843866321363436)
05554000000801953;Boesstiege;POINT (6.6170063115951665 51.83761641258762)
05554000000801954;Bogenstraße;POINT (6.6242342500350375 51.83064408988466)
05554000000801955;Bonhoefferstraße;POINT (6.629007480973849 51.843152909122)
05554000000801956;Borgersstraße;POINT (6.6217628659883685 51.84762508075702)
05554000000801957;Borkener Straße;POINT (6.640950363258953 51.838885496502)
05554000000801958;Boytinks Mühle;POINT (6.595718113584727 51.83943021055407)
05554000000801959;Brandströmstraße;POINT (6.627997692155335 51.84747440494693)
05554000000801960;Bregenzer Straße;POINT (6.639984738832206 51.845997944492005)
05554000000801961;Bremer Straße;POINT (6.6398130909670545 51.839826945951096)
05554000000801962;Breslauer Straße;POINT (6.639795435193558 51.83956253888963)
05554000000801963;Brockendorfstraße;POINT (6.601035712341736 51.840121247599676)
05554000000801964;Bronckhorststraße;POINT (6.634685160946801 51.83949116886024)
05554000000801965;Brückenstraße;POINT (6.612259972174657 51.83802637333779)
05554000000801966;Bruktererstraße;POINT (6.603245388102791 51.83136209481154)
05554000000801967;Buchenallee;POINT (6.637054594522467 51.851046000094414)
05554000000801968;Burggrafenstraße;POINT (6.6109621641535234 51.84250199076909)
05554000000801969;Burgunderstraße;POINT (6.603076053667708 51.82916227288959)
05554000000801970;Burloer Weg;POINT (6.6251882891580225 51.84541851814797)
05554000000801971;Buschweg;POINT (6.625861343617406 51.84873208069181)
05554000000801972;Büningweg;POINT (6.63116889793267 51.85012332517918)
