strassenschluessel;bezeichnung;geometry
05911000000000010;ABC-Str.;POINT (7.214840902879294 51.479585565259974)
05911000000000011;Rotteland;POINT (7.247803486497456 51.43093683051017)
05911000000000012;Nörenbergskamp;POINT (7.307898379330159 51.494177263802435)
05911000000000013;Wienkopp;POINT (7.1987295769786686 51.42786735049023)
05911000000000014;Bellenkamp;
05911000000000016;Querenburger Höhe;POINT (7.258151018484113 51.44756690086158)
05911000000000017;Sumperkamp;POINT (7.2614107800635965 51.44872413667133)
05911000000000020;Gosefautstr.;
05911000000000021;Peter-Parler-Weg;POINT (7.260159574495872 51.45664513017035)
05911000000000022;Finkenbecke;POINT (7.327937105538577 51.48919615155427)
05911000000000024;Alter Werner Hellweg;POINT (7.277440453289495 51.4768699768871)
05911000000000025;Sevinghauser Gänsereiterweg;POINT (7.137039275652758 51.45857957755159)
05911000000000026;Hermelinweg;POINT (7.151252984752946 51.451804597399665)
05911000000000027;Rathenaustr.;POINT (7.1812916231210435 51.452945368733744)
05911000000000028;Köthener Heide;POINT (7.3335226950803 51.490182122345736)
05911000000000029;Efeuweg;POINT (7.151609593757122 51.456477577653324)
05911000000000030;Am Kortländer;POINT (7.212279456070698 51.48555262076183)
05911000000000031;Lewackerhof;POINT (7.1610416873767875 51.417620590453694)
05911000000000032;Pappelweg;POINT (7.158982191712146 51.45754948741483)
05911000000000033;Reiterweg;POINT (7.159855690558444 51.458578978862256)
05911000000000034;Ligusterweg;POINT (7.150937077424625 51.457199932063986)
05911000000000035;Arndtstr.;POINT (7.222881020312531 51.480951206600295)
05911000000000036;Ostpreußenstr.;POINT (7.138593616464188 51.500255839690524)
05911000000000037;Elsa-Brändström-Str.;POINT (7.191628242982009 51.454724169758464)
05911000000000038;Mandelweg;POINT (7.151417378423487 51.45838821299856)
05911000000000039;Pfarrer-Halbe-Str.;POINT (7.21238194428143 51.441656233185185)
05911000000000040;Bachstr.;
05911000000000041;Alte Weststr.;POINT (7.310197784560278 51.46957293626559)
05911000000000042;Alte Wittener Str.;POINT (7.274747238515192 51.46746304233018)
05911000000000043;Salbeiweg;POINT (7.168552959163395 51.45749191338275)
05911000000000044;Lorbeerweg;POINT (7.169884244693144 51.45773206779966)
05911000000000045;Kurt-Schumacher-Platz;POINT (7.221176050169344 51.47920443086014)
05911000000000046;Sylvesterstr.;POINT (7.185846318408043 51.44952705678915)
05911000000000047;Haspestr.;
05911000000000048;Martin-Lang-Str.;POINT (7.147186130268656 51.49366339714075)
05911000000000049;Am Glockenturm;POINT (7.328901724587306 51.4702544442485)
05911000000000050;Konrad-Adenauer-Platz;POINT (7.214998569507868 51.47595784961591)
05911000000000051;Seilfahrt;POINT (7.198759601176212 51.48675383543601)
05911000000000052;Maashänserweg;POINT (7.328572151206408 51.47208282998259)
05911000000000053;A 40;
05911000000000054;A 44;
05911000000000055;Bleichstr.;POINT (7.221874052719205 51.48200267412433)
05911000000000056;Otterkuhle;POINT (7.204925176937965 51.437337528000214)
05911000000000057;A 43;
05911000000000058;Fortmannweg;POINT (7.259386071942635 51.5160211439772)
05911000000000059;Auf der Panne;POINT (7.280930377586854 51.52076938729894)
05911000000000060;Stühmeyerstr.;POINT (7.212133900770538 51.485982852684096)
05911000000000061;Wiekskamp;POINT (7.25525691927677 51.51987673766829)
05911000000000061;Wiekskamp;POINT (7.25525691927677 51.51987673766829)
05911000000000062;Heiksfeld;POINT (7.257043061509121 51.51819825615641)
05911000000000064;Berger Höfe;POINT (7.2671184912119795 51.46151775270795)
05911000000000065;Bongardstr.;POINT (7.216594865204758 51.482095178539026)
05911000000000066;Asbeck;POINT (7.2691302735240395 51.46147070350456)
05911000000000069;Kolkmannskamp;POINT (7.164662241509213 51.423127357648305)
05911000000000070;Brückstr.;POINT (7.218767031579298 51.48323210137275)
05911000000000071;Carl-von-Ossietzky-Platz;POINT (7.31537614929307 51.470543829461185)
05911000000000072;Hans-Ehrenberg-Platz;POINT (7.214417260658712 51.47254937204594)
