strassenschluessel;bezeichnung;geometry
05314000000001001;Ernst-Abbe-Str.;
05314000000001002;Acherstr.;POINT (7.101060304147014 50.73517042194601)
05314000000001003;Achim-von-Arnim-Str.;POINT (7.135320419417987 50.71016878885086)
05314000000001004;Bergfeldstr.;POINT (7.078779255280822 50.72289328355049)
05314000000001005;Adolfstr.;POINT (7.09268952933637 50.74202598038325)
05314000000001006;Agrippinenstr.;POINT (7.091929307640549 50.730480458787234)
05314000000001007;Espenweg;POINT (7.0967028789289435 50.701862572255585)
05314000000001008;Ahrweg;POINT (7.1131064908828945 50.71591805163295)
05314000000001009;Alemannenweg;POINT (7.086985212415678 50.740417156265345)
05314000000001010;Alexander-Koenig-Str.;POINT (7.091551911699322 50.7146098307067)
05314000000001011;Alexanderstr.;POINT (7.097676434020009 50.73856847086028)
05314000000001012;Alfred-Bucherer-Str.;POINT (7.07602431032979 50.726518254883764)
05314000000001013;Berliner Platz;POINT (7.094189967271106 50.736499472664605)
05314000000001014;Alter Fahrweg;
05314000000001015;Allensteiner Str.;POINT (7.068238514365382 50.76084582133412)
05314000000001016;Alte Heerstr.;POINT (7.065568441498128 50.72410620252297)
05314000000001017;Taunusstr.;POINT (7.084064631274327 50.73652125851385)
05314000000001018;Am Alten Friedhof;POINT (7.089391262029758 50.73543238193701)
05314000000001019;Auf der Steige;POINT (7.105600917580638 50.70733031855555)
05314000000001020;Am Birkenbruch;POINT (7.089938754388277 50.69298577132219)
05314000000001021;Am Boeselagerhof;POINT (7.105892124434137 50.736225157333585)
05314000000001022;Am Bonner Berg;POINT (7.087635941629215 50.75535178288721)
05314000000001023;Am Botanischen Garten;POINT (7.091812317641636 50.72343980190039)
05314000000001024;Am Buchenhang;POINT (7.102438069739897 50.713902330655515)
05314000000001025;Am Burggraben;POINT (7.074461168623842 50.7240052883672)
05314000000001026;Am Eichkamp;POINT (7.070317387478114 50.72319157606806)
05314000000001027;Am Gerhardsplatz;POINT (7.081362891402206 50.743579873017694)
05314000000001028;Am Gymnicher Hof;
05314000000001029;Am Agnesstift;POINT (7.088770546040403 50.75093083986154)
05314000000001030;Am Hof;POINT (7.101860392009541 50.734247251952226)
05314000000001031;Am Hofgarten;POINT (7.103250142896946 50.73171749766751)
05314000000001032;Am Jesuitenhof;POINT (7.100201386237475 50.74982840366561)
05314000000001033;Am Johanneskreuz;POINT (7.098013723473152 50.74161943903891)
05314000000001034;Am Lappenweiher;POINT (7.083740075132776 50.71073539243462)
05314000000001035;Am Marthashof;
05314000000001036;Am Nesselroder Hof;POINT (7.104120173483515 50.73842133077034)
05314000000001037;Am Neutor;POINT (7.10098928259837 50.732980754593456)
05314000000001038;Am Paulshof;POINT (7.09531672843535 50.70342544069468)
05314000000001039;Am Propsthof;POINT (7.068520284056545 50.73396153469893)
05314000000001040;Am Quirinusbrunnen;POINT (7.110449544671157 50.701694579606084)
05314000000001041;Am Ringwall;POINT (7.052433351945486 50.74318302668992)
05314000000001042;Am Römerkastell;POINT (7.097188092219242 50.74469609237427)
05314000000001043;Am Schänzchen;POINT (7.103943455778306 50.743676556393744)
05314000000001044;Am Schützenhof;POINT (7.0529810117139 50.743797223517234)
05314000000001045;Amselweg;POINT (7.070686704206997 50.744917094260444)
05314000000001046;Charles-de-Gaulle-Str.;POINT (7.129438662567684 50.71881570747899)
05314000000001047;Am Poppelsdorfer Weiher;POINT (7.094645871679111 50.725737097444224)
05314000000001048;Am Wichelshof;POINT (7.10149106957108 50.74591477438643)
05314000000001049;An der Dransdorfer Burg;POINT (7.053750534027117 50.73723771341049)
05314000000001050;An der Esche;POINT (7.101592048479494 50.74321493743697)
