strassenschluessel;bezeichnung;geometry
057620000012D8480;Bleichebach;
057620000012D8501;Aapkesberg;
057620000012D8502;Aldorpsen;
057620000012D8503;Altbruch;
057620000012D8504;Alte Eggel;
057620000012D8506;Alte Teich;POINT (9.244056034488201 51.566758565423484)
057620000012D8507;Am alten Graben;
057620000012D8508;Am Borgentreicher Wege;
057620000012D8509;Am Brakelschen Wege;POINT (9.230712323410858 51.57782125584526)
057620000012D8511;Am Brökelberge;POINT (9.237768365392373 51.54756647928174)
057620000012D8512;Am Burgfeld;POINT (9.245935664534377 51.56941210339173)
057620000012D8513;Am Diebeswege;
057620000012D8514;Am Echlerberge;
057620000012D8516;Am Echler Wege;POINT (9.228680616658636 51.55987356158418)
057620000012D8517;Am Eiserwege;
057620000012D8519;Am Füllen Pfade;
057620000012D8521;Am Galgenberg;
057620000012D8522;Am Gerichte;
057620000012D8524;Am Hohllande;POINT (9.274106403358502 51.56768653397152)
057620000012D8526;Am Holzwege;
057620000012D8527;Am Kahlenberge;POINT (9.212493040236092 51.58585047712135)
057620000012D8528;Am Körbecker Wege;POINT (9.245503367525016 51.56091111037907)
057620000012D8529;Am Lohwege;
057620000012D8531;Am Maihof;POINT (9.208813725766927 51.572763744997886)
057620000012D8532;Am Mühlenberge;
057620000012D8533;Am Mühlengraben;
057620000012D8534;Am Schierke;
057620000012D8536;Am Wellwege;POINT (9.263321875621005 51.562732747918496)
057620000012D8537;An den Äckern;
057620000012D8538;An der Holster Grund;POINT (9.256539536322713 51.55999699803219)
057620000012D8541;An der langen Twete;
057620000012D8542;An der Schirktwete;
057620000012D8543;Auf'm Buschlande;
057620000012D8544;Auf dem Höpperwinkel;
057620000012D8546;Auf den Horen;POINT (9.244055071995337 51.549268014516365)
057620000012D8547;Auf der Bülte;POINT (9.267814003605931 51.57103279783837)
057620000012D8548;Auf der Heide;
057620000012D8549;Auf der Saalenbrede;POINT (9.2256958106167 51.56913859330751)
057620000012D8551;Auf'm Brinksassen;
057620000012D8552;Auf'm Kasten;
057620000012D8553;Auf'm Kley;POINT (9.272716363179974 51.573292536430706)
057620000012D8554;Auf'm Maschberge;POINT (9.238867541557708 51.56442269074256)
057620000012D8556;Auf'm Mühlenberge;
057620000012D8557;Auf'm Mühlenhofe;
057620000012D8558;Auf'm Schirk;POINT (9.244462894626661 51.56560963853039)
057620000012D8559;Austerlange;
057620000012D8561;Bei der Daubenwiese;POINT (9.229637331213507 51.58641173451736)
057620000012D8562;Bei der Hagemühle;
057620000012D8563;Bei der Windmühle;
057620000012D8564;Bei Rolweskuhle;POINT (9.232505707227487 51.55324929182505)
057620000012D8566;Bei Storchspohl;
057620000012D8567;Beim Burgfeld;POINT (9.249901605553088 51.572856505722406)
057620000012D8568;Beim Echelerpohl;
057620000012D8569;Beim Fate;
057620000012D8571;Beim Graßwege;POINT (9.228461284241734 51.57023871943564)
057620000012D8572;Bei'm Papenrisch;
057620000012D8573;Bei'm Turme;POINT (9.259271701693429 51.58450794274439)
057620000012D8574;Beverunger Holzweg;
057620000012D8576;L 763;
057620000012D8578;Burgfeld;POINT (9.250698332609167 51.571903419632484)
057620000012D8579;Dahne-Feld;POINT (9.244738803023552 51.55255085115074)
057620000012D8581;Das kleine Feld;
057620000012D8582;Das Rietbruch;
057620000012D8583;Der Galgenberg;POINT (9.25413261057948 51.58303971859871)
057620000012D8584;Der Hagen;POINT (9.236877027130433 51.57042280120591)
057620000012D8586;Der kleine Hanripen;POINT (9.253989302037946 51.57797241256136)
057620000012D8588;Die Bölteke;
057620000012D8589;Die lange Twete;
057620000012D8591;Die Lehmtorschen Echel;
057620000012D8592;Die Mühlentorschen Echeln;
057620000012D8593;Dinkelburger Hagen;
057620000012D8594;Distelbänke;
057620000012D8596;Dreckbreite;POINT (9.251633572591658 51.56386722351952)
057620000012D8597;Echlerbruch;
057620000012D8598;Echtere Feld;
057620000012D8599;Eggel;
057620000012D8601;Emmerke;
057620000012D8602;Emmerkefeld;
057620000012D8603;Emmerke Höfe;POINT (9.26126541424784 51.57319379904918)
057620000012D8604;Emmerke Kirche;POINT (9.26412933302772 51.57475332726041)
057620000012D8606;Geisbreite;
057620000012D8607;Grosser Hanripen;
057620000012D8608;Große Teilwiese;
057620000012D8611;Hedeberg;POINT (9.209579978368376 51.56104893603583)
057620000012D8612;Helle;
057620000012D8613;Hinter d.Broffeltrupper Wiesen;
057620000012D8614;Hinter der Ware;
057620000012D8616;Hintere Burgfeld;POINT (9.255948160260274 51.56854106623009)
057620000012D8617;Hintere Holtrupper Feld;
057620000012D8618;Hintere Oberehof;POINT (9.223769750519706 51.57802701880069)
057620000012D8619;Hinterm Bruche im Toedt;
057620000012D8621;Hinterm hohen Hügel;POINT (9.24396542270145 51.558054962429416)
057620000012D8622;Hinter'm Berge;
057620000012D8623;Hohe Feld;POINT (9.23009866205403 51.556280916636005)
057620000012D8624;B 241;
057620000012D8625;Holster Bruch;
057620000012D8626;Holtrupper Feld;POINT (9.24159306079528 51.57499149443755)
057620000012D8627;Hüwelsberg;
057620000012D8628;Im Bitteln;
057620000012D8629;Im Echteren Felde;
057620000012D8631;Im hinteren Emmerkefelde;
057620000012D8632;Im Rode;POINT (9.244181475955463 51.55755865915636)
057620000012D8633;Im Siek;
057620000012D8634;Im Sievers Winkel;
