strassenschluessel;bezeichnung;geometry
05754000000400050;Burg Ravensberg;
05754000000405000;Auf dem Bienenfeld;POINT (8.30688471771904 52.09681131971958)
05754000000406000;Auf der Wahme;POINT (8.312816685289356 52.10346251281805)
05754000000407000;Arnischen Busch;POINT (8.313107868250016 52.102937546251965)
05754000000408000;Ahornweg;POINT (8.337391921811832 52.10557207814525)
05754000000409000;Am Bach;POINT (8.273942621707839 52.092808976271314)
05754000000410000;Am Blömkenberg;POINT (8.290541186516348 52.10518442389549)
05754000000410100;Am Haarberg;POINT (8.290826288008875 52.09915697436388)
05754000000410200;Am Teuto;POINT (8.2487995405925 52.08033498567325)
05754000000410300;Am Hardenberg;POINT (8.29691220943209 52.10302651822063)
05754000000410400;Am Hohen Garten;POINT (8.303499376449562 52.10552089463115)
05754000000410410;Am Landbach;POINT (8.232200089703374 52.100046679118165)
05754000000410420;Am Ravensberg;POINT (8.281849896583985 52.083765679917995)
05754000000410430;Am krummen Acker;POINT (8.292205441010578 52.09942858985287)
05754000000410500;Am Riesberg;POINT (8.309972463644673 52.0996532525338)
05754000000410600;Am Scheining;POINT (8.30500614867953 52.09759387542842)
05754000000410700;Am Schulzen Garten;POINT (8.293101796498101 52.09859216083081)
05754000000410710;Am Stadtgraben;POINT (8.29201027595192 52.093809540318745)
05754000000410800;Amselweg;POINT (8.29175654414259 52.09856042283846)
05754000000410900;Am Tempel;POINT (8.311361577803774 52.10403193461721)
05754000000410950;Am Uphof;POINT (8.300375420784064 52.10286340746353)
05754000000411000;Am Wulfersiek;POINT (8.297308423718901 52.11257073288514)
05754000000411020;An der Bundesstraße;POINT (8.269914477964713 52.08556224915785)
05754000000411050;Auf der Horst;POINT (8.304190163893606 52.108219365280846)
05754000000411100;Bahnhofstraße;POINT (8.2897452249198 52.093476646037985)
05754000000411210;Barenbergweg;POINT (8.295505800176725 52.0965022578976)
05754000000411230;Barnhauser Straße;POINT (8.333611619743746 52.10489384018692)
05754000000411300;Beethovenstraße;POINT (8.31123274259402 52.10111657357296)
05754000000411400;Berghauser Weg;POINT (8.29444661902144 52.099954005403205)
05754000000411500;Bergstraße;POINT (8.298679550230057 52.1049700115906)
05754000000411600;Berliner Straße;POINT (8.290740416254787 52.098219984769)
05754000000411700;Bielefelder Straße;POINT (8.303205234819377 52.10482869590307)
05754000000411710;Binnenfeld;POINT (8.339650794204895 52.1060996983527)
05754000000411720;Bödinghausen;POINT (8.276122269204354 52.07845605344238)
05754000000411730;Burbrede;POINT (8.305041653331285 52.105984784994504)
05754000000411740;Burg Ravensberg;POINT (8.297603888279168 52.08292803066409)
05754000000411800;Breslauer Weg;POINT (8.30911982250136 52.103082366337674)
05754000000411810;Brincker Weg;POINT (8.33990521172899 52.11488802671556)
05754000000411820;Brinkstraße;POINT (8.263715012068705 52.091134068099045)
05754000000411830;Casumer Straße;POINT (8.270175292741536 52.06824740591137)
05754000000411840;Clever Bruch;POINT (8.307201355363967 52.068280842880135)
05754000000411850;Clever Schlucht;POINT (8.30552689806755 52.08535709233332)
05754000000411860;Clever Straße;POINT (8.31199790871663 52.07512945351475)
05754000000411870;Dieckbrede;POINT (8.351909769916013 52.09863307676428)
05754000000411900;Dietrich-Bonhoeffer-Straße;POINT (8.307341756937102 52.10820372931667)
05754000000412000;Danziger Weg;POINT (8.30851419922926 52.103550661512706)
05754000000412010;Dorfstraße;POINT (8.337411072302187 52.105026714187396)
05754000000412050;Donneresch;POINT (8.313332518460856 52.102183020894714)
05754000000412100;Drosselweg;POINT (8.288624421396355 52.09776237136842)
05754000000412200;Dr.-Wilhelm-Upmeyer-Straße;POINT (8.29863883161894 52.10122080669266)
05754000000412210;Eisdehne;POINT (8.213541023088506 52.09784933240154)
05754000000412220;Eschweg;POINT (8.288485363538284 52.071405096523904)
05754000000412230;Fasanenweg;POINT (8.21345493824968 52.09080387083623)
05754000000412240;Enkefeld;POINT (8.28957027463285 52.09437923064691)
05754000000412260;Faßbrink;POINT (8.316049491778989 52.10039680954797)
05754000000412270;Fahrenbrede;POINT (8.296744662587743 52.10496049140863)
05754000000412300;Finkenau;POINT (8.301187031286473 52.101806252958795)
05754000000412400;Finkenweg;POINT (8.290097023783487 52.09550868598682)
05754000000412410;Franz-Nolte-Straße;POINT (8.308223400333324 52.10820261170058)
05754000000412500;Freistraße;POINT (8.30000410271403 52.10202621251477)
05754000000412600;Friedenstraße;POINT (8.30772127127552 52.10338873848631)
05754000000412610;Fuchsweg;POINT (8.212265445525162 52.08916290605458)
05754000000412700;Gartenstraße;POINT (8.3033997511398 52.10240427257963)
05754000000412800;Gerhart-Hauptmann-Straße;POINT (8.29970377221095 52.10538430714677)
05754000000412900;Goethestraße;POINT (8.296631111540329 52.0990123339153)
05754000000413000;Goldbrede;POINT (8.308479366773135 52.10807468845651)
05754000000413010;Grenzweg;POINT (8.222710266155296 52.10294053931692)
05754000000413100;Großes Moor;POINT (8.302999675824033 52.09880794896198)
05754000000413200;Haller Weg;POINT (8.300447265050433 52.100911490455886)
05754000000413310;Hamlingdorfer Weg;POINT (8.294956805253499 52.0956874234187)
05754000000413320;Hasenweg;POINT (8.212427053049115 52.09034493940413)
05754000000413330;Haus Brincke;POINT (8.344395222248675 52.110775379121925)
05754000000413340;Heidbrede;POINT (8.327371609352324 52.10250646368121)
05754000000413350;Heideweg;POINT (8.248548576461042 52.09181875144462)
05754000000413355;Heidkamp;POINT (8.296156273316639 52.10463678518107)
05754000000413400;Heidbreder Weg;POINT (8.31649802311095 52.10148612107466)
05754000000413500;Hengbergweg;POINT (8.291177407932883 52.1171886507528)
05754000000413510;Hesselner Straße;POINT (8.299350235088138 52.06040918575179)
05754000000413520;Hesseltal;
05754000000413530;Hesselteicher Straße;POINT (8.263278523260805 52.08023537191349)
05754000000413550;Hörster Straße;POINT (8.27770212403929 52.054801093038215)
05754000000413560;Hoffstraße;POINT (8.271018744716356 52.087230521655336)
05754000000413570;Holtackerweg;POINT (8.26489227747317 52.09748575744061)
05754000000413580;Holtfelder Straße;POINT (8.27810237584384 52.06356007328731)
05754000000413590;Holzweg;POINT (8.21241213771712 52.08612606848046)
05754000000413600;In der Lake;POINT (8.293163742414446 52.09678082364809)
05754000000413610;Illenbruch;POINT (8.269686369167326 52.06716368231456)
05754000000413630;Im Felde;POINT (8.255185437091233 52.10001777190865)
05754000000413640;Industriestraße;POINT (8.27119895412376 52.08369155365914)
05754000000413650;Julius-Hesse-Straße;POINT (8.287770075741832 52.096001886248494)
05754000000413660;Im Recke;POINT (8.259443267416026 52.04998623675684)
05754000000413670;Inge-Stern-Straße;POINT (8.287665983189536 52.09549010207619)
05754000000413700;Jammerpatt;POINT (8.296272044247308 52.09805989927315)
05754000000413710;Kämpenstraße;POINT (8.250779930614069 52.06710761991323)
05754000000413800;Kaiserstraße;POINT (8.302526291164053 52.10446094313501)
05754000000413900;Kampgarten;POINT (8.302599058220968 52.10306744178081)
05754000000414000;Kirchstraße;POINT (8.302604841115551 52.102415891857284)
05754000000414010;Kleekamp;POINT (8.237132675719552 52.104913050082104)
05754000000414110;Kleines Moor;POINT (8.298577609266859 52.09605481450006)
05754000000414120;Kleistraße;POINT (8.2509288345956 52.10023244581809)
05754000000414200;Klingenhagen;POINT (8.299610641267078 52.103097486966476)
05754000000414300;Klockenbrink;POINT (8.305799819278196 52.10483426391986)
05754000000414350;Königsberger Straße;POINT (8.292603438004368 52.097512178653425)
05754000000414400;Konradstraße;POINT (8.299555232464135 52.10452245028797)
05754000000414410;Kottenkamp;POINT (8.255448428940257 52.0802562050309)
05754000000414420;Landweg;POINT (8.332832014168298 52.11922152239066)
05754000000414430;Kurt-Nagel-Straße;POINT (8.249047075784487 52.078440562552636)
05754000000414440;Laarwiese;POINT (8.310128327206566 52.075490636746)
05754000000414500;Lessingstraße;POINT (8.295997900654712 52.09833772900139)
05754000000414510;Lohkamp;POINT (8.35184165906801 52.11785433746356)
05754000000414600;Martin-Luther-Straße;POINT (8.31078976059488 52.10391715045109)
05754000000414700;Masch;POINT (8.305248030612281 52.102127674425674)
05754000000414800;Masurenweg;POINT (8.291463735420466 52.0970870833897)
05754000000414890;Max-Weinberg-Straße;POINT (8.289061654226197 52.09496596397928)
05754000000414900;Mecklenburger Weg;POINT (8.294435682139989 52.0981998820237)
05754000000415000;Meisenweg;POINT (8.289350969528217 52.09814152400722)
05754000000415010;Meller Straße;POINT (8.314235647745656 52.11687718481411)
05754000000415020;Nienkamp;POINT (8.27301186927608 52.08997665128907)
05754000000415100;Mittelstraße;POINT (8.301304327134575 52.10335997542357)
05754000000415200;Mozartstraße;POINT (8.309083439007344 52.10033290568523)
05754000000415300;Nicolaistraße;POINT (8.306745045025185 52.10318889649487)
05754000000415310;Nollbrink;POINT (8.279058154023215 52.09381457143769)
05754000000415320;Nollheide;POINT (8.285069136945879 52.09102367366315)
05754000000415330;Obere Mühle;POINT (8.29347059976463 52.06693767840246)
05754000000415340;Oldendorfer Straße;POINT (8.254400127346331 52.077425831205694)
05754000000415370;Osnabrücker Straße;POINT (8.268124154708499 52.0863435517157)
05754000000415400;Osningstraße;POINT (8.312174011864414 52.10358998830315)
05754000000415410;Ostbarthauser Straße;POINT (8.249084089770454 52.08733991174121)
05754000000415450;Osterfeld;POINT (8.312770214958823 52.100022776994074)
05754000000415500;Oststraße;POINT (8.307168670406663 52.103918449640226)
05754000000415520;Pallheide;POINT (8.275695333571472 52.0768923209948)
05754000000415550;Pappelweg;POINT (8.304452973511795 52.09816402126531)
05754000000415600;Peter-Eggermont-Straße;POINT (8.296089733411407 52.10920959500898)
05754000000415700;Ravensberger Straße;POINT (8.299199024384158 52.10005359468433)
05754000000415710;Rebhuhnweg;POINT (8.211322191159104 52.091111365604135)
05754000000415720;Regina-Spiegel-Straße;POINT (8.288715447524035 52.09420736543451)
05754000000415800;Rosenberger Straße;POINT (8.306838857185749 52.10259717747325)
05754000000415900;Samlandweg;POINT (8.28821427450735 52.0981355658596)
05754000000416000;Schillerstraße;POINT (8.295140896191953 52.09799109520941)
05754000000416100;Schlesierweg;POINT (8.289167717014863 52.09718236764462)
05754000000416110;Schloßallee;POINT (8.283430171446478 52.06075192290155)
05754000000416200;Schubertstraße;POINT (8.310958774317722 52.10004726888767)
05754000000416300;Schulstraße;POINT (8.303612994801382 52.10300175905372)
05754000000416310;Stockkämper Straße;POINT (8.293735637679044 52.0756559483951)
05754000000416350;Steinbrink;POINT (8.266313710611353 52.08295128287461)
05754000000416400;Südstraße;POINT (8.294905061324648 52.098325812562436)
05754000000416500;Sundernstraße;POINT (8.308850592042338 52.10653720921237)
05754000000416600;Tanfanastraße;POINT (8.300463630566831 52.10319967145694)
05754000000416610;Taubenweg;POINT (8.213936240750991 52.0911477061357)
05754000000416620;Telgenbusch;POINT (8.249214894759655 52.09994940425332)
05754000000416700;Teutoburger Straße;POINT (8.29962185027779 52.10399529230523)
05754000000416710;Thielheide;POINT (8.252492007445817 52.08441031571343)
05754000000416730;Unter der Burg;POINT (8.287046325163388 52.08495383417095)
05754000000416800;Unter der Horst;POINT (8.30442535210021 52.10679715203835)
05754000000416810;Versmolder Straße;POINT (8.267447372994395 52.086006698739034)
05754000000416900;Vogelgitter;POINT (8.303016575992064 52.100157970856216)
05754000000416910;Wellenstraße;POINT (8.268066400176938 52.09309537110492)
05754000000417000;Wellingholzhauser Straße;POINT (8.277888567239849 52.12745759572218)
05754000000417010;Westbarthauser Straße;POINT (8.214083935735571 52.09229367982494)
05754000000417100;Weststraße;POINT (8.2905438640572 52.09625595483304)
05754000000417110;Wichlinghausen;POINT (8.344947717618012 52.09260245206778)
05754000000417210;Wichlinghauser Weg;POINT (8.313355683439035 52.09609868265138)
05754000000417300;Wiesenstraße;POINT (8.309413966700298 52.10520689984354)
