strassenschluessel;bezeichnung;geometry
05954000000430001;Ackerstraße;POINT (7.4767236004133135 51.26411974612641)
05954000000430002;Ahlenbecke;POINT (7.412611408827977 51.24917335303557)
05954000000430003;Altena Ennepe;POINT (7.400785662742984 51.2304135895411)
05954000000430004;Altenbreckerfeld;POINT (7.457538982370367 51.24588445258909)
05954000000430005;Altenfeld;
05954000000430006;Alter Kamp;POINT (7.4715060894987255 51.25958319598545)
05954000000430010;Am Berghof;POINT (7.465008178432204 51.241071911813826)
05954000000430011;Am Bichkamp;POINT (7.477459255956184 51.247644787545916)
05954000000430012;Am Brauckhoff;POINT (7.467464625229933 51.25772750033162)
05954000000430013;Am Eispalast;POINT (7.461064900303235 51.2627510610312)
05954000000430014;Amboßweg;POINT (7.468266004384875 51.25426420766496)
05954000000430015;Am Fernblick;POINT (7.4643429466074664 51.250682700806586)
05954000000430017;Am Kattenbusch;POINT (7.4705238073424205 51.25726126699664)
05954000000430018;Am Küchenplatz;POINT (7.4683186173287 51.25573835737811)
05954000000430019;Am Stalhof;POINT (7.467556673087442 51.25283205423407)
05954000000430022;Am Wehrgraben;POINT (7.465112543174053 51.26108406761468)
05954000000430023;An der Quelle;POINT (7.464895069137538 51.25341353234998)
05954000000430028;Bäckerriege;POINT (7.462682509276307 51.257795758167816)
05954000000430030;Bauendahl;POINT (7.40470521689689 51.24801763259009)
05954000000430033;Berghausen;POINT (7.4854366557123235 51.25268068864479)
05954000000430034;Berghauser Straße;POINT (7.480025472607495 51.248833107135155)
05954000000430036;Bergstraße;POINT (7.470569985962753 51.263913189137114)
05954000000430040;Böckel;POINT (7.409635949260788 51.22768010737182)
05954000000430042;Bonkampstraße;POINT (7.468629575901755 51.26330664182794)
05954000000430043;Boßel;POINT (7.459950344617266 51.23762245835826)
05954000000430044;Boßeler Straße;POINT (7.4651163681307 51.2388060241176)
05954000000430047;Brantener Straße;POINT (7.469837326237686 51.239076732809906)
05954000000430048;Brauck;POINT (7.453214025924079 51.26550973168553)
05954000000430049;Brauerriege;POINT (7.46328146256861 51.257857328624084)
05954000000430051;Breloh;POINT (7.455091750255858 51.251129115240765)
05954000000430052;Brenscheid;POINT (7.434635789667193 51.27022715147397)
05954000000430053;Brenscheider Weg;POINT (7.440141800599911 51.27647464175555)
05954000000430054;Brunnenstraße;POINT (7.467484254162969 51.260119426988766)
05954000000430057;Bühren;POINT (7.513975226194575 51.27358414746161)
05954000000430059;Dahlerbrücker Straße;POINT (7.473444402323106 51.245704952086626)
05954000000430062;Deller Straße;POINT (7.439380500240801 51.27795953774224)
05954000000430063;Denkmalstraße;POINT (7.468146256962111 51.26070804702933)
05954000000430064;Dickenberg;POINT (7.429979449272846 51.24467961911204)
05954000000430065;Denarstraße;POINT (7.467326470482453 51.25166033504537)
05954000000430066;Dörnen;POINT (7.425297889629111 51.27559454254829)
05954000000430067;Dorfstraße;POINT (7.48678027791495 51.267219584111906)
05954000000430068;Drehe;POINT (7.471333051249954 51.270521833665455)
05954000000430069;Dreher Weg;POINT (7.481479823000976 51.26855911944932)
05954000000430070;Dr.-Knipping-Weg;
05954000000430073;Duisbergstraße;POINT (7.460420279317259 51.265775637169824)
05954000000430074;Ebbinghausen;POINT (7.433595494666431 51.239619722082004)
05954000000430075;Ecklöh;POINT (7.461416026866973 51.271107513508795)
05954000000430076;Egenstraße;POINT (7.459140792468765 51.267959264909386)
05954000000430077;Ehringhauser Heide;POINT (7.480058230307066 51.241245837049775)
05954000000430079;Eicken;POINT (7.4218714395142165 51.27172681209554)
05954000000430081;Ennepetalsperre;POINT (7.408049734706419 51.24436808626882)
05954000000430083;Epscheider Straße;POINT (7.480697074805389 51.266043090950554)
05954000000430084;Erlenbruch;POINT (7.46621765541343 51.25335162746372)
05954000000430086;Feldstraße;POINT (7.473874750599898 51.26465214961639)
05954000000430087;Filde;POINT (7.393433972833195 51.2448207344132)
05954000000430088;Finkenberg;POINT (7.430042595304267 51.274659235512566)
05954000000430089;Finkenberger Mühle;POINT (7.423446018206459 51.28011548945606)
05954000000430091;Fischersheide;POINT (7.448274802270772 51.24387819448976)
05954000000430094;Frankfurter Straße;POINT (7.4622571292506095 51.26483160121516)
05954000000430095;Frettlöh;POINT (7.464835361141334 51.23122380960573)
05954000000430097;Funkenhaus;POINT (7.451296576110416 51.245734638301585)
05954000000430100;Gildenstraße;POINT (7.4675095795518915 51.25555340564704)
05954000000430101;Glörstraße;POINT (7.497191693617476 51.24669403953672)
05954000000430102;Glörtalsperre;POINT (7.495671687433777 51.24221716345097)
05954000000430103;Grabenstraße;POINT (7.468577977354804 51.26017018108927)
05954000000430106;Groll;POINT (7.451582269010682 51.252545266094714)
05954000000430107;Grünstraße;POINT (7.438996686667327 51.277314789812515)
05954000000430109;Habauck;POINT (7.428138634639407 51.27764121154546)
05954000000430110;Hagener Straße;
05954000000430112;Hammachersheide;POINT (7.439288455629502 51.281871559223134)
05954000000430113;Handweiser;POINT (7.440300498964885 51.242992600567135)
05954000000430114;Handelsriege;POINT (7.462164170968803 51.257487770971345)
05954000000430115;Hansering;POINT (7.466858855737546 51.252626647399836)
05954000000430116;Harkortstraße;POINT (7.464899027586145 51.26591724833155)
05954000000430117;Haschenschlage;POINT (7.424052709494485 51.26890207689598)
05954000000430118;Hasenkehr;POINT (7.439818654395272 51.28440246975402)
05954000000430123;Heide;POINT (7.474282935096386 51.25128772869572)
05954000000430130;Hochstraße;POINT (7.468533986426385 51.260540306354116)
05954000000430132;Holand;POINT (7.451479815116237 51.24950211609015)
05954000000430133;Holle;POINT (7.422353123339242 51.25781236304516)
05954000000430134;Holthausen;POINT (7.425060725233478 51.243502533320495)
05954000000430135;Holtschüer Weg;POINT (7.484233979123128 51.26773456811125)
05954000000430136;Hülsenbusch;POINT (7.4662883076054 51.25426622209289)
05954000000430139;Hüsmecke;POINT (7.502357490131143 51.25627030506759)
05954000000430141;Im Eck;POINT (7.486284634086128 51.26724330133134)
05954000000430142;Im Grund;POINT (7.4647161486484865 51.25688144494686)
05954000000430143;Im Schlage;POINT (7.478676663362041 51.25587955643191)
05954000000430144;Im Siepen;POINT (7.42351091260582 51.28262539136464)
05954000000430147;In der Kuxe;
05954000000430148;In der Bredde;POINT (7.4774875752464744 51.248469786812485)
05954000000430149;In der Epscheid;POINT (7.490627905649885 51.26399880010111)
05954000000430150;In der Hasbecke;POINT (7.481411057489234 51.26892350458094)
05954000000430151;In der Illekatte;POINT (7.466371225224055 51.26586473922071)
05954000000430152;In der Sylbach;POINT (7.463928919161265 51.25104822994948)
05954000000430153;Jägerstraße;POINT (7.4715364935303175 51.26324747034137)
05954000000430154;Jakobusweg;POINT (7.466588032512841 51.25766463436958)
05954000000430155;Jugendherb. Glörtalsperre;POINT (7.490143926813698 51.23950709494691)
05954000000430158;Kamp;POINT (7.415875412844978 51.24970659229215)
05954000000430160;Kapellenstraße;POINT (7.458560590442178 51.26417660449091)
05954000000430161;Keutstraße;POINT (7.465939631754548 51.250661463909985)
05954000000430162;Kleinbahnstraße;POINT (7.438996557716192 51.27608478056312)
05954000000430163;Klevinghausen;POINT (7.475577697612169 51.252998986947745)
05954000000430164;Klevinghauser Straße;POINT (7.475057770731815 51.25627658893249)
05954000000430165;Klingenweg;POINT (7.4683117308948646 51.254760183468)
05954000000430169;Königsheide;POINT (7.449451230833343 51.27256699893754)
05954000000430170;Köttingstraße;POINT (7.475201048428853 51.26546364984709)
05954000000430171;Kotten;POINT (7.426909580833817 51.24786253852048)
05954000000430172;Krägeloh;POINT (7.469530976147506 51.28914280068922)
05954000000430173;Krallenheide;POINT (7.444540156297498 51.27434943978545)
05954000000430175;Kückelhausen;POINT (7.442715973266436 51.24857230424592)
05954000000430176;Kückelhauser Straße;POINT (7.463597318793201 51.25802423588713)
05954000000430178;Landwehr;POINT (7.473735495417325 51.23814309498015)
05954000000430179;Langscheid;POINT (7.4658683165849435 51.27396497832855)
05954000000430180;Langscheider Straße;POINT (7.464014635613754 51.26690231694836)
05954000000430181;Lausberg;POINT (7.431474103196583 51.25574481093378)
05954000000430188;Loh;POINT (7.485767205758661 51.24522858300349)
05954000000430189;Loher Straße;POINT (7.468953573114216 51.24101605853484)
05954000000430190;Lorenzheide;POINT (7.4292649969656095 51.2772093613409)
05954000000430191;Lorenzheider Weg;POINT (7.43775405266478 51.27840321133877)
05954000000430192;Meilerriege;POINT (7.463976349228911 51.257618527546555)
05954000000430193;Mühle;POINT (7.449215918267698 51.25677219617325)
05954000000430194;Messmäckerweg;POINT (7.468460733459431 51.25541770838214)
05954000000430195;Münzstraße;POINT (7.466524294636139 51.25094059175421)
05954000000430196;Nadelsheide;POINT (7.404789205843609 51.2249222982872)
05954000000430199;Nesselberg;POINT (7.465124693205562 51.2434899367586)
05954000000430200;Neuenloh;POINT (7.450519416527585 51.28062568376977)
05954000000430201;Neue Straße;POINT (7.466485670540045 51.261395159070425)
05954000000430203;Niederklütingen;POINT (7.381515387091941 51.24682441757388)
05954000000430204;Niedernheede;POINT (7.437025135094849 51.28162503217676)
05954000000430208;Oberklütingen;POINT (7.385951875190019 51.24942614247732)
05954000000430209;Obernheede;POINT (7.444811061754599 51.27731563327284)
05954000000430211;Op de Höchte;POINT (7.486927446880395 51.26763699725446)
05954000000430212;Osemundstraße;POINT (7.468250375635684 51.25414113449432)
05954000000430213;Osenberg;POINT (7.441374923571239 51.223529955742244)
05954000000430214;Ostring;POINT (7.468127804613913 51.261765321723736)
05954000000430215;Oststraße;POINT (7.4660156115138365 51.244881367809676)
05954000000430217;Pastor-Hellweg-Straße;POINT (7.474945746340986 51.26202180819382)
05954000000430218;Peddenöde;POINT (7.399049205711783 51.27458064103526)
05954000000430219;Peyinghausen;POINT (7.447468992537831 51.27071661774398)
05954000000430220;Poststraße;POINT (7.467345582316864 51.26118430025974)
05954000000430222;Penninckweg;POINT (7.464840155048424 51.25184012321434)
05954000000430227;Ribbeweg;POINT (7.483940296466812 51.26769720374256)
05954000000430228;Richlingen;POINT (7.379906475463999 51.25214894136214)
05954000000430233;Rohland;POINT (7.4583896328896895 51.27309467787143)
05954000000430237;Ruggenfeld;POINT (7.447765443996152 51.24220229756397)
05954000000430241;Saale;POINT (7.412911192960355 51.26717583538603)
05954000000430242;Sägemühle;POINT (7.4393194877159825 51.2607092288026)
05954000000430245;Schaffland;POINT (7.459121926448423 51.28999589736997)
05954000000430247;Schiffahrt;POINT (7.374915715661811 51.248608420249916)
05954000000430248;Schlagbaum;POINT (7.4493075898044845 51.24708577742169)
05954000000430249;Schlassenloch;POINT (7.479483244580694 51.27941908343616)
05954000000430252;Schloßgasse;POINT (7.467324596090608 51.259949018326424)
05954000000430253;Schmiedestraße;POINT (7.467702285190818 51.2609739798524)
05954000000430254;Schützenstraße;POINT (7.456635737374423 51.270658856040235)
05954000000430255;Schulstraße;POINT (7.467357950109515 51.26043931947784)
05954000000430257;Siepen-Ennepetalsperre;POINT (7.430859476040105 51.258098107742626)
05954000000430260;Sonnenschein;POINT (7.45253642923093 51.2755349591357)
05954000000430261;Spormäckerriege;POINT (7.4627277017073395 51.25750950838272)
05954000000430263;Steherberg;POINT (7.428674016170192 51.287699458662786)
05954000000430264;Steinbach;POINT (7.453677518884897 51.25991949139528)
05954000000430265;Steinbachstraße;POINT (7.463542587206546 51.2607742792319)
05954000000430266;Steinkamp;POINT (7.395224450845677 51.24566692581144)
05954000000430268;Steupingen;POINT (7.421511057441642 51.254561986191824)
05954000000430269;Stöcken;POINT (7.504926165823375 51.25989130158673)
05954000000430275;Teichstraße;POINT (7.466672286338873 51.25546539820683)
05954000000430277;Uferplatz;POINT (7.468020143010758 51.26045887884323)
05954000000430278;Vor dem Tore;POINT (7.467320354754253 51.256096251204646)
05954000000430279;Vogelsruthe;POINT (7.453337867719609 51.27394153494522)
05954000000430280;Wäscherwiese;POINT (7.475896479442853 51.24751967134344)
05954000000430281;Wahnscheid;POINT (7.492311949757838 51.25961543244495)
05954000000430282;Wahnscheider Straße;POINT (7.476071411436138 51.25863861768943)
05954000000430284;Walkmühle;POINT (7.4072015830003375 51.24646999600014)
05954000000430286;Weißenpferd;POINT (7.456288687180126 51.2880898591258)
05954000000430287;Wengeberg;POINT (7.466037349422724 51.2487055767319)
05954000000430288;Wenkenburgstraße;POINT (7.4623427880575175 51.261238181190116)
05954000000430291;Westerfelder Straße;POINT (7.471096786103751 51.262296253173915)
05954000000430292;Westring;POINT (7.464833026292142 51.2604197642098)
05954000000430293;Weststraße;POINT (7.465483710893232 51.24331985136918)
05954000000430294;Weuste;POINT (7.421652515701244 51.250055564374456)
05954000000430295;Wiedenhofstraße;POINT (7.4708631417831395 51.25995753114078)
05954000000430298;Wiesenstraße;POINT (7.473701726103487 51.263670390834875)
05954000000430300;Windhagen;POINT (7.4857694702926345 51.258475843464026)
05954000000430301;Windmühlenstraße;POINT (7.462166227927504 51.2638575128288)
05954000000430302;Wittenstein;POINT (7.4445435252819125 51.24589354227039)
05954000000430303;Zu den Weiden;POINT (7.46506586316114 51.25417334416827)
05954000000430304;Zum Alten Hohlweg;POINT (7.464341617302609 51.255460156333335)
05954000000430305;Zur Kläranlage;POINT (7.4681335701275335 51.26613698858928)
05954000000430306;Zum Bachlauf;POINT (7.464430890926839 51.256358071804975)
05954000000430307;Zum Telegraf;POINT (7.4648648890219 51.250656040897034)
05954000000430309;Berliner Straße;POINT (7.47356326810251 51.2658896132265)
05954000000430310;Breslauer Straße;POINT (7.474270276781578 51.26645719257175)
05954000000430311;Danziger Straße;POINT (7.477371610158158 51.26593764103744)
05954000000430312;Königsberger Straße;POINT (7.473987624835243 51.26654860659221)
05954000000430313;Magdeburger Straße;POINT (7.47656842390177 51.26644922093057)
05954000000430314;Raiffeisenstraße;POINT (7.470589327466242 51.26346094291822)
05954000000430315;Am Grönland;POINT (7.471492571690066 51.25796729369218)
05954000000430316;Martin-Luther-Weg;POINT (7.469413738831094 51.258915000005686)
05954000000430317;Zur Esse;POINT (7.464840106772814 51.25222965499573)
05954000000430318;Am Bollwerk;POINT (7.468691035953485 51.26100288193549)
05954000000430319;Am Stollen;POINT (7.465709984813089 51.25143162819247)
05954000000430320;Grafenweg;
05954000000430321;Auf dem Brockland;POINT (7.45869326310584 51.28002561456057)
05954000000430322;Am Kreutz;POINT (7.4642864359151755 51.25473008902048)
05954000000430323;Stopinckweg;POINT (7.464852776406719 51.253518184447906)
05954000000430324;Schöne Gasse;POINT (7.468128971617256 51.261005949813885)
05954000000430325;Prioreier Straße;
05954000000430327;Alter Ostring;POINT (7.465453716583701 51.2617879015691)
05954000000430328;Alte Schützenstraße;POINT (7.456023691726249 51.2687143133662)
05954000000430329;Gencayer Straße;POINT (7.478726507508539 51.26543371297294)
05954000000430330;Museumsgasse;POINT (7.467899198414224 51.261188382732364)
05954000000430331;Am Heider Kopf;POINT (7.470040391723403 51.25660060618102)
05954000000430332;Hattinger Straße;POINT (7.472644054138107 51.256364324340474)
05954000000430333;Schwerter Straße;POINT (7.473754055030911 51.25597253670118)
05954000000430334;Westfalenstraße;POINT (7.473946385203129 51.255342689314496)
05954000000430335;Soester Straße;POINT (7.473813744981565 51.2537520408495)
05954000000430336;Am Eiskeller;POINT (7.470244632198773 51.2548601660774)
05954000000430337;Anton-Meier-Straße;POINT (7.471709361545858 51.25308718055553)
05954000000430338;Märkische Straße;POINT (7.471010335387091 51.25255814092567)
05954000000430339;Graf-Dietrich-Straße;POINT (7.470579752595063 51.25181067188032)
05954000000430340;Diethelm-Büttner-Straße;POINT (7.469314828686777 51.25413693103085)
05954000000430341;Am Turm;POINT (7.468272093185539 51.2511207632613)
05954000000430401;Altena;POINT (7.485979775606708 51.29699508175271)
05954000000430404;Amselstraße;POINT (7.462764099145073 51.29889301016492)
05954000000430405;Baunscheidt;POINT (7.485394034502504 51.303459223885476)
05954000000430406;Benscheid;POINT (7.48115457978423 51.310240809908855)
05954000000430407;Von-Bodelschwingh-Straße;POINT (7.464994597167179 51.29951510279231)
05954000000430408;Brake;POINT (7.465664168430239 51.30563135714277)
05954000000430409;Waldbauer-Branten;POINT (7.477281311565874 51.31182639550214)
05954000000430410;Buddenkamp;POINT (7.470037125250699 51.30395688589186)
05954000000430412;Dicken;POINT (7.462122910273777 51.3084089575145)
05954000000430413;Drosselstraße;POINT (7.462025344270906 51.29860174551095)
05954000000430415;Eichenstraße;POINT (7.462095385327002 51.30043663617104)
05954000000430416;Waldbauer-Eicken;POINT (7.457320944118566 51.307840397894566)
05954000000430417;Finkenstraße;POINT (7.462043949290272 51.2981601135026)
05954000000430418;Flachskämpe;POINT (7.474215220854441 51.3024575353143)
05954000000430419;Grüne;POINT (7.459321840871714 51.292694295668014)
05954000000430420;Haferkruste;POINT (7.505291358181679 51.307195226592775)
05954000000430421;Hagebeuke;POINT (7.459870346607893 51.2923313618221)
05954000000430423;Hamperbach;POINT (7.503071183096821 51.312902077419906)
05954000000430424;Hamperfeld;POINT (7.5052060065857 51.305838857387464)
05954000000430425;Hampermühle;POINT (7.502691657072952 51.30101929753025)
05954000000430426;Hauptstraße;POINT (7.460932317201005 51.30132500678956)
05954000000430427;Waldbauer-Heide;POINT (7.460405236639394 51.30554082363256)
05954000000430431;Kötting;POINT (7.445406348919476 51.31464866248708)
05954000000430432;Kuhfeld;POINT (7.496336720145079 51.30865444072849)
05954000000430433;Langenloh;POINT (7.498304853654914 51.29804114219377)
05954000000430434;Lovert;POINT (7.495587980843742 51.29800022993854)
05954000000430435;Lunker;POINT (7.493657778201136 51.293488873515756)
05954000000430437;Möcking;POINT (7.451428995124287 51.31066481207793)
05954000000430438;Neuenhaus;POINT (7.492301888797927 51.30026728911059)
05954000000430439;Niederfeldhausen;POINT (7.47624257243273 51.29387759748167)
05954000000430440;Oberfeldhausen;POINT (7.4644743711217085 51.29453965610365)
05954000000430441;Peddinghausen;POINT (7.442762242721275 51.30765670732142)
05954000000430442;Rafflenbeul;POINT (7.463022739734829 51.315128561246)
05954000000430443;Waldbauer-Roland;POINT (7.437079305322145 51.31066088862808)
05954000000430444;Rosenstraße;POINT (7.459778097170747 51.30200856477583)
05954000000430445;Kettelbachstraße;POINT (7.459058350342157 51.30130902747826)
