strassenschluessel;bezeichnung;geometry
05958000001206001;Bahnhofstraße;POINT (8.571865386489112 51.39569276146177)
05958000001206002;Spritzengasse;POINT (8.56960402456951 51.39539622392036)
05958000001206003;Königstraße;POINT (8.572255766353276 51.39545544179353)
05958000001206004;Mariengasse;POINT (8.570522698485968 51.394686811528054)
05958000001206005;Gerberstraße;POINT (8.572151360838554 51.39476759053849)
05958000001206006;Niedere Straße;POINT (8.568321515165115 51.39437082222124)
05958000001206007;Niedere Gasse;POINT (8.570253563887459 51.393973887586824)
05958000001206008;Südstraße;POINT (8.568723799280177 51.39350259312897)
05958000001206009;Krummestraße;POINT (8.568956702328165 51.39320283115166)
05958000001206010;Kattenhagen;POINT (8.570248148438765 51.39240722754991)
05958000001206011;Niedere Mauer;POINT (8.572438709761625 51.394490886997026)
05958000001206012;Im Hagen;POINT (8.568710612753302 51.39206023592801)
05958000001206013;Georgstraße;POINT (8.570832551504276 51.39244530990933)
05958000001206014;Gartenstraße;POINT (8.572562444246639 51.39189732328409)
05958000001206015;Hoppecker Straße;POINT (8.58650863350563 51.384776304238514)
05958000001206016;Am Hohlen Wege;POINT (8.570827245324239 51.39169592835062)
05958000001206017;Hohlweg;POINT (8.570268038785052 51.39118005211213)
05958000001206018;Wasserstraße;POINT (8.56838698276089 51.390948097884824)
05958000001206019;Lüttke-Twiete;POINT (8.5689693408794 51.3899734094039)
05958000001206020;Am Hollemann;POINT (8.567643196483052 51.390472388504186)
05958000001206021;Am Etzelsberg;POINT (8.569865490154974 51.3890898165659)
05958000001206022;Am Renzelsberg;POINT (8.567213227706123 51.384908142717485)
05958000001206023;In der Helle;POINT (8.575064808682122 51.38854361324304)
05958000001206024;Frankenweg;POINT (8.574830126275828 51.38558872449141)
05958000001206025;Sonnenweg;POINT (8.575672746442129 51.3895610075677)
05958000001206026;Ludwig-Wolker-Straße;POINT (8.573842261462602 51.388198082097645)
05958000001206027;Am Hellenteich;POINT (8.577215402839862 51.38721716531461)
05958000001206028;Jupiterweg;POINT (8.578097863019421 51.38802561114925)
05958000001206029;Marsweg;POINT (8.579535912424465 51.38832390818039)
05958000001206030;Am Schönschede;POINT (8.582303572143337 51.38780796500827)
05958000001206031;Hellehohlweg;POINT (8.577119719998443 51.380485905749374)
05958000001206032;Vor Schwickers Keller;POINT (8.572514023377838 51.38487965406582)
05958000001206033;Wittekindstraße;POINT (8.56715654039323 51.38435472085815)
05958000001206034;Renzelshöhe;POINT (8.57046050333981 51.38592100331291)
05958000001206035;Sachsenweg;POINT (8.570743359231448 51.38561125064134)
05958000001206036;Cheruskerweg;POINT (8.56953119520198 51.38529352436942)
05958000001206037;Engernweg;POINT (8.568211381082646 51.3849455625872)
05958000001206038;Buchenweg;POINT (8.568426939769466 51.38463072978567)
05958000001206039;Itzelstein;POINT (8.57050256644976 51.38156411991677)
05958000001206040;Galmeistraße;POINT (8.582880261347205 51.392686461222624)
05958000001206041;Fruchtstraße;POINT (8.573694258094891 51.39475904168791)
05958000001206042;Am Flüth;POINT (8.576347240649707 51.39351024814906)
05958000001206043;Am Niederen Tor;POINT (8.575075462468106 51.393852589147656)
05958000001206044;Heinrich-Jansen-Weg;POINT (8.574280008982104 51.39263450361508)
05958000001206045;Drübelweg;POINT (8.574842724715761 51.39202956287268)
05958000001206046;Karlstraße;POINT (8.573275356700886 51.39140155145321)
05958000001206047;Am Drübel;POINT (8.575164567389521 51.39124183930767)
05958000001206048;Konradstraße;POINT (8.577866454393074 51.392526750866665)
05958000001206049;Engelbertstraße;POINT (8.578512325710564 51.393036994603904)
05958000001206050;An den Galmeibäumen;POINT (8.580497396887653 51.392363237812795)
05958000001206051;Siegfriedstraße;POINT (8.579001285098089 51.39185278619745)
05958000001206052;Ottostraße;POINT (8.579500781707642 51.39099324071618)
05958000001206053;Philippstraße;POINT (8.580015101854455 51.39168197996098)
05958000001206054;Ammertenbühl;POINT (8.583680108106698 51.39211712078767)
05958000001206055;Albertstraße;POINT (8.583078945446058 51.38915135420901)
05958000001206056;Hölsterloh;POINT (8.587512201161111 51.382607923317074)
05958000001206057;Keffelker Straße;POINT (8.57514767008728 51.395676309400635)
05958000001206058;Alexanderstraße;POINT (8.576736156249188 51.394311783686426)
05958000001206059;Gabelsberger Weg;POINT (8.576934290967973 51.39510686543499)
05958000001206060;Jahnstraße;POINT (8.57851601116039 51.39565162251312)
05958000001206061;Sandkuhlenweg;POINT (8.580289177569055 51.39606712833925)
05958000001206062;Am Frettholz;POINT (8.581119097470246 51.39581593129256)
05958000001206063;Voßloh;POINT (8.58704354595558 51.39556569637623)
05958000001206064;An der Bieke;POINT (8.5884966128098 51.3989505888975)
05958000001206065;Unter der Tonne;POINT (8.581551096361977 51.393949964883475)
05958000001206067;Am Kirchloh;POINT (8.606013483998817 51.388173644354566)
05958000001206070;Anton-Schomberg-Straße;POINT (8.577451562187273 51.39292822981553)
05958000001206071;Am Rothaarsteig;POINT (8.576443591764967 51.39301444777155)
05958000001206075;Anne-Frank-Straße;POINT (8.57056184422606 51.38975033860742)
05958000001206080;Hugo-Lassalle-Straße;POINT (8.568607124757559 51.38619337772082)
05958000001206091;Derkere Straße;POINT (8.567863862137576 51.39341141225056)
05958000001206092;Petrusstraße;POINT (8.567768474469537 51.39482764291165)
05958000001206093;Strackestraße;POINT (8.56364292603912 51.394968805881355)
05958000001206094;Kirchenstraße;POINT (8.565942493680675 51.39428699746969)
05958000001206095;Propst-Meyer-Straße;POINT (8.566784617672253 51.3938899627193)
05958000001206096;Schulstraße;POINT (8.566831365845974 51.3935072943181)
05958000001206097;Am Derker Tor;POINT (8.566824999394738 51.39231549576628)
05958000001206098;Derkere Mauer;POINT (8.565707057208268 51.3934216663041)
05958000001206099;Georgskommende;POINT (8.56519167131237 51.39287353932035)
05958000001206100;Döselsberg;POINT (8.564371570099572 51.39325864928855)
05958000001206101;Rochusstraße;POINT (8.563393867764459 51.39390489515022)
05958000001206102;Glockengießerweg;POINT (8.558869414165683 51.3925244577666)
05958000001206103;Humpertweg;POINT (8.561266142112517 51.39385076649939)
05958000001206104;Altenbürener Straße;POINT (8.562567493190578 51.395052783029065)
05958000001206105;An der Schützenhalle;POINT (8.559959344911784 51.393764391050716)
05958000001206106;Elisabethstraße;POINT (8.562458474285423 51.39259316783491)
05958000001206107;Wilhelm-Hohoff-Weg;POINT (8.56313826059076 51.39236022258888)
05958000001206108;Auf'm Döselsberg;POINT (8.563286063767613 51.39282895736975)
05958000001206109;Derkerborn;POINT (8.566233265118399 51.39199534273003)
05958000001206110;Ulrichstraße;POINT (8.565124006156749 51.39160885807443)
05958000001206111;Liboriusstraße;POINT (8.56579589270468 51.39105504422339)
05958000001206112;Seibertzstraße;POINT (8.566107191645505 51.3906562441002)
05958000001206113;Am Kalvarienberg;POINT (8.567193718667301 51.391601188664225)
05958000001206114;Am Poppenberg;POINT (8.566394606072363 51.38248940752416)
05958000001206115;Voßkuhle;POINT (8.566446194576258 51.386396291484665)
05958000001206116;Hasenpfad;POINT (8.565681686941888 51.385250204735115)
05958000001206117;Am Derkerstein;POINT (8.566195028676038 51.38423087099127)
05958000001206118;Dederinghauser Weg;POINT (8.565720939991742 51.38477577243399)
05958000001206119;Siepenweg;POINT (8.56396200451507 51.38402933718817)
05958000001206120;Ackerstraße;POINT (8.564186465608895 51.3907890678911)
05958000001206121;Burhagener Weg;POINT (8.554589046289626 51.385535336593726)
05958000001206122;Müggenborn;POINT (8.558742205914811 51.393373952103545)
05958000001206123;Auf dem schönen Felde;POINT (8.560360341390213 51.3881171412806)
05958000001206124;Lehmkuhle;POINT (8.559234987150404 51.39114549647513)
05958000001206125;Alfred-Delp-Straße;POINT (8.557326870015915 51.389797693815645)
05958000001206126;Franz-Stock-Straße;POINT (8.558167547052172 51.389327736501485)
05958000001206127;Gebrüder-Rüther-Straße;POINT (8.556754002010205 51.3886923591442)
05958000001206128;Nikolaus-Hesse-Straße;POINT (8.56069938612839 51.38434922523709)
05958000001206140;Marktgasse;POINT (8.56605190796065 51.39527106769943)
05958000001206141;Am Markt;POINT (8.56761737337771 51.396366677426414)
05958000001206142;Marktstraße;POINT (8.56634672301472 51.39576566390024)
05958000001206143;Springstraße;POINT (8.566460857375922 51.39636572299838)
05958000001206144;Nikolaistraße;POINT (8.567712253662908 51.39730183885706)
05958000001206145;Scharfenberger Hof;POINT (8.566914413635368 51.397072431242314)
05958000001206146;Steinweg;POINT (8.568233761137424 51.398518212895894)
05958000001206147;Obere Mauer;POINT (8.565581502169644 51.39682766504399)
05958000001206148;Schützengraben;POINT (8.565475303422353 51.39732245768611)
05958000001206149;Lindenweg;POINT (8.56843333658192 51.400185127342105)
05958000001206150;Scharfenberger Straße;POINT (8.56561453536897 51.40031804545203)
05958000001206151;Zimmerstraße;POINT (8.567128914016257 51.400050536241466)
05958000001206152;Nordstraße;POINT (8.566473996414633 51.40098980526239)
05958000001206153;Am Ratmerstein;POINT (8.559365771869148 51.400456511146594)
05958000001206154;An der Lanfert;POINT (8.56158808450261 51.3994421287765)
05958000001206155;Jordanstraße;POINT (8.562548949882716 51.39861248086777)
05958000001206156;Gropperweg;POINT (8.562174279032424 51.39916119082116)
05958000001206157;Grimmestraße;POINT (8.564086497937105 51.39877977687384)
05958000001206158;Dorotheenstraße;POINT (8.56531652573947 51.3993878394363)
05958000001206159;Hedwigstraße;POINT (8.56675121052991 51.398945227191156)
05958000001206160;Killingstraße;POINT (8.56605337790785 51.39821180748658)
05958000001206161;Paulinenstraße;POINT (8.564651589115272 51.39859488088184)
05958000001206162;Weststraße;POINT (8.565443938467943 51.39776998728701)
05958000001206163;Auf der Windmühle;POINT (8.563683248930639 51.398132205319)
05958000001206164;Langestraße;POINT (8.563079169567951 51.39739732731602)
05958000001206165;Brückenstraße;POINT (8.564265749915942 51.39711126913969)
05958000001206166;Antoniusstraße;POINT (8.56360874898732 51.39655013714785)
05958000001206167;Wallgraben;POINT (8.563234756279586 51.3958111706581)
05958000001206168;Rixener Straße;POINT (8.556002687053118 51.398420317264225)
05958000001206169;Eselskamp;POINT (8.560732118811577 51.39519825081718)
05958000001206170;Finkenweg;POINT (8.55975083474274 51.39515075099666)
05958000001206171;Nachtigallenweg;POINT (8.560672294135475 51.395828631834625)
05958000001206172;Andreasstraße;POINT (8.558846190204147 51.39600617914399)
05958000001206173;Eichholzstraße;POINT (8.553885171619342 51.39523589790581)
05958000001206174;Eselsborn;POINT (8.556909124750025 51.39665922230266)
05958000001206175;Mühlenweg;POINT (8.548377807017381 51.394446891924275)
05958000001206176;Zur Jakobuslinde;POINT (8.554453234792215 51.39361580308428)
05958000001206177;Liegnitzer Straße;POINT (8.553839266598422 51.394011927693676)
05958000001206178;Kitzweg;POINT (8.553791492813627 51.39459372286137)
05958000001206179;Am Finkenherd;POINT (8.563073490217969 51.40186040176596)
05958000001206180;Ratmerstein;POINT (8.560119962539805 51.40256643404559)
05958000001206181;Am Blumenstein;POINT (8.56195408767078 51.40693019149935)
05958000001206182;An der Steinkaule;POINT (8.563010911943055 51.40441428262454)
05958000001206183;Xaveriusstraße;POINT (8.568611788317972 51.405591743935574)
05958000001206184;Möhnestraße;POINT (8.569504363396558 51.40166323129089)
05958000001206185;Knippenbergstraße;POINT (8.574384474435504 51.406621931540265)
05958000001206186;Nordring;POINT (8.560890451331815 51.400893549763104)
05958000001206187;Lerchenstraße;POINT (8.560870378769618 51.40143742389602)
05958000001206188;Amselweg;POINT (8.563453343115176 51.400943731401824)
05958000001206189;Drosselweg;POINT (8.563101590828932 51.40121656690813)
05958000001206190;Heusdener Straße;POINT (8.557451729431712 51.40045842630501)
05958000001206191;Thursoer Straße;POINT (8.556316424194433 51.399223263029015)
05958000001206192;Hesdiner Ring;POINT (8.556045092640641 51.397293256683184)
05958000001206193;Soester Weg;POINT (8.551773819246348 51.39782379940759)
05958000001206194;Hansering;POINT (8.550728596780138 51.39556754812335)
05958000001206195;Kurkölnische Straße;POINT (8.55418129425373 51.397447146568474)
05958000001206196;Kastanienallee;POINT (8.558020313787232 51.39876309109404)
05958000001206211;Querstraße;POINT (8.569661376038978 51.39612848671053)
05958000001206212;Friedrichstraße;POINT (8.570768938855023 51.396659709978444)
05958000001206213;Kapellenstraße;POINT (8.57026739663559 51.39710287430059)
05958000001206214;Kreuziger Straße;POINT (8.570305463504829 51.39783276389692)
05958000001206215;Franziskusstraße;POINT (8.570247392998903 51.398219042580294)
05958000001206216;Kreuziger Mauer;POINT (8.570719828523957 51.398233119896624)
05958000001206217;Taubenstraße;POINT (8.571452486276037 51.39819520256376)
05958000001206218;Hubertusstraße;POINT (8.572627460860566 51.398694544245124)
05958000001206219;Raiffeisenweg;POINT (8.573526036020558 51.39712965005085)
05958000001206220;Rosentwiete;POINT (8.574867352684949 51.399118594716555)
05958000001206221;Am Pelsenberg;POINT (8.5731892845812 51.39796415313976)
05958000001206222;Hansastraße;POINT (8.5737585056796 51.39812172231986)
05958000001206224;Magazinstraße;POINT (8.573487550284897 51.39901284485438)
05958000001206225;Am alten Friedhof;POINT (8.569637846422975 51.39910321336895)
05958000001206226;Hermannstraße;POINT (8.57406945742115 51.39958282891222)
05958000001206227;Altenbriloner Straße;POINT (8.575104856050757 51.400792594638126)
05958000001206228;Hinterm Friedhof;POINT (8.570203266384121 51.39945950767438)
05958000001206229;Hasselborn;POINT (8.57029699078215 51.401421739167844)
05958000001206230;Weißstraße;POINT (8.569647124139218 51.40040462370496)
