strassenschluessel;bezeichnung;geometry
05362000001204040;In der Hell;
05362000001204041;Kerkrader Straße;
05362000001204043;Hedwig-Gries-Straße;
05362000001204044;Marie-Curie-Straße;POINT (6.91922624093841 50.833297788977234)
05362000001204045;Lida-Gustava-Heymann-Str.;POINT (6.914056784377542 50.83194814710884)
05362000001204046;Anna-Schmitz-Straße;POINT (6.916721836982982 50.83336014176392)
05362000001204047;Schwestern-Brünell-Weg;POINT (6.916213563145298 50.83270342590188)
05362000001204048;Maja-Lex-Weg;POINT (6.912992051598294 50.83128677050971)
05362000001204049;Ida-Ehre-Weg;POINT (6.913531097611646 50.83126907248408)
05362000001204050;Gabriele-Münter-Weg;POINT (6.915041072985553 50.83139748882126)
05362000001204051;Irmgard-Keun-Weg;POINT (6.9171695246868525 50.83172148709223)
05362000001204052;Hannah-Arendt-Straße;POINT (6.913576700142494 50.831060157985874)
05362000001204053;Sophie-Scholl-Straße;POINT (6.918104054049458 50.83112545749444)
05362000001204054;Ricarda-Huch-Weg;POINT (6.920261608717894 50.831238713666394)
05362000001204055;An der alten Zuckerfabrik;POINT (6.916120570156857 50.83201378072745)
05362000001204056;Lise-Meitner-Straße;POINT (6.921082084923531 50.83248685165469)
05362000001204057;Marie-Schlei-Straße;POINT (6.914510793188688 50.83085088952359)
05362000001204058;Helma-Meyers-Straße;POINT (6.920684174240882 50.83056748249333)
05362000001204059;Otto-Paes-Straße;POINT (6.918166874268306 50.827943472456845)
05362000001204060;Xavier-Kürten-Weg;POINT (6.902953723166538 50.82421759972682)
05362000001204061;Falkenweg;
05362000001204062;Josef-Flohr-Weg;POINT (6.894377049542406 50.8236083069668)
05362000001204063;Knappschaftsstraße;
05362000001204065;Auf der Höhe;POINT (6.886154976550102 50.81787823279439)
05362000001204066;Arminiusweg;POINT (6.892183703909916 50.82205545803407)
05362000001204067;Willy-Brandt-Straße;POINT (6.880029253649154 50.830555729377025)
05362000001204068;Am Rankewerk;POINT (6.928560886839282 50.8297175143301)
05362000001204069;Arndtstraße;POINT (6.901327383616378 50.83514486680488)
05362000001204070;An der Bleiche;POINT (6.902840002266394 50.82948972447375)
05362000001204071;An der Synagoge;POINT (6.903405338084907 50.831672373514)
05362000001204072;Am Amtsgericht;
05362000001204073;An der alten Brauerei;POINT (6.898885781888757 50.82487610392698)
05362000001204074;Max-Ernst-Allee;POINT (6.912422042114785 50.82880970531253)
05362000001204075;Am Daberger Hof;POINT (6.8861525019241645 50.83090910539495)
05362000001204076;Alte Bohle;POINT (6.887376502203157 50.82039314563409)
05362000001204077;Am Eichenbusch;POINT (6.8888729059575775 50.82691086167099)
05362000001204078;Am Inselweiher;POINT (6.914237660213531 50.82863502853437)
05362000001204079;Am Krausen Baum;POINT (6.88506901286841 50.824509057443144)
05362000001204080;Am Pappelbusch;POINT (6.874971276357369 50.824208163776326)
