strassenschluessel;bezeichnung;geometry
05758000000401001;Ahler Grenzweg;POINT (8.518096406114676 52.19682784737495)
05758000000401002;Ahler Heide;POINT (8.510352522464395 52.195492886987644)
05758000000401003;Ahler Straße;POINT (8.522767306937249 52.19962302408672)
05758000000401004;Alte Kreisstraße;POINT (8.523515420348884 52.19720511299044)
05758000000401005;Am Wiedholz;POINT (8.496046571163921 52.19608588891621)
05758000000401006;Anglerweg;POINT (8.520610511635907 52.19035384953681)
05758000000401007;Brunestraße;POINT (8.522385153020089 52.19546523300566)
05758000000401008;Dammstraße;POINT (8.532036125952057 52.188208518888395)
05758000000401009;Friedrich-List-Straße;POINT (8.533017043948481 52.193336461473514)
05758000000401010;Eskerheide;POINT (8.524296178576149 52.19810527733858)
05758000000401012;Heuerlingsstraße;POINT (8.508609324571506 52.19452886403201)
05758000000401013;Im Eilen;POINT (8.537597292322884 52.186197905880434)
05758000000401014;Imperialstraße;POINT (8.521024850299252 52.19517046035021)
05758000000401015;Im Schierholz;POINT (8.524172258490763 52.19120437831863)
05758000000401016;Im Wiesengrund;POINT (8.525543860338551 52.200147545769866)
05758000000401017;Im Winkel;POINT (8.514269067569307 52.19338991120833)
05758000000401018;In der Siedlung;POINT (8.505928724814197 52.194389282962575)
05758000000401019;Junkersstraße;POINT (8.525885982105063 52.1978020436879)
05758000000401020;Karrenbruch;POINT (8.533602999663442 52.19174656437858)
05758000000401021;Kirchnerstraße;POINT (8.521784951020154 52.19888728268758)
05758000000401022;Kleine Liendlage;POINT (8.533936800661998 52.18514830028595)
05758000000401023;Ladestraße;POINT (8.515827107993557 52.19588663233952)
05758000000401024;Liendlage;POINT (8.534910379787195 52.183816242495865)
05758000000401025;Mühlenbachstraße;POINT (8.527546544558922 52.19405077486376)
05758000000401026;Oberahler Weg;POINT (8.513520763292489 52.18988570665442)
05758000000401027;Osnabrücker Straße;POINT (8.524922657138502 52.194086281677286)
05758000000401028;Ostkilverstraße;POINT (8.516457950801534 52.19633286696531)
05758000000401029;Paul-Klee-Straße;POINT (8.51227396455278 52.19287618622495)
05758000000401030;Schierholzstraße;POINT (8.529196958678353 52.192050629680104)
05758000000401031;Schmiedestraße;POINT (8.513152137762768 52.19401437244141)
05758000000401032;Spenger Straße;POINT (8.519163708255974 52.1943988402929)
05758000000401033;Uferstraße;POINT (8.527850877736043 52.18978790990649)
05758000000401034;Urbanstraße;POINT (8.532759337256566 52.191480912933194)
05758000000401035;Weberstraße;POINT (8.52117938283171 52.19346237074122)
05758000000401036;Werfer Straße;POINT (8.52994618461678 52.18798234797751)
05758000000401037;Wilhelm-Raabe-Straße;POINT (8.521088171254673 52.19841712771049)
05758000000401038;Wincklerstraße;POINT (8.533009556798243 52.192089389672674)
05758000000401039;Zum Anschuß;POINT (8.504858387129891 52.19409287612706)
05758000000401040;Kirchstraße;POINT (8.51894364361941 52.19796709475163)
05758000000401041;Boschstraße;POINT (8.523612516473317 52.19975145527916)
05758000000401042;Siemensstraße;POINT (8.53615476862443 52.192901350380815)
05758000000401043;Kleine Heide;POINT (8.513329000144445 52.19461717595541)
05758000000401044;Otto-Spanier-Straße;POINT (8.532037937075174 52.19225908861088)
05758000000401045;Vorm Walde;
05758000000401046;Zum Tierheim;POINT (8.501606860428192 52.19139978313209)
05758000000401047;Johannesweg;
05758000000401048;Simonweg;POINT (8.519726351166481 52.19769630831448)
05758000000401049;Sielstraße;POINT (8.534052776994342 52.19208784054727)
05758000000401061;Ackerhagen;
05758000000401062;Am Brunnen;POINT (8.590287871823744 52.20129420655359)
05758000000401063;Am Markt;
05758000000401064;Auf'm Rott;POINT (8.584286931975942 52.19594776872946)
05758000000401065;Auf'm Tie;POINT (8.58214120757912 52.197071384002975)
05758000000401066;Bachstraße;POINT (8.584483255820539 52.19169913137134)
05758000000401067;Bahnhofstraße;POINT (8.576026068321797 52.200334158376705)
05758000000401068;Beethovenstraße;POINT (8.5864051685004 52.18864842569176)
05758000000401069;Behringstraße;POINT (8.569615279740857 52.197349787447685)
05758000000401070;Bismarckstraße;POINT (8.584788034121267 52.20046299677654)
