strassenschluessel;bezeichnung;geometry
05378000000804501;Ahornweg;POINT (7.1474756624901294 51.09503380064404)
05378000000804502;Akazienweg;POINT (7.152841963761534 51.10130485619814)
05378000000804503;Altenberger Straße;POINT (7.120755449263216 51.081314381028406)
05378000000804504;Altenhilgen;POINT (7.156311498983693 51.10165349838311)
05378000000804505;Am Jungholzkamp;POINT (7.134702293647302 51.081593920415585)
05378000000804506;Am Kreuzweg;POINT (7.136553803077074 51.10106514714445)
05378000000804507;Am Sportfeld;POINT (7.12078222381725 51.08753350387609)
05378000000804508;Am Weiher;POINT (7.122782323824669 51.08645470277713)
05378000000804509;An den Eichen;POINT (7.12473263497606 51.08677570675607)
05378000000804510;An den Hülsen;POINT (7.1481843657756885 51.102330550776216)
05378000000804511;An der Floßwiese;POINT (7.149884104767799 51.099306046940505)
05378000000804512;An der Wiehbachquelle;POINT (7.12531498924685 51.08201659688244)
05378000000804513;Asternweg;POINT (7.135599536617084 51.10021082393023)
05378000000804514;Auf dem Höchsten;POINT (7.126348995380549 51.08862356209523)
05378000000804515;Auf dem Schulberg;POINT (7.110704624949917 51.08120818204243)
05378000000804516;Auf der Schützeneich;POINT (7.119838642239742 51.08495213816832)
05378000000804517;Bahnhofstraße;POINT (7.15735360505403 51.1033401254467)
05378000000804518;Bellinghausen;POINT (7.142009860242482 51.08931811318956)
05378000000804519;Benninghausen;POINT (7.128014147018472 51.09786449594096)
05378000000804520;Berghamberg;POINT (7.071025561731622 51.07960295456219)
05378000000804521;Bergstraße;POINT (7.127499220913704 51.08525509075251)
05378000000804522;Berringhausen;POINT (7.120840569161126 51.102746467788386)
05378000000804523;Birkenweg;POINT (7.1480536399373715 51.10298984026076)
05378000000804524;Bismarckstraße;POINT (7.112759314719445 51.082205319238284)
05378000000804525;Blasberg;POINT (7.10135708603654 51.09568211652099)
05378000000804526;Bökershammer;POINT (7.148317522163647 51.07470087908945)
05378000000804527;Bornheim;POINT (7.087150415794714 51.08047649105485)
05378000000804528;Brucher Mühle;POINT (7.154979247675418 51.11241414304307)
05378000000804529;Brucher Mühlenstraße;POINT (7.1550880913307475 51.10847405594305)
05378000000804530;Buchenweg;POINT (7.149293120178506 51.09982784650821)
05378000000804531;Büchel;POINT (7.111915544742528 51.09067961867239)
05378000000804532;Bücheler Straße;POINT (7.112555523296519 51.08590363765622)
05378000000804533;Bürgermeister-Schmidt-Straße;POINT (7.103471073452359 51.078946722288265)
05378000000804534;Burgweg;POINT (7.072660720670614 51.08367635227181)
05378000000804535;Claasmühle;POINT (7.119420304504284 51.092979851127666)
05378000000804536;Dabringhausener Straße;POINT (7.155091884712256 51.093039517681646)
05378000000804537;Dahlienweg;POINT (7.138075105965762 51.10055707399933)
05378000000804538;Dammstraße;POINT (7.11218139619797 51.082766418703216)
05378000000804539;Danziger Straße;POINT (7.118835232505495 51.089263068573516)
