strassenschluessel;bezeichnung;geometry
05774000002000100;Adlerweg;POINT (8.462525931444022 51.78110736881669)
05774000002000200;Adolf-Kolping-Straße;POINT (8.563498321333421 51.76264192393074)
05774000002000250;Ährenweg;
05774000002000300;Ahlers Kamp;POINT (8.490976462304745 51.787523101220124)
05774000002000400;Ahornweg;POINT (8.573627115831421 51.766962446272615)
05774000002000420;Akazienweg;POINT (8.506483503400478 51.7448517871745)
05774000002000500;Alter Markt;POINT (8.56235450541719 51.76510365672982)
05774000002000600;Alter Mühlenweg;POINT (8.452978084869756 51.73332809892899)
05774000002000710;Alter Postweg;POINT (8.499947731728426 51.78285457111199)
05774000002000720;Am Bauhof;POINT (8.550256757953552 51.75415408060591)
05774000002000730;Am Erlenkamp;POINT (8.550629714724742 51.73549432870612)
05774000002000800;Am Freien Stuhl;POINT (8.408574356305053 51.71896093614226)
05774000002000800;Am Freien Stuhl;POINT (8.408574356305053 51.71896093614226)
05774000002000920;Am Grubebach;POINT (8.461128786104581 51.76572033044306)
05774000002001000;Am Hagedorn;POINT (8.562171100742948 51.76474345343177)
05774000002001100;Am Hagenbach;POINT (8.578945264863433 51.73960387100934)
05774000002001210;Am Haustenbach;POINT (8.646513106948928 51.78673582100556)
05774000002001300;Am Himmelreich;POINT (8.559130154106693 51.76172463211348)
05774000002001420;Am Koldenhof;POINT (8.595778499491812 51.73968541281534)
05774000002001460;Am Krienerbusch;POINT (8.57121019870752 51.77163458167768)
05774000002001500;Am Krollbach;POINT (8.650175432458148 51.79478989596986)
05774000002001550;Am Lohberg;POINT (8.602398634674271 51.778208901410984)
05774000002001570;Am Möller Werk;POINT (8.561634503283525 51.80457040506374)
05774000002001600;Am Pastorsbusch;POINT (8.570286732020476 51.76989503032642)
05774000002001700;Am Rengering;POINT (8.627174492743952 51.80511386552042)
05774000002001720;Am Richterhof;POINT (8.627771976067063 51.73784399421956)
05774000002001750;Am Rothebach;POINT (8.637860525724777 51.765253192113114)
05774000002001770;Am Römerlager;POINT (8.593308406281379 51.73777867848647)
05774000002001830;Am Schlingbusch;POINT (8.576112389009394 51.76453212748149)
05774000002001920;Am Sporckhof;POINT (8.51021524598366 51.7898147125584)
05774000002002000;Am Teckelberg;POINT (8.602076885280173 51.7763156818655)
05774000002002100;Am Teich;POINT (8.54571692081365 51.82557756382982)
05774000002002200;Am Valepagenhof;POINT (8.569369102412288 51.7795417079831)
05774000002002240;Am Waldrand;POINT (8.599226278512102 51.75566123043752)
05774000002002270;Am Westerrellerhof;POINT (8.577937794520224 51.77929499252413)
05774000002002300;Am Wiemenkamp;POINT (8.563943787952462 51.763424361946456)
05774000002002340;Am Zollbrett;POINT (8.576556725307697 51.77079466451259)
05774000002002400;Amselweg;POINT (8.61426547807464 51.783368590188786)
05774000002002430;An den Lehmkuhlen;POINT (8.612190529929183 51.80133239475314)
05774000002002460;An der Hohen Brücke;POINT (8.552626610586039 51.76829852315883)
05774000002002500;Anreppener Straße;POINT (8.57215539529992 51.757658094905246)
05774000002002550;Antoniusstraße;POINT (8.54848668160045 51.76771650858975)
05774000002002600;Anton-Pieper-Straße;POINT (8.472255693773732 51.75625053721767)
05774000002002810;An der Wittenburg;POINT (8.62336720928458 51.73732368226732)
05774000002002900;Arndtstraße;POINT (8.560673741154737 51.76895145184392)
05774000002002930;Artegastraße;POINT (8.54722307291197 51.76210506135578)
05774000002002950;Auf dem Brocke;POINT (8.556452049563179 51.72983875279777)
05774000002003000;Auf dem Bruche;POINT (8.62750190259119 51.732823432491244)
05774000002003220;Auf dem Busche;POINT (8.520241145739496 51.76299552700138)
05774000002003310;Auf dem Haupte;POINT (8.615852332267847 51.797017244923694)
05774000002003330;Auf dem Kamp;POINT (8.592126597335222 51.75077739483437)
05774000002003340;Auf dem Teiche;
05774000002003350;Auf den Röthen;POINT (8.569708512380604 51.71596584865853)
05774000002003400;Auf der Bache;POINT (8.609190662983236 51.79475654445107)
05774000002003500;Auf der Bleiche;POINT (8.559908869783353 51.75771664397702)
05774000002003550;Augustinusstraße;POINT (8.548175659529434 51.76840018705466)
05774000002003560;August-von-Haxthausen-Straße;POINT (8.564461562587246 51.73501139357897)
05774000002003570;Badener Weg;POINT (8.551232452428643 51.79987555890334)
05774000002003580;Baduradstraße;POINT (8.563159868081117 51.73473969692456)
05774000002003600;Bahnweg;POINT (8.567829552279397 51.76759470644599)
05774000002003700;Balkenkamp;POINT (8.501923796324315 51.73954898893542)
05774000002003800;Barbruch;POINT (8.573369422419756 51.72226610751753)
05774000002003900;Bauernweg;POINT (8.64777504173857 51.80318339850943)
05774000002003950;Baumschulenweg;POINT (8.563914869801799 51.76975990326444)
05774000002004000;Baumweg;POINT (8.4355482497835 51.7565154300515)
05774000002004050;Bayernweg;POINT (8.469282966710855 51.752123458814296)
05774000002004100;Beckeringsdamm;POINT (8.53194086779842 51.758034125817204)
05774000002004200;Beethovenstraße;POINT (8.614299317860992 51.79807996104917)
05774000002004300;Bendixwall;POINT (8.554908855377102 51.7624901663281)
05774000002004400;Benslips Kamp;POINT (8.561340809042338 51.772134865642876)
05774000002004520;Bentfelder Straße;POINT (8.630863524535297 51.73524722583501)
05774000002004600;Berghöfen;POINT (8.623722754682102 51.738738027386994)
05774000002004700;Bergstraße;POINT (8.55885070729516 51.81561235946161)
05774000002004750;Bernhard-Scherer-Straße;POINT (8.557639801730488 51.79708560420319)
05774000002004800;Bernhardstraße;POINT (8.552247994246523 51.76338430728089)
05774000002004850;Biekedamm;POINT (8.473180805234168 51.75848524248257)
05774000002004880;Biekehöhe;POINT (8.61591382998124 51.7964080861941)
05774000002004910;Binsenstraße;POINT (8.492213507309978 51.78888850224111)
05774000002005000;Birkenallee;POINT (8.64464961952847 51.78652709882604)
05774000002005100;Birkenkamp;POINT (8.494012230703742 51.772771210535744)
05774000002005410;Birkenweg;POINT (8.591327616372954 51.77512867002599)
05774000002005500;Blockweg;POINT (8.410836137819228 51.73524748496619)
05774000002005550;Blomestraße;POINT (8.555023178329732 51.77066756732631)
05774000002005600;Blumenweg;POINT (8.483802977347942 51.7245296708796)
05774000002005700;Böckmanns Feld;POINT (8.463184784750256 51.75422712221306)
05774000002005800;Bogenweg;POINT (8.445451885813096 51.748746457400095)
05774000002005900;Boikweg;POINT (8.449324183116634 51.756261551136326)
05774000002005950;Boker-Heide-Weg;POINT (8.511648302770675 51.73036818393675)
05774000002006020;Boker Straße;POINT (8.562385536478626 51.75737233969602)
05774000002006200;Bonifatiusstraße;POINT (8.55957321112453 51.81839284023747)
05774000002006300;Borgelts Kamp;POINT (8.568539736682753 51.79247726056589)
05774000002006320;Bösendamm;POINT (8.545596110267113 51.75997768732717)
05774000002006420;Brakendiek;POINT (8.529286155136434 51.78804546710207)
05774000002006450;Brandenburger Weg;POINT (8.468272448572591 51.7513677568023)
05774000002006600;Bredde;POINT (8.55879379698751 51.7991203621886)
05774000002006700;Breiter Weg;POINT (8.636900726698908 51.72698367289862)
05774000002006720;Bremer Weg;POINT (8.474364923563597 51.752326518635435)
05774000002006730;Brenkenkamp;POINT (8.560787891219867 51.766531453612686)
05774000002006760;Brentanostraße;POINT (8.556094391870621 51.760937035064245)
05774000002006800;Breslauer Straße;POINT (8.56360959924878 51.75437434899308)
05774000002007100;Brinkweg;POINT (8.498100285478067 51.76426952260751)
05774000002007200;Brockestraße;POINT (8.57075439930819 51.766208693071015)
05774000002007300;Brockweg;POINT (8.503193484867198 51.7892695182124)
05774000002007400;Brombeerweg;POINT (8.519662294883986 51.74267448744745)
05774000002007570;Brückenweg;POINT (8.45547112077762 51.73462756847358)
05774000002007700;Bruchweg;POINT (8.661690380719739 51.7910369605856)
05774000002007750;Brucknerstraße;POINT (8.616063982146606 51.80007112611331)
05774000002007800;Buchenweg;POINT (8.575552489190612 51.76787358613699)
05774000002007830;Buchsbaumweg;POINT (8.509398135136664 51.741591747105666)
05774000002007850;Buddenbruch;POINT (8.609194242600283 51.76098214631902)
05774000002007900;Bühlenbrink;POINT (8.608503062321477 51.7701438934211)
05774000002008000;Bursdamm;POINT (8.625257248239889 51.78081556711202)
05774000002008010;Bursweg;POINT (8.488202434818302 51.79038112136063)
05774000002008200;Buschweg;POINT (8.557420317596705 51.77172945192068)
05774000002008300;Cappeler Weg;POINT (8.550802418594666 51.74262505308378)
05774000002008330;Caspar-Klein-Straße;POINT (8.474941902965229 51.757901028113594)
05774000002008360;Clemens-August-Straße;POINT (8.473312244029321 51.75735230126436)
05774000002008400;Dahlienstraße;POINT (8.568064422112535 51.76869823582981)
05774000002008600;Danziger Straße;POINT (8.565662288574519 51.75340139489558)
05774000002008620;Delpstraße;POINT (8.579995526403891 51.767701677959)
05774000002008630;Dessauer Straße;POINT (8.55987953346868 51.75656431403509)
05774000002009200;Detmolder Weg;POINT (8.552695674340779 51.80067635408842)
05774000002009300;Diebeskämpen;POINT (8.570247339976477 51.73571965522865)
05774000002009350;Dörenkamp;POINT (8.625966417680322 51.73766279470938)
05774000002009370;Dohlenweg;POINT (8.545408732739398 51.76466262780783)
05774000002009400;Doppheideweg;POINT (8.602574977531381 51.754954476037085)
05774000002009500;Dietrich-Bonhoeffer-Straße;POINT (8.573826172031723 51.77029857148688)
05774000002009600;Dorfplatz;POINT (8.46916337400708 51.75689724889454)
05774000002009610;Driftweg;POINT (8.557833068502266 51.764431679008915)
05774000002009650;Dr.-Berhorst-Straße;POINT (8.615616327537483 51.79251451913677)
05774000002009700;Dr.-Köring-Straße;POINT (8.551618611169758 51.76477772201309)
05774000002009750;Dr.-Tönsmeyer-Straße;POINT (8.558181627383558 51.72924755309704)
05774000002009800;Droste-Hülshoff-Straße;POINT (8.56129275111081 51.76930796968286)
05774000002009900;Drosselweg;POINT (8.61743858976943 51.782381997832964)
05774000002009950;Drubbelstraße;POINT (8.586398780688345 51.74472682933057)
05774000002010000;Düsterhusweg;POINT (8.553086622075558 51.81489893170871)
05774000002010100;Dullwallsweg;POINT (8.625714031989641 51.79992233012732)
05774000002010200;Dionysiusstraße;POINT (8.625230891231583 51.73880190157233)
05774000002010210;Ebereschenweg;POINT (8.575972581846305 51.76911812329836)
05774000002010300;Eberhardstraße;POINT (8.557270060363887 51.76507622024214)
05774000002010400;Eckernkamp;POINT (8.494381523681378 51.78525865206803)
05774000002010500;Ehlersweg;POINT (8.526780845575653 51.801608952845676)
05774000002010600;Eichendorffstraße;POINT (8.558103063179363 51.771336840412246)
05774000002010800;Eichenkamp;POINT (8.557651242595893 51.82795346904766)
05774000002010910;Eichenweg;POINT (8.575578574274349 51.76942498862909)
05774000002011000;Einsteinstraße;POINT (8.466498099957498 51.75139904526995)
05774000002011050;Elsternweg;POINT (8.546339061946163 51.76583434649114)
05774000002011100;Enger Weg;POINT (8.47453401924794 51.781104716555994)
05774000002011200;Entenweg;POINT (8.499767097451347 51.795268312227215)
05774000002011300;Erdgartenweg;POINT (8.650358202032832 51.80059570494522)
05774000002011350;Erfurter Straße;POINT (8.560824102480426 51.75817302629197)
05774000002011410;Erlenweg;POINT (8.643179543777581 51.78678689285228)
05774000002011450;Eschenweg;POINT (8.597289916152626 51.75355854033018)
05774000002011600;Espelner Straße;POINT (8.611618317135317 51.81066408334263)
05774000002011630;Eulenweg;POINT (8.546931654634127 51.75619086507791)
05774000002011650;Fabritiusstraße;POINT (8.558622285222981 51.7305002682729)
05774000002011800;Falkenweg;POINT (8.616195794892295 51.78403604028474)
05774000002011860;Farnweg;POINT (8.468252279815907 51.75627027708853)
05774000002011900;Fasanenweg;POINT (8.542714488252406 51.755929492435776)
05774000002011930;Feldhagen;POINT (8.615447299787174 51.80235652764937)
05774000002011950;Feldrand;POINT (8.597523560811739 51.7546380014238)
05774000002012000;Feldstraße;POINT (8.612194620129234 51.80246992599407)
05774000002012100;Feldmarkstraße;POINT (8.561198301001532 51.734623377444194)
05774000002012200;Ferdinandstraße;POINT (8.552237014111094 51.76434775534459)
05774000002012300;Fichtenweg;POINT (8.587197657020681 51.7655008527895)
05774000002012400;Figgenweg;POINT (8.554613485142644 51.80012477747057)
05774000002012500;Finkenweg;POINT (8.617182190695242 51.78283258247999)
05774000002012600;Föhrenweg;POINT (8.619428992835667 51.80123155881887)
05774000002012700;Fontanestraße;POINT (8.561195971442002 51.77002389730517)
05774000002012750;Fleite Heide;POINT (8.624039902409757 51.78188394297011)
05774000002012900;Fliederweg;POINT (8.519975216326845 51.74213872588132)
05774000002012950;Flieger-Humann-Straße;POINT (8.464052510061219 51.7546899053725)
05774000002013000;Flurweg;POINT (8.49395409631814 51.75318651243508)
05774000002013100;Flußweg;POINT (8.594259609332068 51.76392794147776)
05774000002013150;Frankenweg;POINT (8.550864739703892 51.79733868911372)
05774000002013200;Franziskanerstraße;POINT (8.621999376629368 51.73812314975306)
05774000002013320;Franzosenweg;POINT (8.509680599003419 51.795291599808834)
05774000002013370;Franz-Stock-Straße;POINT (8.568012754596754 51.77179097877955)
05774000002013400;Friedhofsweg;POINT (8.530134160333834 51.7544632830844)
05774000002013450;Friedrich-Ebert-Straße;POINT (8.556339119709815 51.76123724631494)
05774000002013510;Friedrich-Richta-Straße;POINT (8.492476776287427 51.788544505340646)
05774000002013600;Friedrichstraße;POINT (8.549832523649064 51.76493451221039)
05774000002013650;Friedrich-von-Spee-Straße;POINT (8.572494031518886 51.77022633549735)
05774000002013700;Friesenweg;POINT (8.551720237051665 51.7978976450126)
05774000002013900;Fuchsweg;POINT (8.508457619324808 51.73109282820838)
05774000002013950;Galgenlaake;
05774000002014100;Gartenweg;POINT (8.566280397931482 51.76537706845499)
05774000002014150;Gebrüder-Grimm-Straße;POINT (8.559414047850346 51.73409929937379)
05774000002014200;Geibelstraße;POINT (8.560193842897478 51.77201180443566)
05774000002014300;Georgstraße;POINT (8.550881382593772 51.769156506672786)
05774000002014350;Gerhart-Hauptmann-Straße;POINT (8.559738522664006 51.73298012025373)
05774000002014370;Gimpelweg;
05774000002014400;Ginsterweg;POINT (8.60722218165004 51.809304078840334)
05774000002014500;Giptenweg;POINT (8.51437732380377 51.80241687730574)
05774000002014600;Gockenweg;POINT (8.508572371066132 51.73453116048089)
05774000002014700;Godefriedstraße;POINT (8.624503844887762 51.7376938539029)
05774000002014750;Goerdelerstraße;POINT (8.581803434036672 51.76588805351607)
05774000002014800;Görlitzer Straße;POINT (8.564500627967723 51.75274550807465)
05774000002014900;Goethestraße;POINT (8.559147558795244 51.770622117385955)
05774000002015000;Goldregenweg;POINT (8.512578375814503 51.743898395887655)
05774000002015100;Grafhörsterweg;POINT (8.496744884879025 51.79742395081301)
05774000002015150;Graf-Meerveldt-Straße;POINT (8.609295384126183 51.74998338665735)
05774000002015200;Graf-Sporck-Straße;POINT (8.560882943647508 51.76568872300879)
05774000002015300;Grassostraße;POINT (8.552307195632475 51.76413500774273)
05774000002015400;Grasweg;POINT (8.464640293666148 51.764152465515984)
05774000002015450;Gregor-Mendel-Straße;POINT (8.566008126593282 51.73053847493357)
05774000002015500;Grewenhof;POINT (8.624952901703587 51.735745536894136)
05774000002015610;Grenzweg;POINT (8.671513210041459 51.79554705264282)
05774000002015800;Grubebachstraße;POINT (8.465047564729439 51.780480067233135)
05774000002015900;Grünberger Straße;POINT (8.566516005430518 51.75437405267395)
05774000002016000;Grüner Weg;POINT (8.59923746770243 51.80160695059509)
