strassenschluessel;bezeichnung;geometry
05170000000835001;Adelenweg;POINT (6.747780911720187 51.58127452611904)
05170000000835002;Adlerstraße;POINT (6.741527960215174 51.5495736525145)
05170000000835003;Adelgardweg;POINT (6.727770390144485 51.57935705481833)
05170000000835004;Agathenstraße;POINT (6.7476894945645 51.58061061215084)
05170000000835005;Agnesstraße;POINT (6.720499146246911 51.57601268893862)
05170000000835006;Ahornweg;POINT (6.767099447088859 51.56658508586098)
05170000000835007;Akazienstraße;POINT (6.764982786837271 51.569105645058045)
05170000000835008;Albrecht-Dürer-Straße;POINT (6.765651569656032 51.55982561805017)
05170000000835009;Alleestraße;POINT (6.737377458089261 51.55485830899399)
05170000000835010;Almutstraße;POINT (6.719459390830895 51.579482319526804)
05170000000835012;Altmarkt;POINT (6.732648603388704 51.56090296534213)
05170000000835013;Althoffstraße;POINT (6.7315660061943055 51.562092072657876)
05170000000835014;Am Alten Drahtwerk;POINT (6.730112646676938 51.569753047836585)
05170000000835015;Ober-Lohberg-Allee;POINT (6.762100516420787 51.57845381826111)
05170000000835016;Im Kreativquartier;POINT (6.761832552563141 51.58282568710933)
05170000000835017;Grünes Tor;
05170000000835018;Energiering;POINT (6.763868190360171 51.58102066434586)
05170000000835019;Amalienstraße;POINT (6.7241993118499295 51.57400885800585)
05170000000835020;Am Böttgen;
05170000000835021;Bärenstraße;POINT (6.731192583227047 51.54658955354347)
05170000000835021;Bärenstraße;POINT (6.731192583227047 51.54658955354347)
05170000000835022;Am Brüchsken;POINT (6.773143684430544 51.53673680762296)
05170000000835023;Felix-Hollenberg-Weg;POINT (6.779890455897238 51.538499613207875)
05170000000835024;Am Freibad;POINT (6.7763102586641235 51.56720769651085)
05170000000835025;Maria-Sander-Domagala-Weg;POINT (6.742841040766132 51.5586916988107)
05170000000835026;Am Hagelkreuz;POINT (6.697085360439405 51.56306838842009)
05170000000835027;Am Heerenkamp;POINT (6.7534101710055765 51.56946543448087)
05170000000835028;Am Heimchen;
05170000000835029;Am Kirchberg;POINT (6.780844466946237 51.576040826771575)
05170000000835030;Am Laakmannshof;POINT (6.762599401669235 51.558067438312165)
05170000000835031;Am Landwehrgraben;POINT (6.771122673125044 51.5370974792463)
05170000000835032;Am Liesen;POINT (6.777648872559613 51.55770168680361)
05170000000835033;Am Müllerstück;POINT (6.70501474679075 51.55734841624824)
05170000000835035;Am Neutor;POINT (6.741097610122583 51.563219801428225)
05170000000835037;Am Pfauenzehnt;POINT (6.749798034336983 51.569004178580016)
05170000000835038;Am Pollenkamp;POINT (6.738833732960369 51.552051726544)
05170000000835040;Am Raymannshof;POINT (6.76008829847007 51.565634854672396)
05170000000835041;Am Rutenwall;POINT (6.738420999007428 51.56214734265465)
05170000000835043;Am Scholtenbusch;POINT (6.77887446533753 51.564691814976115)
05170000000835044;Am Schürmannshof;POINT (6.761262905318833 51.55823072223844)
05170000000835045;Am Siepenbach;POINT (6.778209801918657 51.55307910281453)
05170000000835046;Amselstraße;POINT (6.747040155596416 51.57830213912928)
05170000000835047;Am Stadtbad;POINT (6.737257188239239 51.57585275631237)
05170000000835048;Am Stallmannsbusch;POINT (6.744347554088845 51.57194814806867)
05170000000835049;Am Stallmannshof;POINT (6.743658348944558 51.57409976308183)
05170000000835050;Am Steppenkamp;POINT (6.759127921692832 51.5632917554664)
05170000000835051;Am Talgraben;POINT (6.765323858290046 51.5560300600119)
05170000000835052;Am Uhlensterz;
05170000000835053;Andreaweg;POINT (6.7252998900641225 51.5806821722786)
05170000000835054;Am Weyer;POINT (6.766426006473933 51.55751670850649)
05170000000835055;Am Wohnungsbusch;POINT (6.719816043445336 51.57372607809638)
05170000000835057;An den Höfen;POINT (6.775717834398654 51.56221523252371)
05170000000835058;An der Rauterskath;POINT (6.769990089364547 51.553491787982324)
05170000000835059;Angelikastraße;POINT (6.718635796400474 51.57931554384484)
05170000000835060;Angerweg;POINT (6.744198019682179 51.58241709709234)
05170000000835061;Annastraße;POINT (6.716818331375797 51.57732220739736)
05170000000835062;Antonienstraße;POINT (6.748723365034566 51.58047993756561)
05170000000835063;Annettenweg;POINT (6.716388989106259 51.582483283174206)
05170000000835064;Astridweg;POINT (6.719658459533568 51.57720808859859)
05170000000835065;Anshövel;POINT (6.742529521215204 51.58097336055325)
05170000000835066;Auestraße;POINT (6.701742272707853 51.5575563953696)
05170000000835067;Auf dem Krähenbrink;POINT (6.771758869680337 51.56188957175605)
05170000000835068;Auf dem Loh;POINT (6.768522732820744 51.568337770084554)
05170000000835069;An der Fliehburg;POINT (6.755260436543663 51.550782350618995)
05170000000835070;Auf der Brey;POINT (6.7019854242701795 51.56601518478466)
05170000000835071;Augustaplatz;POINT (6.731736445350961 51.580748818540826)
05170000000835072;Augustastraße;POINT (6.730498993242792 51.58074644298847)
05170000000835074;August-Schmidt-Str;POINT (6.72659974100996 51.551644756357675)
05170000000835075;Avegunst;POINT (6.744117024463975 51.557836457849895)
05170000000835076;Averbruchstraße;POINT (6.746920819256183 51.550776345438784)
05170000000835077;Avenbeckshof;POINT (6.747346979712716 51.55219743796097)
05170000000835101;Bachstraße;POINT (6.74002299834711 51.55815092983077)
05170000000835103;Bahnhofsplatz;POINT (6.736587661648603 51.56744605580758)
05170000000835104;Barlachweg;POINT (6.730941181394755 51.56773217577533)
05170000000835105;Bahnstraße;POINT (6.739014789779378 51.56594558995846)
05170000000835106;Barmingholtener Straße;POINT (6.776138465852371 51.54513082930608)
05170000000835107;Bärenkampallee;POINT (6.736364886928917 51.555246848289386)
05170000000835108;Baßfeldshof;POINT (6.739474959741794 51.57783317791364)
