strassenschluessel;bezeichnung;geometry
05162000000400010;Ackerstraße;POINT (6.782395502418578 51.12834806906037)
05162000000400020;Adolf-Kolping-Straße;POINT (6.821204097917096 51.10345036453523)
05162000000400025;Adolf-von-Menzel-Straße;POINT (6.821492947914065 51.105680270917375)
05162000000400030;Aggerstraße;POINT (6.803619482141813 51.062248307785104)
05162000000400033;Agnes-Derichsweiler-Straße;
05162000000400040;Ahornweg;POINT (6.8111140875502985 51.10110184253985)
05162000000400045;Ahrweg;POINT (6.815591993314026 51.06022597157174)
05162000000400050;Akazienweg;POINT (6.804119754083451 51.098841630762536)
05162000000400060;Albert-Schweitzer-Straße;POINT (6.785485712077299 51.12642848229416)
05162000000400065;Albertus-Magnus-Straße;POINT (6.75805588064928 51.113819350924445)
05162000000400070;Aldenhovenstraße;POINT (6.846822938215357 51.12001813153944)
05162000000400073;Alexander-Schmorell-Weg;POINT (6.772937417517426 51.08255225306104)
05162000000400075;Alfons-Sahler-Straße;POINT (6.8115226170055765 51.1390269909341)
05162000000400080;Aloysiushof;POINT (6.794447286103877 51.091534819815365)
05162000000400090;Aloysiusstraße;POINT (6.824699391449401 51.13776770916454)
05162000000400095;Alte Heerstraße;POINT (6.817323629751876 51.08528118560646)
05162000000400096;Alte Heerstraße;
05162000000400098;Alter Flügeldeich;
05162000000400100;Alte Ziegelei;POINT (6.7956063206798065 51.114322525648596)
05162000000400110;Am Alten Schlag;POINT (6.753781624591811 51.09239340361519)
05162000000400115;Am Bergischen Hof;POINT (6.849600978259 51.12500676673166)
05162000000400130;Am Burggraben;POINT (6.811667410270135 51.06447973334594)
05162000000400140;Am Chorbusch;POINT (6.775455061013868 51.0718639003861)
05162000000400142;Am Christinenhof;POINT (6.73267192796035 51.096782747812334)
05162000000400145;Am Damschenpfad;POINT (6.772410744457905 51.12144022805617)
05162000000400150;Am Dreieck;POINT (6.782937875476298 51.12877207748448)
05162000000400160;Am Elsterbusch;POINT (6.754691678997048 51.09601234591621)
05162000000400161;Am Felder Hof;POINT (6.772113158050263 51.1179055610279)
05162000000400165;Am Fuchsbau;POINT (6.776402176229932 51.08050742671107)
05162000000400170;Am Hagedorn;POINT (6.8046833076631 51.100883111674115)
05162000000400180;Am Hahnen;POINT (6.76683897786281 51.119130728977225)
05162000000400185;Am Jüdischen Bethaus;
05162000000400190;Am Kamp;POINT (6.719067902087537 51.10603161821437)
05162000000400195;Am Kappesberg;POINT (6.8431174038894245 51.09250794037524)
05162000000400196;Am Kiefernwäldchen;POINT (6.8171528082089194 51.06026077273809)
05162000000400200;Am Kirchpfad;POINT (6.8455961129412835 51.12144331651722)
05162000000400210;Am Kleinbüschchen;POINT (6.76066788891161 51.114611149251516)
05162000000400220;Am Klein-Sasserhof;POINT (6.8183851828932385 51.07734112250204)
05162000000400230;Am Krahnenort;POINT (6.8587899814504745 51.10379898847638)
