strassenschluessel;bezeichnung;geometry
05913000000070002;Abboweg;POINT (7.373724104345933 51.51586158455368)
05913000000070003;Abteistraße;POINT (7.570280080885725 51.491509869735175)
05913000000070004;Achatweg;POINT (7.526359658912644 51.471448425467315)
05913000000070005;Achterstraße;
05913000000070007;Ackergrenze;POINT (7.571944340367249 51.496046436909204)
05913000000070008;Ackerweg;POINT (7.3794981209727775 51.4838144367963)
05913000000070009;Adalbertstraße;POINT (7.416026110854633 51.504594515649494)
05913000000070010;Adalmundstraße;POINT (7.381004656131056 51.57269570433642)
05913000000070011;Adelenstraße;POINT (7.529881419559776 51.48860411490105)
05913000000070012;Adickesstraße;POINT (7.491421277516557 51.505693737545904)
05913000000070013;Adlerstraße;POINT (7.447635782205185 51.51237383936247)
05913000000070014;Admiralplatz;
05913000000070015;Admiralstraße;POINT (7.498424771431261 51.47067993052206)
05913000000070016;Ährenweg;POINT (7.422661458801594 51.54893926526626)
05913000000070017;Agnes-Neuhaus-Straße;POINT (7.473193451636218 51.51221063502467)
05913000000070018;Ahornweg;POINT (7.521892282733023 51.51819504715575)
05913000000070019;Akazienstraße;POINT (7.527283164648325 51.51937597059762)
05913000000070021;Akenschockweg;POINT (7.60236633484115 51.55393127391354)
05913000000070022;Alarichstraße;POINT (7.403362234378237 51.528000979226675)
05913000000070023;Albertstraße;POINT (7.476951568095354 51.525153000078724)
05913000000070024;Albingerstraße;POINT (7.505927242841783 51.477112189461835)
05913000000070025;Albrecht-Dürer-Straße;POINT (7.516694225689708 51.5120082755205)
05913000000070026;Albrechtstraße;POINT (7.443881104754464 51.5094897857852)
05913000000070027;Albroweg;POINT (7.58632197188308 51.52324891042136)
05913000000070028;Aldinghofer Straße;POINT (7.497765843627932 51.489861438561405)
05913000000070030;Alekestraße;POINT (7.566339381230662 51.57699799759557)
05913000000070031;Alemannenstraße;POINT (7.509007311889663 51.4796146873118)
05913000000070032;Alexanderstraße;POINT (7.454952654663834 51.50808166767785)
05913000000070033;Alfred-Lange-Straße;POINT (7.424652989246993 51.582577901144866)
05913000000070035;Alfred-Nobel-Straße;POINT (7.401325316205802 51.501660656584754)
05913000000070036;Alfred-Trappen-Straße;POINT (7.5018619300377285 51.489958173959195)
05913000000070038;Allerstraße;POINT (7.550776496480957 51.50615098599742)
05913000000070040;Alsenstraße;POINT (7.469247162635771 51.52494701091641)
05913000000070042;Alte Dortmunder Straße;POINT (7.387800741930196 51.567184172343)
05913000000070043;Alte Gartenstraße;
05913000000070044;Alte Landstraße;POINT (7.503651567239098 51.44978539173907)
05913000000070045;Alte Märsch;POINT (7.6220543983136135 51.535767418113025)
05913000000070046;Alte Radstraße;POINT (7.438472716604408 51.513894139684425)
05913000000070047;Alte Ruhrwaldstraße;POINT (7.486587012114224 51.44125415160048)
05913000000070048;Alte Straße;POINT (7.510139435808257 51.51749320817934)
05913000000070049;Alte Teichstraße;POINT (7.433247504593902 51.46646277902153)
05913000000070050;Altenderner Straße;POINT (7.526672648572069 51.56760353825916)
05913000000070053;Altenhennestraße;POINT (7.399110302223932 51.536587970377916)
05913000000070054;Altenrathstraße;POINT (7.382366166836543 51.514017593358915)
05913000000070056;Alter Hellweg;POINT (7.370658705728122 51.498590920011075)
05913000000070057;Alter Mühlenweg;POINT (7.4613724328965 51.50316672539783)
05913000000070058;Alter Postweg;POINT (7.492423910042462 51.55498515321231)
05913000000070059;Altfriedstraße;POINT (7.415117833894605 51.53252467116534)
05913000000070060;Althoffstraße;POINT (7.443599655220201 51.50596600636825)
05913000000070061;Althüserstraße;POINT (7.540561466081161 51.54599075192115)
05913000000070062;Altmengeder Straße;POINT (7.406293826361082 51.57572537669242)
05913000000070064;Altonaer Straße;POINT (7.472919855748956 51.523816815036156)
05913000000070065;Am alten Forsthaus;POINT (7.442146407249399 51.473757194235496)
05913000000070067;Am Apelstück;POINT (7.326982753742435 51.49621421932482)
05913000000070068;Am Bahnhof Tierpark;POINT (7.460646073024598 51.47925717421678)
05913000000070069;Am Ballroth;POINT (7.43070656919092 51.453022534312396)
05913000000070070;Am Beilstück;POINT (7.436051184803037 51.48647459754007)
05913000000070071;Am Beisenkamp;POINT (7.495738443862089 51.5713959433858)
05913000000070074;Am Beisenufer;POINT (7.429982407833714 51.48384672895572)
05913000000070075;Am Bellwinkelhof;POINT (7.517328780703922 51.54657364356958)
05913000000070076;Am Bentenskamp;POINT (7.488579685465097 51.51552619016917)
05913000000070077;Am Bergfeld;POINT (7.510271082520875 51.55189726354787)
05913000000070078;Am Bertholdshof;POINT (7.5055996699659335 51.51471373659319)
05913000000070079;Am Birkenbaum;POINT (7.467005524002998 51.573016568353)
05913000000070081;Am Bornacker;POINT (7.561581586944364 51.49458202884331)
05913000000070082;Am Brandhof;
05913000000070083;Am Brauckacker;POINT (7.373075868720877 51.54202563240439)
05913000000070084;Am Bredenbusch;POINT (7.453683028494751 51.54989091200458)
05913000000070085;Am Brennbusch;POINT (7.514949111074414 51.50724267876071)
05913000000070086;Am Bruchheck;POINT (7.500543098498128 51.48029596387406)
05913000000070087;Am Buchenwald;POINT (7.456009769311751 51.549545512730724)
05913000000070088;Am Büter;POINT (7.5335668753820055 51.49908797009513)
05913000000070089;Am Burhag;POINT (7.569501808260849 51.58124614649178)
05913000000070090;Am Dieckhof;POINT (7.417251760723738 51.53097984974979)
05913000000070091;Am Dimberg;POINT (7.45559875429737 51.45712262565268)
05913000000070092;Am Dingelkamp;POINT (7.493600485550868 51.57508203836883)
05913000000070093;Am Dorfplatz;POINT (7.38096971713434 51.48339619896159)
05913000000070094;Am Dreisch;POINT (7.541510379760423 51.493164846978516)
05913000000070096;Am Düppersholl;POINT (7.3563981133028475 51.49689290455526)
05913000000070097;Am Eiserfeld;
05913000000070098;Am Ellberg;POINT (7.5055293749613226 51.450468046030394)
05913000000070099;Am Feldbrand;POINT (7.369466088488201 51.54787998512399)
05913000000070101;Am Flachsteich;POINT (7.440398605865726 51.4561469178543)
05913000000070102;Am Flinsbach;POINT (7.460451220190978 51.46060306797339)
05913000000070103;Am Frache;POINT (7.455588363796328 51.44984896456298)
05913000000070104;Am Franzosensiepen;POINT (7.430596535549407 51.44773371780159)
05913000000070105;Am Freck;POINT (7.4479207642475584 51.446314214860756)
05913000000070106;Am Funkturm;POINT (7.562234153088005 51.514709761598404)
05913000000070108;Am Gardenkamp;POINT (7.417577926791498 51.48296661088802)
05913000000070110;Am Geenseel;POINT (7.5108219097698425 51.48585401903357)
05913000000070111;Am Gemeindehaus;POINT (7.439755558613898 51.477793101183366)
05913000000070112;Am Gottesacker;POINT (7.533709843253394 51.510796290666356)
