strassenschluessel;bezeichnung;geometry
05570000001620454;Agatha-Christie-Straße;
05570000001620455;Ahlener Weg;POINT (7.74703915037812 51.795095621761774)
05570000001620456;Astrid-Lindgren-Straße;
05570000001620458;Ahornstraße;POINT (7.791198263226063 51.763330270276875)
05570000001620459;Akazienweg;POINT (7.721166646508168 51.79463507172773)
05570000001620460;Albersloher Straße;POINT (7.686000916159996 51.84544287373161)
05570000001620465;Alte Dorfstraße;POINT (7.678646235344084 51.84554659144476)
05570000001620470;Altendorf;POINT (7.668802469250351 51.84910289352475)
05570000001620477;Alten Walstedde;POINT (7.781972601522831 51.75666051274185)
05570000001620480;Am Bahnhof;POINT (7.690569750114304 51.842728161204526)
05570000001620482;Am Berthaschacht;POINT (7.724357450611215 51.79334030752203)
05570000001620485;Am Bildstock;POINT (7.687607418305832 51.84335308893939)
05570000001620488;Am Mühlenberg;
05570000001620490;Ameke;POINT (7.76327435260697 51.752893202844824)
05570000001620492;Ameke-Berg;POINT (7.761366360833645 51.76011654411079)
05570000001620493;Ameker Geist;POINT (7.767255756076112 51.75159278526554)
05570000001620495;Am Erlbach;POINT (7.744269010620221 51.79152905122647)
05570000001620497;Am Felsbusch;POINT (7.726563130721968 51.79770514182136)
05570000001620500;Am Friedhof;POINT (7.797068127870949 51.75883780460845)
05570000001620503;Am Kämpken;POINT (7.767800942266291 51.75003728780987)
05570000001620504;Am Knapp;POINT (7.683180369643186 51.842651183791226)
05570000001620505;Am Ladestrang;POINT (7.735331737767699 51.79665060233483)
05570000001620507;Am Mittelschacht;POINT (7.726389727664369 51.79732485306187)
05570000001620510;Am Prillbach;POINT (7.790566441552273 51.76036845675721)
05570000001620515;Amselweg;POINT (7.6880040554211355 51.84153832884392)
05570000001620520;Am Töller;POINT (7.737352081062796 51.79522329105343)
05570000001620525;Amtshofweg;POINT (7.737078525111612 51.80010541667733)
05570000001620526;An der Pferdebahn;POINT (7.723106155944311 51.79589332452186)
05570000001620527;An der Werse;POINT (7.747817123372933 51.79725514723057)
05570000001620530;Annenkamp;POINT (7.7364625407851495 51.80034733127153)
05570000001620535;Annettestraße;POINT (7.691995529368981 51.84355144914381)
05570000001620537;Anton-Köcking-Gasse;POINT (7.725758893743854 51.7950700517153)
05570000001620538;Arnold-Huppertz-Straße;POINT (7.727354343166782 51.794555719840645)
05570000001620539;Asternweg;
05570000001620540;Auf der Brede;POINT (7.7477205194842895 51.80140094282939)
05570000001620543;Augustin-Wibbelt-Straße;POINT (7.742127691924332 51.78852829585492)
05570000001620545;Averdung;POINT (7.788986850075178 51.81457746446283)
05570000001620549;Bangerens Kämpken;POINT (7.746601546100383 51.800024159013304)
05570000001620550;Bahnhofsplatz;POINT (7.733826700379008 51.799209155845105)
05570000001620555;Bahnhofstraße;POINT (7.73984031645391 51.798865374957835)
05570000001620556;Barbaraweg;POINT (7.723559111430347 51.7965372808659)
