strassenschluessel;bezeichnung;geometry
05966000000812000;Alte Landstraße;POINT (7.778109243678666 51.01956630417315)
05966000000812001;Am Buscheid;POINT (7.78283177175443 51.02102826248024)
05966000000812002;Am Hüsterberg;POINT (7.772203196953658 51.01922945919604)
05966000000812003;Am Papenberg;POINT (7.778298511863353 51.02435408409539)
05966000000812004;Am Wall;POINT (7.783797437875058 51.022389634394955)
05966000000812005;An der Kreuzkapelle;POINT (7.779133195666864 51.02420101743986)
05966000000812006;Annostraße;POINT (7.778216887619281 51.02404886632943)
05966000000812007;Auf dem Graben;POINT (7.778139398586519 51.024421629579244)
05966000000812008;Auf dem Rhode;POINT (7.774565117521388 51.023173143148824)
05966000000812009;Bahnhofstraße;POINT (7.77192802475289 51.025949286423646)
05966000000812010;Benolper Straße;POINT (7.773615058483512 51.022556523563445)
05966000000812011;Börschstraße;POINT (7.783057107328658 51.02294195799036)
05966000000812012;Brückstraße;POINT (7.775020380409062 51.02367074544676)
05966000000812013;Brunnenstraße;POINT (7.777654677697203 51.024235245125226)
05966000000812014;Clemensstraße;POINT (7.778445704092833 51.02303553897101)
05966000000812015;Dechant-Fischer-Straße;POINT (7.778956009495571 51.023080855343586)
05966000000812016;Engelbertstraße;POINT (7.769561547831458 51.02420818648457)
05966000000812017;Ennert;POINT (7.771285114692811 51.02547167772987)
05966000000812018;Finkestraße;POINT (7.778592657201425 51.02136819262161)
05966000000812019;Franz-Hitze-Straße;POINT (7.773127512646287 51.02344705238584)
05966000000812020;Gartenstraße;POINT (7.773873467774467 51.02477038975185)
05966000000812021;Gerberstraße;POINT (7.775277390341418 51.023185791155555)
05966000000812022;Gerhardusstraße;POINT (7.772053908035564 51.02197472582048)
05966000000812023;Gördesweg;POINT (7.772560020081116 51.019719391394794)
05966000000812024;Goethestraße;POINT (7.768026570743932 51.024831343865124)
05966000000812025;Gräfin-Sayn-Straße;POINT (7.780742618319709 51.02299959239957)
05966000000812026;Hagener Straße;POINT (7.774289308493554 51.026619131156565)
05966000000812027;Heinrich-Bone-Straße;POINT (7.772696062956488 51.02415706050805)
05966000000812028;Herrnscheider Weg;POINT (7.772632028660227 51.025067745440865)
05966000000812029;Im Höfchen;POINT (7.775657976386248 51.022650485074834)
05966000000812030;Im Kreuzseifen;POINT (7.7715098264250395 51.01883839886497)
05966000000812031;Im Wiesengrund;POINT (7.767976627723772 51.03080711393078)
05966000000812032;In der Sengenau;POINT (7.773766948303662 51.03130700048163)
05966000000812033;In der Trift;POINT (7.770109347549073 51.02089600702493)
05966000000812034;Kampstraße;POINT (7.7713088346727694 51.02229041248963)
05966000000812035;Kirchplatz;POINT (7.778899457309982 51.02337124723785)
05966000000812036;Klosterhof;POINT (7.778529310807361 51.02278571824917)
05966000000812037;Kolpingstraße;POINT (7.780201868232544 51.023752939100284)
05966000000812038;Kurkölner Straße;POINT (7.771974415047312 51.02256082963094)
05966000000812039;Lindenstraße;POINT (7.773116736293192 51.02419878995076)
05966000000812040;Märkische Straße;POINT (7.76821379604582 51.02869452339979)
05966000000812041;Marktplatz;POINT (7.777523617153948 51.02375183716602)
05966000000812042;Raiffeisenstraße;POINT (7.772672550003806 51.02661641385582)
05966000000812043;Rosestraße;POINT (7.774595347252709 51.02370146881482)
05966000000812044;Schillerstraße;POINT (7.767352935256387 51.02501908829482)
05966000000812045;Sendschotter Weg;POINT (7.773007445531501 51.03094603912606)
05966000000812046;Südstraße;POINT (7.774930350409824 51.02006468545489)
05966000000812047;Theimicker Weg;POINT (7.760169846015789 51.0217378031894)
05966000000812048;Unterm Gallenlöh;POINT (7.766887398617071 51.01986330486828)
05966000000812049;Vor der Scheibe;POINT (7.777207686462136 51.019608203760775)
05966000000812050;Hansaweg;POINT (7.775692408027747 51.0219675119558)
05966000000812051;Grabweg;POINT (7.775550109888833 51.029460261445145)
05966000000812052;Amselweg;POINT (7.762942734227154 51.02544208853381)
05966000000812053;Drosselweg;POINT (7.762372024070044 51.02583330609443)
05966000000812054;Humboldtstraße;POINT (7.7624068333965806 51.02405984371483)
05966000000812055;Lessingstraße;POINT (7.762717968965147 51.02508769071042)
05966000000812056;Lönsstraße;POINT (7.762069926516149 51.025736022167514)
05966000000812057;Meisenweg;POINT (7.765170951173793 51.024961246487806)
05966000000812058;Schwalbenweg;POINT (7.764672991259941 51.025371193865766)
05966000000812059;Buchfinkenweg;POINT (7.763402888092141 51.02724070019786)
05966000000812060;Dohlenweg;POINT (7.763618756988681 51.02676324966517)
05966000000812061;Starenweg;POINT (7.762194869284764 51.024384823019574)
05966000000812062;Steinstraße;POINT (7.771131184734526 51.03796919302733)
05966000000812063;Kupferstraße;POINT (7.768914361869358 51.03561520293662)
05966000000812064;Siemensstraße;POINT (7.766269563692267 51.03570240905189)
05966000000812065;Industriestraße;POINT (7.767127862826167 51.03630465600268)
05966000000812066;Auf dem Beul;POINT (7.763607216559174 51.0219262075898)
05966000000812067;Am Weinberg;POINT (7.762619800907411 51.021932391599464)
05966000000812068;Elsternweg;POINT (7.761853252884646 51.02757858292005)
05966000000812069;Fasanenweg;POINT (7.761142063979883 51.026236984601944)
05966000000812070;Nachtigallenweg;POINT (7.761633628170264 51.02585077960686)
05966000000812071;Breite Wiese;POINT (7.7763078214009935 51.02157549279284)
05966000000812072;Postweg;POINT (7.775815066365378 51.0215293414508)
05966000000812073;Zipperlingssiepen;POINT (7.766096896824328 51.02319150509346)
05966000000812074;Schwester-Huberta-Weg;
05966000000812075;Springerwiese;POINT (7.7703224838862 51.038856681632986)
05966000000812076;Eichendorffstraße;POINT (7.75938580083594 51.0245393491726)
05966000000812077;Hauptmannstraße;POINT (7.759376091822081 51.023679839496104)
05966000000812078;Fontanestraße;POINT (7.760039105917199 51.0224781504774)
05966000000812079;Am Mühlenteich;POINT (7.777124161417285 51.02196677707242)
05966000000812080;In der Wünne;POINT (7.782603709642827 51.02411641799445)
05966000000812081;Weißdornstraße;POINT (7.766364047055799 51.03248708455547)
05966000000812082;Talerweg;POINT (7.772210499988186 51.029991589724936)
05966000000812083;Christine-Koch-Straße;POINT (7.765948306239948 51.0265911027606)
05966000000812084;Kirchhoffstraße;POINT (7.765163559621156 51.02732962685283)
05966000000812085;Hatzfeldstraße;POINT (7.764548842235049 51.02764985861083)
05966000000812086;Norbert-Scheele-Straße;POINT (7.763879042339469 51.02809875028593)
05966000000812087;Grimmestraße;POINT (7.763664057063384 51.029571903414194)
05966000000812088;Hellinghausstraße;POINT (7.763410338645322 51.030497923293446)
05966000000812089;Voßhölzchen;POINT (7.766506685508185 51.027901390628394)
05966000000812090;Zum Bauhof;POINT (7.763244564349858 51.03243585369907)
05966000000812091;Florianstraße;POINT (7.765759996544293 51.03067107642779)
05966000000812092;Am Eiskeller;POINT (7.789252696766863 51.02470091374374)
05966000000812093;Essinghauser Weg;POINT (7.771873322944907 51.0391422643468)
05966000000812094;Wilhelm-Busch-Weg;POINT (7.764736730858407 51.02877659496379)
05966000000812095;In der Hützenau;POINT (7.763242700119664 51.03452244396169)
05966000000812096;Ober der Sengenau;POINT (7.771709587532244 51.03056152808538)
05966000000812097;Am Eichenbaum;POINT (7.770771101884177 51.03061691150687)
05966000000812098;Am Gielenstein;POINT (7.7701020884541405 51.030468350670084)
05966000000812101;Am Hofgarten;POINT (7.737991429506777 51.016706111163906)
05966000000812102;Am Lußnacken;POINT (7.736972410585085 51.01644210165298)
05966000000812103;Am Windhagen;POINT (7.738650706230177 51.017763136652455)
05966000000812104;Gelslinger Weg;POINT (7.740426828011173 51.01118850270508)
05966000000812105;Rheinlandstraße;POINT (7.73677885435786 51.01899829884992)
05966000000812106;Am Hang;POINT (7.739847944114234 51.016751051117325)
05966000000812107;Brombeerweg;POINT (7.735811253237017 51.01915348303619)
05966000000812108;Holunderweg;POINT (7.736435939094456 51.018294527547994)
05966000000812109;Im Brauck;POINT (7.7362581983929175 51.019849658199384)
05966000000812110;Vorm Heiensiepen;POINT (7.744284655750276 51.01790499415333)
05966000000812111;Am Bremerhof;POINT (7.8036242789922765 51.01678659356695)
05966000000812112;Am Hütteberg;POINT (7.806272403475616 51.01496030966382)
05966000000812113;Am Sonnenhang;POINT (7.802813453096096 51.013749637730314)
05966000000812114;Eichener Straße;POINT (7.804696505696418 51.0165469722655)
