strassenschluessel;bezeichnung;geometry
05558000001633980;Adam-Stegerwald-Straße;POINT (7.260896186616645 51.84077870991462)
05558000001633985;Adlerweg;POINT (7.294927390104437 51.83529885499281)
05558000001633988;Albert-Schweitzer-Weg;POINT (7.286188521759842 51.829755777619894)
05558000001633990;Adolf-Kolping-Straße;POINT (7.280901691850588 51.834224929493175)
05558000001633992;Ächtern Ossenstall;POINT (7.288377488094662 51.82125748966903)
05558000001633995;Ahornweg;POINT (7.291301108922153 51.82368229054533)
05558000001634000;A-Laumann-Weg;POINT (7.2875537487542195 51.82789688892711)
05558000001634001;Alfred-Nobel-Weg;POINT (7.285874414936615 51.82885798918656)
05558000001634005;Allee;POINT (7.269409201877045 51.899254798307275)
05558000001634010;Aloysstraße;POINT (7.284036923401253 51.83222037324838)
05558000001634015;Alte Badeanstalt;POINT (7.28741377693973 51.83739089684412)
05558000001634020;Alte Kirchstraße;POINT (7.360334668180017 51.865627153258735)
05558000001634025;Alter Gartenweg;POINT (7.281645788089429 51.82890659580041)
05558000001634030;Alter Mühlenweg;POINT (7.366412194208063 51.86405292612476)
05558000001634035;Alter Münsterweg;POINT (7.283184033621893 51.83618261371855)
05558000001634037;Alter Ostdamm;POINT (7.292058717074967 51.83027032849793)
05558000001634038;Am alten Stadion;POINT (7.26749256018078 51.841225114761826)
05558000001634040;Am Bache;POINT (7.282957129007279 51.825229239521384)
05558000001634045;Am Burdiek;POINT (7.298498799914044 51.82239664824211)
05558000001634050;Am Denkmal;POINT (7.402184730382649 51.83630529905842)
05558000001634055;Am Esch;POINT (7.399896625391069 51.8347407136131)
05558000001634060;Am Friedhof;POINT (7.201400658451679 51.851715038188395)
05558000001634065;Am Hagen;POINT (7.365301633082771 51.863689991436225)
05558000001634066;Am Hagenbach;POINT (7.359281258528659 51.868601039504725)
05558000001634070;Am Hange;POINT (7.27199207471613 51.82214305344385)
05558000001634075;Am Hausbusch;POINT (7.269147240323931 51.89814879351019)
05558000001634080;Am Heubach;POINT (7.100543152262135 51.84695477949896)
05558000001634085;Am Hofgarten;POINT (7.278620532238905 51.824287989844734)
05558000001634090;Am Holzplatz;POINT (7.29592966697638 51.83292616521462)
05558000001634092;Am Kleuterbach;POINT (7.251138470908415 51.81330579586923)
05558000001634095;Am Linnert;POINT (7.266789384564537 51.78280931978703)
05558000001634100;Am Lohrkamp;POINT (7.404133850954369 51.83699681590794)
05558000001634105;Am Luchtkamp;POINT (7.273821506666121 51.83947714570446)
05558000001634110;Am Mühlenbach;POINT (7.209390200335734 51.84823619534247)
05558000001634115;Am Osthoff;POINT (7.299820281711598 51.83254887950495)
05558000001634117;Am Pappelwäldchen;POINT (7.295968624266023 51.8298858260677)
05558000001634119;Am Schloß;POINT (7.209601294025092 51.84961021127339)
05558000001634120;Am Schloßgarten;POINT (7.280785087219119 51.825706369288916)
05558000001634125;Amselweg;POINT (7.294503396318628 51.83391415580001)
05558000001634130;Am Silberknapp;POINT (7.282303669242419 51.84230471148899)
05558000001634135;Am Sillerkamp;POINT (7.247425022041473 51.81322853180599)
05558000001634140;Am Sportplatz;POINT (7.266178595530224 51.840400527598895)
05558000001634145;Am Teigelofen;POINT (7.282951791502756 51.83779984402825)
05558000001634150;Am Turnplatz;POINT (7.279555733847251 51.824473328929045)
05558000001634160;Am Wasserturm;POINT (7.268916944101413 51.83257151786544)
05558000001634165;Am Wasserwerk;POINT (7.258043275219993 51.8004475571366)
05558000001634170;Am Wevelbach;POINT (7.373914987594862 51.86200381589017)
05558000001634175;Am Wido;POINT (7.401277021859516 51.83797588469355)
05558000001634180;Am Wiedehagen;POINT (7.27250995652476 51.81968002183238)
05558000001634182;Am Wildpark;POINT (7.263845437257566 51.83528731286255)
05558000001634183;An de Kohdränk;POINT (7.29576602210357 51.8416896432411)
05558000001634184;An den Eichen;POINT (7.194981305831243 51.84833839741665)
05558000001634185;An den Wiesen;POINT (7.279188500451935 51.83488464342535)
05558000001634190;An der Eisenhütte;POINT (7.2676829030171985 51.823979732525814)
05558000001634193;An der Heide;POINT (7.258989198432552 51.8074573296171)
05558000001634195;An der Kreuzkirche;POINT (7.282947839096243 51.82523693604984)
05558000001634200;An der Lehmkuhle;POINT (7.284515194467641 51.83992158317131)
05558000001634202;An der Mühle;POINT (7.3067292980762275 51.81527525318082)
05558000001634205;An der Silberwiese;POINT (7.272804144263783 51.823274378089714)
05558000001634207;An der Spinnerei;POINT (7.2866034491733656 51.82617143099851)
05558000001634210;An der Steinkuhle;POINT (7.288515491634532 51.83734302893769)
05558000001634212;An der Weberei;POINT (7.286862146140665 51.82651313509994)
05558000001634215;An der Wette;POINT (7.289177859440987 51.82590728250959)
05558000001634220;A.-K.-Emmerick-Straße;POINT (7.290624022110509 51.83413822139002)
05558000001634223;An der Ziegenweide;
05558000001634224;Anne-Frank-Weg;POINT (7.28230278319784 51.82192602681437)
05558000001634225;Antoniusstraße;POINT (7.205854555332887 51.84895928331496)
05558000001634228;Auf dem Bleck;POINT (7.314930752862767 51.821294701930505)
05558000001634230;Auf dem Quellberg;POINT (7.293418348770976 51.8413810681305)
05558000001634235;Auf der Brede;POINT (7.302353627410099 51.81914665073023)
05558000001634240;Auf der Flage;POINT (7.263378355424898 51.841884407909625)
05558000001634245;Auf der Geist;POINT (7.3625733720315285 51.86620740060639)
05558000001634255;Auf der Höhe;POINT (7.258679080625176 51.84154133195484)
05558000001634257;Auf der Laube;POINT (7.304260465503128 51.81644145721822)
05558000001634260;August-Brust-Straße;POINT (7.259136546023398 51.83997506649202)
05558000001634263;Augustinerweg;POINT (7.283839662822433 51.834952856969274)
05558000001634265;August-Schlüter-Straße;POINT (7.291577828207627 51.82909554881576)
05558000001634270;Azaleenweg;POINT (7.313866423083146 51.819564632178526)
05558000001634275;Baaksgrund;POINT (7.264577625324455 51.83853549465207)
05558000001634280;Baaksquell;POINT (7.261947369880972 51.84052952079273)
05558000001634283;Bärenstiege;POINT (7.276000711314089 51.83116232865817)
05558000001634285;Bahnhofstraße;POINT (7.294688802150056 51.82791686449141)
05558000001634290;Balkeweg;POINT (7.29021401946414 51.83260784726144)
05558000001634295;Barbarastraße;POINT (7.279344995274659 51.84310866467415)
05558000001634300;Bauerschaft;POINT (7.182872116658525 51.84093732563512)
05558000001634305;Baumschulenweg;POINT (7.290678248895941 51.823728278667936)
05558000001634310;Beckweg;POINT (7.287571128626831 51.820569671810546)
05558000001634315;Beethovenstraße;POINT (7.267354572275045 51.84323611407952)
05558000001634320;Bergfeldstraße;POINT (7.27973519844057 51.83270102597892)
05558000001634325;Bergflagge;POINT (7.265895406939431 51.79803796185105)
05558000001634330;Berghover Weg;POINT (7.293650503728547 51.84054759203774)
05558000001634335;Bergsheide;POINT (7.40141828813236 51.8430042231665)
05558000001634340;Bergstiege;POINT (7.292554579700143 51.839500205315126)
05558000001634345;Bergstraße;POINT (7.195065054551312 51.850118942054024)
05558000001634355;Billerbecker Straße;POINT (7.2826542985953715 51.83986975703944)
05558000001634360;Birkenhain;POINT (7.301022346045797 51.835629984677524)
05558000001634365;Birkenweg;POINT (7.276543311919729 51.89526934815667)
05558000001634370;Bischof-Kaiser-Straße;POINT (7.287107380061051 51.821295842361)
05558000001634375;Bischof-Ketteler-Straße;POINT (7.278563144353543 51.83884844517211)
