strassenschluessel;bezeichnung;geometry
05111000000000532;Nach Arenz Stück;
05111000000000543;Rahmer Kirchweg;
05111000000000568;Agnesstraße;POINT (6.783632144686425 51.33377870346558)
05111000000000569;Akazienweg;POINT (6.783689013265677 51.32382526751773)
05111000000000570;Albrecht-Dürer-Straße;POINT (6.775667621020656 51.327646468114594)
05111000000000571;Am Angerfeld;POINT (6.784761868316433 51.33336413472235)
05111000000000572;Am Fischerbreuel;POINT (6.775617094600097 51.32673446914904)
05111000000000573;Auguste-Leven-Weg;
05111000000000574;Alte Gasse;POINT (6.785486575242996 51.33634512554546)
05111000000000575;Am Litzgraben;POINT (6.784952800497098 51.328960188514344)
05111000000000576;Am Mühlendamm;POINT (6.791365002548519 51.332643712695)
05111000000000577;Am Platten Stein;POINT (6.788950993726401 51.330435593934816)
05111000000000578;An den Kämpen;POINT (6.777946678681117 51.325514718880235)
05111000000000579;Arthur-Kampf-Straße;POINT (6.771825024700375 51.32525747095698)
05111000000000580;Auf der Krone;POINT (6.77271020415867 51.3304547105465)
05111000000000581;Bahnhofstraße;POINT (6.786441251056276 51.33134936454958)
05111000000000582;Baumschulenweg;POINT (6.784860362372974 51.32587443748335)
05111000000000583;Blumenweg;POINT (6.779304128416957 51.33076364774134)
05111000000000584;Gablonzer Straße;POINT (6.7895014601071155 51.33645806328634)
05111000000000585;Kösliner Straße;POINT (6.792041527864406 51.33751211328144)
05111000000000586;Drosselweg;POINT (6.785861199485383 51.33021927781989)
05111000000000587;Rahmer Straße;POINT (6.7932417018141535 51.3345492139335)
05111000000000588;Unter den Erlen;POINT (6.785256489084273 51.32488153469854)
05111000000000589;Fliederweg;POINT (6.7726378530959845 51.32358469933701)
05111000000000590;Ginsterweg;POINT (6.774814164011131 51.32317372099332)
05111000000000591;Görlitzer Straße;POINT (6.788751009373432 51.3360367417001)
05111000000000592;Graf-Engelbert-Straße;POINT (6.794132303098723 51.330235446261916)
05111000000000594;Heiderpatt;POINT (6.777682517996671 51.32155939208152)
05111000000000595;Heiderweg;POINT (6.777839924522796 51.313463459177655)
05111000000000596;Holbeinweg;POINT (6.774481084737109 51.326026372041575)
