strassenschluessel;bezeichnung;geometry
05154000000850201;Amselweg;POINT (6.225335712882977 51.856861673235976)
05154000000850203;Drosselweg;POINT (6.2258756885254884 51.85513049811185)
05154000000850204;Eichenallee;POINT (6.227357892336917 51.85048849350032)
05154000000850205;Elsepaßweg;POINT (6.240658212258119 51.86027979719972)
05154000000850206;Finkenweg;POINT (6.227851438769375 51.85463145907478)
05154000000850207;Gnadentalweg;POINT (6.233042736481858 51.855128167680384)
05154000000850208;Hassentweg;POINT (6.208351693101824 51.85991024241432)
05154000000850209;Hielskat;POINT (6.239314786527967 51.85987271030431)
05154000000850210;Hüthumer Straße;POINT (6.218986573210684 51.8566189766373)
05154000000850211;Kaninchenfang;POINT (6.2338385539409495 51.85214176243481)
05154000000850212;Kesselderweg;POINT (6.21506977188501 51.85965723688885)
05154000000850213;Lindhorstweg;POINT (6.226841739669654 51.868254265782454)
05154000000850214;Meisenweg;POINT (6.239044165416831 51.85592677718633)
05154000000850215;Ostermayerstraße;POINT (6.239368883319707 51.850315797535934)
05154000000850216;Meyerstede;POINT (6.236851673377632 51.86018328721401)
05154000000850217;Zeisigweg;POINT (6.239665640746335 51.85679730589722)
05154000000850218;Fervertweg;
05154000000850225;An der Bienenwiese;POINT (6.307575284765349 51.81213053362195)
05154000000850226;Am Steeg;POINT (6.314916789545541 51.81159563545597)
05154000000850227;Deichstraße;POINT (6.266903217060751 51.830021675736475)
05154000000850228;Dorfstraße;POINT (6.300888927573964 51.814336813576254)
05154000000850229;Dornicker Straße;POINT (6.306816625595921 51.81216641895215)
05154000000850230;Haus-Wenge-Weg;POINT (6.307958535698763 51.81219854516933)
05154000000850231;Jupiterstraße;POINT (6.3104318218694075 51.81452860709922)
05154000000850232;Kampshofstraße;POINT (6.309960555529744 51.81410652673544)
05154000000850233;Lange Straße;POINT (6.298149099846292 51.8173106510384)
05154000000850234;Pinnhuck;
05154000000850235;Melkweg;POINT (6.31847763296334 51.81853630050799)
05154000000850237;Uranusstraße;POINT (6.31094470210076 51.81640766999958)
05154000000850238;Grenzweg;
05154000000850239;Kalflackweg;
05154000000850240;Niersweg;
05154000000850250;Abteistraße;POINT (6.162432379712121 51.87095498035953)
05154000000850251;Bürgermeister-Zeck-Straße;POINT (6.157008476129264 51.87977481664916)
05154000000850252;Alter Beeker Weg;POINT (6.169967338511387 51.88232450072637)
05154000000850253;Am Dudel;POINT (6.168270901475916 51.87221669561539)
05154000000850254;Am Englischen Hügel;POINT (6.165433629667263 51.86588356165787)
05154000000850255;Am Plagweg;POINT (6.166573566344087 51.87104354161087)
05154000000850256;Bottenkuhl;POINT (6.164796929355258 51.87276178997631)
05154000000850257;De Bill;POINT (6.167145891876846 51.872676669316505)
05154000000850258;Beeker Straße;POINT (6.164458349242534 51.87407100467222)
05154000000850259;Bergstraße;POINT (6.161282556786111 51.87017555068248)
05154000000850260;Bindsberger Weg;POINT (6.131065645761307 51.88894799278248)
05154000000850261;Birkenallee;POINT (6.171913244597213 51.866395538984236)
05154000000850262;Brunnenweg;POINT (6.161962088862013 51.87580898926054)
05154000000850263;Buschweg;POINT (6.1703762639281905 51.87987207031201)
05154000000850264;Dr.-Robbers-Straße;POINT (6.160009019046471 51.87295718398934)
05154000000850265;Drususallee;POINT (6.169930794038291 51.86425845584051)
05154000000850266;De Dweel;POINT (6.1656615397921515 51.87098641963805)
05154000000850267;Eltener Markt;POINT (6.159445552994215 51.87170236765592)
05154000000850268;Dietrich-Bonhoeffer-Str.;POINT (6.15806844376267 51.87686048508355)
05154000000850269;Emmericher Straße;POINT (6.160246209692433 51.869450780351876)
05154000000850270;Europastraße;POINT (6.155611964801264 51.87606859400461)
05154000000850271;Emanuel-von-Ketteler-Str.;POINT (6.159341231520298 51.878700330989396)
