strassenschluessel;bezeichnung;geometry
05566000000801531;Ackerstr.;POINT (7.516100689895842 52.182931345988216)
05566000000801532;Adlerstr.;POINT (7.514095982107641 52.17053561469031)
05566000000801533;Aechterhoek;POINT (7.504413273600731 52.19756450998406)
05566000000801534;Ahlintel;POINT (7.479135148880263 52.16483928810161)
05566000000801535;Albertstr.;POINT (7.518176745701371 52.17977919916981)
05566000000801537;Am Buckhoff;POINT (7.526678227779712 52.171845709612974)
05566000000801538;Am Knie;POINT (7.522439372621758 52.17780711695309)
05566000000801539;Am Kompaniekamp;POINT (7.507333752284443 52.17736054557912)
05566000000801540;Am Mühlenbach;POINT (7.5372359855543465 52.17775373458518)
05566000000801541;Am Perrediek;POINT (7.508676498420539 52.17564756710638)
05566000000801542;Amselweg;POINT (7.511511895469128 52.16813014511361)
05566000000801543;Am Stadtpark;POINT (7.543569268106427 52.159614617755295)
05566000000801544;Am Strietbach;POINT (7.522451230806964 52.168792726340726)
05566000000801545;Am Telgengrund;POINT (7.514460353776081 52.17438477339457)
05566000000801546;Amtmann-Schipper-Str.;POINT (7.516730046887714 52.175066779685025)
05566000000801547;Am Waldrand;POINT (7.5304090664835535 52.15834530589156)
05566000000801548;Am Wasserturm;POINT (7.550535827839373 52.16307631430504)
05566000000801549;An der Beeke;POINT (7.527932157186634 52.152629535141)
05566000000801550;An den Bleichen;POINT (7.533260735900929 52.16190284150776)
05566000000801551;An den Klärteichen;POINT (7.5375024395750865 52.179364891130064)
05566000000801552;Annastr.;POINT (7.520202618649584 52.171477981901106)
05566000000801553;Arminstr.;POINT (7.520010092044147 52.18084310738671)
05566000000801554;Auguststr.;POINT (7.519832813297192 52.173749065017184)
05566000000801555;Austum;POINT (7.5706276147981395 52.15878705385995)
05566000000801556;Bachstr.;POINT (7.533592123956669 52.17107074872565)
05566000000801557;Bahnhofstr.;POINT (7.530707014762357 52.17608947241703)
05566000000801558;Beckstr.;POINT (7.528548321233862 52.17867260202776)
05566000000801559;Berge;POINT (7.540547816545489 52.17190429425981)
05566000000801560;Bergstr.;POINT (7.546651373332367 52.16703488249651)
05566000000801561;Bernhardstr.;POINT (7.519544629536569 52.17959087544496)
05566000000801562;Biekmeresch;POINT (7.548606371141516 52.17448196588225)
05566000000801563;Biörn;POINT (7.512347180540721 52.17837604557976)
05566000000801564;Birkenweg;POINT (7.555495804882232 52.15914252137835)
05566000000801565;Blücherstr.;POINT (7.531321210956628 52.18164165894737)
05566000000801566;Blumenstr.;POINT (7.542086184186124 52.158812025462595)
05566000000801567;Bonhoefferstr.;POINT (7.527265796039517 52.17753872053363)
05566000000801568;Borghorster Str.;POINT (7.504648634488832 52.168217425178206)
05566000000801569;Brandskamp;POINT (7.540038578522735 52.167474996502285)
05566000000801570;Brede;POINT (7.5376105414058525 52.176336989487524)
05566000000801571;Brennesselweg;POINT (7.507991543292706 52.175515740483355)
05566000000801572;Breslauer Str.;POINT (7.525547374077627 52.18556809558149)
05566000000801573;Brookweg;POINT (7.5164358856164775 52.16691350839258)
05566000000801574;Buchenweg;POINT (7.55576971277316 52.158812536929766)
05566000000801575;Buckhoffstr.;POINT (7.5267875357386895 52.17219066435908)
05566000000801576;Bühlsand;POINT (7.532278852063951 52.159509972298274)
05566000000801577;Cremannsbusch;POINT (7.533540139388602 52.16383500563051)
05566000000801578;Dahlmannsbusch;POINT (7.523035910769704 52.18009572953505)
05566000000801579;Dannenkamp;POINT (7.5516162540698115 52.163675090122105)
05566000000801580;Delpstr.;POINT (7.526868693120651 52.17840056187473)
05566000000801581;Diekhueslinde;POINT (7.524940078276055 52.183202136927164)
05566000000801582;Diekpohl;POINT (7.527670955925953 52.15604204659686)
05566000000801583;Diekstr.;POINT (7.531358374852681 52.18486210669915)
05566000000801584;Diemshoff;POINT (7.529844035219803 52.167060688039726)
05566000000801586;Dornenkamp;POINT (7.526839251397196 52.16020088740031)
05566000000801587;Dreihuesweg;POINT (7.525578050557424 52.15446602516266)
05566000000801588;Dreisk;POINT (7.514134541636545 52.17745677470059)
05566000000801589;Drivel;POINT (7.550974678838971 52.17277600283347)
05566000000801590;Drosselweg;POINT (7.515804901088491 52.17087691114461)
05566000000801591;Droste-Hülshoff-Allee;POINT (7.521676995803084 52.167718663423294)
05566000000801592;Edmund-Kohl-Str.;POINT (7.524122511602932 52.17445662814871)
05566000000801593;Eichendorffstr.;POINT (7.529417223519375 52.18482959823699)
05566000000801594;Eichenweg;POINT (7.5536999625579 52.15980598268629)
05566000000801595;Eisenbahnstr.;POINT (7.527669281968817 52.18201656459442)
05566000000801596;Eisengraben;POINT (7.509675301169506 52.17042903129482)
05566000000801597;Elbersstr.;POINT (7.529750616188022 52.177795608893774)
05566000000801598;Elsterstr.;POINT (7.510107567550486 52.16748465830126)
05566000000801599;Emmastr.;POINT (7.519574256459201 52.171911342751834)
05566000000801600;Emsstr.;POINT (7.529254875934056 52.17574960857844)
05566000000801601;Endken;POINT (7.535259253467156 52.174996238298924)
05566000000801602;Engelnkamp;POINT (7.510090681491021 52.17828832155506)
05566000000801603;Enge Str.;POINT (7.532863810135482 52.177749194876704)
05566000000801604;Erikastr.;POINT (7.538451278962332 52.16463722781485)
05566000000801605;Erlenweg;POINT (7.552345263272225 52.15833682518036)
05566000000801606;Erzweg;POINT (7.500165934366511 52.1682392196731)
05566000000801607;Eschstr.;POINT (7.520866998654316 52.17386308371518)
05566000000801608;Eulenweg;POINT (7.509112519712667 52.16869000406271)
05566000000801609;Falkenweg;POINT (7.512944222990284 52.16757184221047)
05566000000801610;Feldhoek;POINT (7.507618622590655 52.172480294490185)
05566000000801611;Felixstr.;POINT (7.516054637562686 52.178461281172396)
05566000000801612;Fichtenweg;POINT (7.557400277672091 52.16068745767273)
05566000000801613;Föhrendamm;POINT (7.530777485124353 52.15748198781297)
05566000000801614;Franz-Mülder-Str.;POINT (7.5361944859226 52.17599254263958)
05566000000801615;Frauenstr.;POINT (7.528541641049234 52.17386537243723)
05566000000801616;Friedenstr.;POINT (7.519994563719933 52.17486097005373)
05566000000801617;Friedhofstr.;POINT (7.526480968269867 52.17159432680681)
05566000000801618;Friedrichstr.;POINT (7.530585290077535 52.170814396736894)
05566000000801619;Frischholt;POINT (7.505166817283621 52.17879526623929)
05566000000801620;Gaitlingstiege;POINT (7.512491505865101 52.1696228913714)
05566000000801621;Verdistr.;POINT (7.520795480913551 52.162656532794024)
05566000000801622;Gauselmannskamp;POINT (7.509909490383228 52.17302815320859)
05566000000801623;Ginsterweg;POINT (7.535697993755801 52.165799279715394)
05566000000801624;Glatzer Str.;POINT (7.526867189022263 52.18590865257807)
05566000000801625;Goerdelerstr.;POINT (7.52604264313822 52.18011669434804)
05566000000801626;Goldbergweg;POINT (7.506436103012345 52.17118903570012)
05566000000801627;Grabenstr.;POINT (7.51892621270986 52.169999297373)
05566000000801628;Grafensteinweg;POINT (7.503999423849362 52.17372697773008)
05566000000801629;Grenzweg;POINT (7.536334429878316 52.164900771324696)
05566000000801630;Grevener Damm;POINT (7.551392125987022 52.15748639296397)
05566000000801631;Grimmestr.;POINT (7.523039052746199 52.167948059830245)
05566000000801632;Grünring;POINT (7.5084510657271295 52.18251563121973)
05566000000801633;Habichtshöhe;POINT (7.5052020018452 52.16536979545647)
05566000000801634;Haferkamp;POINT (7.51786639622605 52.18372141124494)
05566000000801635;Hanfelde;POINT (7.530411618825002 52.18923409299995)
05566000000801636;Hansestr.;POINT (7.542236109381058 52.17246948468812)
05566000000801637;Haselstr.;POINT (7.528230603176984 52.15128177226993)
05566000000801638;Heckenweg;POINT (7.51525230201159 52.176064750875184)
05566000000801639;Heckingsgarten;POINT (7.534526305676334 52.180175188886935)
05566000000801640;Hedwigstr.;POINT (7.520512225185283 52.17002232175163)
05566000000801641;Heidberge;POINT (7.525849338352848 52.17112906744199)
05566000000801642;Heideweg;POINT (7.5395424760386405 52.16524087877177)
05566000000801643;Heilemannskamp;POINT (7.550268779674763 52.16710462097669)
05566000000801644;Hemberger Damm;POINT (7.549410966174665 52.16439961692929)
05566000000801645;Hermannstr.;POINT (7.516658389636519 52.177664132869495)
05566000000801646;Herskamp;POINT (7.548347966653058 52.16627168806986)
05566000000801647;Herzbach;POINT (7.525768933759426 52.15599239090491)
05566000000801648;Höftstr.;POINT (7.51791538635312 52.1716914492468)
05566000000801649;Hörstingsheide;POINT (7.556430150031902 52.16099462110177)
05566000000801650;Hohe Str.;POINT (7.522488476715056 52.171248376394495)
05566000000801651;Holländerweg;POINT (7.553997177070448 52.160965770571465)
05566000000801652;Hollhorst;POINT (7.506586718472188 52.182621978738005)
05566000000801653;Hollingen;POINT (7.49979217721295 52.14522594935412)
05566000000801654;Hügelstr.;POINT (7.54619073957118 52.170332894104405)
05566000000801655;Hüningrode;POINT (7.516295637974284 52.18002989132073)
05566000000801656;Hüewel;POINT (7.530998263290653 52.190548533015665)
05566000000801657;Hummertsesch;POINT (7.5174786096700075 52.184868105601375)
05566000000801658;Im Bockholt;POINT (7.5053213173582645 52.16937932138631)
05566000000801659;Im Hagenkamp;POINT (7.536543263827265 52.17445763905497)
05566000000801660;Im Holtkamp;POINT (7.543190227429234 52.15440357250362)
05566000000801661;Immermannstr.;POINT (7.524000271387408 52.17044316712279)
05566000000801662;Im Timpen;POINT (7.537139811742516 52.17016420077914)
05566000000801663;Im Venn;POINT (7.444717226744266 52.18102422713843)
05566000000801664;Rudolf-Diesel-Str.;POINT (7.551571191159121 52.15373632557763)
05566000000801665;Inselweg;POINT (7.526877037656694 52.15651038788471)
05566000000801666;Isendorf;POINT (7.533086184509404 52.19192180180744)
05566000000801667;Jahnstr.;POINT (7.547987271365424 52.159710542472965)
05566000000801668;Jan-van-Detten-Str.;POINT (7.514378900225152 52.185135573682125)
05566000000801669;Josefstr.;POINT (7.524026553513534 52.176030437725956)
05566000000801670;Jutestr.;POINT (7.53732152292643 52.172014280878564)
05566000000801671;Kanalweg;POINT (7.504477997047977 52.17150708704111)
05566000000801672;Kapellenstr.;POINT (7.514349540310338 52.178394627689336)
05566000000801673;Karlstr.;POINT (7.5250435383808165 52.176351969055396)
05566000000801674;Kasbreede;POINT (7.547003345256733 52.17426634392166)
05566000000801675;Katthagen;POINT (7.5305653161632975 52.17396376294385)
05566000000801676;Kiefernweg;POINT (7.555272618095474 52.160187737446186)
05566000000801677;Kiesstr.;POINT (7.54424144173682 52.165864565576335)
