strassenschluessel;bezeichnung;geometry
05374000000803000;Hülsen;POINT (7.363724703895426 50.959245713826945)
05374000000803001;Niederhof;POINT (7.358239820873503 50.955970836218555)
05374000000803002;Rottland;POINT (7.354688240558247 50.9591198642087)
05374000000803003;Oberstaat;POINT (7.3338330780932965 50.97429838964222)
05374000000803004;Unterstaat;POINT (7.335817618535489 50.97464177636767)
05374000000803005;Albertsthal;POINT (7.385709881949746 50.98591175616511)
05374000000803006;Haus Alsbach;POINT (7.396216313231097 50.99175390693512)
05374000000803008;Blumenau;POINT (7.4239293459648765 50.996468080221824)
05374000000803010;Broich;POINT (7.379159863063436 50.98356812052063)
05374000000803011;Oberbüchel;POINT (7.422770585284031 50.98313495484605)
05374000000803012;Unterbüchel;POINT (7.377040766762819 50.9730488702318)
05374000000803014;Büscherhof;POINT (7.359230838108262 50.96871340341569)
05374000000803015;Büscherhöfchen;POINT (7.416324631966581 50.97841454737796)
05374000000803016;Distelhaus;POINT (7.355164463896653 50.962664168858126)
05374000000803017;Dumpe;POINT (7.375022433995228 50.97426161674264)
05374000000803018;Ehreshoven;POINT (7.345436982400814 50.97790739964335)
05374000000803019;Am Weidenbach;POINT (7.344916499058 50.97651414665302)
05374000000803020;Nesselrodeweg;POINT (7.347434364809168 50.97554048330414)
05374000000803021;An der Post;POINT (7.408664885973659 50.98626508954636)
05374000000803023;Aggerufer;POINT (7.400838034485877 50.98875097643233)
05374000000803024;Akazienweg;POINT (7.411722491708254 50.986706628726715)
05374000000803025;Am Birnbaum;POINT (7.4101617151739205 50.98767895773892)
05374000000803026;Am Freibad;POINT (7.409489242744656 50.990067317417925)
05374000000803027;Am Nordhang;POINT (7.414274899560108 50.98771364894332)
05374000000803028;Auf dem Schalken;POINT (7.41040637491168 50.990834532556946)
05374000000803029;Auf der Brache;POINT (7.413280764795363 50.99054269193844)
05374000000803030;Auf der Gasse;POINT (7.407408469031214 50.98779840769254)
05374000000803031;Bahnhofsplatz;POINT (7.408146635156535 50.98682622015579)
05374000000803032;Birkenhain;POINT (7.414945987767812 50.98671577698228)
05374000000803033;Bergstraße;POINT (7.411458971990659 50.990374217302474)
05374000000803034;Braunswerth;POINT (7.4105687638533135 50.982592139606744)
05374000000803035;Burger Weg;POINT (7.404363412468096 50.99064420753283)
05374000000803036;Corneliastraße;POINT (7.399283074852053 50.98812784845152)
05374000000803037;Steeger Winkel;POINT (7.400364942591545 50.986792685499715)
05374000000803038;Feckelsberger Weg;POINT (7.415963201459561 50.9888359982025)
05374000000803039;Friedrichstraße;POINT (7.410616349281818 50.98556724717814)
05374000000803040;Buchenweg;POINT (7.4102147820264745 50.98667835524261)
05374000000803041;Märkische Straße;POINT (7.41010458160324 50.98500587571982)
05374000000803042;Hindenburgstraße;POINT (7.400992166474372 50.98839311414451)
05374000000803043;Lindenstraße;POINT (7.412749825865687 50.98675069475798)
05374000000803044;Horpestraße;POINT (7.405606757811992 50.991470982171066)
05374000000803045;Im Grengel;POINT (7.411864909418147 50.98804105676364)
05374000000803047;Im Leppegarten;POINT (7.412273188002712 50.98871172891134)
05374000000803048;Im Pfarrgarten;POINT (7.40380668578932 50.99009846339483)
05374000000803049;Im Steeger Garten;POINT (7.402712814744121 50.9878005665918)
05374000000803050;Kauertsrad;POINT (7.406303723603148 50.9906910769174)
05374000000803051;Kiefernweg;POINT (7.415650906746046 50.987083982281526)
05374000000803052;Kirchberg;POINT (7.405710299899642 50.989214167237535)
05374000000803053;Bergische Straße;POINT (7.4076764395180446 50.988175289563216)
05374000000803056;Leppestraße;POINT (7.411919028566956 50.98887340577802)
05374000000803057;Lindenpfuhlstraße;POINT (7.403130767775552 50.9871429580876)
05374000000803058;Mühlenweg;POINT (7.408006402023668 50.9871215263309)
05374000000803059;Müllenberg;POINT (7.419054542101209 50.99294798938573)
05374000000803060;Reckensteinstraße;POINT (7.411632393900007 50.986499359491)
05374000000803061;Rommersberger Weg;POINT (7.413033132218364 50.99280076437309)
05374000000803062;Sonnenweg;POINT (7.399101834726238 50.99218482358302)
05374000000803064;Steeger Berg;POINT (7.404650890830047 50.986662825859064)
05374000000803065;Steeger Straße;POINT (7.405264649324401 50.987174559276625)
05374000000803066;Obersteeg;POINT (7.399402083254836 50.98646222169507)
05374000000803067;Stöckereichen;POINT (7.4135917276533725 50.98702022969441)
05374000000803069;Stürzenberger Weg;POINT (7.398834055522465 50.9924819319393)
05374000000803070;Schelmerather Straße;POINT (7.3685905691862965 50.970588531214695)
05374000000803071;Feckelsberg;POINT (7.435700413385218 50.99626018188509)
05374000000803072;Forkscheid;POINT (7.346687260794109 50.96588301157129)
05374000000803078;Am Sondersiefen;POINT (7.382074639297005 50.98686316987899)
05374000000803079;Holzer Weg;POINT (7.381208530073913 50.98700474686652)
05374000000803080;Am Wald;POINT (7.379489983242361 50.98768079811925)
05374000000803081;In den Gärten;POINT (7.380689572742586 50.98557552022187)
05374000000803082;Zum Rehbüchel;POINT (7.381717399482575 50.98597635935989)
05374000000803083;Broicher Weg;POINT (7.379785387267129 50.98455118428625)
05374000000803084;In den Erlen;POINT (7.386765790675619 50.987125731339745)
05374000000803085;Wohlandstraße;POINT (7.381768604976393 50.985446673138334)
05374000000803086;Auf der Renn;POINT (7.42522279665297 50.986973518441076)
05374000000803087;Schulberg;POINT (7.421817707033857 50.988958012673386)
05374000000803088;Höhenweg;POINT (7.418767793086348 50.98786379116453)
05374000000803089;Hohlweg;POINT (7.427227280617036 50.98932262138376)
05374000000803091;Kirchweg;POINT (7.423040294678665 50.98802842966826)
05374000000803092;Olpener Straße;POINT (7.422834480242034 50.986055442103094)
05374000000803093;Oberhardt;POINT (7.424784347202835 50.988179784459525)
05374000000803094;Sandweg;POINT (7.424304294145194 50.986953306716195)
05374000000803096;Talweg;POINT (7.4221310798246 50.987063983837125)
05374000000803100;Heide;POINT (7.351301495463185 50.961373047758514)
05374000000803103;Am Lüdenbach;POINT (7.359447911653827 50.97802533857114)
05374000000803104;Am Paffenberg;POINT (7.371883786427071 50.97622311812901)
05374000000803105;Am Sonnenhang;POINT (7.364183417179956 50.97760077445996)
05374000000803106;Auf dem Langenfeld;POINT (7.364274373749709 50.971854100764325)
05374000000803107;Auf der Insel;POINT (7.371211731489906 50.975029484096254)
05374000000803108;Bliesenbacher Straße;POINT (7.373854470373353 50.975020508983405)
05374000000803109;Bruchstraße;POINT (7.3644923110362255 50.96990078650908)
05374000000803110;Ringstraße;POINT (7.366866872643768 50.974815156161476)
05374000000803112;Im Auel;POINT (7.3547009562162105 50.974101180338316)
05374000000803113;Im Hof;POINT (7.370603061577556 50.97537518522128)
05374000000803114;Im Waldwinkel;POINT (7.364555554043465 50.972414625035576)
05374000000803115;Kapellenweg;POINT (7.370148302901898 50.97878705281669)
