strassenschluessel;bezeichnung;geometry
05954000000831001;Ackersiepen;POINT (7.297698480637688 51.2472735489212)
05954000000831002;Ackersieper Weg;POINT (7.305252357092012 51.24268720922924)
05954000000831003;Ahlenbecke;
05954000000831004;Ahlhausen;POINT (7.378075163582251 51.29148282299545)
05954000000831005;Ahornstraße;POINT (7.327394307749052 51.30144402331708)
05954000000831006;Akazienweg;POINT (7.321527321148458 51.299368848257274)
05954000000831007;Altenloher Weg;POINT (7.359330761173794 51.30250256093447)
05954000000831008;Ambrosius-Brand-Straße;POINT (7.325832679148323 51.29660982414784)
05954000000831009;Am Braken;POINT (7.395915742943963 51.29849596018012)
05954000000831010;Am Dahl;POINT (7.407784747494797 51.32362734067449)
05954000000831011;Am Hagen;POINT (7.407490935694424 51.313753300563846)
05954000000831012;Am Hohlweg;POINT (7.359813478838285 51.29974149136686)
05954000000831013;Am Kaiser;POINT (7.396382420593649 51.29745819858887)
05954000000831014;Am Kamp;POINT (7.387812238798728 51.30577416080893)
05954000000831016;Am Regensberg;POINT (7.384662398040535 51.30740933489872)
05954000000831017;Am Reppe;POINT (7.405979501008883 51.320219155800906)
05954000000831018;Am Saust;POINT (7.409915417007915 51.31752955129619)
05954000000831019;Amselweg;POINT (7.384651673784831 51.306980536001035)
05954000000831020;Am Sommer;POINT (7.385386887958485 51.299406376503164)
05954000000831021;Am Steinbruch;POINT (7.3712264088225465 51.30508984220438)
05954000000831022;Am Wege;POINT (7.410362763144942 51.295439754665175)
05954000000831023;Am Werre;POINT (7.405719179184808 51.31345514488261)
05954000000831024;Am Westfeld;POINT (7.388117915537518 51.30549037490332)
05954000000831025;Wilhelm-Crone-Hain;POINT (7.370947045342756 51.301172585236195)
05954000000831026;An der Burg;POINT (7.345511491868264 51.308125492685285)
05954000000831027;An der Kehr;POINT (7.347268115358583 51.30394486245041)
05954000000831028;An der Kirche;POINT (7.387407399549946 51.308922945245875)
05954000000831029;An der Wacht;POINT (7.412919458047466 51.31362118692108)
05954000000831030;Arndtstraße;POINT (7.350531187433988 51.293393265586516)
05954000000831031;Aufsicht;POINT (7.3181084421759826 51.29724299449616)
05954000000831032;August-Bilstein-Straße;POINT (7.364155706110269 51.2978902487364)
05954000000831033;Bachstraße;POINT (7.407603001228129 51.32223553314348)
05954000000831034;Bahnhofstraße;POINT (7.343837373794199 51.30468243046051)
05954000000831035;Beethovenstraße;POINT (7.352987651782646 51.297209667120974)
05954000000831036;Behlinger Weg;POINT (7.390119077330292 51.28169408256161)
05954000000831037;Bergstraße;POINT (7.390579094536181 51.32301136262017)
05954000000831038;Berninghauser Straße;POINT (7.351744521889441 51.29773493567392)
05954000000831039;Beuken;POINT (7.327132466340531 51.28396182897317)
05954000000831040;In den Beuken;POINT (7.344895912082995 51.25434311123023)
05954000000831041;Beukenberg;POINT (7.391366542676154 51.276008109172544)
05954000000831042;Beukenstraße;POINT (7.347793167543427 51.29118840263142)
05954000000831043;Biermannweg;POINT (7.403271099677708 51.29798821314233)
05954000000831044;Bilstein;POINT (7.402214516915914 51.29098066130167)
05954000000831045;Birken;POINT (7.341099429217725 51.26888117527716)
05954000000831046;Birkenstraße;POINT (7.321492104912936 51.29816357664796)
05954000000831047;Bismarckstraße;POINT (7.368659656440299 51.297063369121396)
05954000000831048;Bodelschwinghstraße;POINT (7.35040267950397 51.29710762561764)
05954000000831049;Boesebecker Siepen;POINT (7.374719550629187 51.30867701964434)
05954000000831050;Boesebecker Straße;POINT (7.379015145072539 51.30543022663816)
05954000000831051;Braband;POINT (7.3920486323150225 51.31615676041227)
05954000000831052;Brabandstaller Weg;POINT (7.3921561949638415 51.31350722739407)
05954000000831053;Brackelsberg;POINT (7.368264459116494 51.28197614313003)
05954000000831054;Brandshausen;
05954000000831055;Bransel;POINT (7.349336868274348 51.256307866788475)
05954000000831056;Brauker Hammer;POINT (7.404570000841853 51.26907384110247)
05954000000831057;Breckerfelder Straße;POINT (7.393004185247993 51.30235343355857)
05954000000831058;Breslauer Platz;POINT (7.371548148575345 51.30220415088078)
05954000000831060;Brinker Straße;POINT (7.364865646100135 51.301322910271296)
05954000000831061;Brunnenstraße;POINT (7.346295654565328 51.29101330987104)
05954000000831062;Buchenstraße;POINT (7.328833035053337 51.29905455180939)
05954000000831063;Bülbringer Straße;POINT (7.403993310423684 51.29776914882854)
05954000000831064;Büttenberger Straße;POINT (7.3271354750899755 51.301591018786915)
05954000000831065;Bunte Bach;POINT (7.409900540310145 51.32691464948962)
05954000000831066;Burg;POINT (7.423792985145715 51.25889449083697)
05954000000831067;Bussardweg;POINT (7.385490740979087 51.311693733157284)
05954000000831068;Carl-August-Bauer-Straße;POINT (7.377349413486101 51.30373597391163)
05954000000831069;Damaschkestraße;POINT (7.3797475059936275 51.30464940089958)
05954000000831070;Danziger Straße;POINT (7.378053546151328 51.306240462426125)
05954000000831071;Deterberger Straße;POINT (7.3435544183659935 51.292023285601545)
05954000000831072;Diestelkampstraße;POINT (7.385433657306302 51.3047364481362)
05954000000831073;Dohlenweg;POINT (7.389903112285112 51.31686537020302)
05954000000831074;Dorn;POINT (7.376274729221377 51.27744981254149)
05954000000831075;Dreve;POINT (7.336540392526661 51.261066787727785)
05954000000831076;Dürholt;POINT (7.315353370502197 51.26682354530408)
05954000000831077;Ebbinghausen;POINT (7.356409203001953 51.30258988515988)
05954000000831078;Ebinghausen;POINT (7.364807215731479 51.251586402396875)
05954000000831079;Effeystraße;POINT (7.383476094963395 51.30693982413111)
05954000000831080;Egerstraße;POINT (7.3258578663586755 51.291962862366546)
05954000000831081;Eichenstraße;POINT (7.320616999392053 51.299304021870356)
05954000000831082;Eichendorffstraße;POINT (7.355828609358569 51.29317380643487)
05954000000831083;Elsternweg;POINT (7.387707536147239 51.314905208671966)
05954000000831084;Erlenstraße;POINT (7.3212764960992285 51.3010009660829)
05954000000831085;Erloh;POINT (7.380954418054638 51.259846419583404)
05954000000831086;Esbecker Straße;POINT (7.355012713552866 51.296943487362455)
05954000000831087;Ewald-Oberhaus-Straße;POINT (7.351587335791083 51.290448142429554)
05954000000831088;Falkenweg;POINT (7.386435239362847 51.31533716979838)
05954000000831089;Fasanenweg;POINT (7.384787560711054 51.311791508119654)
05954000000831090;Feldstraße;POINT (7.392437228741608 51.30710669006827)
