strassenschluessel;bezeichnung;geometry
05362000002003001;Ahornweg;POINT (6.818524931638662 50.808633511334165)
05362000002003002;Am Hahnacker;POINT (6.819134054103958 50.81570041543658)
05362000002003003;Am Kapellenbusch;POINT (6.823351208612108 50.81096285433094)
05362000002003004;Am Mühlenbach;POINT (6.811236035674791 50.80783495066786)
05362000002003005;Am Schießendahl;POINT (6.826979057862835 50.801206211412655)
05362000002003006;Am Spürkerkreuz;POINT (6.820688448263692 50.81049441351585)
05362000002003007;Am Tunnel;POINT (6.831529037814304 50.80614401615996)
05362000002003008;Am Vogelsang;POINT (6.8278143968877485 50.81199736785353)
05362000002003009;Am Ziegelacker;POINT (6.818860985748659 50.807765372268356)
05362000002003010;Anemonenweg;POINT (6.817218737821233 50.81757358005713)
05362000002003011;Antonsgasse;POINT (6.816345592098061 50.81447761074552)
05362000002003012;An den Eichen;POINT (6.816929373222669 50.808253665826776)
05362000002003013;Asternsteg;POINT (6.8150838199347 50.818207089856735)
05362000002003014;Bahnhofstraße;POINT (6.827941305895824 50.809413300876926)
05362000002003015;Barbarastraße;POINT (6.82706500249696 50.80651463834592)
05362000002003016;Bergstraße;POINT (6.828777261348939 50.807524701418885)
05362000002003017;Berliner Straße;POINT (6.8191235874437055 50.804164239931765)
05362000002003018;Bertolt-Brecht-Straße;POINT (6.827413899858616 50.802883133582405)
05362000002003019;Bliesheimer Straße;POINT (6.812520499847071 50.80933337544161)
05362000002003020;Brühler Straße;POINT (6.819123893685657 50.8159142129372)
05362000002003021;Buchenweg;POINT (6.827279280439274 50.80498671104816)
05362000002003022;Carl-Schurz-Straße;POINT (6.8145915690496395 50.81431895445852)
05362000002003023;Danziger Straße;POINT (6.823936023256352 50.80387772898613)
05362000002003024;Dechant-Linden-Weg;POINT (6.809393056839448 50.81160539548289)
05362000002003025;Donatusstraße;POINT (6.830961411481591 50.80821807445485)
05362000002003026;Am Ludwigsacker;POINT (6.813174078375384 50.815737618584386)
05362000002003027;Elderbachweg;POINT (6.8187798444766345 50.81853374810406)
05362000002003028;Fasanenaue;POINT (6.827240104072128 50.81151065740383)
05362000002003029;Franz-Rüth-Straße;POINT (6.827677848460104 50.80425843698693)
05362000002003030;Fritz-Erler-Straße;POINT (6.814631299874161 50.81323198815857)
05362000002003031;Gartenstraße;POINT (6.814763359261854 50.81527541337189)
05362000002003032;Grachtstraße;POINT (6.811573581045041 50.81143510783174)
05362000002003033;Grubenweg;POINT (6.833409049672678 50.810312147719934)
05362000002003034;Heidebroichstraße;POINT (6.831207603149642 50.806023139114245)
05362000002003035;Henri-Dunant-Straße;POINT (6.821209503200625 50.807208234067076)
05362000002003036;Im Spürkergarten;POINT (6.822612295867888 50.80993248468344)
05362000002003037;Jahnstraße;POINT (6.8192952329305 50.81251387083115)
05362000002003038;Kantstraße;POINT (6.821765805481221 50.805429330280155)
05362000002003039;Kastanienweg;POINT (6.817666860798475 50.80921577178735)
05362000002003040;Kolibristraße;POINT (6.8210734104070845 50.81415041303632)
05362000002003041;Konrad-Adenauer-Straße;POINT (6.817304482559803 50.80580904617536)
05362000002003042;Köttinger Straße;POINT (6.810755378645454 50.81307302119646)
05362000002003043;Leipziger Ring;POINT (6.822392528884143 50.80737459637966)
05362000002003044;Lerchenstraße;POINT (6.8230644587938825 50.811677749141055)
05362000002003045;Liblarer See;
05362000002003046;Lubilarweg;POINT (6.813787384534002 50.81651988463758)
05362000002003047;Ludwigstraße;POINT (6.814904427877466 50.816615461198495)
05362000002003048;Martin-Buber-Straße;POINT (6.820890831689965 50.80431001814464)
05362000002003049;Martin-Luther-Straße;POINT (6.8268187474511866 50.807597804658315)
05362000002003050;Meisenstraße;POINT (6.822477159334965 50.81232906486642)
05362000002003051;Möwenweg;POINT (6.821260971342973 50.81376254816791)
05362000002003052;Parkstraße;POINT (6.81540823773172 50.80856097532752)
05362000002003053;Poststraße;POINT (6.816516925871729 50.813553158206275)
05362000002003054;Reiherweg;POINT (6.82036523766945 50.81373919092817)
05362000002003055;Roncallistraße;POINT (6.829800616293802 50.80636935535369)
05362000002003056;Rosenstraße;POINT (6.816073757715816 50.81825411589951)
05362000002003057;Rostocker Straße;POINT (6.825365636464454 50.80579943666832)
05362000002003058;Schloß Gracht;
05362000002003059;Schlunkweg;POINT (6.827163667947441 50.808250700408784)
05362000002003060;Schwalbenstraße;POINT (6.819724399215812 50.81449342811323)
05362000002003061;Schwanenstraße;POINT (6.819825449115423 50.81515703078084)
05362000002003062;Seestraße;POINT (6.821158668861069 50.818373931499366)
05362000002003063;Spickweg;POINT (6.822136802117776 50.81797063028033)
05362000002003064;Spürkerau;POINT (6.826279618139904 50.81055828138162)
05362000002003065;Stettiner Straße;POINT (6.822770502425022 50.80366482228754)
05362000002003066;Stieglitzweg;POINT (6.824656210485476 50.810304588387204)
05362000002003067;Tannenweg;POINT (6.831233408164196 50.802720204715406)
05362000002003068;Taubenstraße;POINT (6.820320477403442 50.813130020662314)
05362000002003069;Theodor-Heuss-Straße;POINT (6.822351498321164 50.806876096575955)
05362000002003070;Zum Grünen Weg;POINT (6.811851941935891 50.81582724243457)
05362000002003071;Zum Renngraben;POINT (6.82114595275616 50.807460824337355)
05362000002003072;Zedernweg;POINT (6.819868178487468 50.810238588642754)
05362000002003073;Holzdamm;POINT (6.814672048338936 50.80422845195903)
05362000002003074;Carl-Schurz-Platz;
05362000002003075;An der Schwarzau;POINT (6.8029706888825645 50.81853109987188)
05362000002003076;Heinrich-Lübke-Straße;POINT (6.814266775245779 50.80445929947747)
05362000002003077;Schleidener Straße;POINT (6.813676314773682 50.803102953676806)
05362000002003078;Hollerather Weg;POINT (6.811882051669754 50.803688077384706)
05362000002003079;Hellenthaler Weg;POINT (6.812923908414862 50.803233155314345)
05362000002003080;Gemünder Straße;POINT (6.81335102213516 50.80536787797742)
05362000002003081;Monschauer Weg;POINT (6.813887807334211 50.80556279808722)
05362000002003082;Heimbacher Weg;POINT (6.812824162926539 50.806399048478056)
05362000002003083;Blankenheimer Weg;POINT (6.812333041020195 50.80482750423532)
05362000002003084;Mechernicher Weg;POINT (6.811275186117098 50.80706427819605)
05362000002003085;Königsberger Straße;POINT (6.824338879411993 50.80177226950782)
05362000002003086;Allensteiner Weg;POINT (6.822924895620612 50.80138223903434)
05362000002003087;Am Anger;POINT (6.822355869392111 50.80226270562419)
05362000002003088;Breslauer Straße;POINT (6.820576813705364 50.80216826463773)
05362000002003089;Kolberger Straße;POINT (6.818811427629261 50.80188043585157)
05362000002003090;Marienburger Weg;POINT (6.8171901083181625 50.8031880627814)
05362000002003091;Platanenweg;POINT (6.813895318999414 50.80928954133066)
05362000002003092;Bertha-von-Suttner-Weg;POINT (6.824982959658651 50.79951319133458)
05362000002003093;An der Mirgelskaul;POINT (6.822183612233 50.80076720398532)
05362000002003094;Graf-Wolff-Metternich-Straße;POINT (6.818830458431737 50.800449198612185)
05362000002003095;Max-Planck-Straße;POINT (6.82430690184666 50.81429824896574)
05362000002003096;Behrensstraße;POINT (6.813327890261032 50.818158665406216)
05362000002003097;Gustav-Heinemann-Straße;POINT (6.814990752279589 50.80115988401966)
05362000002003098;An der Waldorfschule;POINT (6.831069508895183 50.80072031350809)
05362000002003099;Willy-Brandt-Straße;POINT (6.8200221747283685 50.79907984183094)
05362000002003100;Sophienwald;POINT (6.828905460886141 50.827290213761884)
05362000002003101;Josef-Zimmermann-Straße;POINT (6.830930159668612 50.80868245167455)
05362000002003102;Pfarrer-Mathias-Hockelmann-Platz;
05362000002003103;Jelenia-Gora-Platz;
05362000002003104;Marie-Juchacz-Platz;
05362000002003105;Heinz-Cremer-Straße;
05362000002003106;Anne-Frank-Straße;POINT (6.833977226599109 50.801885202516445)
05362000002003107;Hannah-Arendt-Straße;
05362000002003108;Nelly-Sachs-Straße;POINT (6.8329414329533185 50.80166156769583)
05362000002003109;Wassersportallee;POINT (6.835744525075038 50.81570334745024)
05362000002003110;Krokusweg;POINT (6.810288634779575 50.815872821250984)
05362000002003111;Klüttenweg;
05362000002003112;Schusters Garten;POINT (6.829815916495595 50.80777042517621)
05362000002003113;Johanna-Kinkel-Straße;POINT (6.810707093670194 50.81031539297496)
05362000002003114;Dietkirchenweg;POINT (6.809186158907105 50.81353897530199)
05362000002003115;Jauck-Zimmer-Straße;
05362000002003116;Helmut Junge-Platz;
05362000002003120;Am Giezenbach;POINT (6.811429424100547 50.82174308028851)
05362000002003121;Annastraße;POINT (6.806764814201127 50.83041281636833)
05362000002003122;Rektor-Thar-Straße;POINT (6.806041453532783 50.829902027531716)
05362000002003123;Fuchsweg;POINT (6.801181970821539 50.831172421206546)
05362000002003124;Hermann-Köster-Straße;POINT (6.808247678133112 50.83082887582085)
05362000002003125;Hubert-Rüttger-Straße;POINT (6.811909617693157 50.82256237730649)
05362000002003126;Im Jagdfeld;POINT (6.809347109880449 50.82338997489977)
05362000002003127;Im Längsbusch;POINT (6.798861654631662 50.823924783188154)
05362000002003128;Winkelstraße;POINT (6.808914129131338 50.82449856640182)
05362000002003129;In den Vierwinden;POINT (6.810775365262944 50.82595078880926)
05362000002003130;Kirchplatz;POINT (6.806747753688962 50.82929575323821)
05362000002003131;Kirchstraße;POINT (6.8059319969620296 50.82775433763279)
05362000002003132;Klosengartenstraße;POINT (6.814643779782499 50.819827244153224)
05362000002003133;Mittelstraße;POINT (6.80775718650205 50.82808059748843)
05362000002003134;Notweg;POINT (6.794340752174899 50.83027357917921)
05362000002003135;Otto-Hue-Straße;POINT (6.8075080831913395 50.82951434013631)
05362000002003136;Otto-Wels-Straße;POINT (6.811503524762597 50.82526343692879)
05362000002003137;Peter-May-Straße;POINT (6.805779065074698 50.82744526564714)
05362000002003138;Südstraße;POINT (6.80783363496398 50.826889696491335)
05362000002003139;Triftweg;POINT (6.803435261501843 50.828899717482315)
05362000002003140;Villenweg;POINT (6.80513822592429 50.832671376344805)
05362000002003141;Waldstraße;POINT (6.806239792912109 50.83281257604459)
05362000002003142;Wasserwerk;
05362000002003143;Zum Forellenteich;POINT (6.812133822543054 50.82690053022104)
05362000002003144;Stockweg;POINT (6.808017768151721 50.82550247236473)
05362000002003145;Kreuzritterweg;
05362000002003146;Max-Liebermann-Straße;POINT (6.804611596077402 50.82269352381543)
05362000002003147;Max-Ernst-Straße;POINT (6.802692573083754 50.82432841748727)
05362000002003148;August-Macke-Straße;POINT (6.80097717911401 50.82327409560553)
05362000002003149;Franz-Lehnen-Straße;POINT (6.809577938959081 50.82676111448439)
05362000002003150;Rheinflottenplatz;POINT (6.808736815660312 50.829144596441225)
05362000002003151;Zum Köttinger See;POINT (6.806262141089871 50.83125520221655)
05362000002003152;Kolpingstraße;POINT (6.8100290118149704 50.827312468323925)
05362000002003153;Forstweg;POINT (6.804689442538525 50.831682529518666)
05362000002003154;Zum Alten Bahndamm;POINT (6.807239899416801 50.83080215400171)
05362000002003155;Paul-Klee-Straße;POINT (6.8029367121048265 50.82209649781964)
05362000002003156;Franz-Marc-Straße;POINT (6.806407421713252 50.823392202975334)
05362000002003157;Gabriele-Münter-Weg;POINT (6.8056613115591 50.82250288860807)
05362000002003158;Alfred-Kubin-Weg;POINT (6.805419306949419 50.82071399489499)
05362000002003159;Gruhlstraße;POINT (6.810758005869408 50.82174201838795)
