strassenschluessel;bezeichnung;geometry
05370000000401000;Am Kapellchen;POINT (6.3268822062872845 51.064713881903835)
05370000000401001;Am Liesenfeld;POINT (6.330186094227871 51.06423056208361)
05370000000401002;Adam-Stegerwald-Hof;POINT (6.306604780931824 51.07868805596474)
05370000000401003;In Bellinghoven;POINT (6.327711134988196 51.06203911746734)
05370000000401004;Kreuzherrenpfad;POINT (6.318836283753994 51.06468484322907)
05370000000401005;Zum Driesch;POINT (6.326878074162483 51.062925348210186)
05370000000401006;Berverath;POINT (6.391347248010619 51.0749478146904)
05370000000401008;Bischof-Ketteler-Hof;POINT (6.301361534999665 51.077971457114955)
05370000000401013;Carl-Benz-Straße;POINT (6.304198251856216 51.073375385789966)
05370000000401016;Dr.-Josef-Hahn-Platz;
05370000000401018;Marktgasse;POINT (6.316393910745255 51.079035292434675)
05370000000401019;Commerden;POINT (6.30231157796205 51.062695923742446)
05370000000401020;Dingbuchenhof;POINT (6.322049803023821 51.013215870973866)
05370000000401021;Eggeratherhof;POINT (6.393854101493927 51.0607790885665)
05370000000401022;Gut Eichhof;POINT (6.368660132749413 51.02719300334191)
05370000000401023;Aachener Straße;POINT (6.307980576425 51.07536269950903)
05370000000401024;Am Flachsfeld;POINT (6.3093477128363995 51.0755822072852)
05370000000401025;Alte Trift;POINT (6.329487236121285 51.08419292225843)
05370000000401026;Am Hagelkreuz;POINT (6.316224532697608 51.071312215288856)
05370000000401027;Am Hufeisen;POINT (6.307892916455842 51.07360800802864)
05370000000401028;Am Bongert;POINT (6.330497698815133 51.08351948709117)
05370000000401029;Am Schneller;POINT (6.312923877980609 51.0763258466651)
05370000000401030;Am Stadtpark;POINT (6.320323227052249 51.07786903582081)
05370000000401031;Am Wasserturm;POINT (6.328678695726944 51.07980002428124)
05370000000401032;An der Bohr;
05370000000401033;Franziskanerplatz;POINT (6.314056859948856 51.07888999325797)
05370000000401034;An der Windmühle;POINT (6.3097634038094945 51.08637659612715)
05370000000401035;Anton-Heinen-Straße;POINT (6.320856832766133 51.08379735069586)
05370000000401036;Anton-Raky-Allee;POINT (6.322771675936399 51.078686012193366)
05370000000401037;Antwerpener Straße;POINT (6.306635128354784 51.07684234427699)
05370000000401038;Bernhard-Hahn-Straße;POINT (6.328594315807566 51.0803630530322)
05370000000401039;Baumschulweg;POINT (6.321186739542033 51.0837144856572)
05370000000401040;Bauxhof;POINT (6.302967413885806 51.085015953488565)
05370000000401041;Brabantstraße;POINT (6.310269069851486 51.07392296163158)
05370000000401042;Breslauer Straße;POINT (6.312276431556025 51.086771134474155)
05370000000401043;Brückstraße;POINT (6.323271904284782 51.08338014112104)
05370000000401044;Burgwall;POINT (6.315688920253455 51.0822983194072)
05370000000401045;Burgstraße;POINT (6.315089650600036 51.08103871828125)
05370000000401046;Buscherhof;POINT (6.316895408529744 51.0866287874911)
05370000000401047;Buscherkamp;POINT (6.314628098682073 51.08784309477561)
05370000000401048;Corneliushof;POINT (6.302990934239683 51.08254033787477)
05370000000401049;Danziger Straße;POINT (6.31273942851803 51.08493133902774)
05370000000401050;Dr.-Jakob-Herle-Straße;POINT (6.319055606855343 51.08687591383724)
05370000000401051;Elbinger Straße;POINT (6.31456572957229 51.086647360928936)
05370000000401052;Flachsbleiche;POINT (6.310077817281864 51.07568284944565)
05370000000401053;Flandernstraße;POINT (6.310216460605943 51.074991219334784)
05370000000401054;Freiheitsplatz;POINT (6.318298043829579 51.07551099988912)
05370000000401055;Graf-Reinald-Straße;POINT (6.315841389740177 51.07401182400244)
05370000000401056;Goswinstraße;POINT (6.315231683373877 51.075401623275646)
05370000000401057;Gasthausstraße;POINT (6.31340076904371 51.08031939846727)
05370000000401058;Gentishof;POINT (6.301101948056877 51.08365399662206)
05370000000401059;Gerhard-Welter-Straße;POINT (6.317422790141014 51.07268620846903)
05370000000401060;Glück-Auf-Straße;POINT (6.32682626066604 51.081938037399325)
05370000000401061;Gubener Straße;POINT (6.311209339152373 51.08867265208114)
05370000000401062;Görlitzer Straße;POINT (6.313398267372104 51.08745382861749)
05370000000401063;Heinrich-Jansen-Weg;POINT (6.318015733453799 51.07751600214294)
05370000000401064;Hinter der Giftmühle;POINT (6.32657504673779 51.07893525372128)
05370000000401065;H.-J.-Gormanns-Straße;POINT (6.319942977789787 51.07926027167325)
05370000000401066;Hoogenhof;POINT (6.299936107647921 51.08073065778124)
05370000000401067;Reinhold-Klügel-Hof;POINT (6.30334705947252 51.07809260835774)
05370000000401068;Im Kämpchen;POINT (6.324895473861301 51.082714386511036)
05370000000401070;Im Mühlenfeld;POINT (6.325256299047268 51.083976588853744)
05370000000401071;Im Pangel;POINT (6.315888982507014 51.08090848863082)
05370000000401072;In den Gärten;POINT (6.321955469122032 51.08505152149107)
05370000000401073;Johannismarkt;POINT (6.316077485744924 51.08012941181444)
05370000000401074;Jülicher Straße;POINT (6.325517850515743 51.07137264336836)
05370000000401075;Kaiser-Karls-Weg;POINT (6.324566760621714 51.08403501322833)
05370000000401077;Karl-Platz-Straße;POINT (6.322811151252706 51.08562079166533)
05370000000401078;Kirchstraße;POINT (6.314947358493382 51.07949949243218)
