strassenschluessel;bezeichnung;geometry
05158000000400006;Adlerstraße;POINT (6.914341121659848 51.21439185360812)
05158000000400012;Adolf-Menzel-Straße;POINT (6.90426156514249 51.22916630468533)
05158000000400018;Albrecht-Dürer-Straße;POINT (6.906519733184409 51.228822264752374)
05158000000400019;Alte Gießerei;POINT (6.907155559861705 51.22253171178505)
05158000000400020;Am Bahneberg;
05158000000400021;Am Baviersacker;POINT (6.910869324195884 51.21785434552406)
05158000000400022;Alte Papierfabrik;POINT (6.906554612079959 51.224312660578384)
05158000000400024;Am Brockerberg;POINT (6.904279661097826 51.22475893364326)
05158000000400026;Am Düsselufer;POINT (6.900968886187454 51.22368163651937)
05158000000400030;Am Häuschenberg;POINT (6.903611952071585 51.23514601256639)
05158000000400031;Am Kaiserhof;POINT (6.903325731112036 51.22173530434515)
05158000000400032;Am Hasenbusch;POINT (6.905068091226495 51.215545630430526)
05158000000400033;Am Korresberg;POINT (6.90351734577246 51.216756715689215)
05158000000400034;Am Mergelsberg;POINT (6.903850547576926 51.217984717465306)
05158000000400036;Am Ort;POINT (6.911188043371823 51.22380358705256)
05158000000400039;Am Rosenberg;POINT (6.9033352419804475 51.22543681837077)
05158000000400041;Am Stadtpark;POINT (6.906666071946805 51.22225293484797)
05158000000400042;Amselweg;POINT (6.91736640413519 51.21502256514004)
05158000000400048;Am Wimmersberg;POINT (6.909156071122411 51.21819321487906)
05158000000400054;Auf dem Hochfeld;POINT (6.917899003145469 51.21912704648116)
05158000000400060;Bachstraße;POINT (6.912268329775907 51.22565537284398)
05158000000400066;Bahnstraße;POINT (6.909775459924246 51.22091481817479)
05158000000400072;Bavierstraße;POINT (6.90951953310363 51.22184820737506)
05158000000400078;Beethovenstraße;POINT (6.913395134766217 51.224397733490676)
05158000000400080;Bergschlößchen;POINT (6.911965773323935 51.214193541560775)
05158000000400081;Bernsauplatz;POINT (6.90565047410977 51.22408192146889)
05158000000400084;Bismarckstraße;POINT (6.905247010124051 51.22175186145923)
05158000000400090;Bongardstraße;POINT (6.9114023592785925 51.223561011210215)
05158000000400093;Concordiastraße;POINT (6.897296385064738 51.22298720508373)
05158000000400102;Dorper Weg;POINT (6.908982284246654 51.23350353277254)
05158000000400108;Düsseldorfer Straße;POINT (6.899636221295239 51.226277815932825)
05158000000400118;Düsselbogen;
05158000000400120;Düsselstraße;POINT (6.901934515224545 51.221671393529505)
05158000000400138;Ernst-Barlach-Straße;POINT (6.909803006657456 51.227897133038006)
05158000000400144;Eulental;POINT (6.922191177530732 51.22109221409958)
05158000000400147;Falkenstraße;POINT (6.916771678551055 51.2165607272977)
05158000000400148;Fabershof;POINT (6.895975818271534 51.22854344186785)
05158000000400150;Fasanenstraße;POINT (6.914222300049858 51.2175698442071)
05158000000400162;Finkenweg;POINT (6.91347960381422 51.219119336362624)
05158000000400168;Freiheitstraße;POINT (6.895751555150326 51.22415142130357)
05158000000400174;Friedenstraße;POINT (6.89798887395833 51.222747266331986)
05158000000400180;Friedrichstraße;POINT (6.9067657724307505 51.227418798385195)
05158000000400186;Gans;POINT (6.9265394215457095 51.230650159493294)
05158000000400192;Gartenstraße;POINT (6.91213473428822 51.221359287812255)
05158000000400198;Gerberstraße;POINT (6.908032901647804 51.22336167905233)
05158000000400200;Gertrud-Küpper-Straße;POINT (6.904313774927187 51.22365214573883)
05158000000400204;Gink;POINT (6.901746139309835 51.227044622684765)
05158000000400210;Gödinghover Weg;POINT (6.887412950826378 51.22105505786248)
05158000000400222;Grabenstraße;POINT (6.898786804766846 51.222335706680944)
05158000000400228;Hans-Holbein-Straße;POINT (6.905984728054551 51.22818933690871)
05158000000400230;Haus Brück;POINT (6.915757453249267 51.227479478964476)
05158000000400234;Heide;POINT (6.915669972153613 51.22937502081673)
05158000000400240;Heiderweg;POINT (6.910256090904262 51.22901647360168)
05158000000400246;Heinrichstraße;POINT (6.908353895780529 51.22526930654482)
05158000000400248;Helena-Rubinstein-Straße;POINT (6.9092829160764735 51.21949631211085)
05158000000400252;Henschesgässchen;POINT (6.899273752738615 51.225137395639265)
05158000000400258;Herderstraße;POINT (6.9167335473948235 51.221631627683394)
05158000000400264;Hochdahler Straße;POINT (6.913940642966258 51.2196651414141)
05158000000400270;Hochscheid;POINT (6.890415797313728 51.21360142366283)
05158000000400273;Hölderlinstraße;POINT (6.916839926199098 51.22231481957186)
05158000000400276;Hubbelrather Weg;POINT (6.896395173419561 51.228316406761735)
05158000000400282;Humboldtstraße;POINT (6.896945798378808 51.22431663826509)
05158000000400294;Kalkumer Feld;POINT (6.920213427484884 51.21519934953272)
05158000000400300;Karlstraße;POINT (6.908022265180238 51.22730406911274)
05158000000400306;Kirchstraße;POINT (6.913640964536015 51.22274887254371)
05158000000400312;Klopstockstraße;POINT (6.914010392403987 51.220878089252345)
05158000000400318;Koxberg;POINT (6.932325088634775 51.23489928393957)
05158000000400324;Kreuzstraße;POINT (6.911907826915386 51.224197065685864)
05158000000400330;Lenaustraße;POINT (6.91792688912552 51.2216088044227)
05158000000400336;Ludenberger Straße;POINT (6.895540659161905 51.221387148468644)
05158000000400342;Lucas-Cranach-Straße;POINT (6.903430673251307 51.22631568630925)
05158000000400348;Marktplatz;POINT (6.911468579648402 51.22336183760492)
05158000000400354;Matthias-Grünewald-Straße;POINT (6.903976058332921 51.227528053001315)
05158000000400360;Max-Liebermann-Straße;POINT (6.905824144196295 51.22890609951671)
05158000000400363;Maximilian-Weyhe-Straße;POINT (6.897975702542109 51.226038175101195)
05158000000400366;Meisenweg;POINT (6.913912758311291 51.2155232894617)
05158000000400372;Mettmanner Straße;POINT (6.9416564281734034 51.22732162456774)
05158000000400374;Metzkausener Straße;
05158000000400378;Morper Allee;POINT (6.897532443945015 51.224627429158325)
05158000000400384;Mozartstraße;POINT (6.914695926049705 51.22484410397336)
05158000000400390;Mühlenstraße;POINT (6.895469497758457 51.220678541573974)
05158000000400396;Neanderstraße;POINT (6.9108351829299295 51.22456231307932)
05158000000400408;Neubuschenhofen;POINT (6.901455508841074 51.23403986853972)
05158000000400414;Nordstraße;POINT (6.905373233795085 51.22606462592368)
05158000000400420;Ottostraße;POINT (6.907960730373173 51.226241797009905)
05158000000400426;Papendelle;POINT (6.883492238549143 51.23588500528944)
05158000000400432;Parkstraße;POINT (6.896284479666968 51.228955460492095)
05158000000400438;Pestalozzistraße;POINT (6.896691968779281 51.224661066027444)
05158000000400442;Pose-Marré-Weg;
05158000000400444;Rathelbeck;POINT (6.902817802382195 51.21207907958469)
05158000000400450;Rathelbecker Weg;POINT (6.909767034247351 51.21569960130945)
05158000000400456;Reutersberg;POINT (6.880936790028797 51.24006714878678)
05158000000400462;Römerweg;POINT (6.912360764932352 51.213835673075344)
05158000000400468;Rolandstraße;POINT (6.908635076929065 51.22613111134984)
05158000000400480;Sperberweg;POINT (6.917706922439693 51.214157845866595)
05158000000400502;Schinkelstraße;POINT (6.906353216273698 51.21903496640937)
05158000000400512;Schlüterstraße;POINT (6.908601447391934 51.21710528293664)
05158000000400522;Schöne Aussicht;POINT (6.927461161173839 51.22160942085307)
05158000000400532;Schubertstraße;POINT (6.915321420195492 51.223605919839834)
05158000000400538;Steinhof;POINT (6.903039391908278 51.2185204266289)
05158000000400544;Steinkaule;POINT (6.930754953146117 51.228888573669224)
05158000000400550;Stindertalweg;POINT (6.909979483565792 51.23264279188203)
05158000000400556;Taubenstraße;POINT (6.916225381803826 51.21454982152701)
05158000000400559;Grillparzerstraße;POINT (6.915899587212988 51.22151501308423)
05158000000400562;Wagnerstraße;POINT (6.914352303289074 51.22397576004137)
05158000000400568;Waldstraße;POINT (6.91570375733411 51.21878565826329)
05158000000400574;Wielandstraße;POINT (6.914847729704392 51.22102165901911)
05158000000400580;Wilhelmstraße;POINT (6.90850695206821 51.227827780115575)
05158000000400586;Wormscheid;POINT (6.923212540567788 51.21540838000035)
05158000000400592;Zum Nordbahnhof;POINT (6.909115615288182 51.229274200728824)
05158000000400600;Adalbert-Stifter-Straße;POINT (6.926895975761723 51.20272599158805)
05158000000400601;Albert-Einstein-Straße;POINT (6.9090128704184135 51.19807365692189)
05158000000400602;Am Eselsbach;POINT (6.925410428468277 51.195508064730184)
05158000000400604;Am Gatherfeld;POINT (6.911176377545441 51.20113269915911)
05158000000400606;Am Lohbusch;POINT (6.927840764655018 51.20331444594669)
05158000000400608;Am Maiblümchen;POINT (6.927757488928262 51.19875417360416)
05158000000400610;Am Rosenbaum;POINT (6.926678227401188 51.19744682551892)
05158000000400611;Am Thieleshof;POINT (6.927483107890177 51.196489419220086)
05158000000400612;Am Tönisberg;POINT (6.9115391548556895 51.19573928974133)
05158000000400614;Anker;POINT (6.922682676617843 51.20627533242287)
05158000000400615;Auf den Sängen;POINT (6.930315829368939 51.19968127807867)
05158000000400616;Auf der Lohe;POINT (6.925229869954363 51.197637165853784)
05158000000400617;Birken;POINT (6.933316219131173 51.196495178623195)
05158000000400618;Bruchhausen;POINT (6.926525456004163 51.19796219434387)
05158000000400619;Carl-Zuckmayer-Straße;POINT (6.92071813248293 51.20412232598754)
05158000000400620;Emanuel-Geibel-Straße;POINT (6.92279530261009 51.20180926932343)
05158000000400621;Erich-Kästner-Straße;POINT (6.925081445255298 51.20449954048099)
05158000000400622;Erkrather Straße;POINT (6.9105359554250985 51.205658140757016)
05158000000400624;Ernst-Moritz-Arndt-Straße;POINT (6.921880005237641 51.201902776478434)
05158000000400626;Feldhausweg;POINT (6.916501979391227 51.20038932124595)
05158000000400628;Ferdinand-Freiligrath-Straße;POINT (6.928472569024923 51.199592546804794)
05158000000400630;Friedrich-Hebbel-Straße;POINT (6.924111308732372 51.19807592247503)
05158000000400632;Friedrich-Rückert-Straße;POINT (6.928056315713221 51.20151586970669)
05158000000400634;Fritz-Reuter-Straße;POINT (6.92056927678425 51.20132614181022)
05158000000400636;Gerhart-Hauptmann-Straße;POINT (6.919090363391379 51.20193510271704)
05158000000400638;Gerresheimer Landstraße;POINT (6.910146985462316 51.196170833203)
05158000000400640;Gottfried-August-Bürger-Straße;POINT (6.92759918961017 51.202863749476286)
05158000000400642;Gottfried-Keller-Straße;POINT (6.924467189305902 51.19913086599738)
05158000000400644;Gustav-Freytag-Straße;POINT (6.918793255819419 51.20224260019853)
05158000000400645;Hahnhof;POINT (6.928638787950077 51.19412426031905)
05158000000400646;Hans-Henny-Jahnn-Straße;POINT (6.9265334340133915 51.20234506040549)
05158000000400648;Georg-Büchner-Straße;POINT (6.928384274440558 51.20040609532278)
05158000000400650;Heinrich-Hertz-Straße;POINT (6.914254007804513 51.1979509064002)
