strassenschluessel;bezeichnung;geometry
05970000001222000;Altenschlager Weg;POINT (8.242491129855413 50.98850624134105)
05970000001222001;Am Fuchsrain;POINT (8.259635981728652 50.97829006614302)
05970000001222002;Am Gickelsberg;POINT (8.253992745732592 50.980241718430264)
05970000001222003;Zum Häusel;POINT (8.27080545098003 51.00023096714364)
05970000001222004;Am Köpfchen;POINT (8.260230411292797 50.98872599789625)
05970000001222005;Habichtsweg;POINT (8.26320730622325 50.99238181462072)
05970000001222006;Auf dem Rain;POINT (8.25794492129348 50.9895605731309)
05970000001222007;Auf der Katzenbach;POINT (8.256368505589702 50.983264721519475)
05970000001222008;Auf der Roll;POINT (8.253462033219682 50.985386540871026)
05970000001222009;Backofenstraße;POINT (8.255761301936964 50.98574326621787)
05970000001222010;Bahnhofstraße;POINT (8.255416387621132 50.99001910903999)
05970000001222011;Bergstraße;POINT (8.254800721132302 50.986067200917574)
05970000001222012;Berliner Straße;POINT (8.254405361322753 50.991455553050336)
05970000001222013;Birkenweg;POINT (8.261201415908571 50.99078359559623)
05970000001222014;Breidenbachstraße;POINT (8.261845426801678 50.99142838514334)
05970000001222015;Breslauer Straße;POINT (8.25013175549446 50.99197900139673)
05970000001222016;Backes Ecke;POINT (8.25587461060049 50.986361578202896)
05970000001222017;Ederstraße;POINT (8.236117759289705 50.98328770489106)
05970000001222018;Ederfeldstraße;POINT (8.244474068867065 50.98744176828305)
05970000001222019;Elberndorf;POINT (8.247785763935605 50.99854605793421)
05970000001222020;Elsa-Brandström-Weg;POINT (8.261134337211312 50.98760836268474)
05970000001222021;Freiherr-vom-Stein-Straße;POINT (8.261362952259123 50.985748468507026)
05970000001222022;Gartenstraße;POINT (8.253726407921869 50.990618442558905)
05970000001222023;Goethestraße;POINT (8.239165282182718 50.986871143168614)
05970000001222024;Grimbachstraße;POINT (8.246298333738158 50.98991630507097)
05970000001222025;Hachenbergstraße;POINT (8.252400946140552 50.991055896678816)
05970000001222026;Hauptmühle;POINT (8.26206006041261 51.0007628907254)
05970000001222027;Heinrichstraße;POINT (8.253100690387537 50.99004535149616)
05970000001222028;Hermann-Löns-Weg;POINT (8.245814297100951 50.98833240335785)
05970000001222029;Herrenseifen;POINT (8.253459091147791 50.99260784688407)
05970000001222030;Höhenweg;POINT (8.264318499753992 50.98939463673513)
05970000001222031;Nordstraße;POINT (8.254517217254962 50.99384694992647)
05970000001222032;Im Grünewald;POINT (8.227124733884304 50.979839348775194)
05970000001222033;In der Bärenbach;POINT (8.256717335317196 50.978018180337465)
05970000001222034;Industriestraße;POINT (8.259256620110309 50.992143444926)
05970000001222035;Jahnstraße;POINT (8.248652717290566 50.985441974808026)
05970000001222036;Kampenstraße;POINT (8.239300232867947 50.98715449119572)
05970000001222037;Keitestraße;POINT (8.259985129194465 50.98660351320898)
05970000001222038;Kirchplatz;POINT (8.255578292732043 50.98758743357764)
05970000001222039;Kurze Straße;POINT (8.245277681241186 50.98804677452351)
05970000001222040;Lärchenweg;POINT (8.266747354110151 50.9890033662467)
05970000001222042;Ludwigseck;POINT (8.255758888965502 50.9552438090909)
05970000001222043;Marburger Straße;POINT (8.255525540410096 50.98871547134072)
05970000001222044;Marktplatz;POINT (8.254484841738629 50.989249860966126)
05970000001222045;Martin-Luther-Straße;POINT (8.261080617828673 50.98711607866975)
05970000001222046;Mittelstraße;POINT (8.253139790118796 50.98954273114522)
05970000001222047;Mozartstraße;POINT (8.247910131320445 50.990860779768916)
05970000001222048;Mühlenweg;POINT (8.263287620365583 50.99936582330351)
05970000001222049;Oberdorf;POINT (8.255238411039386 50.986782859696284)
05970000001222050;Oststraße;POINT (8.261675105423993 50.99194598792661)
05970000001222051;Pulverwaldstraße;POINT (8.249304691419278 50.985907239039726)
05970000001222052;Schillerstraße;POINT (8.241028362441776 50.986936570820774)
05970000001222053;Schlesier Weg;POINT (8.244241865714905 50.987086179483406)
05970000001222054;Schulstraße;POINT (8.250201108117272 50.9848087396495)
05970000001222055;Schürmannshof;POINT (8.254470523532348 50.96880537517854)
05970000001222056;Siegener Straße;POINT (8.254519693078068 50.98895988077271)
05970000001222057;Sonnenweg;POINT (8.24951129575513 50.99056734013288)
05970000001222058;Steilhang;POINT (8.2417758165724 50.98711030711521)
