strassenschluessel;bezeichnung;geometry
05974000001602001;Akazienweg;POINT (8.328207483254298 51.618744120740814)
05974000001602002;Alter Hellweg;POINT (8.347218887569353 51.61257406969369)
05974000001602003;Am Markt;POINT (8.34138509971438 51.613001934364064)
05974000001602004;Am Mühlenteich;POINT (8.34013771922425 51.61435999433786)
05974000001602005;An der Friedenseiche;POINT (8.320689838770631 51.61307274883392)
05974000001602006;Appelteweg;POINT (8.342863477626418 51.60974862650794)
05974000001602007;Auf dem Hofdrosten;POINT (8.346376238123575 51.614454920018154)
05974000001602008;Auf den Thränen;POINT (8.332739648983752 51.60302547913275)
05974000001602009;Auf der Heide;POINT (8.315290716169406 51.607187290601665)
05974000001602010;Bachstraße;POINT (8.33746928723711 51.6142661901752)
05974000001602011;Bahnhofstraße;POINT (8.336385416750645 51.60716983883343)
05974000001602012;Berger Straße;POINT (8.35032400524084 51.60071751750931)
05974000001602013;Kastanienweg;POINT (8.3334809592192 51.616767465827806)
05974000001602014;Blumenstraße;POINT (8.329623520030145 51.61424058079449)
05974000001602015;Bördestraße;POINT (8.342240796099315 51.61472819909955)
05974000001602016;Breslauer Straße;POINT (8.330750874163213 51.61351021530129)
05974000001602017;Brockmeiersweg;POINT (8.342769323697265 51.62463052023011)
05974000001602018;Akener Straße;POINT (8.326954607489782 51.61518103804288)
05974000001602019;Försterweg;POINT (8.345697271358045 51.611153283800306)
05974000001602020;Burgstraße;POINT (8.335869048902007 51.614360445437484)
05974000001602021;Dietrich-Ottmar-Straße;POINT (8.347451727883533 51.615464644251205)
05974000001602022;Von-Droste-Straße;POINT (8.337779569958741 51.61477993644994)
05974000001602023;Elsternweg;POINT (8.346560011662833 51.61990803051157)
05974000001602024;Falkenweg;POINT (8.349268442155282 51.61941311896615)
05974000001602025;Fasanenweg;POINT (8.347858165199186 51.61903594308148)
05974000001602026;Florianstraße;POINT (8.343163218928826 51.61042451900002)
05974000001602027;Freigrafenstraße;POINT (8.338933275606054 51.613563712481536)
05974000001602028;Gartenstraße;POINT (8.346470428827866 51.61607445092992)
05974000001602029;Glasmerweg;POINT (8.329343901787455 51.61186921391858)
05974000001602030;Goetheweg;POINT (8.338421811807235 51.608258879437095)
05974000001602031;Gografenstraße;POINT (8.343708630603338 51.61544533583734)
05974000001602033;Graf-Landsberg-Straße;POINT (8.337093783301963 51.61809510424863)
05974000001602034;Grüner Winkel;POINT (8.328453917662909 51.6196865822987)
05974000001602035;Habichtsweg;POINT (8.345916964750888 51.620220255575155)
05974000001602036;Hellweg;POINT (8.344429643080929 51.61314439033158)
05974000001602037;Hüchtchenweg;POINT (8.341121580901662 51.59657713972338)
05974000001602038;Im Flußfelde;POINT (8.332134241936703 51.615592350012804)
05974000001602039;Im Niederfeld;POINT (8.328220551789604 51.618270882149396)
05974000001602040;Im Schiebenkämperfeld;POINT (8.348961776366243 51.61895637713065)
05974000001602041;Im Vogelsang;POINT (8.328819527244109 51.60993864911485)
05974000001602042;Jägerpfad;POINT (8.348764768365251 51.61255522122556)
05974000001602043;Josefstraße;POINT (8.343629124958042 51.60912463303872)
05974000001602044;Eibenweg;POINT (8.332073585524752 51.61908885376911)
05974000001602045;Kirchgraben;POINT (8.34293509532993 51.61604610467134)
05974000001602046;Kirchplatz;POINT (8.34022599656626 51.61378409629007)
05974000001602047;Kletterstraße;POINT (8.343771650742571 51.61345004636464)
05974000001602048;Köllschestraße;POINT (8.338549106056998 51.609719830205215)
05974000001602049;König-Heinrich-Straße;POINT (8.336753473125842 51.61258905575277)
05974000001602050;Kreilmanstraße;POINT (8.34160748740863 51.60865435874894)
05974000001602051;Eberhard-Klausenberg-Straße;POINT (8.354692684264409 51.61912871696926)
05974000001602052;Kurze Straße;POINT (8.342774310630407 51.614878102037395)
05974000001602053;Lakenkuhle;POINT (8.339186781275549 51.61074056167174)
05974000001602054;Laurentiusstraße;POINT (8.330924590933952 51.61564078852653)
05974000001602055;Eschenweg;POINT (8.3333827168095 51.61819571387236)
05974000001602056;Lipperweg;POINT (8.337847312428677 51.608629551300155)
05974000001602057;Lippstädter Straße;POINT (8.335005289017746 51.615205297759836)
05974000001602058;Lönsstraße;POINT (8.337269371924386 51.60772741711019)
05974000001602059;Marienstraße;POINT (8.3428113054637 51.60941324102098)
05974000001602060;Marketendergasse;POINT (8.33948288218288 51.6105713857777)
05974000001602061;Marktgasse;POINT (8.339347485551505 51.61223213581664)
05974000001602062;Ritterstraße;POINT (8.343960675282533 51.61588951297852)
05974000001602063;Oststraße;POINT (8.347233227944331 51.61619669231869)
05974000001602064;Ottostraße;POINT (8.333868689130115 51.61354010345134)
05974000001602065;Pestalozzistraße;POINT (8.331141392729476 51.613395099174795)
05974000001602066;Planweg;POINT (8.328853315389468 51.61377290144129)
05974000001602067;Posthof;POINT (8.3388279516376 51.61109998048411)
05974000001602068;Postweg;POINT (8.33807841802826 51.61134900797314)
05974000001602069;Reddagstraße;POINT (8.341408362843902 51.60653525656649)
05974000001602070;Rosenstraße;POINT (8.327529409980208 51.615975258893506)
05974000001602071;Rotdornweg;POINT (8.328657196647503 51.61841798399697)
05974000001602072;Schillerstraße;POINT (8.339432647563221 51.60885543381437)
05974000001602073;Schloßallee;POINT (8.33622907065694 51.61597323442356)
05974000001602074;Zur Hellweghalle;POINT (8.334801469982908 51.60935287993738)
05974000001602075;Schwalbenweg;POINT (8.34653942629989 51.61947972330485)
05974000001602076;Soester Straße;POINT (8.33008270534188 51.610777326222184)
05974000001602077;Steinstraße;POINT (8.334016812785878 51.606688093167215)
05974000001602078;Stirper Damm;POINT (8.334085050657322 51.6158932960518)
05974000001602079;Im Felde;
05974000001602080;Tonweg;POINT (8.317755928525207 51.60791208659858)
05974000001602081;Veilchenweg;POINT (8.328622335247854 51.614483363192356)
05974000001602082;Völlinghauser Weg;POINT (8.333395861853484 51.60674778059679)
05974000001602083;Wallgasse;POINT (8.336992548690047 51.6122265213478)
05974000001602084;Weckinghauser Weg;POINT (8.328212236879379 51.627485193014124)
05974000001602085;Weidenweg;POINT (8.328190889296442 51.61744191265492)
05974000001602086;Wemberweg;POINT (8.351296590719823 51.613142925425514)
05974000001602087;Westernkötter Straße;POINT (8.348805762167698 51.61760404474213)
05974000001602088;Westkampstraße;POINT (8.334442896244651 51.61041013248552)
05974000001602089;Auenweg;POINT (8.3267887676067 51.6172722826904)
05974000001602090;Wolfsgasse;POINT (8.341235440522832 51.614519772815186)
05974000001602091;Galgenweg;POINT (8.333606480431591 51.60836614267032)
05974000001602092;Pappelweg;POINT (8.330590996759968 51.616756742684956)
05974000001602093;Kiefernallee;POINT (8.333023166174387 51.618934110085966)
05974000001602094;Overhagener Weg;POINT (8.333457440397918 51.63220757561776)
05974000001602095;Triftweg;POINT (8.346517880402834 51.61273211017895)
05974000001602096;Drosselweg;POINT (8.346632386340577 51.617889864534774)
05974000001602097;Möwenweg;POINT (8.349050758013421 51.61994446225417)
05974000001602098;Bruchweg;POINT (8.344093761650957 51.62212829665993)
05974000001602099;Platanenweg;POINT (8.330284236932558 51.61789040056179)
05974000001602100;Ostring;POINT (8.351788044082966 51.6161916171958)
05974000001602101;Gutenbergstraße;POINT (8.35093884129348 51.619023278547594)
05974000001602102;Schloßweg;POINT (8.341567219017023 51.61540359247953)
05974000001602103;Bismarckstraße;POINT (8.350179285218958 51.61709127041059)
05974000001602104;Wallstraße;POINT (8.336646256576214 51.612986089569375)
05974000001602105;Zedernweg;POINT (8.331297467731638 51.6204687505164)
05974000001602106;Huserweg;
05974000001602107;Dahlbreite;POINT (8.351046255527944 51.61271365463276)
05974000001602108;Handwerkerstraße;POINT (8.336207233258547 51.631697832611735)
05974000001602109;Katharinenweg;POINT (8.350442416249424 51.615455701150026)
05974000001602110;Auf dem Fange;POINT (8.332092665581404 51.6278178755334)
05974000001602111;Friedrich-Groos-Straße;POINT (8.35350714015686 51.618356104257614)
05974000001602112;Josef-Fischel-Straße;POINT (8.353303949072759 51.61751190765576)
05974000001602113;Fuchsweg;POINT (8.347646630335852 51.61315624018189)
05974000001602114;Zum Manninghofer Bach;
05974000001602115;Barbaraweg;POINT (8.339599550568105 51.609221291784486)
05974000001602116;Alter Berger Pfad;
05974000001602117;Am Runden Hucht;POINT (8.329058790527624 51.620828486405664)
05974000001602118;Schäperwiese;POINT (8.325726492943854 51.619819870936595)
05974000001602119;Fahrenwiese;POINT (8.325974829329295 51.6198469770966)
05974000001602120;Im Spielenfeld;POINT (8.327148199024554 51.61996640007095)
05974000001602121;Im Längenfeld;POINT (8.32848805937753 51.62012734310893)
05974000001602122;Am Klingenkamp;POINT (8.328782236412623 51.62016886739356)
05974000001602123;Königshofgasse;
05974000001602124;Stapelbreite;POINT (8.331491815518559 51.6317457931104)
05974000001602125;Zum Glasebach;POINT (8.331862669747087 51.63277708071671)
05974000001602126;Martin-Luther-Ring;POINT (8.347397433326151 51.61025103439821)
05974000001602127;Zum Tummelplatz;POINT (8.335038509259768 51.60960899352682)
05974000001602128;Auf der Körbecke;
05974000001602202;Lohner Warte;POINT (8.231676784515907 51.59234612205528)
05974000001602203;Seringhauser Straße;POINT (8.236237807512566 51.58132023021418)
05974000001602204;Soester Straße;POINT (8.226858154608486 51.59024584438868)
05974000001602261;Berenbrock;
05974000001602262;An der Vogelstange;POINT (8.291171763694958 51.60781908359227)
05974000001602263;Blütenstraße;POINT (8.281022097788284 51.610379744222556)
05974000001602264;Brinkstraße;POINT (8.291188007640578 51.607464062735616)
05974000001602265;Dunkle Straße;POINT (8.287922690306686 51.60672858825238)
05974000001602266;Hahnebrink;POINT (8.282783260729344 51.60406875997071)
05974000001602267;Hessenweg;POINT (8.290319794020695 51.60450693424231)
05974000001602268;Im Grunde;POINT (8.289738125789615 51.60424139762201)
05974000001602269;Soester Straße;POINT (8.288773396172287 51.60376403075329)
05974000001602270;Stirper Weg;POINT (8.286084310370548 51.60833098737191)
05974000001602271;Zur Luit;POINT (8.280162801174265 51.607737179750046)
05974000001602281;Böckum;
05974000001602282;Am Bahndamm;POINT (8.243865788415407 51.636506284013066)
05974000001602283;Am Lindloh;POINT (8.254151871221852 51.64050171524196)
05974000001602284;Am Wittkamp;POINT (8.25809465907068 51.63706747293719)
05974000001602285;Erftkamp;POINT (8.254096210663144 51.633105947415494)
05974000001602286;Fluetgraben;POINT (8.256406867928217 51.636161998120194)
05974000001602287;Stephanusstraße;POINT (8.25538730402152 51.63762870890014)
05974000001602288;Zum Birkengrund;POINT (8.257256687478737 51.633881310652356)
05974000001602302;Auf der Brei;POINT (8.272722583693264 51.620284627936485)
05974000001602303;Im Dorf;POINT (8.272355511857397 51.61839150502247)
05974000001602304;Kirchstraße;POINT (8.271506130109453 51.61642934444331)
05974000001602305;Lannerweg;POINT (8.268688737387954 51.61380848397303)
05974000001602306;Schmiedestraße;POINT (8.271469978317278 51.615178992983225)
05974000001602307;Unter den Eichen;POINT (8.272832962171677 51.61705521060206)
05974000001602308;Zur Tiwecke;POINT (8.276331090698836 51.619708994377866)
05974000001602322;Am Spring;POINT (8.393245673018104 51.62373971608839)
05974000001602323;Eikeloher Straße;POINT (8.401318917036528 51.620764935404154)
05974000001602324;Hellweg;POINT (8.40271236846717 51.623389825659956)
05974000001602325;Im Suerfeld;POINT (8.40481956580752 51.61615841422472)
05974000001602326;Im Westerfeld;POINT (8.398543642438101 51.61968918770267)
05974000001602327;Johannesstraße;POINT (8.400854128656784 51.62021047696718)
05974000001602328;Königsau;POINT (8.403587375780326 51.6215312935388)
05974000001602329;Rüthener Straße;POINT (8.395716991103223 51.63046882491374)
05974000001602330;Schultenstraße;POINT (8.406216654751725 51.61561732971977)
05974000001602331;Sebastianstraße;POINT (8.400855179829286 51.619693012580065)
05974000001602332;Twiete;POINT (8.40137965140824 51.621635996748324)
05974000001602333;Propsteiweg;POINT (8.40339892985897 51.617744840562374)
05974000001602334;Hilleweg;
05974000001602335;Jan-Brock-Weg;POINT (8.40277393345124 51.61693085824139)
05974000001602411;An der Kirche;POINT (8.246855264683722 51.6126117471684)
05974000001602412;Am Sportplatz;POINT (8.252190459744698 51.61264523137737)
05974000001602413;Auf der Heckenbrede;POINT (8.242788383305319 51.612418673664514)
05974000001602414;Wiggeringhauser Straße;POINT (8.240806564492273 51.61579138759701)
05974000001602415;Böckumer Straße;POINT (8.247967956770479 51.62153413831008)
05974000001602416;Bükerstraße;POINT (8.245659898120351 51.611323470081864)
05974000001602417;Dorfstraße;POINT (8.252444135922593 51.62438162562692)
05974000001602418;Schmerlecker Straße;POINT (8.244116992114682 51.61060881897107)
05974000001602419;Friedhofstraße;POINT (8.245543439128483 51.614674587394)
05974000001602420;Lüneweg;POINT (8.247836652899851 51.61248723607356)
05974000001602421;Kuhlecke;POINT (8.243643345352014 51.611505436477714)
05974000001602422;Zur Windmühle;POINT (8.257452249848237 51.620961936569906)
05974000001602423;Langestraße;POINT (8.24851130205018 51.61346329270486)
05974000001602424;Lohweg;POINT (8.240531326737795 51.616686298617374)
05974000001602425;Merklinghauser Straße;POINT (8.243253268024278 51.613685081465086)
05974000001602426;Horstweg;POINT (8.25402608589046 51.62407313773183)
