strassenschluessel;bezeichnung;geometry
05958000001603001;Olper Straße;POINT (8.150064939760552 51.19583868883973)
05958000001603002;Zum Buchhagen;POINT (8.153546419543027 51.19778144905949)
05958000001603003;Zur Heßmecke;POINT (8.156940956403085 51.1998949359862)
05958000001603004;Unterm Frettholz;POINT (8.159879929837915 51.197021672624764)
05958000001603005;Über dem Sterthof;POINT (8.156164898707189 51.204943050344184)
05958000001603007;Am Hähnchen;POINT (8.156217973144757 51.2031845479321)
05958000001603008;Im Hessenberg;POINT (8.152075836787832 51.20122543056239)
05958000001603009;Am Esselbach;POINT (8.159953785852066 51.19688918727785)
05958000001603010;Nikolausstraße;POINT (8.157291615571488 51.19730921516114)
05958000001603012;Zur Vossel;POINT (8.157557019605344 51.18415540636765)
05958000001603013;Hohle Straße;POINT (8.157684850236386 51.19679962353428)
05958000001603014;Im Kampe;POINT (8.15717985143552 51.197622928444346)
05958000001603015;Am Brachthahn;POINT (8.159828262366648 51.19510332987109)
05958000001603016;Bosselweg;POINT (8.159178513091968 51.19856604304572)
05958000001603017;Am Muttenberg;POINT (8.16375262813951 51.19606352377172)
05958000001603018;Am Papelör;POINT (8.162400632775888 51.20031635833709)
05958000001603020;Am Mühlknapp;POINT (8.160579432477409 51.20095969842661)
05958000001603021;Birkenstraße;POINT (8.163009745523935 51.200191631127055)
05958000001603022;Auf der Hube;POINT (8.152567825820439 51.19658366330309)
05958000001603023;Bergstraße;POINT (8.155310833651248 51.20303251508031)
05958000001603024;Weidenstraße;POINT (8.154585624397695 51.20218418662458)
05958000001603025;Am Brunnen;POINT (8.158343191618485 51.19808165075636)
05958000001603026;Zur alten Mühle;POINT (8.159890937462194 51.201195222909966)
05958000001603030;Obermarpe;POINT (8.117970020622323 51.207339111810064)
05958000001603031;Henninghausen;POINT (8.169977411610043 51.203796702056714)
05958000001603032;Herscheid;POINT (8.172419070758387 51.19566119693199)
05958000001603033;Niederlandenbeck;POINT (8.191220377322107 51.20785991839189)
05958000001603034;Oberlandenbeck;POINT (8.182075928582808 51.20018652938569)
05958000001603035;Schwartmecke;POINT (8.141135539413654 51.19265134517155)
05958000001603036;Leckmart;POINT (8.1476240414332 51.18442395938132)
05958000001603037;Glamke;POINT (8.126160931003376 51.191680160074455)
05958000001603038;Hengslade;POINT (8.143469442722722 51.20106957741742)
05958000001603039;Stertberg;POINT (8.149549697331949 51.20378984046586)
05958000001603093;Goldschmidtweg;POINT (8.169974472998996 51.252319501680795)
05958000001603094;Springstraße;POINT (8.16296694627425 51.253818476187504)
05958000001603095;Kapellenfeld;POINT (8.161866003715753 51.25307107070226)
05958000001603096;Im Westenfeld;POINT (8.1613743603195 51.25423336730349)
05958000001603097;Eschenweg;POINT (8.16123337525575 51.25468499433889)
05958000001603098;Buchenweg;POINT (8.161355689268115 51.25498551256776)
05958000001603099;Ahornweg;POINT (8.162504849676797 51.254727998865896)
05958000001603100;Hauptstraße;POINT (8.166699540000264 51.251524333968)
05958000001603101;Parkweg;POINT (8.16949564268378 51.25505478591609)
05958000001603102;Homertstraße;POINT (8.166735913346145 51.26161113960135)
05958000001603103;An der Helle;POINT (8.163911584116306 51.262729706560926)
05958000001603104;Zum Fischacker;POINT (8.17511107119261 51.25896699022522)
05958000001603105;Im Mühlental;POINT (8.168797812358255 51.26280447228842)
05958000001603106;Am Beil;POINT (8.171883737290356 51.260209412389386)
05958000001603107;Am Hammer;POINT (8.165984691159071 51.26120074087851)
05958000001603108;Kupferstraße;POINT (8.171789388376137 51.25884342578446)
