strassenschluessel;bezeichnung;geometry
05770000000801001;Ahornweg;POINT (8.612318774614428 52.38214960801203)
05770000000801003;Am Bahnhof;POINT (8.613649144912424 52.378555257483946)
05770000000801004;Am Fabbenstedter Graben;POINT (8.602379304630357 52.37562762971639)
05770000000801005;Am Hügel;POINT (8.628625286733083 52.37593588017389)
05770000000801006;Am Nordtor;POINT (8.619758602372853 52.38473408450995)
05770000000801007;Amselweg;POINT (8.637610898484201 52.37661555891984)
05770000000801008;Angerburger Weg;POINT (8.608204208282274 52.38074373027163)
05770000000801009;Bachstraße;POINT (8.619391373555766 52.37463533162808)
05770000000801010;Baltenweg;POINT (8.619917722655751 52.377106957917334)
05770000000801011;Bartensteiner Weg;POINT (8.603489273939505 52.383396726781655)
05770000000801012;Berliner Ring;POINT (8.63874302450815 52.376259533276325)
05770000000801013;Beuthener Straße;POINT (8.639778911621558 52.37238297364254)
05770000000801014;Birger-Forell-Straße;POINT (8.619206058606458 52.37794084031062)
05770000000801015;Birkenweg;POINT (8.611115071172767 52.37973808059389)
05770000000801016;Brandenburger Ring;POINT (8.63517545804729 52.3752603028682)
05770000000801017;Breslauer Straße;POINT (8.625681819410321 52.377079968600825)
05770000000801018;Bromberger Weg;POINT (8.604030199324141 52.38285391799494)
05770000000801019;Buchenweg;POINT (8.612564687471084 52.382792762131935)
05770000000801020;Chemnitzer Weg;POINT (8.63908646775867 52.38698723106201)
05770000000801021;Danziger Straße;POINT (8.62510496968083 52.37845255215289)
05770000000801022;Dresdner Straße;POINT (8.638425342821458 52.386848664354495)
05770000000801023;Drosselsteg;POINT (8.636309428662637 52.37666819227549)
05770000000801024;Eichendorffstraße;POINT (8.629601233332851 52.37391448613527)
05770000000801025;Elbinger Weg;POINT (8.625663767702111 52.378161999399815)
05770000000801026;Erfurter Weg;POINT (8.63773152391413 52.38595860208222)
05770000000801027;Eschenweg;POINT (8.612496095919894 52.38354046860508)
05770000000801028;Fichtenweg;POINT (8.611774246940081 52.38043223170844)
05770000000801029;Finkenweg;POINT (8.63529414050754 52.37620494285929)
05770000000801030;Fontaneweg;POINT (8.639183318704035 52.37719281674731)
05770000000801031;Friedeberger Weg;POINT (8.60562486773073 52.379881124832956)
05770000000801032;Frotheimer Weg;POINT (8.642115906575286 52.37880593858177)
05770000000801033;Fuchsweg;POINT (8.633076228428342 52.38216092352512)
05770000000801034;Gabelhorst;POINT (8.611340688637423 52.378420762681415)
05770000000801035;Gubener Straße;POINT (8.618473715254535 52.37660443365826)
05770000000801036;Glatzer Weg;POINT (8.611693111762241 52.33716656827667)
05770000000801037;Görlitzer Straße;POINT (8.62702258029381 52.37614693666947)
05770000000801038;Graudenzer Weg;POINT (8.614955865257556 52.37595096555865)
05770000000801039;Greifswalder Straße;POINT (8.632213563700573 52.38560604060062)
05770000000801040;Habelschwerdter Hof;POINT (8.627807208503935 52.37466998954403)
05770000000801041;Hedrichsdorf;POINT (8.615214654375658 52.38149507339347)
05770000000801042;Hindenburgring;POINT (8.629810404108493 52.37079831032735)
05770000000801043;Hirschberger Weg;POINT (8.633982287996018 52.37484747757247)
05770000000801044;Hohensteiner Straße;POINT (8.608448101953423 52.38142482610944)
05770000000801045;Humboldtweg;POINT (8.640156187471952 52.378006377184285)
05770000000801046;Im Walde;POINT (8.620750694032449 52.37401012779658)
05770000000801047;In der Schnat;POINT (8.602577421358108 52.3796898237296)
05770000000801048;Insterburger Straße;POINT (8.622737690734342 52.381040124691985)
05770000000801049;Isenstedter Straße;POINT (8.631073433396933 52.381551675185044)
05770000000801050;Kantstraße;POINT (8.634589496910698 52.379035416097736)
05770000000801051;Kiefernweg;POINT (8.612217646273132 52.37929231629696)
05770000000801052;Königsberger Straße;POINT (8.624070234845062 52.38440702136982)
05770000000801053;Kolberger Straße;POINT (8.632787832529687 52.38755034849673)
05770000000801054;Koloniestraße;POINT (8.601701990325623 52.38058565948834)
05770000000801055;Lange Horst;POINT (8.619951626029602 52.37179363907116)
05770000000801056;Lauenburger Straße;POINT (8.63627306887098 52.38236301878324)
05770000000801057;Leipziger Straße;POINT (8.641322511717119 52.38805201022467)
05770000000801058;Lessingstraße;POINT (8.616829397089138 52.374596468558245)
05770000000801059;Liegnitzer Weg;POINT (8.601199323849066 52.380234587511595)
05770000000801060;Lindenhof;POINT (8.612757709298082 52.381354162428586)
05770000000801061;Ludwig-Richter-Weg;POINT (8.617150917985496 52.376297340767415)
05770000000801062;Märkische Straße;POINT (8.636832943062059 52.373075895606895)
05770000000801063;Marienburger Straße;POINT (8.618877462375519 52.3789778341624)
05770000000801064;Marienwerder Straße;POINT (8.622590247915662 52.38032815181982)
05770000000801065;Masurenweg;POINT (8.623244307462418 52.38213746631405)
05770000000801066;Meisenweg;POINT (8.637292368966751 52.37785837139178)
05770000000801067;Memeler Straße;POINT (8.625201191080587 52.38243851914659)
05770000000801068;Mittelgang;POINT (8.621293956176496 52.37572158945508)
05770000000801069;Mozartstraße;POINT (8.618591597402004 52.37301069907823)
05770000000801070;Neidenburger Weg;POINT (8.602617882486546 52.38336847456429)
05770000000801071;Neißer Straße;POINT (8.629301048314018 52.374655948001234)
05770000000801072;Oppelner Weg;POINT (8.628626560264335 52.37211338575115)
05770000000801073;Ostlandstraße;POINT (8.619874551845443 52.3767009910327)
05770000000801074;Pillauer Weg;
05770000000801075;Polziner Weg;POINT (8.605086470665626 52.382259570254476)
05770000000801076;Posener Weg;POINT (8.617302163562954 52.37665974041255)
05770000000801077;Potsdamer Straße;POINT (8.637008379459171 52.3772104496857)
05770000000801078;Prenzlauer Weg;POINT (8.633336164594388 52.38179323977195)
05770000000801079;Preußeneck;POINT (8.61533478500228 52.37716079218818)
05770000000801080;Pyritzer Straße;POINT (8.633167276729363 52.384787891467646)
05770000000801081;Rahdener Straße;POINT (8.621616148619145 52.3767495713448)
05770000000801082;Rathausstraße;POINT (8.627301643442772 52.37697100763171)
05770000000801083;Ratzenburger Straße;POINT (8.607584449395375 52.39321424452564)
05770000000801084;Reichenbacher Hof;POINT (8.624954143221604 52.37456602311577)
05770000000801085;Riesebach;POINT (8.640837472102687 52.37191421530926)
05770000000801086;Rügenstraße;POINT (8.631082517256335 52.385661780971986)
05770000000801087;Samlandweg;POINT (8.620634626651812 52.38379596185146)
05770000000801088;Schillerstraße;POINT (8.619784145772957 52.3736069391693)
05770000000801089;Schweidnitzer Weg;POINT (8.632456242892752 52.376365684927435)
05770000000801090;Schweriner Straße;POINT (8.640960753104808 52.38258501075602)
05770000000801091;Stargarder Straße;POINT (8.632510979897724 52.383621018642955)
05770000000801093;Steinweg;POINT (8.620796163717248 52.37544494018869)
05770000000801094;Stettiner Straße;POINT (8.633350752771968 52.38522173577948)
05770000000801095;Stolper Weg;POINT (8.637607635038096 52.38025521424191)
05770000000801096;Stralsunder Straße;POINT (8.631336116672035 52.38436948965112)
05770000000801097;Tannenbergplatz;POINT (8.603717916530073 52.38138174087405)
05770000000801098;Thorner Weg;POINT (8.61438206415731 52.377136074859344)
05770000000801099;Tilsiter Weg;POINT (8.628929805330639 52.37798526076617)
05770000000801100;Trakehner Straße;POINT (8.62822538751837 52.382314723431726)
05770000000801101;Ulmenweg;POINT (8.608861872066877 52.38146585276698)
05770000000801102;Waldenburger Hof;POINT (8.623172959203776 52.374744473006146)
05770000000801103;Weichselgasse;POINT (8.631597973820313 52.3833542180484)
05770000000801104;Wilhelm-Kern-Platz;POINT (8.629446087293955 52.37631169392492)
05770000000801105;An der Feuerwache;POINT (8.622699126476437 52.37314546904412)
05770000000801106;Bussardweg;POINT (8.602698683861702 52.385169699010575)
05770000000801107;Dr.-Erich-Naue-Straße;POINT (8.608038986183258 52.39153899591417)
05770000000801108;Falkenweg;POINT (8.602225404908113 52.38586459541457)
05770000000801109;General-Bishop-Straße;POINT (8.629472565540215 52.388248915439014)
05770000000801110;Platanenring;POINT (8.60927657092991 52.38760295371619)
05770000000801111;Sperberweg;POINT (8.597000439682045 52.38527121414143)
05770000000801112;Von-dem-Bussche-Münch-Straße;POINT (8.62480690596536 52.39130782267911)
05770000000801113;Fritz-Souchon-Straße;POINT (8.625279189438466 52.39034323834975)
05770000000801114;Dr.-Max-Ilgner-Straße;POINT (8.620414401209823 52.3855054663379)
05770000000801115;Fasanenweg;POINT (8.597727474309965 52.385125078805814)
05770000000801116;Spechtstraße;POINT (8.599108361373997 52.384443162268376)
05770000000801117;August-Skirde-Weg;POINT (8.633013172246644 52.388171089946766)
05770000000801118;Eichenweg;POINT (8.609700519601907 52.38714961889469)
05770000000801119;Jenaer Weg;POINT (8.64019524883229 52.383457684416655)
05770000000801120;Weimarer Weg;POINT (8.637151175984995 52.38423716267609)
05770000000801121;Kastanienweg;POINT (8.609266418995231 52.384034667290884)
05770000000801122;Akazienweg;POINT (8.607119495781436 52.38521319014303)
05770000000801123;Espenweg;POINT (8.608189765027312 52.38524008158885)
05770000000801124;Ludwig-Steil-Straße;POINT (8.61923384966377 52.38084648314473)
05770000000801125;Eibenring;POINT (8.605663753823716 52.38553278021919)
05770000000801126;Zedernweg;POINT (8.603985341799053 52.383740870996405)
05770000000801127;Allensteiner Weg;POINT (8.604974098005318 52.38349508166132)
05770000000801128;Karlsbader Straße;POINT (8.600213232366274 52.380160169133006)
05770000000801130;In der Tütenbeke;POINT (8.621393336230712 52.390061567225345)
05770000000801131;Lübbecker Straße;POINT (8.617197996420769 52.354396875472)
05770000000801132;Holunderweg;POINT (8.604954508320898 52.38918107069945)
05770000000801133;Jasminweg;POINT (8.604614028684763 52.38861982942138)
05770000000801134;Schüsselbruchweg;POINT (8.632355908322266 52.369379769752804)
05770000000801136;Laubenweg;POINT (8.621028077451404 52.370740233343334)
05770000000801137;Schüsselbruch;POINT (8.617637399868828 52.36944702415108)
05770000000801138;Sonnenweg;POINT (8.621538507723853 52.36890495087717)
05770000000801139;Karl-Arnold-Straße;POINT (8.617019070500486 52.39401066474045)
05770000000801140;Eugen-Gerstenmaier-Straße;POINT (8.613746960839912 52.391073730962866)
05770000000801141;Föhrenweg;POINT (8.606168258084193 52.38726982001749)
05770000000801142;Glatzer Garten;POINT (8.633429446504799 52.37439657541643)
05770000000801143;Haselweg;POINT (8.603279421613193 52.38756664369184)
05770000000801144;Angermünder Weg;POINT (8.607345062562054 52.377942670827565)
05770000000801145;Rotdornstraße;POINT (8.602963813193078 52.38820365209134)
05770000000801146;Weißdornstraße;POINT (8.598534777965304 52.387613585255316)
05770000000801147;Schlehenweg;POINT (8.603002796313945 52.38696539770447)
05770000000801148;Torgelower Weg;POINT (8.605031656925444 52.37843609895645)
