strassenschluessel;bezeichnung;geometry
05113000000000001;Aachener Str.;POINT (6.970592143721787 51.4468607886234)
05113000000000002;Abteistr.;POINT (7.002021607215712 51.387737623985515)
05113000000000003;Achenbachhang;POINT (6.9822007210358 51.43574901082095)
05113000000000004;Achtermbergbredde;POINT (7.079781129585364 51.4824890727313)
05113000000000005;Achternbergstr.;POINT (7.084767330956004 51.48330259150526)
05113000000000006;Achthausen;POINT (7.046941356825028 51.46107232161332)
05113000000000007;Achtmorgenfeld;POINT (7.062293007636975 51.472704846012384)
05113000000000008;Ackerstr.;POINT (6.935168143878401 51.47720961791612)
05113000000000009;Adelgundenweg;POINT (7.047931735624804 51.43420465995995)
05113000000000010;Adelkampstr.;POINT (6.965179079181467 51.44050654591723)
05113000000000011;Gathmannweg;POINT (7.104836256366377 51.45747751207743)
05113000000000012;Admiral-Scheer-Str.;POINT (7.008936822595995 51.44361522998345)
05113000000000013;Adolf-Rath-Str.;POINT (6.975279232755947 51.42813101199186)
05113000000000014;Adolf-Schmidt-Str.;POINT (6.985806071607028 51.44383592323576)
05113000000000015;Adolfstr.;POINT (7.005264422587452 51.44008919838696)
05113000000000016;Äbtissinsteig;POINT (7.072705922484617 51.453345643626825)
05113000000000017;Ägidiusstr.;POINT (7.017761095948553 51.41605305042049)
05113000000000018;Ägirstr.;POINT (7.0016407501912905 51.50370604548334)
05113000000000019;Agnesstr.;POINT (7.0265536463639275 51.43748878021849)
05113000000000020;Ahestr.;POINT (7.076299177962066 51.44821173994517)
05113000000000021;Ahnewinkelstr.;POINT (7.011859510055681 51.52306186017263)
05113000000000022;Ahornstr.;POINT (7.024916155873297 51.42196979757554)
05113000000000023;Ahornzweig;POINT (7.024070164490551 51.42296844728118)
05113000000000024;Ahrfeldstr.;POINT (7.0456937358377365 51.44136707243576)
05113000000000025;Akazienallee;POINT (7.014093539684165 51.45394351177748)
05113000000000026;Akstr.;
05113000000000027;Aktienstr.;POINT (6.92906443124525 51.46102084274487)
05113000000000028;Albermannstr.;POINT (7.00701956580938 51.38518685517466)
05113000000000029;Aisthang;POINT (7.100674742201127 51.44293245967433)
05113000000000030;Albrechtstr.;POINT (6.998420000226269 51.4403480058913)
05113000000000031;Aldegreverstr.;POINT (6.992652249475253 51.44089443598667)
05113000000000032;Alexanderstr.;POINT (6.998892359076822 51.439868739617)
05113000000000033;Alfrediquelle;POINT (7.021891870570973 51.456334574345725)
05113000000000034;Alfredistr.;POINT (7.017922367196491 51.45659293631241)
05113000000000035;Alfred-Pott-Weg;POINT (6.978711692683838 51.41088675152734)
05113000000000036;Alfredstr.;POINT (7.000202454760072 51.427875475726815)
05113000000000037;Alinenhöhe;POINT (7.029590469226543 51.38710019401646)
05113000000000038;Allbauweg;POINT (7.044685863812114 51.45392238464437)
05113000000000039;Alleestr.;POINT (7.107259534781579 51.45280182072512)
05113000000000040;Allerstr.;POINT (7.033857435755326 51.43579232141764)
05113000000000041;Almastr.;POINT (7.007312131052187 51.44031423644206)
05113000000000042;Aloisstr.;POINT (7.02744510941073 51.38738873916253)
05113000000000043;Alsenplatz;POINT (7.035780075465121 51.44710988637391)
05113000000000044;Alte Eichen;POINT (7.052708264861915 51.42231555265979)
05113000000000045;Alte Kirchstr.;POINT (7.053172456139101 51.49886924153236)
05113000000000046;Alte Landstr.;POINT (7.0092472267617545 51.52831652776162)
05113000000000047;Altenau;POINT (6.971660063992603 51.42814154529182)
05113000000000048;Altenbergmühle;POINT (7.004955537438378 51.46939321827097)
05113000000000049;Altenbergstr.;POINT (7.013601442948452 51.47001171900867)
05113000000000050;Altendorfer Str.;POINT (6.987117667152735 51.45919128147526)
05113000000000051;Altendorfplatz;POINT (6.9814677721533895 51.44897933988861)
05113000000000052;Altenessener Markt;
05113000000000053;Altenessener Str.;POINT (7.008436473300853 51.48879375267578)
