strassenschluessel;bezeichnung;geometry
05366000001601001;Aachener Straße;POINT (6.775962358408808 50.66183631242392)
05366000001601002;Ahornweg;POINT (6.772230645655092 50.650853065800135)
05366000001601003;Ahrstraße;POINT (6.780193770858279 50.65766158765784)
05366000001601004;Akazienweg;POINT (6.7701343984860785 50.651590608901266)
05366000001601005;Albrecht-Dürer-Straße;POINT (6.815446241498643 50.656861808384946)
05366000001601006;Alleestraße;POINT (6.7877191639023735 50.65715180346025)
05366000001601007;Am Bollwerk;POINT (6.790899076990106 50.66134092870487)
05366000001601008;Am Erlenhof;POINT (6.806049868812942 50.674482842416495)
05366000001601009;Philipp-Reis-Straße;POINT (6.790311056311745 50.6509809060137)
05366000001601010;Am Fuchspfad;POINT (6.7907883714898425 50.65458445049219)
05366000001601011;Am Kahlenturm;POINT (6.791442193296261 50.66234856327163)
05366000001601012;Am Marienpütz;POINT (6.79306902627464 50.67164139747151)
05366000001601013;Alter Markt;POINT (6.787059536315273 50.661535950737424)
05366000001601014;Am Ratsheimer Hof;
05366000001601016;Am Schwalbenberg;POINT (6.797546065777293 50.6643763262854)
05366000001601017;An der Vogelrute;POINT (6.797104055849105 50.65527873299321)
05366000001601018;An den Kapuzinern;POINT (6.788851087380008 50.66006931897771)
05366000001601019;Salamanderweg;POINT (6.765276517795112 50.63832737549315)
05366000001601020;Annaturmplatz;POINT (6.785169071453515 50.66266877468852)
05366000001601021;Annaturmstraße;POINT (6.786236185059913 50.6620485895396)
05366000001601022;Appelsgarten;POINT (6.810051542666194 50.66246179480731)
05366000001601023;Augenbroicher Straße;POINT (6.786733901431765 50.654992514677566)
05366000001601024;Albert-Schweitzer-Straße;POINT (6.785001026873565 50.64547531771798)
05366000001601025;Alte Gerberstraße;POINT (6.785982139574263 50.658233084328025)
05366000001601026;An der Katzenhecke;POINT (6.760737496766009 50.65880137312236)
05366000001601027;Am Dachsbusch;POINT (6.765926703826442 50.6353977190453)
05366000001601028;Angelika-Kauffmann-Straße;POINT (6.808596719738224 50.66576288866312)
05366000001601029;Albrecht-Altdorfer-Straße;POINT (6.811877148759998 50.6642195074557)
05366000001601030;August-Macke-Straße;POINT (6.809375553662416 50.66456138942512)
05366000001601031;Arnstädter Platz;POINT (6.770788489528371 50.66415573143896)
05366000001601032;Am Mitbach;POINT (6.779329203093949 50.64841833731124)
05366000001601033;Agnes-Deutschbein-Straße;POINT (6.79386807208229 50.664256525930874)
05366000001601034;An der Flutsch;
05366000001601035;Bahnhofstraße;POINT (6.790758433220662 50.659646175399125)
05366000001601036;Baumstraße;POINT (6.788043457170406 50.6621874070584)
05366000001601037;Asselbornstraße;POINT (6.787643733268107 50.64891437246482)
05366000001601038;Behringstraße;POINT (6.779304145459322 50.66713692201229)
05366000001601039;Bendengasse;POINT (6.783513383492917 50.65968428871868)
05366000001601040;Bendenstraße;POINT (6.782855814975193 50.65941070535328)
05366000001601041;Johannesbergstraße;POINT (6.791133748503193 50.65694695962901)
05366000001601042;Bergerstraße;POINT (6.782167762971686 50.664288452510895)
05366000001601043;Billiger Straße;POINT (6.787055798394531 50.65341201849535)
05366000001601044;Berliner Straße;POINT (6.788966361080449 50.66146378521221)
05366000001601045;Birkenplatz;POINT (6.771501419686177 50.651655274933844)
05366000001601046;Bischofstraße;POINT (6.78553836676726 50.66115516746968)
05366000001601047;Bismarckstraße;POINT (6.7861130650929375 50.64996957767865)
05366000001601048;Bleigasse;POINT (6.786070949732611 50.66002042788355)
05366000001601049;Bodenheimer Straße;POINT (6.794342093045328 50.67690645627367)
05366000001601050;Boenerstraße;POINT (6.789918422444219 50.647185801248696)
05366000001601051;Bonner Straße;POINT (6.810238365412849 50.65877369960852)
05366000001601052;Borgmannstraße;POINT (6.795315044439329 50.664913620626535)
05366000001601053;Breslauer Straße;POINT (6.777946318519403 50.66516857667843)
05366000001601054;Buchenweg;POINT (6.7727057056314255 50.65108023694219)
05366000001601055;Kessenicher Burgstraße;POINT (6.796890233412254 50.682948660459026)
05366000001601056;Breite Straße;POINT (6.792136913241734 50.661949180199656)
05366000001601057;Brandenburger Straße;POINT (6.774061950811814 50.66724245037228)
05366000001601058;Basingstoker Ring;POINT (6.778997611215899 50.65559146584722)
05366000001601059;Broichstraße;POINT (6.804719833726992 50.66628770362171)
05366000001601060;An der Erftbastei;POINT (6.804410975974504 50.66498358122255)
05366000001601061;Antoniusweg;
05366000001601063;An der Malzfabrik;POINT (6.785663316570465 50.655656413496)
05366000001601064;Am Dölkenbroich;
05366000001601065;Carmanstraße;POINT (6.78462445779217 50.6659625514416)
05366000001601066;Charleviller Platz;POINT (6.7821781633918565 50.666172064949365)
05366000001601067;Chlodwigstraße;POINT (6.780606292309551 50.66110123234529)
05366000001601068;Carl-Benz-Straße;POINT (6.808508692049052 50.65132877352169)
05366000001601069;Carl-Spitzweg-Straße;POINT (6.808776878582078 50.66360187830813)
05366000001601084;Disternicher Auel;POINT (6.7755803761171185 50.64885127406552)
05366000001601085;Danziger Straße;POINT (6.7800652841581766 50.66243310502591)
05366000001601086;Dechant-Vogt-Straße;POINT (6.783701341120593 50.66166389492227)
05366000001601087;Disternicher Torwall;POINT (6.787801051079896 50.658700969903244)
05366000001601088;Dr.-Doetsch-Straße;POINT (6.787686545671951 50.67138333081993)
