strassenschluessel;bezeichnung;geometry
05570000002422482;Ahornweg;
05570000002422485;Alter Hof;POINT (7.807349633413974 51.91102908598886)
05570000002422495;Alverskirchener Straße;POINT (7.843942614765185 51.92458121343136)
05570000002422500;Am Bohnenkamp;POINT (7.805712317250183 51.91276432570153)
05570000002422505;Am Breiten Busch;POINT (7.806848121115194 51.91466982711921)
05570000002422508;Am Feuerwehrhaus;POINT (7.843505775670083 51.92760773502492)
05570000002422510;Am Haus Borg;POINT (7.842740330153478 51.919881816229186)
05570000002422515;Am Haus Langen;POINT (7.855955047208287 51.9257591838278)
05570000002422516;Am Magnusplatz;POINT (7.846444342990131 51.92527771138716)
05570000002422518;Am Steinbusch;POINT (7.854908459685093 51.91991843834877)
05570000002422519;Am Vinckenbusch;POINT (7.815172712693534 51.91290209804351)
05570000002422520;Am Wittkamp;POINT (7.804932334280123 51.912048295931584)
05570000002422522;Anne-Frank-Straße;POINT (7.84170772636986 51.92963122615031)
05570000002422525;Auf dem Esch;POINT (7.849301727902745 51.926083490214054)
05570000002422527;Auf dem Knapp;POINT (7.841175686860814 51.91764951720506)
05570000002422528;Azaleenstraße;POINT (7.85276040208569 51.916247352571595)
05570000002422530;Bahnhofstraße;POINT (7.850536289481611 51.928866661680836)
05570000002422535;Bergstraße;POINT (7.848942589154422 51.923353924668305)
05570000002422540;Bergkamp;POINT (7.813051858234226 51.91290252341537)
05570000002422545;Birkenweg;POINT (7.840100162853173 51.917531096564275)
05570000002422550;Bodelschwinghstraße;POINT (7.850041788597524 51.92163894650619)
05570000002422553;Bonhoefferstraße;POINT (7.839446628762559 51.929419386772)
05570000002422555;Boschweg;POINT (7.858495575723037 51.926597957201636)
05570000002422560;Breede;POINT (7.849755333779451 51.929150168625455)
05570000002422565;Brückhausenstraße;POINT (7.8047387892319975 51.910641255270455)
05570000002422566;Brinkhuesstraße;POINT (7.836955380558543 51.92916733983179)
05570000002422567;Brinkgarten;POINT (7.8105512568464475 51.911022850443565)
05570000002422568;Brunnenstraße;POINT (7.847454527091842 51.926803359334336)
05570000002422569;Buckstraße;POINT (7.851806140224583 51.91902452664873)
05570000002422570;Buschstraße;POINT (7.847374593692902 51.92809946621765)
05570000002422572;Claasstraße;
05570000002422573;Dahlienweg;POINT (7.85295387879802 51.918590826548304)
05570000002422575;Deckenbrockstraße;POINT (7.846774559684921 51.91838671371363)
05570000002422580;Diekamp;POINT (7.842548270577421 51.92278941166148)
05570000002422585;Dr.-Franz-Große-Weg;POINT (7.841432661649233 51.92738743096828)
05570000002422590;Drolshagenstraße;POINT (7.843931644354276 51.91821233426733)
05570000002422595;Droste-Hülshoff-Straße;POINT (7.853066562747315 51.92461382557975)
05570000002422597;Dr.-Pöllmann-Straße;POINT (7.846176399702479 51.92455473941614)
05570000002422600;Eichendorffstraße;POINT (7.8548920427521605 51.92775914863464)
05570000002422610;Elsa-Brandström-Straße;POINT (7.851800847397483 51.92391841879446)
05570000002422612;Erlengrund;POINT (7.838970522786788 51.91596133150317)
05570000002422614;Ernst-Tertilt-Straße;POINT (7.812309960519056 51.91013015390652)
05570000002422615;Erter;POINT (7.87908269467439 51.935223821911265)
05570000002422620;Evener;POINT (7.831807107199691 51.902262146948004)
05570000002422625;Everswinkeler Straße;POINT (7.813353740799891 51.915119287150375)
05570000002422628;Fliederweg;POINT (7.854823716997023 51.91753764173914)
05570000002422630;Franz-Wieber-Straße;POINT (7.843698830843873 51.93016937817791)
05570000002422635;Freckenhorster Straße;POINT (7.869988497334348 51.92795461382828)
05570000002422640;Gartenstraße;POINT (7.850171724652682 51.92956660494418)
05570000002422642;Geschwister-Scholl-Platz;POINT (7.840080923522377 51.92799107977331)
05570000002422645;Görresstraße;POINT (7.846507057273204 51.92032108986294)
05570000002422650;Goethestraße;POINT (7.854635604319798 51.92499302613189)
05570000002422655;Graf-Droste-Straße;POINT (7.85572164787127 51.92743106026863)
05570000002422656;Große Kamp;POINT (7.801300155778575 51.91232042460801)
05570000002422657;Grothues;POINT (7.85347459615985 51.93268721142889)
05570000002422660;Grüner Weg;POINT (7.811306443198149 51.91275164378093)
05570000002422664;Guntermannstraße;POINT (7.85127952363808 51.92012398650981)
05570000002422665;Günther-Claas-Straße;POINT (7.880475059180886 51.96466197540191)
05570000002422667;Haselweg;POINT (7.839811069043 51.91820510215635)
05570000002422670;Hauptstraße;POINT (7.804813996689961 51.911616488443514)
05570000002422672;Heckenweg;POINT (7.842898260739465 51.917302406930524)
05570000002422680;Heinrich-Brüning-Straße;POINT (7.842465299825723 51.929908315637846)
05570000002422683;Helmkenstraße;POINT (7.850544132569551 51.91995056294145)
05570000002422684;Hengenstraße;POINT (7.84776491818573 51.918706503649545)
05570000002422685;Hillgenstohl;POINT (7.839195981554337 51.92836885608061)
05570000002422687;Hoetmarer Straße;POINT (7.8511426092400285 51.92065287063767)
05570000002422690;Holling;POINT (7.803094972010089 51.889555905414745)
05570000002422692;Holunderweg;POINT (7.840814586016646 51.919307019187706)
05570000002422695;Horststraße;POINT (7.85276969429646 51.927745361047485)
05570000002422697;Hortensienweg;POINT (7.852534592554164 51.916736186989624)
05570000002422700;Hovestraße;POINT (7.847938345914564 51.92728898833665)
05570000002422705;Johann-Bernhard-Straße;POINT (7.847038628223007 51.92352291573886)
05570000002422707;Kamenzstraße;POINT (7.85184936288897 51.918016559002126)
05570000002422710;Kantstraße;POINT (7.854176246407975 51.928374466538855)
05570000002422715;Kettelerstraße;POINT (7.846833218907135 51.91978662921882)
05570000002422720;Kirchplatz;POINT (7.844719180153128 51.92547068933452)
05570000002422730;Kleikamp;POINT (7.81115717051766 51.91543804343442)
05570000002422735;Kolpingstraße;POINT (7.854227761574232 51.923080996724494)
05570000002422736;Königskamp;POINT (7.805509275479501 51.91528913512654)
05570000002422737;Kreuzhagestraße;POINT (7.849902837598095 51.92070197713947)
05570000002422740;Krummes Land;POINT (7.8398787804335655 51.92579242564751)
05570000002422743;Krüzkamp;POINT (7.85040174552799 51.927474866107744)
05570000002422744;Leineweberstraße;POINT (7.8477294815539 51.922478024884974)
05570000002422745;Ludwig-Gausebeck-Straße;POINT (7.850610416141357 51.930687363666244)
05570000002422747;Lepperstraße;POINT (7.851242842739703 51.91945493871978)
05570000002422755;Mehringen;POINT (7.888642721695112 51.92262615999507)
05570000002422757;Möllenkamp;POINT (7.849649706042454 51.91951673281247)
05570000002422760;Mönnigweg;POINT (7.8522282824148775 51.92978636821773)
05570000002422765;Mörikestraße;POINT (7.856329206143694 51.92379244025539)
05570000002422770;Mühlenstraße;POINT (7.845029517860574 51.92965100859167)
05570000002422775;Münsterstraße;POINT (7.8378295370099655 51.926384325510405)
05570000002422780;Müssingen;POINT (7.8765037422871895 51.9600202133063)
05570000002422785;Musenstiege;POINT (7.850173283145503 51.92905892415641)
05570000002422787;Mutter-Teresa-Straße;POINT (7.842910539087637 51.92853751444302)
05570000002422790;Nelly-Sachs-Straße;POINT (7.850588264803541 51.92203885878643)
05570000002422795;Neustraße;POINT (7.810382831375596 51.91299777065865)
05570000002422798;Niehuesstraße;POINT (7.83808926730354 51.92905814160611)
05570000002422800;Nienkamp;POINT (7.846636061583755 51.92798791261858)
05570000002422803;Nipperstraße;POINT (7.851484538890045 51.91835723071311)
05570000002422805;Nordstraße;POINT (7.8440290093289615 51.92545933661135)
05570000002422807;Otto-Wels-Straße;POINT (7.842381406711262 51.9280837885076)
05570000002422810;Overbergstraße;POINT (7.844309178327615 51.92309558500835)
05570000002422811;Overnkamp;POINT (7.836939489924516 51.92652969379633)
05570000002422813;Pater-Averberg-Straße;POINT (7.839444291676926 51.92692158546922)
05570000002422815;Pattkamp;POINT (7.853653118524295 51.92944159110958)
05570000002422816;Peter-Panzer-Straße;POINT (7.849110183923572 51.91833408251015)
05570000002422817;Pfarrer-Jaegers-Straße;POINT (7.840108735677806 51.92770377840479)
05570000002422818;Pfarrer-Marx-Straße;POINT (7.838712914959828 51.92793447691331)
05570000002422820;Püning;POINT (7.796716440858109 51.93707608607258)
05570000002422823;Anton-Holz-Straße;POINT (7.849199131037889 51.920654682024896)
05570000002422825;Raiffeisenstraße;POINT (7.844807661557193 51.92207760386089)
05570000002422826;Rott;POINT (7.867296558004949 51.925897526746084)
05570000002422827;Rottkamp;POINT (7.806950081136903 51.9107232076445)
05570000002422828;Rosenstraße;POINT (7.852723653646303 51.91741749189454)
05570000002422830;Schulze-Delitzsch-Straße;POINT (7.843866070235052 51.921058674579136)
05570000002422835;Schillerstraße;POINT (7.854264694179465 51.92443133170513)
05570000002422837;Schlehenweg;POINT (7.8447009799145535 51.917434074486565)
05570000002422839;Schmaler Kamp;POINT (7.844831294315392 51.92790745408334)
05570000002422845;Schorlemerstraße;POINT (7.846590963144467 51.922715210227764)
05570000002422848;Schürmannstraße;POINT (7.838592198055188 51.92737062413286)
05570000002422850;Schützenstraße;POINT (7.808637747098847 51.913263055858394)
05570000002422855;Schuter;POINT (7.827763448637144 51.914667550919624)
05570000002422856;Sendenhorster Straße;POINT (7.847673991883053 51.92090318472642)
05570000002422857;Spiekerweg;POINT (7.847066260509724 51.92536797425228)
05570000002422858;St.-Agatha-Platz;POINT (7.80903185581274 51.912810453495965)
05570000002422860;Telgter Straße;POINT (7.8097004550145686 51.91665117006302)
05570000002422865;Thiemannskamp;POINT (7.842587445990608 51.92051776662384)
05570000002422870;Uhlandstraße;POINT (7.855668485302958 51.924565357019304)
05570000002422875;Versmar;POINT (7.797911295895057 51.940795877197104)
05570000002422880;Vinckenweg;POINT (7.812836286701941 51.911668785139156)
05570000002422885;Vitusstraße;POINT (7.846217936668149 51.92513481117068)
05570000002422890;Vom-Stein-Straße;POINT (7.846446692323903 51.92136955623702)
05570000002422895;Von-Galen-Straße;POINT (7.8443594874378615 51.92289202557258)
05570000002422898;Von-Voss-Straße;POINT (7.836510742113012 51.929214197280196)
05570000002422900;Wagenfeldstraße;POINT (7.850668863012645 51.92555256466871)
05570000002422905;Warendorfer Straße;POINT (7.848834378053456 51.92621996122115)
05570000002422907;Weidengrund;
05570000002422910;Wester;POINT (7.821301445505415 51.91844449438539)
05570000002422915;Westerstraße;POINT (7.835393680165624 51.92889396837313)
05570000002422920;Wettendorf;POINT (7.791723102700195 51.93664109919101)
05570000002422925;Wibbeltstraße;POINT (7.852020741222627 51.92495600737527)
05570000002422930;Wiemstraße;POINT (7.807614533802567 51.91310674280372)
05570000002422935;Wieningen;POINT (7.871275256915324 51.90181032161679)
05570000002422940;Windthorststraße;POINT (7.843728946061342 51.92040769049756)
05570000002422942;Dr.-Wittrup-Straße;POINT (7.843831562988676 51.92391404947923)
05570000002422945;Worthstraße;POINT (7.843132954481019 51.9251961993092)
