strassenschluessel;bezeichnung;geometry
05766000002802600;Theodor-Storm-Straße;POINT (9.062419974682998 52.13368103788882)
05766000002802601;Ahornstraße;POINT (9.119230471324808 52.06756364438047)
05766000002802602;Am Bahnhof;POINT (9.11021120859154 52.06983677910093)
05766000002802603;Am Meinenkamp;POINT (9.12885658957592 52.064479609961694)
05766000002802604;Am Scharbker Bach;POINT (9.123335604812796 52.065932775763066)
05766000002802605;An den Eichen;POINT (9.11494094187242 52.073757838987774)
05766000002802606;An der Bache;POINT (9.134133583176162 52.06931245177598)
05766000002802607;Auf den Stücken;POINT (9.132723319564391 52.06515572991459)
05766000002802608;Bahnhofstraße;POINT (9.111300217860135 52.06917166423813)
05766000002802609;Bergstraße;POINT (9.121706768301728 52.07167411569389)
05766000002802610;Berliner Weg;POINT (9.118621981284658 52.06953343604998)
05766000002802611;Birkenstraße;POINT (9.11956615561145 52.06707305072826)
05766000002802612;Birkhahnweg;POINT (9.11194040205126 52.076325446814145)
05766000002802613;Breslauer Straße;POINT (9.10739826835715 52.069282500052864)
05766000002802614;Bruchstraße;POINT (9.114084179486179 52.073657883880756)
05766000002802615;Bruchweg;POINT (9.114078954606198 52.07166509370764)
05766000002802616;Buchenstraße;POINT (9.119044169348353 52.06702344603929)
05766000002802617;Dachsweg;POINT (9.111995455441383 52.07539839331464)
05766000002802618;Drosselweg;POINT (9.118027964110674 52.07311143910105)
05766000002802619;Eichholz;POINT (9.144561110230208 52.066270878317994)
05766000002802620;Erlenstraße;POINT (9.121750057641789 52.06661604840647)
05766000002802621;Eschenstraße;POINT (9.12122470269771 52.06605936326308)
05766000002802622;Eulenweg;POINT (9.11137369023629 52.07589239108414)
05766000002802623;Fahrenplatz;POINT (9.10649110626036 52.07423186119233)
05766000002802624;Falkenweg;POINT (9.11149899754636 52.07653581038771)
05766000002802625;Fasanenweg;POINT (9.111484111164225 52.075609039078564)
05766000002802626;Friedrich-Linnemann-Straße;POINT (9.130169527781918 52.06730102855298)
05766000002802627;Gartenstraße;POINT (9.12152525003157 52.06775413671538)
05766000002802628;Gerbergasse;POINT (9.125111893090109 52.06753466655295)
