strassenschluessel;bezeichnung;geometry
05970000001603001;Äckertstal;POINT (7.9386148360074245 50.899824088146396)
05970000001603002;Am Alcher Berg;POINT (7.935146610768556 50.901079136953165)
05970000001603003;Amboßweg;POINT (7.935103402702032 50.906978982324084)
05970000001603004;Am Nöchel;POINT (7.9452329231035 50.900938362055136)
05970000001603005;Am Schulwald;POINT (7.947721145427499 50.90463837996548)
05970000001603007;Arnsbacher Weg;POINT (7.947880376183979 50.89559775900517)
05970000001603008;Auf der Nörr;POINT (7.935499734427178 50.903169976022234)
05970000001603009;Auf'm Berg;POINT (7.936854216085558 50.90732424352734)
05970000001603010;Bruchsgarten;POINT (7.9431181211677835 50.8965434007568)
05970000001603011;Bühler Straße;POINT (7.939996947269283 50.90215044649491)
05970000001603012;Eckenweg;POINT (7.933546045446603 50.90787943148528)
05970000001603013;Eichenweg;POINT (7.937619075342759 50.901440698449505)
05970000001603014;Fahrseifen;POINT (7.936353279321925 50.90400544141176)
05970000001603015;Haubergsweg;POINT (7.949655565359929 50.90471367870381)
05970000001603016;Hinter der Ley;POINT (7.948421807317098 50.90022677599082)
05970000001603017;Hinter der Nörr;POINT (7.934808876906867 50.90310847561899)
05970000001603018;Hohe Ley;POINT (7.941446778321307 50.90163095759008)
05970000001603019;Hohler Weg;POINT (7.944862419149009 50.89807462113905)
05970000001603020;Im Boden;POINT (7.934288151644985 50.90410316548682)
05970000001603021;Im Elschetal;POINT (7.936814522327281 50.90139180844118)
05970000001603022;Im Mertenseifen;POINT (7.936600377702697 50.90697939882353)
05970000001603023;Im Seifen;POINT (7.948745716960505 50.904240823161146)
05970000001603024;In der Thalen;POINT (7.9454504208543595 50.89488097289794)
05970000001603027;Seelbacher Straße;POINT (7.94652514326171 50.89734983139294)
05970000001603030;Steinstücker Weg;POINT (7.940619006607595 50.90059391600867)
05970000001603031;Thalenweg;POINT (7.945498904716955 50.895823082965876)
05970000001603032;Vor der Nörr;POINT (7.93724726550421 50.90261322560967)
05970000001603033;Waldweg;POINT (7.948015137591358 50.90405413115983)
05970000001603034;Wiesenweg;POINT (7.944212143287111 50.90068850991065)
05970000001603035;Hochstraße;POINT (7.934886804343172 50.90080901012998)
05970000001603036;Mertenseifer Grund;POINT (7.935785940472832 50.90609734907846)
05970000001603037;Zur Alche;POINT (7.9382727757879685 50.905190704388026)
05970000001603038;Zur Weide;POINT (7.93821106541996 50.907405657754985)
05970000001603051;Am Bottenberger Wald;POINT (7.90142465375447 50.90377189897567)
05970000001603052;Bottenberger Straße;POINT (7.901657350297538 50.904972008039834)
05970000001603053;Heuslingstraße;POINT (7.897453722305295 50.9016363181332)
05970000001603054;Auf der Sang;POINT (7.896263467220979 50.901534088589315)
05970000001603055;Sommerwiese;POINT (7.896843882598915 50.902190559480104)
05970000001603071;Am Teich;POINT (7.9236167972480995 50.91659356583418)
05970000001603072;Am Thörchen;POINT (7.91975776434784 50.919440822491914)
