strassenschluessel;bezeichnung;geometry
05370000000809001;Am Bongert;POINT (5.997304877682917 50.98990956047117)
05370000000809002;Am Freibad;POINT (5.998270745854361 50.98594750658603)
05370000000809003;Freihof;POINT (5.996053991153419 50.99246979192169)
05370000000809004;Borheggenstraße;POINT (5.992387647639228 50.9911787377813)
05370000000809005;Bruchstraße;POINT (5.9950333365926465 50.99147110797681)
05370000000809006;Burgstraße;POINT (5.997418913209991 50.99244303320203)
05370000000809007;Frankenstraße;POINT (5.9978118702190555 50.992606083928365)
05370000000809008;Franz-Savels-Straße;POINT (5.988511109940131 50.987032857932604)
05370000000809009;Gangilusstraße;POINT (6.002308565886355 50.99711556866763)
05370000000809010;Hanxler Straße;POINT (5.999031431237546 50.9945236745429)
05370000000809011;Hastenrather Straße;POINT (5.991627593738621 50.99460743388374)
05370000000809012;Heinsberger Straße;POINT (5.9972740490196506 50.993289062221784)
05370000000809013;Hof Grootfeld;POINT (5.9910654258996905 50.99767392959652)
05370000000809014;Kirchstraße;POINT (5.995932540812854 50.99170726605339)
05370000000809015;Kritzraedtstraße;POINT (5.999869865002867 50.9947152156883)
05370000000809016;Lindenhof;
05370000000809017;Lindenstraße;POINT (5.999204928853202 50.99613796393639)
05370000000809018;Lohausstraße;POINT (5.99910482731467 50.98726316553407)
05370000000809019;Luisenring;POINT (6.005032126190173 50.99137612917673)
05370000000809020;Markt;POINT (5.996700227951704 50.99269029443533)
05370000000809021;Mercatorstraße;POINT (6.001736549026362 50.993081991653035)
05370000000809022;Schützengraben;POINT (5.9941072720580175 50.99434698892812)
05370000000809023;Sittarder Straße;POINT (5.985959041185796 50.992937334861956)
05370000000809024;Waldstraße;POINT (6.0042257198078435 50.98783865311314)
05370000000809025;Wallstraße;POINT (5.9952692265380945 50.993821144437845)
05370000000809026;Zum Schanzberg;POINT (6.00215139193298 50.98878066370537)
05370000000809027;Zur Dahlmühle;POINT (5.9927993733209854 50.987805764116246)
05370000000809028;Zur Mohrenmühle;POINT (6.004242766902671 50.98971242091043)
05370000000809029;Wolfsgasse;POINT (5.995852578484733 50.99495301464274)
05370000000809030;Bruchwiese;POINT (5.996486856062001 50.98967356775093)
05370000000809032;Hof Grünental;POINT (6.010622742512738 50.99798411807121)
05370000000809033;Don-Bosco-Weg;POINT (5.989978967167391 50.99354258748633)
05370000000809034;Buschweg;POINT (6.000542166438076 50.98791415017081)
05370000000809035;Pastor-Schleyer-Straße;POINT (6.000605173063123 50.99509817842152)
05370000000809036;Pastor-Fischenich-Straße;POINT (6.002990182808911 50.99731317898244)
05370000000809037;An der Weißdornhecke;POINT (6.00232108839399 50.99229432124)
05370000000809038;Einhardstraße;POINT (5.998331707310361 50.99594354477325)
05370000000809039;Dr.-von-den-Driesch-Straße;POINT (5.99603652085971 50.99621958613501)
05370000000809040;Martin-May-Straße;
05370000000809041;Raiffeisenstraße;POINT (5.9837059804430925 50.99172050395722)
05370000000809042;Johann-Conen-Straße;POINT (5.985839301544169 50.99148880346315)
