strassenschluessel;bezeichnung;geometry
05370000001204001;Aachener Straße;POINT (6.130008180197683 50.96137023254767)
05370000001204002;Adalbert-Stifter-Straße;POINT (6.116058750332688 50.969800497127544)
05370000001204003;Ahornweg;POINT (6.113939776192445 50.96876097348831)
05370000001204004;Akazienweg;POINT (6.114594105447124 50.96770674019292)
05370000001204005;Albrecht-Dürer-Straße;POINT (6.129768785653963 50.97235928296271)
05370000001204006;Alte Haihover Straße;POINT (6.122004521918676 50.96281451773078)
05370000001204007;Alte Poststraße;POINT (6.123690144681317 50.96223986811575)
05370000001204008;Am Alten Wasserwerk;POINT (6.142765173567788 50.97198864617187)
05370000001204009;Am Kirchberg;POINT (6.132589476930738 50.96531078053441)
05370000001204010;Am Mausberg;POINT (6.111488903257327 50.961791935258255)
05370000001204011;Am Pulverbusch;POINT (6.116356900632786 50.95447138331997)
05370000001204012;Amselweg;POINT (6.124332744416753 50.97162680437532)
05370000001204013;Am Sonnenhügel;POINT (6.111426776104724 50.960408184584374)
05370000001204014;Am Stadion;POINT (6.109528065607425 50.95821502169005)
05370000001204015;Am Weinberg;POINT (6.1241554274408365 50.97008654081286)
05370000001204016;Am Wiesenhang;POINT (6.131408098899992 50.96325078676793)
05370000001204017;An der Friedensburg;POINT (6.12637892263434 50.961307696803296)
05370000001204018;An der Linde;POINT (6.115251219036886 50.96622815655004)
05370000001204019;An der Vogelstange;POINT (6.122653665982948 50.967551484972915)
05370000001204020;Anemonenweg;POINT (6.120580903391305 50.972755290143304)
05370000001204021;An Frankenruh;POINT (6.116687866032437 50.962222552177906)
05370000001204022;An Merckenheim;POINT (6.1241168581696 50.96662290023312)
05370000001204023;An St. Marien;POINT (6.12215844388454 50.96448382642534)
05370000001204024;Arndtstraße;POINT (6.116015389935246 50.974520901241625)
05370000001204025;Asternweg;POINT (6.122986681674326 50.97306832571724)
05370000001204026;Auf dem Damm;
05370000001204027;Bachstraße;POINT (6.112301415398161 50.963288881224926)
05370000001204028;Bahnhofstraße;POINT (6.12410443671909 50.961104838562285)
05370000001204029;Bauchemer Gracht;POINT (6.108707439190705 50.96807684539366)
05370000001204030;Beamtenweg;POINT (6.118285279972032 50.961548808952465)
05370000001204031;Beethovenstraße;POINT (6.11476952556351 50.963768510304014)
05370000001204032;Berliner Ring;POINT (6.113693706573282 50.96912331077322)
05370000001204033;Blumenstraße;POINT (6.121559352829606 50.97393370228227)
05370000001204034;Brahmsstraße;POINT (6.112340863130754 50.96295427502718)
05370000001204035;Brechtstraße;POINT (6.11498361935921 50.97288014407941)
05370000001204036;Breill;
05370000001204037;Breslauer Straße;POINT (6.112340604563815 50.96489008180336)
05370000001204038;Brucknerstraße;POINT (6.115393742404695 50.96412617852151)
05370000001204039;Brüggerhof;POINT (6.145968482340238 50.982642686461695)
05370000001204040;Buchenweg;POINT (6.118214564624918 50.96956305802303)
05370000001204041;Camphausenweg;POINT (6.125671075462178 50.96558881649186)
05370000001204042;Dahlienweg;POINT (6.122183643620621 50.973784139323776)
05370000001204043;Dammweg;POINT (6.120168165189859 50.96014038696124)
05370000001204044;Dantestraße;POINT (6.118984677450875 50.974286624027386)
05370000001204045;Danziger Straße;POINT (6.109848577178163 50.96477599241727)
05370000001204046;Dohlenweg;POINT (6.121315925654199 50.97059840271017)
05370000001204047;Drosselweg;POINT (6.124382383742977 50.97217533008518)
05370000001204048;Eburonenstraße;POINT (6.117689520033787 50.96599470600911)
05370000001204049;Eichendorffstraße;POINT (6.118581588535012 50.97029461661883)
05370000001204050;Eichenthal;POINT (6.1124841830761545 50.95639619964868)
05370000001204051;Elsternweg;POINT (6.1208232437947085 50.969908197169474)
05370000001204052;Falkenweg;POINT (6.125125862780516 50.97225297545281)
05370000001204053;Fasanenweg;POINT (6.124508152815987 50.97086224324832)
05370000001204054;Finkenweg;POINT (6.120966843714642 50.971111154229106)
05370000001204055;Fliederweg;POINT (6.121172233676619 50.97292340154515)
05370000001204056;Franz-Marc-Straße;POINT (6.126350716897708 50.96971502789371)
05370000001204057;Frelenberger Weg;POINT (6.1078979743349775 50.94881727186254)
05370000001204058;Friedlandplatz;POINT (6.12262002629702 50.96247307354573)
05370000001204059;Am Fuchsberg;POINT (6.112266342131767 50.96142023735079)
05370000001204060;Gerbergasse;POINT (6.122628296022716 50.96215359876158)
05370000001204061;Gerhard-Schümmer-Straße;POINT (6.12641044832781 50.966101328249096)
05370000001204062;Gerhart-Hauptmann-Straße;POINT (6.114917692645923 50.97358674574732)
05370000001204063;Gillesweg;POINT (6.124896602225129 50.96691172397937)
05370000001204064;Gladiolenweg;POINT (6.120419423961526 50.97593244723369)
05370000001204065;Van-Gogh-Straße;POINT (6.126758031854851 50.9724866370761)
05370000001204066;Goethestraße;POINT (6.118345715419939 50.9748491949536)
05370000001204067;Graf-Goltstein-Straße;POINT (6.1304795328068895 50.9650067520143)
05370000001204068;Haihover Straße;POINT (6.122212059330166 50.96145219486736)
05370000001204069;Händelstraße;POINT (6.112059315400285 50.962489341379985)
05370000001204070;Von-Harff-Straße;POINT (6.117372390955743 50.96428906775631)
05370000001204071;Hartbaumpfad;POINT (6.1145065121519115 50.96933256230817)
05370000001204073;Heinestraße;POINT (6.114164885639881 50.97192362453745)
05370000001204074;Heinrich-Zille-Weg;POINT (6.12517466522877 50.96892143802489)
05370000001204075;Heinsberger Straße;POINT (6.11969608627421 50.969626433577275)
05370000001204076;Herderstraße;POINT (6.117250209365286 50.970369247364275)
05370000001204077;Hermann-Josef-Straße;POINT (6.128686788817805 50.96315533640373)
