strassenschluessel;bezeichnung;geometry
05154000001256001;Achter de Märtweg;POINT (6.3449217385686545 51.52078014246863)
05154000001256002;Am Bollwerk;POINT (6.329674866545587 51.514508134371454)
05154000001256003;Am Bückelewall;POINT (6.321624787114679 51.51408290908345)
05154000001256004;Am Eiland;POINT (6.324583443275496 51.51323884723573)
05154000001256005;Alte Feuerwache;
05154000001256006;Am Güterbahnhof;
05154000001256007;Am Friedhof;POINT (6.331986736286102 51.51328192164984)
05154000001256008;Am Holländer See;POINT (6.319996445805815 51.503808978087555)
05154000001256009;Am Geesthof;POINT (6.336605152113652 51.52150810004805)
05154000001256010;Am Mühlenturm;POINT (6.326503122915999 51.514567351566484)
05154000001256011;Am Alten Bahndamm;POINT (6.321085718936766 51.50586914988615)
05154000001256012;Am Ölberg;POINT (6.333037223484805 51.5121464396875)
05154000001256013;Am Liebfrauenpark;POINT (6.333477059302042 51.52152891961367)
05154000001256014;Am Pannofen;POINT (6.356563702548124 51.522785863632784)
05154000001256015;Am Stadtgraben;POINT (6.326404967010318 51.51313222130695)
05154000001256016;Amselweg;POINT (6.322283870713349 51.52616921238379)
05154000001256017;Am Nierspark;POINT (6.316778507025043 51.514292301957255)
05154000001256018;Am Treppchen;POINT (6.31990888020325 51.51896090024455)
05154000001256019;An der Contrescarpe;POINT (6.322308497528921 51.51359746824031)
05154000001256020;An der Bleiche;POINT (6.319058652061357 51.523036649139684)
05154000001256021;An der Ölmühle;POINT (6.3355550535168925 51.51485458225407)
05154000001256022;An der Fleuth;POINT (6.33370657873252 51.51423967921183)
05154000001256023;An het Wette Kloster;
05154000001256024;An der Insel;POINT (6.322423628997033 51.52074218160562)
05154000001256025;Annastraße;POINT (6.341369524900055 51.51875922879732)
05154000001256026;Anne-Frank-Straße;POINT (6.3313439517623005 51.523859617317044)
05154000001256027;Baersdonker Straße;POINT (6.3205604546058485 51.49343353231196)
05154000001256029;Mecklenburger Straße;POINT (6.337774064317297 51.523693370096765)
05154000001256030;Bahnhofstraße;POINT (6.320235217404794 51.515185969027904)
05154000001256031;Bastionstraße;POINT (6.323737683836255 51.52030312760909)
05154000001256032;St.-Barbara-Straße;POINT (6.343788680853592 51.51726102135147)
05154000001256033;An den Niersauen;POINT (6.319384588195979 51.503296669362726)
05154000001256034;Birkenallee;POINT (6.324200490601239 51.52498466617806)
05154000001256035;Achter de Bahn;POINT (6.31986660646494 51.51235674298051)
05154000001256036;Bodelschwinghstraße;POINT (6.344888009589721 51.51613516715676)
05154000001256038;Boeckelter Weg;POINT (6.332061465490535 51.522563676446175)
05154000001256039;Brandenburger Straße;POINT (6.337270605426141 51.52477430604968)
05154000001256040;Bogenstraße;POINT (6.334904346999606 51.521805073021035)
05154000001256041;Breestraße;POINT (6.325931120760926 51.51677102465314)
05154000001256042;Breslauer Straße;POINT (6.32421265967202 51.52667117401067)
05154000001256043;Brabanter Straße;POINT (6.3408862570986635 51.523301463351665)
05154000001256044;Brühlscher Weg;POINT (6.323738733464589 51.512553584282294)
05154000001256046;Buchenweg;POINT (6.321700874692308 51.52686940863179)
05154000001256048;Burgstraße;POINT (6.315836219077843 51.51665491166741)
05154000001256050;Cäcilienstraße;POINT (6.3463771161586635 51.51720844070942)
05154000001256051;Carlo-Schmid-Straße;POINT (6.342735668396964 51.520916885239664)
05154000001256052;Clemensstraße;POINT (6.326668229024548 51.52865801014853)
05154000001256053;Dieselstraße;POINT (6.350781274459231 51.52526762443538)
05154000001256054;Duisburger Straße;POINT (6.333409459394119 51.50889433040382)
05154000001256055;Danziger Straße;POINT (6.333511648174798 51.52965493367234)
05154000001256056;Edith-Stein-Straße;POINT (6.332699971951246 51.522593323910705)
05154000001256058;Egmondstraße;POINT (6.328502396385952 51.519926473129075)
05154000001256060;Elisabethstraße;POINT (6.344209123182462 51.514070165343554)
