strassenschluessel;bezeichnung;geometry
05554000001601651;Adlerstraße;POINT (7.015430250017598 51.945863982195895)
05554000001601652;Alte Feldmark;POINT (6.996390393482646 51.94730349861687)
05554000001601653;Alter Postweg;POINT (7.016736039769012 51.94951116956458)
05554000001601654;Am Davos;POINT (7.004731845835031 51.95359493124553)
05554000001601655;Am Ententeich;POINT (7.000153025959127 51.956325621188924)
05554000001601656;Händelstraße;POINT (6.994258821102691 51.95726353175167)
05554000001601657;Am Hellweg;POINT (7.0124982415398085 51.95336619487512)
05554000001601658;Amselweg;POINT (6.999353567653534 51.95861975731062)
05554000001601659;Am Stadtkamp;POINT (7.013770966431882 51.94669171138488)
05554000001601660;Antoniusweg;POINT (7.048839185490452 51.89120237618481)
05554000001601661;Armlandstraße;POINT (7.002987530763041 51.956346840913305)
05554000001601662;Auf dem Brink;POINT (7.0061802969866855 51.962946220306314)
05554000001601663;Auf der Twente;POINT (7.010026176601901 51.95060998294683)
05554000001601664;Augustin-Wibbelt-Straße;POINT (6.997532280312178 51.94803161952227)
05554000001601665;August-Wessing-Straße;POINT (7.016541730234167 51.946631716859066)
05554000001601666;Bahnhofstraße;POINT (7.0113500158424875 51.953987998591934)
05554000001601667;Berkelweg;POINT (7.021760548854065 51.94628612030098)
05554000001601668;Farnweg;POINT (7.038367508821193 51.89992508428008)
05554000001601669;Bernhard-Wiesch-Straße;POINT (7.034963100827451 51.897019631799594)
05554000001601670;Birkenweg;POINT (7.028799767241947 51.895928558387226)
05554000001601671;Birkhahnweg;POINT (7.04480982628619 51.89932371713295)
05554000001601672;Bönningskamp;POINT (6.987995836736607 51.95303723460142)
05554000001601673;Borkener Damm;POINT (6.997198525412472 51.95358761943343)
05554000001601674;Brinkstraße;POINT (7.005415114818818 51.95683314101743)
05554000001601675;Buchenweg;POINT (7.004125335368072 51.94740779974513)
05554000001601676;Büren;POINT (7.039809716008946 51.990016755748556)
05554000001601677;Bürener Damm;POINT (7.020322557195856 51.96894955126257)
05554000001601678;Carolusstraße;POINT (7.012244098831112 51.94962290149158)
05554000001601679;Coesfelder Straße;POINT (7.059787770775922 51.89715690232593)
05554000001601679;Coesfelder Straße;POINT (7.059787770775922 51.89715690232593)
05554000001601680;Dammstraße;POINT (6.986731226842685 51.950773796385946)
05554000001601681;Diekersfeld;POINT (7.0121324025940375 51.94900486940807)
05554000001601682;Drosselweg;POINT (6.998551082012249 51.95614337386757)
05554000001601683;Droste-Hülshoff-Straße;POINT (7.00153743116989 51.95011924927654)
05554000001601684;Dunkerskamp;POINT (7.020589465117615 51.96651391681406)
05554000001601685;Eichendorffweg;POINT (7.012028385295047 51.9468147379438)
05554000001601686;Eichenweg;POINT (7.005013620919142 51.95034619845216)
05554000001601687;Erikaweg;POINT (7.0411360714187134 51.89866705097806)
05554000001601688;Eschstraße;POINT (6.999553917931614 51.96167553851614)
05554000001601689;Estern;POINT (6.940047643556786 51.94874852815855)
05554000001601690;Esterner Grenzweg;POINT (6.989847493037301 51.9559943643263)
05554000001601691;Fabrikstraße;POINT (7.014165266275439 51.95201710335725)
05554000001601692;Falkenweg;POINT (7.0144220604819445 51.9463706824312)
05554000001601693;Fasanensteg;POINT (7.001488594129642 51.96086391380017)
05554000001601694;Feldkamp;POINT (6.996216637770193 51.95117111041276)
05554000001601695;Feldstraße;POINT (6.993792120965733 51.94843896352302)
05554000001601696;Fichtenweg;POINT (7.027001126425664 51.89368748515976)
05554000001601697;Rauschbeerstraße;POINT (7.039851312476359 51.90152214780069)
05554000001601698;Finkenweg;POINT (6.999436300026966 51.96124056774703)
05554000001601699;Fliederweg;POINT (7.0072850337151165 51.95815278389926)
05554000001601700;Franz-Josef-Straße;POINT (6.9958914136060715 51.95493514795294)
05554000001601701;Friedensstraße;POINT (7.003653087281052 51.950373091242845)
05554000001601702;Frieterhofstraße;POINT (7.003382183548413 51.95332318141647)
05554000001601703;Fürstenkamp;POINT (6.992295030227496 51.958488800686176)
05554000001601704;Gartenstraße;POINT (7.010023271706322 51.95466560106198)
05554000001601705;Gescherer Straße;
05554000001601706;Grenzlandring;POINT (6.992881867211093 51.95494558130054)
05554000001601707;Grüner Grund;POINT (7.0051479441486775 51.9472128272382)
05554000001601708;Gustav-Freytag-Straße;POINT (6.992623545519788 51.950952428776105)
05554000001601709;Hackenschlatt;POINT (6.988319867866756 51.956656738388695)
05554000001601711;Hahnenkamp;POINT (7.013624980222626 51.947368834296846)
05554000001601712;Hallerweg;POINT (7.017320870580596 51.95218884736305)
05554000001601713;Harwick;POINT (7.020832239149822 51.94543189824555)
05554000001601714;Hasenpatt;POINT (7.00241285952572 51.96089652611701)
05554000001601715;Hauptstraße;POINT (7.008808778241413 51.95654773070924)
05554000001601716;Hauskampstraße;POINT (7.010916956682311 51.954487389766996)
05554000001601717;Heidestraße;POINT (7.039596151721218 51.89846310932158)
05554000001601718;Hochmoor;POINT (7.019417479185686 51.90361113843224)
05554000001601719;Hofstraße;POINT (7.004975349271646 51.95469945990847)
05554000001601720;Ahauser Damm;POINT (7.011946093074179 51.96804733182826)
05554000001601721;Inselstraße;POINT (7.007465798859342 51.955932068130444)
05554000001601722;Jägerweg;POINT (6.997329733778238 51.959811581671765)
05554000001601723;Jahnstraße;POINT (7.012960704318661 51.94790659441666)
05554000001601724;Kardinal-von-Galen-Straße;POINT (7.0371520157826 51.8961007511487)
05554000001601725;Katharinenstraße;POINT (7.007459264892641 51.954787926221016)
05554000001601726;Kersenkamp;POINT (6.988450385731992 51.949576641094865)
05554000001601727;Kirchplatz;POINT (7.005615130845735 51.956036545395754)
05554000001601728;Klasmannstraße;POINT (7.033520803289328 51.897143663778536)
05554000001601729;Königstraße;POINT (7.010094244476382 51.95708156437753)
05554000001601730;Konrad-Adenauer-Straße;POINT (7.001780594597335 51.957618034796205)
05554000001601731;Körnerweg;POINT (7.0123488379369245 51.947907134661385)
05554000001601732;Kreuzstraße;POINT (7.001827576153566 51.952180625536016)
05554000001601733;Kurzer Weg;POINT (7.015861490610291 51.94946738471145)
05554000001601734;Landsbergstraße;POINT (7.039605449292216 51.89651117411698)
05554000001601735;Lerchenweg;POINT (7.003019237933558 51.9596979221443)
05554000001601736;Lindenstraße;POINT (7.001522312675969 51.9558400193456)
05554000001601737;Lönsweg;POINT (6.994899918815555 51.946636771925064)
05554000001601738;Lookamp;POINT (7.006813753417929 51.950478166128)
05554000001601739;Margeritenweg;POINT (7.005520909624544 51.95939782858106)
05554000001601740;Marienstraße;POINT (7.005056922112475 51.957512079576745)
05554000001601741;Meisenweg;POINT (7.002039280052188 51.958559984764726)
05554000001601743;Moosbeerweg;POINT (7.037710519808308 51.89935571110815)
05554000001601744;Moospfad;POINT (7.0412074171614485 51.8982399415595)
05554000001601745;Mühlengrund;POINT (6.995370322407893 51.960102663081415)
05554000001601746;Mühlenweg;POINT (6.992764764756439 51.95967869379176)
05554000001601747;Nelkenweg;POINT (7.006720893175925 51.959634672396476)
05554000001601748;Neuer Kamp;POINT (7.010066119683625 51.94859340771511)
05554000001601749;Neuer Weg;POINT (7.008107555466561 51.94879927612247)
05554000001601750;Nordicker Damm;POINT (7.042129634819184 51.88773252851076)
05554000001601751;Nordkamp;POINT (6.999868696032347 51.958034765658965)
05554000001601752;Pankratiusstraße;POINT (7.011882154698816 51.954252208300666)
05554000001601753;Pappelallee;POINT (7.035770074623864 51.899118645667905)
05554000001601754;Paul-Keller-Straße;POINT (6.99593807865621 51.9507097451174)
05554000001601755;Pionierweg;POINT (7.030948496014012 51.89510971702483)
05554000001601756;Prozessionsweg;POINT (7.010555450179306 51.94991317595208)
05554000001601757;Raiffeisenstraße;POINT (7.019630096731256 51.945638391413816)
05554000001601758;Rekener Straße;
05554000001601759;Riete;POINT (6.997818467935282 51.95384985337019)
05554000001601760;Rosenweg;POINT (7.005727604166546 51.961130285269256)
05554000001601761;Rosmarinstraße;POINT (7.036482339605145 51.89900319436417)
05554000001601762;Sonnentau;POINT (7.038791051832988 51.897396819532865)
05554000001601763;Südlohner Damm;POINT (6.988671639514828 51.956799451689086)
05554000001601764;Schillerstraße;POINT (6.994813160515852 51.95395480943547)
05554000001601765;Schlesierring;POINT (7.00995152456144 51.9480583325079)
05554000001601766;Schmaler Weg;POINT (7.031445842289185 51.896884143673326)
05554000001601767;Schollenkamp;POINT (6.997409333678467 51.95244073440815)
05554000001601768;Schützenstraße;POINT (7.011751341237322 51.9512301319012)
05554000001601769;Schultenrott;POINT (7.000815295563564 51.94462636392459)
