strassenschluessel;bezeichnung;geometry
05954000001232001;Ahornweg;POINT (7.339814119047272 51.328493600428374)
05954000001232002;Alte Geer;POINT (7.342260308535198 51.32775346946686)
05954000001232004;Alter Hohlweg;POINT (7.326627413042923 51.31304669576905)
05954000001232005;Am Deert;POINT (7.320850424332396 51.34966035630489)
05954000001232007;Am Hagen;POINT (7.336828249667835 51.353880123015365)
05954000001232008;Am Hammerteich;POINT (7.370672479129857 51.33244127235576)
05954000001232009;Am Jägerhaus;POINT (7.365671710378538 51.32985432040231)
05954000001232010;Am Kotten;POINT (7.321091546295676 51.31561205948487)
05954000001232011;Am Linnerhof;POINT (7.318207837695958 51.3419421191893)
05954000001232013;Am Runden Teich;POINT (7.385612292165277 51.3359056052045)
05954000001232014;Am Schafstall;POINT (7.336484543998189 51.35285071204648)
05954000001232015;Am Schilken;POINT (7.375748495590324 51.339216560345896)
05954000001232017;Am Schlagbaum;POINT (7.335063099057501 51.35055810940201)
05954000001232018;Am Schleifkotten;POINT (7.351822130163152 51.33764727859272)
05954000001232019;Am Schultenhof;POINT (7.382309689951729 51.33680357147181)
05954000001232020;Amselstraße;POINT (7.330877479302827 51.32934215135259)
05954000001232021;Am Susewind;POINT (7.331569430373001 51.35183055989756)
05954000001232022;Am Schwarzen Weg;POINT (7.333207336118856 51.32416379584952)
05954000001232023;Am Sinnerhoop;POINT (7.386060263253498 51.334060988200314)
05954000001232024;Am Stockey;POINT (7.348809733742834 51.34088640522593)
05954000001232025;Am Waldfriedhof;POINT (7.358587864999174 51.32386101252446)
05954000001232026;Am Waterkamp;POINT (7.389209327123604 51.33880969594503)
05954000001232027;Am Werde;POINT (7.3565949895660125 51.330845818846285)
05954000001232028;Am Westbahnhof;POINT (7.308195996758841 51.316355895902255)
05954000001232029;Am Wunderbau;POINT (7.3417654045267495 51.30829935182141)
05954000001232030;An der Drehbank;POINT (7.351065758816765 51.32781993871261)
05954000001232031;An der Egge;POINT (7.335307947199508 51.305722257161385)
05954000001232032;An der Königsburg;POINT (7.340384644089125 51.323808613714846)
05954000001232034;Ardeyweg;POINT (7.342916199645256 51.35992628170927)
05954000001232035;Asbecker Straße;POINT (7.3274188130029 51.33447762485119)
05954000001232036;Asker Straße;POINT (7.3891402427332595 51.33638687083646)
05954000001232037;Asternstraße;POINT (7.323109727265247 51.3227398875814)
05954000001232038;Auf dem Böcken;POINT (7.330537886341385 51.361039150711974)
05954000001232040;Auf der Hohen Warte;POINT (7.337077258836366 51.35684390233487)
05954000001232041;Auf der Ilberg;POINT (7.324129599861427 51.35749967087693)
05954000001232042;Bahnhofstraße;POINT (7.348235510003454 51.32118974027046)
05954000001232043;Balsterholz;POINT (7.332276470914592 51.331534523951646)
05954000001232044;Berchemallee;POINT (7.371292951918764 51.33622948663868)
05954000001232045;Bergstraße;POINT (7.354433597159263 51.325340271364816)
05954000001232046;Berkenberg;POINT (7.354664867038003 51.34638982749491)
05954000001232047;Biesenkampstraße;POINT (7.318703540202784 51.32146903910544)
05954000001232048;Birkenstraße;POINT (7.337073807388572 51.329617220689194)
05954000001232049;Bockstraße;POINT (7.3782553612191455 51.33902225491986)
05954000001232050;Brandteich;POINT (7.329405602925799 51.347547157858244)
05954000001232051;Bredderbruchstraße;POINT (7.380068753509302 51.332258199252095)
05954000001232052;Breddestraße;POINT (7.381389737147525 51.331246432449234)
05954000001232053;Breitenfelder Straße;POINT (7.321460428361454 51.31749201595691)
05954000001232054;Bremmenstraße;POINT (7.346605909758071 51.34435916511372)
05954000001232055;Breslauer Straße;POINT (7.324907628528205 51.33234875168528)
05954000001232056;Brinkstraße;POINT (7.352474614671062 51.322325881380834)
05954000001232057;Brockenbergstraße;POINT (7.354452328955979 51.34064719019826)
