strassenschluessel;bezeichnung;geometry
05166000000817501;Am Dorstenberg;POINT (6.331702945604175 51.33715021013729)
05166000000817502;Am Kollerberg;POINT (6.336375113194616 51.33252722416971)
05166000000817503;Am Reinersbach;POINT (6.334611709784911 51.33067352882162)
05166000000817504;An der Dorenburg;POINT (6.339224706397539 51.342750150678256)
05166000000817505;An der Evgl. Kirche;POINT (6.342896320330818 51.34529306783327)
05166000000817506;Auf dem Feldchen;POINT (6.341561196441913 51.333889524827825)
05166000000817507;Am Schattenbek;POINT (6.333064152207852 51.33947959392493)
05166000000817508;Am Haspel;POINT (6.344903498721605 51.34085402109143)
05166000000817509;Am Weidenbusch;POINT (6.339059480672871 51.330300633420975)
05166000000817510;An Haus Bruch;POINT (6.368410994357662 51.33237524888263)
05166000000817511;Am Alten Friedhof;POINT (6.34046161078132 51.33692534867358)
05166000000817512;Bahnstraße;POINT (6.344452868248242 51.336476034549754)
05166000000817513;Bergerplatz;POINT (6.343375495944696 51.337231449247795)
05166000000817514;Birkenstraße;POINT (6.335486029284257 51.33744486462011)
05166000000817515;Bleichweg;POINT (6.351757941363392 51.33787350587228)
05166000000817516;Brocksteg;POINT (6.346866324979281 51.33924807174222)
05166000000817517;Bronkhorster Weg;POINT (6.3511046506035 51.34100885682716)
05166000000817518;Bruckhauser Straße;POINT (6.339071495786718 51.3401005867662)
05166000000817519;Buchenweg;POINT (6.344095481055363 51.348094665825165)
05166000000817520;Buchfinkenweg;POINT (6.345407909245204 51.34762339924818)
05166000000817521;Burgweg;POINT (6.344107966890898 51.34075522631384)
05166000000817522;Am Gröningskreuz;POINT (6.338054181357331 51.34116576227733)
05166000000817523;Brunsgarten;POINT (6.336711901551911 51.33592438068802)
05166000000817524;An der Plüschweberei;POINT (6.32534578432423 51.34547250117597)
05166000000817525;Brauereistraße;POINT (6.339557685874292 51.33478969227344)
05166000000817526;Burgdyk;POINT (6.356442301486009 51.336257315246044)
05166000000817527;Am Alten Wasserwerk;POINT (6.335355223954965 51.33090690903146)
05166000000817528;Deversdonk;POINT (6.342125929799105 51.33795372290102)
05166000000817529;Diekerhof;POINT (6.335931638596481 51.334408243093556)
05166000000817530;Dunkerhofstraße;POINT (6.344706191104059 51.334051018560714)
05166000000817531;Dohmeswiese;POINT (6.3397525095282825 51.3328252292441)
05166000000817532;Am Freilichtmuseum;POINT (6.341117938379374 51.34610394501874)
05166000000817536;Erlenstraße;POINT (6.344379436495165 51.34232050127533)
05166000000817537;Eichenstraße;POINT (6.346384968014104 51.341830336408236)
05166000000817542;Feldstraße;
05166000000817543;Florastraße;POINT (6.3352495365043815 51.3426242953729)
05166000000817544;Funkendyk;POINT (6.34450990714852 51.342877406753296)
05166000000817545;Flugplatz;POINT (6.358753423232726 51.33495115384388)
05166000000817546;Floethütte;POINT (6.354098807208735 51.32586953458982)
05166000000817547;Fréventstraße;POINT (6.335735570561225 51.331757937491666)
05166000000817552;Goldammerweg;POINT (6.345220919457847 51.3488858133027)
05166000000817553;Grunewaldstraße;POINT (6.346839189969846 51.34083279947657)
05166000000817554;Grevelourstraße;POINT (6.337325048237913 51.33906524671403)
05166000000817555;Gewerbepark Wasserwerk;POINT (6.332434779577851 51.3422143391816)
05166000000817559;Hagenbroicher Weg;POINT (6.365002215955019 51.32172587962686)
05166000000817560;Heideweg;POINT (6.344610898697377 51.345623109448866)
05166000000817561;Heitzerend;POINT (6.317981658693658 51.3338804003428)
05166000000817562;Hermann-Lenßen-Straße;POINT (6.3448473647172134 51.3383929091202)
05166000000817563;Heudonk;POINT (6.347261158635775 51.335792361514336)
05166000000817564;Hinsbecker Straße;POINT (6.327100061730851 51.33336202560825)
05166000000817565;Hohe Straße;POINT (6.3401772312269475 51.335736999456174)
05166000000817566;Hübeck;POINT (6.326143607407266 51.330701322088146)
05166000000817567;Hermes Benden;POINT (6.351463517019141 51.33951027038427)
05166000000817568;Hübecker Weg;POINT (6.3352571584629 51.331525810280766)
05166000000817571;Haffmansfeld;POINT (6.330013299023023 51.34100171051712)
05166000000817572;Im Grünen Winkel;POINT (6.331679446901918 51.340794043904125)
05166000000817573;Im Mayfeld;POINT (6.331799121835228 51.338023680163346)
