strassenschluessel;bezeichnung;geometry
05162000000801001;Ahornstraße;POINT (6.594036816377844 51.07189546227564)
05162000000801005;Ahrstraße;POINT (6.590303383871678 51.07394164823795)
05162000000801010;Akazienweg;POINT (6.591823553205179 51.069443485739306)
05162000000801012;Albert-Schweitzer-Weg;POINT (6.593246565300594 51.08575213138669)
05162000000801015;Alfred-Nobel-Straße;POINT (6.618150536684079 51.08791737410421)
05162000000801016;Marie-Curie-Straße;POINT (6.625941947888566 51.081943415128485)
05162000000801020;Allensteiner Straße;POINT (6.581172924655987 51.10242418395108)
05162000000801025;Allrather Platz;POINT (6.628107939874803 51.065720498728936)
05162000000801030;Alte Zollstraße;POINT (6.586170146843812 51.10639127093475)
05162000000801035;Am Alten Hof;POINT (6.589284054417551 51.1062947067963)
05162000000801040;Am Bärenbroich;POINT (6.567868831583302 51.08166484669265)
05162000000801045;Am Bendgraben;POINT (6.595075994900986 51.07840845464355)
05162000000801050;Am Berg;POINT (6.586818864745669 51.0684375579023)
05162000000801055;Am Bodental;POINT (6.607820002475312 51.080235199373995)
05162000000801060;Am Burgturm;POINT (6.587835771240532 51.10690427892382)
05162000000801065;Am Busch;POINT (6.594741562234933 51.07891983427583)
05162000000801067;Im Lehrgarten;POINT (6.595450495761162 51.079567066925854)
05162000000801070;Am Elsbach;POINT (6.581776975575539 51.09004883612191)
05162000000801075;Am Feldtor;POINT (6.628936882519236 51.06521983639723)
05162000000801077;Am Fichtenwäldchen;POINT (6.585818570628783 51.09404209778784)
05162000000801080;Am Flutgraben;POINT (6.584922691147308 51.085944003698636)
05162000000801085;Am Frohnhof;POINT (6.592468718960593 51.069302678096925)
05162000000801090;Am Graben;POINT (6.5815752229147195 51.086132968756175)
05162000000801095;Am Hagelkreuz;POINT (6.601890120327288 51.08559364129965)
05162000000801100;Am Hammerwerk;POINT (6.575115826311363 51.08859489929658)
05162000000801101;An der Moschee;
05162000000801105;Am Hang;POINT (6.587394653635058 51.0690651743301)
05162000000801106;Am Heiland;POINT (6.571100535465461 51.11333504764248)
05162000000801110;Am Kleekamp;POINT (6.593979802725352 51.07082583962194)
05162000000801112;Am Klostereck;POINT (6.562930604232734 51.0938135002767)
05162000000801115;Am Knupp;POINT (6.606242872805037 51.0801138944691)
05162000000801120;Am Kruchenhof;POINT (6.629028740659762 51.06850169944899)
05162000000801125;Am Laacher Haus;POINT (6.568816823759418 51.08219499862182)
05162000000801126;Hajo-Moll-Platz;
05162000000801127;Am Limpertz-Hof;POINT (6.559397676083936 51.090138976961676)
05162000000801130;Am Markt;POINT (6.589502068494008 51.08884600837526)
05162000000801135;Am Mausacker;POINT (6.6070454514572505 51.079543132302184)
05162000000801140;Am Rittergut;POINT (6.592903931415378 51.103664634014876)
05162000000801145;Am Schwanenhof;POINT (6.6297893395487275 51.066728844485276)
05162000000801150;Am Siefweg;POINT (6.594808873574681 51.07356781987467)
05162000000801155;Am Sodbach;POINT (6.579129181496591 51.082194814724815)
05162000000801160;Am Stadtpark;POINT (6.586107460408734 51.09083983875358)
05162000000801165;Am Ständehaus;POINT (6.591602385503554 51.08547105264331)
